date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.32,6.66,6.28,6.60,1373800,6.60
2015-06-29,6.19,6.42,6.14,6.40,989400,6.40
2015-06-26,6.56,6.69,6.29,6.39,1551100,6.39
2015-06-25,7.12,7.12,6.57,6.61,1532600,6.61
2015-06-24,7.38,7.38,7.09,7.13,1013600,7.13
2015-06-23,7.39,7.50,7.30,7.38,783900,7.38
2015-06-22,7.45,7.45,7.24,7.35,478700,7.35
2015-06-19,7.05,7.36,6.96,7.29,1686800,7.29
2015-06-18,7.11,7.26,7.00,7.20,1057400,7.20
2015-06-17,7.03,7.27,6.71,7.26,1345700,7.26
2015-06-16,7.53,7.58,6.97,7.00,1050900,7.00
2015-06-15,7.53,7.63,7.32,7.61,533400,7.61
2015-06-12,7.28,7.58,7.18,7.50,684800,7.50
2015-06-11,7.33,7.44,7.28,7.36,755600,7.36
2015-06-10,7.29,7.33,7.21,7.30,652700,7.30
2015-06-09,7.22,7.36,7.14,7.29,671000,7.29
2015-06-08,7.31,7.31,7.31,7.31,000,7.31
2015-06-05,7.06,7.34,7.06,7.31,535400,7.31
2015-06-04,7.20,7.32,7.12,7.15,849100,7.15
2015-06-03,7.06,7.24,7.06,7.21,822700,7.21
2015-06-02,7.42,7.44,7.14,7.24,457200,7.24
2015-06-01,7.59,7.59,7.21,7.38,699100,7.38
2015-05-29,7.45,7.72,7.45,7.63,870900,7.63
2015-05-28,7.43,7.47,7.26,7.43,560300,7.43
2015-05-27,7.35,7.48,7.25,7.38,534900,7.38
2015-05-26,7.14,7.43,7.14,7.41,586400,7.41
2015-05-25,7.16,7.40,7.08,7.15,694500,7.15
2015-05-22,7.23,7.54,7.07,7.08,1244000,7.08
2015-05-21,6.90,7.04,6.75,7.02,837900,7.02
2015-05-20,6.68,6.70,6.51,6.62,897000,6.62
2015-05-19,6.93,6.99,6.68,6.73,891300,6.73
2015-05-18,6.95,7.19,6.90,6.91,1300000,6.91
2015-05-15,6.81,7.00,6.71,6.87,673600,6.87
2015-05-14,7.01,7.12,6.67,6.69,1168300,6.69
2015-05-13,6.72,7.20,6.72,7.16,830300,7.16
2015-05-12,6.75,7.19,6.73,7.07,1203400,7.07
2015-05-11,6.81,6.97,6.70,6.87,679900,6.87
2015-05-08,6.55,6.85,6.55,6.68,477900,6.68
2015-05-07,6.76,7.05,6.70,6.82,714600,6.82
2015-05-06,6.82,7.04,6.62,6.93,1042100,6.93
2015-05-05,6.92,6.99,6.82,6.84,608700,6.84
2015-05-04,6.80,6.94,6.65,6.82,619100,6.82
2015-05-01,6.37,6.77,6.37,6.71,665600,6.71
2015-04-30,6.30,6.60,6.21,6.50,1034300,6.50
2015-04-29,6.80,6.86,6.56,6.66,1045500,6.66
2015-04-28,7.00,7.10,6.79,6.80,1811800,6.80
2015-04-27,6.62,6.99,6.62,6.92,1822400,6.92
2015-04-24,6.30,6.56,6.29,6.50,2060600,6.50
2015-04-23,6.15,6.31,6.11,6.20,1091800,6.20
2015-04-22,5.85,6.00,5.73,5.98,1095800,5.98
2015-04-21,6.05,6.09,5.75,5.78,1095900,5.78
2015-04-20,5.97,6.07,5.88,5.97,956700,5.97
2015-04-17,6.16,6.28,5.96,5.98,789400,5.98
2015-04-16,6.17,6.30,6.07,6.16,1218800,6.16
2015-04-15,6.11,6.17,5.975,6.03,1272500,6.03
2015-04-14,6.23,6.26,5.93,6.12,2246600,6.12
2015-04-13,6.94,6.94,6.17,6.20,1234300,6.20
2015-04-10,6.74,6.99,6.72,6.97,997700,6.97
2015-04-09,6.92,7.01,6.66,6.71,837400,6.71
2015-04-08,6.60,6.98,6.60,6.91,855400,6.91
2015-04-07,6.62,6.77,6.53,6.58,1245900,6.58
2015-04-06,6.56,6.56,6.56,6.56,000,6.56
2015-04-03,6.56,6.56,6.56,6.56,000,6.56
2015-04-02,6.45,6.70,6.33,6.56,1563000,6.56
2015-04-01,6.66,6.74,6.45,6.46,2089000,6.46
2015-03-31,6.89,6.96,6.69,6.75,1460100,6.75
2015-03-30,6.76,7.05,6.76,6.89,643500,6.89
2015-03-27,7.00,7.12,6.89,6.95,1319000,6.95
2015-03-26,6.95,7.19,6.95,7.10,1315800,7.10
2015-03-25,7.00,7.16,6.67,7.09,2350400,7.09
2015-03-24,6.72,7.04,6.63,6.97,1725300,6.97
