date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.76,0.77,0.755,0.755,756500,0.755
2015-06-29,0.79,0.79,0.755,0.76,453900,0.76
2015-06-26,0.80,0.805,0.78,0.795,358900,0.795
2015-06-25,0.805,0.815,0.79,0.795,452900,0.795
2015-06-24,0.805,0.845,0.805,0.81,319400,0.81
2015-06-23,0.81,0.81,0.80,0.80,479000,0.80
2015-06-22,0.845,0.845,0.80,0.80,397900,0.80
2015-06-19,0.83,0.86,0.81,0.85,2244400,0.85
2015-06-18,0.83,0.83,0.80,0.815,3477000,0.815
2015-06-17,0.845,0.855,0.83,0.83,530500,0.83
2015-06-16,0.82,0.865,0.82,0.84,632100,0.84
2015-06-15,0.805,0.82,0.805,0.81,341100,0.81
2015-06-12,0.80,0.815,0.80,0.80,239900,0.80
2015-06-11,0.815,0.815,0.79,0.815,282500,0.815
2015-06-10,0.80,0.815,0.79,0.79,176100,0.79
2015-06-09,0.76,0.805,0.76,0.80,419400,0.80
2015-06-08,0.755,0.755,0.755,0.755,000,0.755
2015-06-05,0.74,0.795,0.73,0.755,1291000,0.755
2015-06-04,0.80,0.805,0.73,0.73,869500,0.73
2015-06-03,0.80,0.81,0.79,0.79,587300,0.79
2015-06-02,0.82,0.82,0.78,0.78,802800,0.78
2015-06-01,0.82,0.825,0.795,0.81,371700,0.81
2015-05-29,0.815,0.85,0.795,0.805,6539900,0.805
2015-05-28,0.83,0.84,0.81,0.83,838300,0.83
2015-05-27,0.86,0.86,0.83,0.83,580600,0.83
2015-05-26,0.832,0.86,0.83,0.86,260000,0.86
2015-05-25,0.85,0.85,0.83,0.83,253000,0.83
2015-05-22,0.85,0.87,0.835,0.84,602100,0.84
2015-05-21,0.86,0.87,0.85,0.86,400700,0.86
2015-05-20,0.87,0.875,0.83,0.855,463900,0.855
2015-05-19,0.885,0.90,0.86,0.86,564300,0.86
2015-05-18,0.895,0.91,0.88,0.91,261000,0.91
2015-05-15,0.89,0.93,0.89,0.90,813300,0.90
2015-05-14,0.91,0.91,0.89,0.90,480400,0.90
2015-05-13,0.90,0.92,0.895,0.91,557800,0.91
2015-05-12,0.93,0.93,0.90,0.91,420800,0.91
2015-05-11,0.88,0.915,0.88,0.91,200100,0.91
2015-05-08,0.92,0.925,0.88,0.88,736600,0.88
2015-05-07,0.92,0.935,0.915,0.92,266200,0.92
2015-05-06,0.915,0.93,0.915,0.92,176100,0.92
2015-05-05,0.945,0.95,0.92,0.92,658900,0.92
2015-05-04,0.935,0.95,0.92,0.93,1522700,0.93
2015-05-01,0.91,0.937,0.905,0.92,1769300,0.92
2015-04-30,0.86,0.9075,0.86,0.90,1008500,0.90
2015-04-29,0.875,0.885,0.855,0.87,1656100,0.87
2015-04-28,0.90,0.90,0.875,0.88,581800,0.88
2015-04-27,0.885,0.91,0.885,0.895,751400,0.895
2015-04-24,0.91,0.915,0.88,0.885,637800,0.885
2015-04-23,0.89,0.915,0.885,0.895,1167800,0.895
2015-04-22,0.89,0.905,0.88,0.89,366700,0.89
2015-04-21,0.88,0.885,0.87,0.875,1360200,0.875
2015-04-20,0.865,0.875,0.862,0.87,733000,0.87
2015-04-17,0.86,0.90,0.86,0.865,1944000,0.865
2015-04-16,0.82,0.86,0.82,0.85,542000,0.85
2015-04-15,0.81,0.84,0.807,0.815,514900,0.815
2015-04-14,0.85,0.86,0.785,0.81,967500,0.81
2015-04-13,0.78,0.84,0.77,0.84,1109500,0.84
2015-04-10,0.80,0.82,0.797,0.81,529400,0.81
