date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.85,0.85,0.825,0.835,495100,0.835
2015-06-29,0.86,0.875,0.835,0.845,435900,0.845
2015-06-26,0.86,0.88,0.86,0.865,338300,0.865
2015-06-25,0.85,0.885,0.85,0.87,317000,0.87
2015-06-24,0.87,0.875,0.84,0.85,673800,0.85
2015-06-23,0.855,0.89,0.85,0.875,665900,0.875
2015-06-22,0.825,0.865,0.82,0.865,450500,0.865
2015-06-19,0.85,0.86,0.81,0.84,2290200,0.84
2015-06-18,0.85,0.865,0.84,0.865,367500,0.865
2015-06-17,0.86,0.875,0.835,0.84,439300,0.84
2015-06-16,0.845,0.87,0.84,0.85,266200,0.85
2015-06-15,0.90,0.90,0.84,0.84,687900,0.84
2015-06-12,0.88,0.915,0.88,0.90,341000,0.90
2015-06-11,0.90,0.915,0.88,0.88,236300,0.88
2015-06-10,0.885,0.925,0.88,0.895,317400,0.895
2015-06-09,0.895,0.915,0.88,0.895,328400,0.895
2015-06-08,0.87,0.87,0.87,0.87,000,0.87
2015-06-05,0.87,0.89,0.865,0.87,519200,0.87
2015-06-04,0.93,0.935,0.865,0.865,648900,0.865
2015-06-03,0.94,0.96,0.915,0.92,346600,0.92
2015-06-02,0.935,0.96,0.935,0.95,330200,0.95
2015-06-01,0.955,0.97,0.935,0.935,503500,0.935
2015-05-29,0.965,0.97,0.945,0.955,381800,0.955
2015-05-28,0.985,0.99,0.93,0.945,891600,0.945
2015-05-27,0.99,1.005,0.98,0.995,386900,0.995
2015-05-26,0.99,1.015,0.99,1.015,295900,1.015
2015-05-25,0.98,1.015,0.98,1.005,216500,1.005
2015-05-22,0.972,1.00,0.965,1.00,486500,1.00
2015-05-21,0.985,0.985,0.955,0.975,249000,0.975
2015-05-20,0.955,0.975,0.945,0.96,744700,0.96
2015-05-19,1.02,1.02,0.97,0.985,403700,0.985
2015-05-18,1.01,1.02,1.005,1.02,398300,1.02
2015-05-15,1.00,1.02,0.982,1.00,1566400,1.00
2015-05-14,1.00,1.0125,0.99,1.00,1637400,1.00
2015-05-13,0.98,0.995,0.96,0.96,385400,0.96
2015-05-12,1.01,1.01,0.965,1.00,418900,1.00
2015-05-11,1.02,1.025,0.99,1.00,986200,1.00
2015-05-08,0.97,1.042,0.965,1.005,1000600,1.005
2015-05-07,0.96,0.98,0.935,0.98,470200,0.98
2015-05-06,0.925,0.975,0.925,0.975,762500,0.975
2015-05-05,0.95,0.965,0.94,0.94,588400,0.94
2015-05-04,0.885,0.94,0.885,0.94,447600,0.94
2015-05-01,0.88,0.915,0.875,0.905,402400,0.905
2015-04-30,0.915,0.935,0.895,0.925,658800,0.925
2015-04-29,0.915,0.925,0.895,0.925,788600,0.925
2015-04-28,0.87,0.915,0.87,0.89,1087000,0.89
2015-04-27,0.88,0.88,0.85,0.865,875600,0.865
2015-04-24,0.90,0.90,0.885,0.89,521900,0.89
2015-04-23,0.905,0.905,0.885,0.89,486400,0.89
2015-04-22,0.895,0.92,0.895,0.92,554700,0.92
2015-04-21,0.92,0.92,0.89,0.895,576600,0.895
2015-04-20,0.895,0.925,0.895,0.90,428900,0.90
2015-04-17,0.94,0.94,0.895,0.895,617000,0.895
2015-04-16,0.93,0.945,0.905,0.91,811700,0.91
2015-04-15,0.915,0.95,0.91,0.925,352400,0.925
2015-04-14,0.925,0.96,0.915,0.935,359000,0.935
2015-04-13,0.945,0.98,0.94,0.95,316700,0.95
2015-04-10,0.94,0.94,0.92,0.93,353300,0.93
2015-04-09,0.96,0.965,0.935,0.945,382900,0.945
2015-04-08,0.975,0.98,0.95,0.98,488600,0.98
2015-04-07,0.95,1.00,0.945,0.98,1550500,0.98
2015-04-06,0.96,0.96,0.96,0.96,000,0.96
2015-04-03,0.96,0.96,0.96,0.96,000,0.96
2015-04-02,0.94,0.97,0.94,0.96,1296900,0.96
2015-04-01,0.90,0.945,0.90,0.925,979000,0.925
2015-03-31,0.88,0.95,0.865,0.95,1956200,0.95
2015-03-30,0.91,0.91,0.86,0.885,941700,0.885
2015-03-27,0.95,0.95,0.89,0.90,869100,0.90
2015-03-26,0.94,0.96,0.92,0.96,971200,0.96
2015-03-25,0.97,0.98,0.925,0.93,2004000,0.93
2015-03-24,0.875,0.95,0.86,0.95,2373200,0.95
2015-03-23,0.855,0.87,0.85,0.855,1815800,0.855
2015-03-20,0.835,0.85,0.82,0.82,2932500,0.82
2015-03-19,0.85,0.87,0.83,0.84,905400,0.84
2015-03-18,0.82,0.835,0.805,0.81,911600,0.81
2015-03-17,0.835,0.835,0.805,0.81,800900,0.81
2015-03-16,0.80,0.835,0.80,0.815,1023800,0.815
2015-03-13,0.825,0.832,0.78,0.80,1247700,0.80
2015-03-12,0.84,0.855,0.81,0.83,992000,0.83
2015-03-11,0.85,0.855,0.817,0.84,934400,0.84
2015-03-10,0.925,0.935,0.85,0.86,1701100,0.86
2015-03-09,0.93,0.97,0.915,0.94,1322600,0.94
2015-03-06,1.02,1.02,0.96,0.99,1160900,0.99
2015-03-05,1.00,1.025,0.98,1.015,1051300,1.015
2015-03-04,1.015,1.02,0.955,0.96,1543800,0.96
2015-03-03,1.055,1.055,0.995,1.015,2105700,1.015
2015-03-02,0.99,1.095,0.99,1.08,3663300,1.08
2015-02-27,0.91,0.98,0.90,0.98,2010400,0.98
2015-02-26,0.88,0.90,0.87,0.90,1009600,0.90
2015-02-25,0.89,0.89,0.855,0.88,512700,0.88
2015-02-24,0.87,0.88,0.86,0.86,594000,0.86
2015-02-23,0.86,0.89,0.855,0.89,702000,0.89
2015-02-20,0.885,0.90,0.835,0.85,662600,0.85
2015-02-19,0.865,0.90,0.855,0.89,847000,0.89
2015-02-18,0.865,0.875,0.845,0.85,394100,0.85
2015-02-17,0.895,0.905,0.88,0.895,557800,0.895
2015-02-16,0.89,0.92,0.885,0.895,1264700,0.895
2015-02-13,0.85,0.895,0.84,0.88,1915300,0.88
2015-02-12,0.82,0.855,0.82,0.855,688500,0.855
2015-02-11,0.835,0.855,0.825,0.85,600900,0.85
2015-02-10,0.82,0.855,0.81,0.845,1622200,0.845
2015-02-09,0.82,0.835,0.79,0.83,1369300,0.83
2015-02-06,0.855,0.855,0.835,0.845,787700,0.845
2015-02-05,0.87,0.87,0.835,0.85,2083700,0.85
2015-02-04,0.88,0.88,0.835,0.86,841200,0.86
2015-02-03,0.86,0.88,0.85,0.87,1189600,0.87
2015-02-02,0.84,0.885,0.835,0.875,1213500,0.875
2015-01-30,0.81,0.83,0.78,0.825,1459000,0.825
2015-01-29,0.825,0.86,0.805,0.855,825000,0.855
2015-01-28,0.80,0.875,0.795,0.865,1151400,0.865
2015-01-27,0.825,0.83,0.76,0.785,1385100,0.785
2015-01-26,0.85,0.85,0.85,0.85,000,0.85
2015-01-23,0.855,0.86,0.835,0.85,538500,0.85
2015-01-22,0.89,0.89,0.83,0.835,1329900,0.835
2015-01-21,0.895,0.94,0.87,0.897,2226000,0.897
2015-01-20,0.87,0.87,0.845,0.855,570600,0.855
2015-01-19,0.88,0.885,0.835,0.86,1563900,0.86
2015-01-16,0.85,0.8875,0.83,0.85,2327000,0.85
2015-01-15,0.83,0.83,0.725,0.805,3390800,0.805
2015-01-14,0.845,0.85,0.81,0.82,995600,0.82
