date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,11.82,12.09,11.80,12.09,241800,12.09
2015-06-29,12.05,12.05,11.83,11.94,346000,11.94
2015-06-26,12.33,12.35,12.08,12.17,248400,12.17
2015-06-25,12.73,12.73,12.50,12.50,204100,12.50
2015-06-24,12.90,12.90,12.69,12.73,219800,12.73
2015-06-23,12.89,13.00,12.79,12.88,254500,12.88
2015-06-22,12.77,12.82,12.57,12.75,191600,12.75
2015-06-19,12.75,12.90,12.69,12.75,353200,12.75
2015-06-18,12.84,12.84,12.53,12.66,486600,12.66
2015-06-17,12.81,12.85,12.77,12.83,269700,12.83
2015-06-16,12.67,12.93,12.67,12.70,259500,12.70
2015-06-15,12.67,12.81,12.67,12.74,294800,12.74
2015-06-12,12.80,12.84,12.64,12.78,274500,12.78
2015-06-11,12.68,12.90,12.59,12.86,410200,12.86
2015-06-10,12.45,12.75,12.45,12.55,263100,12.55
2015-06-09,12.50,12.51,12.41,12.44,261100,12.44
2015-06-08,12.50,12.50,12.50,12.50,000,12.50
2015-06-05,12.58,12.61,12.44,12.50,333200,12.50
2015-06-04,12.76,12.80,12.55,12.55,405400,12.55
2015-06-03,12.56,12.80,12.56,12.72,384200,12.72
2015-06-02,13.10,13.13,12.72,12.74,285200,12.74
2015-06-01,13.05,13.05,12.80,13.05,199300,13.05
2015-05-29,12.96,13.21,12.96,13.09,456500,13.09
2015-05-28,12.98,12.99,12.91,12.98,185400,12.98
2015-05-27,13.10,13.11,12.95,12.98,161900,12.98
2015-05-26,13.11,13.22,13.02,13.12,171200,13.12
2015-05-25,12.82,13.12,12.80,13.10,311300,13.10
2015-05-22,13.00,13.02,12.80,12.82,175100,12.82
2015-05-21,12.90,13.14,12.70,12.91,353200,12.91
2015-05-20,12.76,12.90,12.68,12.84,262200,12.84
2015-05-19,12.76,12.95,12.67,12.77,447100,12.77
2015-05-18,12.56,12.79,12.55,12.76,500300,12.76
2015-05-15,12.28,12.52,12.27,12.52,319300,12.52
2015-05-14,12.00,12.25,11.93,12.25,1366000,12.25
2015-05-13,11.70,12.07,11.59,12.07,626800,12.07
2015-05-12,11.50,11.75,11.47,11.72,329000,11.72
2015-05-11,11.80,11.82,11.53,11.59,421100,11.59
2015-05-08,11.80,11.88,11.60,11.61,258200,11.61
2015-05-07,11.84,11.88,11.67,11.76,311100,11.76
2015-05-06,12.00,12.10,11.97,12.04,236700,12.04
2015-05-05,12.10,12.13,11.91,12.00,242700,12.00
2015-05-04,11.90,12.12,11.88,12.12,499400,12.12
2015-05-01,11.52,11.91,11.52,11.88,256800,11.88
2015-04-30,11.61,11.69,11.45,11.60,233000,11.60
2015-04-29,11.89,11.89,11.665,11.71,244300,11.71
2015-04-28,11.94,11.97,11.82,11.88,171500,11.88
2015-04-27,11.99,12.00,11.89,11.95,232100,11.95
2015-04-24,11.97,12.08,11.91,11.95,154900,11.95
2015-04-23,11.93,11.96,11.89,11.95,249400,11.95
2015-04-22,12.06,12.08,11.90,11.94,193500,11.94
2015-04-21,12.00,12.20,11.97,12.08,352800,12.08
2015-04-20,12.15,12.16,11.85,11.91,254600,11.91
2015-04-17,12.18,12.36,12.18,12.27,494000,12.27
2015-04-16,12.30,12.34,12.17,12.21,563700,12.21
2015-04-15,11.95,12.25,11.90,12.21,527100,12.21
2015-04-14,11.87,12.07,11.86,12.01,276300,12.01
2015-04-13,11.99,12.00,11.85,11.90,316500,11.90
2015-04-10,11.88,12.00,11.83,11.95,335500,11.95
2015-04-09,11.98,12.07,11.85,11.86,280300,11.86
2015-04-08,11.75,11.99,11.72,11.98,341800,11.98
2015-04-07,12.20,12.28,11.71,11.75,484000,11.75
2015-04-06,12.23,12.23,12.23,12.23,000,12.23
2015-04-03,12.23,12.23,12.23,12.23,000,12.23
2015-04-02,12.00,12.31,12.00,12.23,398600,12.23
2015-04-01,11.89,12.16,11.85,12.10,355500,12.10
2015-03-31,11.90,11.96,11.72,11.90,284100,11.90
2015-03-30,11.95,11.95,11.70,11.82,375200,11.82
2015-03-27,12.05,12.37,12.03,12.29,532500,11.933
2015-03-26,12.10,12.13,11.88,12.05,464700,11.70
2015-03-25,12.17,12.23,12.03,12.13,369900,11.778
2015-03-24,12.05,12.26,11.93,12.17,334500,11.816
2015-03-23,11.96,12.07,11.85,12.04,263500,11.69
2015-03-20,11.78,11.96,11.76,11.96,333900,11.612
2015-03-19,11.96,12.01,11.74,11.81,325200,11.467
2015-03-18,11.89,11.905,11.59,11.63,301400,11.292
2015-03-17,11.92,12.03,11.81,11.92,263900,11.574
2015-03-16,11.91,11.98,11.75,11.87,425600,11.525
2015-03-13,12.00,12.05,11.87,12.02,283300,11.671
2015-03-12,11.69,11.98,11.61,11.96,377300,11.612
2015-03-11,11.64,11.83,11.52,11.68,246900,11.341
2015-03-10,11.76,11.84,11.64,11.71,303800,11.37
2015-03-09,12.01,12.03,11.70,11.73,303600,11.389
2015-03-06,12.12,12.17,11.97,12.05,279500,11.70
2015-03-05,12.12,12.25,12.05,12.11,300500,11.758
2015-03-04,12.15,12.25,12.02,12.09,352000,11.739
2015-03-03,11.90,12.24,11.84,12.11,627300,11.758
2015-03-02,11.70,11.99,11.70,11.80,576800,11.457
2015-02-27,11.70,11.78,11.48,11.66,562000,11.321
2015-02-26,11.97,12.11,11.65,11.71,496900,11.37
2015-02-25,12.50,12.59,11.38,11.94,1409300,11.593
2015-02-24,12.05,12.29,12.00,12.29,682100,11.933
2015-02-23,12.00,12.10,11.94,12.00,616000,11.651
2015-02-20,12.02,12.05,11.945,11.99,727400,11.642
2015-02-19,12.00,12.10,11.96,12.00,639800,11.651
2015-02-18,11.95,12.02,11.83,11.90,839800,11.554
2015-02-17,11.95,12.01,11.81,11.93,409500,11.583
2015-02-16,11.99,12.10,11.88,11.98,619200,11.632
2015-02-13,12.00,12.15,11.87,11.93,481100,11.583
2015-02-12,11.77,12.05,11.77,11.85,797700,11.506
2015-02-11,11.70,12.08,11.52,11.71,7280200,11.37
2015-02-10,11.90,12.09,11.84,11.98,415400,11.632
2015-02-09,11.95,12.15,11.75,11.90,437800,11.554
2015-02-06,11.59,11.92,11.59,11.85,661000,11.506
2015-02-05,11.34,11.53,11.28,11.47,285500,11.137
2015-02-04,11.30,11.43,11.24,11.32,244900,10.991
2015-02-03,11.25,11.50,11.18,11.19,406500,10.865
2015-02-02,11.51,11.695,11.17,11.17,362100,10.845
2015-01-30,11.03,11.54,10.96,11.50,514300,11.166
2015-01-29,10.60,10.93,10.55,10.89,440400,10.574
2015-01-28,10.45,10.60,10.42,10.57,131900,10.263
2015-01-27,10.57,10.64,10.53,10.56,265900,10.253
2015-01-26,10.57,10.57,10.57,10.57,000,10.263
2015-01-23,10.58,10.67,10.50,10.57,131800,10.263
2015-01-22,10.52,10.61,10.42,10.47,143400,10.166
2015-01-21,10.41,10.54,10.41,10.51,149200,10.205
2015-01-20,10.32,10.42,10.22,10.40,141300,10.098
2015-01-19,10.29,10.43,10.23,10.31,357100,10.01
2015-01-16,10.35,10.385,10.09,10.20,302900,9.904
2015-01-15,10.50,10.50,10.36,10.40,200400,10.098
2015-01-14,10.58,10.64,10.49,10.56,333200,10.253
2015-01-13,10.40,10.63,10.38,10.57,233600,10.263
2015-01-12,10.52,10.55,10.41,10.46,135100,10.156
