date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,9.00,9.47,8.99,9.37,692600,9.37
2015-06-29,9.20,9.20,8.84,9.13,620200,9.13
2015-06-26,9.55,9.66,9.22,9.25,710300,9.25
2015-06-25,10.08,10.15,9.80,9.80,465800,9.80
2015-06-24,10.14,10.32,9.91,10.15,470500,10.15
2015-06-23,10.28,10.47,10.11,10.15,507900,10.15
2015-06-22,9.75,10.22,9.70,10.21,552800,10.21
2015-06-19,10.07,10.25,9.82,9.82,721900,9.82
2015-06-18,9.69,10.19,9.69,10.01,809100,10.01
2015-06-17,9.64,9.745,9.51,9.65,567800,9.65
2015-06-16,10.21,10.30,9.55,9.59,886400,9.59
2015-06-15,10.07,10.48,9.99,10.20,682300,10.20
2015-06-12,10.69,10.69,10.69,10.69,000,10.69
2015-06-11,10.69,10.69,10.69,10.69,000,10.69
2015-06-10,10.79,10.79,10.61,10.69,205400,10.69
2015-06-09,10.67,10.86,10.47,10.56,271300,10.56
2015-06-08,10.68,10.68,10.68,10.68,000,10.68
2015-06-05,10.45,10.83,10.42,10.68,305100,10.68
2015-06-04,10.55,10.67,10.33,10.50,447900,10.50
2015-06-03,10.55,10.74,10.325,10.62,388300,10.62
2015-06-02,11.12,11.12,10.43,10.61,381500,10.61
2015-06-01,11.17,11.18,10.68,11.17,366200,11.17
2015-05-29,11.41,11.75,11.16,11.17,520000,11.17
2015-05-28,11.43,11.50,11.28,11.45,295800,11.45
2015-05-27,11.32,11.48,11.14,11.40,330000,11.40
2015-05-26,10.97,11.58,10.97,11.43,336700,11.43
2015-05-25,10.95,11.06,10.81,11.03,316700,11.03
2015-05-22,10.89,11.24,10.76,10.94,303300,10.94
2015-05-21,10.48,11.06,10.48,10.85,419800,10.85
2015-05-20,10.50,10.60,10.27,10.56,352900,10.56
2015-05-19,10.41,10.62,10.41,10.50,549400,10.50
2015-05-18,10.22,10.51,10.22,10.38,264200,10.38
2015-05-15,10.44,10.68,10.23,10.28,429400,10.28
2015-05-14,10.75,10.79,10.10,10.32,642100,10.32
2015-05-13,10.35,11.05,10.25,10.87,743500,10.87
