date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.32,2.34,2.30,2.30,102100,2.30
2015-06-29,2.35,2.36,2.31,2.34,66800,2.34
2015-06-26,2.47,2.50,2.36,2.36,67300,2.36
2015-06-25,2.47,2.47,2.43,2.43,159300,2.43
2015-06-24,2.49,2.49,2.45,2.45,50200,2.45
2015-06-23,2.37,2.45,2.36,2.45,162200,2.45
2015-06-22,2.40,2.42,2.36,2.36,112100,2.36
2015-06-19,2.48,2.50,2.36,2.36,427100,2.36
2015-06-18,2.46,2.47,2.43,2.47,21900,2.47
2015-06-17,2.45,2.46,2.43,2.46,15100,2.46
2015-06-16,2.44,2.45,2.42,2.43,61900,2.43
2015-06-15,2.45,2.46,2.44,2.45,8300,2.45
2015-06-12,2.45,2.47,2.44,2.44,60500,2.44
2015-06-11,2.48,2.50,2.43,2.45,148600,2.45
2015-06-10,2.47,2.48,2.47,2.47,17600,2.47
2015-06-09,2.51,2.51,2.45,2.45,44100,2.45
2015-06-08,2.55,2.55,2.55,2.55,000,2.55
2015-06-05,2.45,2.56,2.42,2.55,111700,2.55
2015-06-04,2.54,2.54,2.43,2.45,144800,2.45
2015-06-03,2.54,2.54,2.49,2.49,76500,2.49
2015-06-02,2.53,2.55,2.47,2.54,127900,2.54
2015-06-01,2.58,2.60,2.47,2.50,125200,2.50
2015-05-29,2.58,2.60,2.56,2.58,22500,2.58
2015-05-28,2.62,2.64,2.57,2.57,14300,2.57
2015-05-27,2.65,2.66,2.62,2.63,59500,2.63
2015-05-26,2.65,2.66,2.65,2.65,220400,2.65
2015-05-25,2.64,2.66,2.62,2.64,42300,2.64
2015-05-22,2.69,2.69,2.65,2.66,50300,2.66
2015-05-21,2.70,2.72,2.69,2.70,44500,2.70
2015-05-20,2.67,2.72,2.62,2.70,32800,2.70
2015-05-19,2.62,2.67,2.62,2.67,23600,2.67
2015-05-18,2.65,2.65,2.62,2.64,41500,2.64
2015-05-15,2.70,2.70,2.62,2.64,42600,2.64
2015-05-14,2.62,2.72,2.62,2.67,10000,2.67
2015-05-13,2.72,2.72,2.67,2.67,15800,2.67
2015-05-12,2.74,2.74,2.70,2.72,15000,2.72
2015-05-11,2.78,2.78,2.73,2.74,18200,2.74
2015-05-08,2.72,2.76,2.68,2.75,15200,2.75
2015-05-07,2.67,2.75,2.65,2.72,51400,2.72
2015-05-06,2.76,2.77,2.69,2.69,38300,2.69
2015-05-05,2.77,2.79,2.76,2.76,40900,2.76
2015-05-04,2.76,2.80,2.75,2.77,46400,2.77
2015-05-01,2.78,2.78,2.76,2.76,4400,2.76
2015-04-30,2.77,2.79,2.75,2.76,73100,2.76
2015-04-29,2.78,2.79,2.76,2.77,32500,2.77
2015-04-28,2.75,2.79,2.71,2.76,59400,2.76
2015-04-27,2.70,2.75,2.69,2.75,109000,2.75
2015-04-24,2.69,2.70,2.65,2.68,43500,2.68
2015-04-23,2.65,2.70,2.65,2.70,25400,2.70
2015-04-22,2.61,2.67,2.61,2.67,14100,2.67
2015-04-21,2.69,2.70,2.675,2.675,13700,2.675
2015-04-20,2.65,2.70,2.65,2.69,8400,2.69
2015-04-17,2.68,2.72,2.63,2.65,58700,2.65
2015-04-16,2.69,2.69,2.60,2.60,24500,2.60
2015-04-15,2.65,2.69,2.65,2.69,86200,2.69
2015-04-14,2.69,2.70,2.65,2.69,34700,2.69
2015-04-13,2.67,2.70,2.67,2.67,164900,2.67
2015-04-10,2.63,2.72,2.625,2.69,88100,2.69
2015-04-09,2.59,2.63,2.59,2.63,23400,2.63
2015-04-08,2.60,2.61,2.56,2.59,40800,2.59
2015-04-07,2.59,2.62,2.59,2.60,19300,2.60
2015-04-06,2.58,2.58,2.58,2.58,000,2.58
2015-04-03,2.58,2.58,2.58,2.58,000,2.58
2015-04-02,2.56,2.61,2.56,2.58,8700,2.58
2015-04-01,2.56,2.65,2.55,2.65,162700,2.65
2015-03-31,2.64,2.64,2.55,2.55,22400,2.55
2015-03-30,2.56,2.64,2.56,2.64,26900,2.64
2015-03-27,2.60,2.61,2.57,2.59,50400,2.59
2015-03-26,2.60,2.61,2.60,2.61,46900,2.61
2015-03-25,2.65,2.65,2.62,2.65,97000,2.65
2015-03-24,2.61,2.65,2.61,2.65,56300,2.65
2015-03-23,2.68,2.68,2.60,2.63,155900,2.63
2015-03-20,2.68,2.69,2.54,2.60,170400,2.60
2015-03-19,2.73,2.73,2.65,2.66,124800,2.66
2015-03-18,2.70,2.71,2.67,2.70,111500,2.70
2015-03-17,2.68,2.72,2.66,2.67,38300,2.67
2015-03-16,2.63,2.69,2.61,2.65,96100,2.65
2015-03-13,2.61,2.65,2.55,2.63,127500,2.63
2015-03-12,2.52,2.59,2.51,2.54,148400,2.54
2015-03-11,2.51,2.55,2.50,2.53,46000,2.53
2015-03-10,2.50,2.54,2.50,2.53,80200,2.53
2015-03-09,2.50,2.55,2.495,2.50,181800,2.50
2015-03-06,2.57,2.57,2.50,2.54,76000,2.54
2015-03-05,2.58,2.59,2.50,2.58,99600,2.58
2015-03-04,2.58,2.62,2.50,2.58,170400,2.58
2015-03-03,2.64,2.64,2.56,2.60,146200,2.60
2015-03-02,2.65,2.65,2.60,2.63,79900,2.63
2015-02-27,2.69,2.77,2.67,2.73,163200,2.655
2015-02-26,2.74,2.74,2.65,2.67,394600,2.597
2015-02-25,2.89,2.89,2.66,2.74,452700,2.665
2015-02-24,2.81,2.90,2.81,2.90,78500,2.82
2015-02-23,2.88,2.88,2.72,2.81,191100,2.733
2015-02-20,2.96,2.98,2.91,2.91,119600,2.83
2015-02-19,2.98,2.98,2.95,2.96,33000,2.879
2015-02-18,2.99,2.99,2.97,2.97,104700,2.888
2015-02-17,3.00,3.00,2.96,2.98,193300,2.898
2015-02-16,2.94,2.99,2.92,2.98,206900,2.898
2015-02-13,2.98,2.98,2.89,2.93,121700,2.85
2015-02-12,2.93,2.99,2.92,2.96,113300,2.879
2015-02-11,2.83,2.95,2.83,2.89,320500,2.811
2015-02-10,2.76,2.86,2.76,2.83,177900,2.752
2015-02-09,2.68,2.76,2.68,2.76,248900,2.684
