date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.15,3.195,3.14,3.18,1261900,3.18
2015-06-29,3.19,3.19,3.12,3.16,1036100,3.16
2015-06-26,3.20,3.26,3.19,3.23,2057700,3.23
2015-06-25,3.32,3.32,3.26,3.27,850800,3.27
2015-06-24,3.34,3.34,3.28,3.33,850500,3.33
2015-06-23,3.27,3.35,3.24,3.35,1206200,3.35
2015-06-22,3.32,3.32,3.20,3.23,1551400,3.23
2015-06-19,3.28,3.36,3.28,3.30,1686800,3.30
2015-06-18,3.29,3.34,3.24,3.27,1741900,3.27
2015-06-17,3.34,3.37,3.30,3.35,1112200,3.35
2015-06-16,3.35,3.36,3.30,3.32,940800,3.32
2015-06-15,3.30,3.35,3.28,3.34,1055700,3.34
2015-06-12,3.32,3.35,3.28,3.31,921800,3.31
2015-06-11,3.26,3.325,3.225,3.32,1275100,3.32
2015-06-10,3.23,3.245,3.18,3.23,3107600,3.23
2015-06-09,3.20,3.27,3.20,3.23,1441200,3.23
2015-06-08,3.23,3.23,3.23,3.23,000,3.23
2015-06-05,3.14,3.23,3.13,3.23,5886100,3.23
2015-06-04,3.16,3.18,3.13,3.14,1133900,3.14
2015-06-03,3.15,3.175,3.12,3.14,965700,3.14
2015-06-02,3.23,3.23,3.15,3.20,1613000,3.20
2015-06-01,3.30,3.30,3.185,3.20,1552600,3.20
2015-05-29,3.25,3.32,3.25,3.30,922700,3.30
2015-05-28,3.31,3.315,3.25,3.26,1110600,3.26
2015-05-27,3.29,3.30,3.25,3.28,938600,3.28
2015-05-26,3.28,3.30,3.28,3.30,999100,3.30
2015-05-25,3.30,3.305,3.27,3.28,1351200,3.28
2015-05-22,3.34,3.34,3.29,3.30,906500,3.30
2015-05-21,3.30,3.32,3.25,3.30,1825500,3.30
2015-05-20,3.23,3.30,3.21,3.28,1291200,3.28
2015-05-19,3.27,3.27,3.19,3.22,1338100,3.22
2015-05-18,3.31,3.33,3.24,3.28,868200,3.28
2015-05-15,3.34,3.34,3.28,3.30,1588700,3.30
2015-05-14,3.30,3.31,3.27,3.29,3346300,3.29
2015-05-13,3.31,3.34,3.29,3.33,685500,3.33
2015-05-12,3.26,3.33,3.245,3.32,1960000,3.32
2015-05-11,3.33,3.34,3.29,3.30,821400,3.30
2015-05-08,3.26,3.36,3.26,3.31,1079200,3.31
2015-05-07,3.23,3.325,3.23,3.27,797200,3.27
2015-05-06,3.37,3.40,3.325,3.34,1166300,3.34
2015-05-05,3.41,3.45,3.38,3.40,1435800,3.40
2015-05-04,3.32,3.39,3.32,3.38,1265600,3.38
2015-05-01,3.27,3.37,3.26,3.34,1668700,3.34
2015-04-30,3.30,3.32,3.23,3.26,1664400,3.26
