date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,80.00,81.55,79.73,81.40,1093800,81.40
2015-06-29,80.58,80.99,80.16,80.50,1233400,80.50
2015-06-26,82.00,83.00,81.66,82.50,1956800,82.50
2015-06-25,82.50,83.37,82.40,83.03,1050300,83.03
2015-06-24,82.64,83.35,82.64,83.05,693900,83.05
2015-06-23,82.50,82.80,81.91,82.53,962700,82.53
2015-06-22,81.80,81.80,80.94,81.38,679000,81.38
2015-06-19,81.19,81.68,81.09,81.33,1552500,81.33
2015-06-18,80.50,80.55,79.14,79.60,1476900,79.60
2015-06-17,80.00,81.015,80.00,80.78,1133400,80.78
2015-06-16,79.02,79.40,78.72,79.32,871600,79.32
2015-06-15,78.40,79.40,78.33,79.21,663600,79.21
2015-06-12,79.40,80.25,79.27,79.57,810300,79.57
2015-06-11,79.06,79.61,78.86,79.49,823600,79.49
2015-06-10,78.60,78.97,77.41,77.98,1016700,77.98
2015-06-09,79.14,79.82,78.60,78.70,955000,78.70
2015-06-08,79.13,79.13,79.13,79.13,000,79.13
2015-06-05,79.08,80.08,78.51,79.13,748200,79.13
2015-06-04,79.97,80.445,79.14,79.32,1206600,79.32
2015-06-03,81.00,81.21,79.24,80.00,1305400,80.00
2015-06-02,82.50,82.57,80.88,80.99,919000,80.99
2015-06-01,81.50,81.93,81.08,81.90,676000,81.90
2015-05-29,80.60,82.055,80.60,81.75,1976700,81.75
2015-05-28,80.65,81.165,79.93,81.00,1163400,81.00
2015-05-27,80.44,80.70,79.69,80.15,1181200,80.15
2015-05-26,80.40,81.20,80.40,80.63,831800,80.63
2015-05-25,79.95,80.96,79.60,80.68,956600,80.68
2015-05-22,79.80,80.06,79.00,79.64,834300,79.64
2015-05-21,79.08,79.90,79.07,79.75,1179000,79.75
2015-05-20,78.80,79.80,78.65,79.08,1003300,79.08
2015-05-19,80.40,80.41,78.68,78.90,1584500,78.90
2015-05-18,80.41,81.19,79.49,79.51,2610200,79.51
2015-05-15,82.40,83.00,81.85,82.55,1271500,80.20714
2015-05-14,81.40,81.665,80.70,81.63,1277100,79.31325
2015-05-13,80.41,82.03,80.32,82.03,1142100,79.7019
2015-05-12,78.40,80.79,78.40,80.75,1337600,78.45823
2015-05-11,80.00,80.88,78.70,78.78,1275300,76.54414
2015-05-08,80.31,80.85,79.13,79.18,1472800,76.93278
2015-05-07,75.04,76.76,74.60,76.50,1567800,74.32885
2015-05-06,77.88,78.30,76.84,76.88,1170500,74.69806
2015-05-05,78.99,80.00,78.34,78.80,1100200,76.56357
2015-05-04,78.50,79.49,78.03,78.09,859200,75.87372
