date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.53,0.54,0.515,0.535,2923300,0.535
2015-06-29,0.55,0.555,0.525,0.535,3547300,0.535
2015-06-26,0.585,0.595,0.55,0.55,4848700,0.55
2015-06-25,0.585,0.62,0.582,0.59,4632200,0.59
2015-06-24,0.58,0.58,0.55,0.555,2663500,0.555
2015-06-23,0.575,0.58,0.565,0.575,1933300,0.575
2015-06-22,0.56,0.585,0.56,0.565,2289500,0.565
2015-06-19,0.56,0.575,0.55,0.555,5052300,0.555
2015-06-18,0.565,0.565,0.555,0.555,2613200,0.555
2015-06-17,0.56,0.565,0.545,0.555,1922000,0.555
2015-06-16,0.58,0.595,0.552,0.57,5284700,0.57
2015-06-15,0.605,0.605,0.582,0.59,1522700,0.59
2015-06-12,0.615,0.615,0.60,0.605,704900,0.605
2015-06-11,0.605,0.62,0.595,0.62,1209000,0.62
2015-06-10,0.61,0.61,0.585,0.605,1721700,0.605
2015-06-09,0.58,0.605,0.575,0.60,1872800,0.60
2015-06-08,0.58,0.58,0.58,0.58,000,0.58
2015-06-05,0.575,0.585,0.57,0.58,1803300,0.58
2015-06-04,0.59,0.60,0.565,0.565,2387000,0.565
2015-06-03,0.60,0.605,0.59,0.595,1979500,0.595
2015-06-02,0.615,0.62,0.595,0.605,2902800,0.605
2015-06-01,0.625,0.625,0.60,0.62,2437300,0.62
2015-05-29,0.64,0.655,0.605,0.61,13746700,0.61
2015-05-28,0.63,0.65,0.62,0.65,1901600,0.65
2015-05-27,0.615,0.635,0.61,0.635,3844900,0.635
2015-05-26,0.585,0.625,0.585,0.62,2046400,0.62
2015-05-25,0.59,0.60,0.58,0.58,1457700,0.58
2015-05-22,0.585,0.61,0.58,0.59,2176000,0.59
2015-05-21,0.585,0.595,0.57,0.58,1705900,0.58
2015-05-20,0.56,0.59,0.54,0.585,4219000,0.585
2015-05-19,0.56,0.57,0.54,0.56,2680700,0.56
2015-05-18,0.56,0.585,0.55,0.56,2400100,0.56
2015-05-15,0.59,0.595,0.55,0.555,5712900,0.555
2015-05-14,0.61,0.615,0.58,0.59,4977600,0.59
2015-05-13,0.62,0.63,0.61,0.615,4420000,0.615
2015-05-12,0.62,0.635,0.61,0.62,5527700,0.62
2015-05-11,0.64,0.65,0.615,0.62,3553400,0.62
2015-05-08,0.65,0.67,0.635,0.635,1905300,0.635
2015-05-07,0.66,0.67,0.64,0.645,3040700,0.645
