date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.76,3.80,3.65,3.76,408400,3.76
2015-06-29,3.86,3.86,3.72,3.79,420900,3.79
2015-06-26,3.95,3.97,3.82,3.94,297200,3.94
2015-06-25,4.03,4.04,3.94,4.00,355400,4.00
2015-06-24,4.15,4.15,3.99,4.04,379300,4.04
2015-06-23,4.06,4.16,4.05,4.15,277000,4.15
2015-06-22,4.08,4.08,3.98,4.02,232600,4.02
2015-06-19,3.99,4.14,3.96,4.08,792300,4.08
2015-06-18,3.97,4.00,3.94,4.00,877900,4.00
2015-06-17,3.98,3.99,3.94,3.98,517500,3.98
2015-06-16,3.95,3.98,3.93,3.96,328400,3.96
2015-06-15,3.99,3.99,3.92,3.98,541000,3.98
2015-06-12,3.90,3.99,3.90,3.97,296600,3.97
2015-06-11,3.96,3.97,3.87,3.95,350000,3.95
2015-06-10,3.90,3.99,3.865,3.95,389500,3.95
2015-06-09,4.00,4.03,3.79,3.83,443700,3.83
2015-06-08,3.95,3.95,3.95,3.95,000,3.95
2015-06-05,3.87,4.03,3.87,3.95,331600,3.95
2015-06-04,3.91,3.94,3.88,3.90,345400,3.90
2015-06-03,3.89,3.95,3.87,3.91,281900,3.91
2015-06-02,3.90,3.95,3.865,3.90,352200,3.90
2015-06-01,3.92,3.94,3.80,3.82,279500,3.82
2015-05-29,3.90,3.97,3.88,3.91,732500,3.91
2015-05-28,3.90,3.90,3.85,3.90,102500,3.90
2015-05-27,3.89,3.92,3.86,3.90,158800,3.90
2015-05-26,3.89,3.92,3.85,3.92,144700,3.92
2015-05-25,3.85,3.92,3.81,3.91,243400,3.91
2015-05-22,3.83,3.88,3.76,3.82,146200,3.82
2015-05-21,3.84,3.88,3.77,3.82,448700,3.82
2015-05-20,3.69,3.76,3.69,3.74,212100,3.74
2015-05-19,3.84,3.85,3.67,3.69,349900,3.69
2015-05-18,3.84,3.88,3.79,3.83,207600,3.83
2015-05-15,3.90,3.92,3.82,3.86,358800,3.86
2015-05-14,3.83,3.93,3.81,3.91,339200,3.91
2015-05-13,3.73,3.88,3.69,3.88,314900,3.88
2015-05-12,3.61,3.69,3.58,3.68,218300,3.68
2015-05-11,3.82,3.83,3.68,3.71,163800,3.71
2015-05-08,3.68,3.77,3.68,3.70,249800,3.70
2015-05-07,3.70,3.79,3.70,3.72,382000,3.72
2015-05-06,3.70,3.82,3.67,3.74,396700,3.74
2015-05-05,3.78,3.82,3.68,3.72,397000,3.72
2015-05-04,3.75,3.80,3.70,3.75,292000,3.75
2015-05-01,3.65,3.72,3.65,3.70,414900,3.70
2015-04-30,3.58,3.66,3.50,3.60,484100,3.60
2015-04-29,3.53,3.55,3.48,3.50,331600,3.50
2015-04-28,3.62,3.64,3.50,3.52,277700,3.52
2015-04-27,3.64,3.65,3.60,3.62,267700,3.62
2015-04-24,3.56,3.62,3.55,3.62,221100,3.62
2015-04-23,3.55,3.57,3.50,3.53,249900,3.53
2015-04-22,3.51,3.61,3.51,3.54,684800,3.54
2015-04-21,3.63,3.63,3.50,3.50,442600,3.50
2015-04-20,3.76,3.78,3.55,3.57,663600,3.57
2015-04-16,3.79,3.88,3.75,3.83,431100,3.83
2015-04-15,3.97,3.97,3.72,3.72,635700,3.72
2015-04-14,4.07,4.07,3.91,3.95,2123200,3.95
2015-04-13,3.70,4.07,3.61,3.99,1402300,3.99
2015-04-10,3.20,3.30,3.17,3.21,1116700,3.21
2015-04-09,3.33,3.36,3.19,3.20,890600,3.20
2015-04-08,3.30,3.41,3.27,3.32,795400,3.32
2015-04-07,3.50,3.51,3.21,3.28,1171500,3.28
2015-04-06,3.51,3.51,3.51,3.51,000,3.51
2015-04-03,3.51,3.51,3.51,3.51,000,3.51
2015-04-02,3.61,3.63,3.51,3.51,625700,3.51
2015-04-01,3.69,3.72,3.59,3.59,673800,3.59
2015-03-31,3.72,3.72,3.63,3.63,430400,3.63
2015-03-30,3.70,3.73,3.62,3.62,628800,3.62
2015-03-27,3.62,3.77,3.58,3.65,1370300,3.65
2015-03-26,3.83,3.83,3.50,3.58,985600,3.58
2015-03-25,3.89,3.97,3.85,3.86,769800,3.86
2015-03-24,3.92,3.92,3.85,3.88,652100,3.88
2015-03-23,4.03,4.07,3.88,3.92,1997400,3.92
2015-03-20,3.96,4.13,3.96,4.03,1051000,4.03
2015-03-19,3.88,3.99,3.85,3.96,789100,3.96
2015-03-18,3.87,3.88,3.85,3.87,520600,3.87
2015-03-17,3.89,3.94,3.87,3.88,841100,3.88
2015-03-16,3.87,3.95,3.86,3.88,502100,3.88
2015-03-13,3.86,3.92,3.845,3.87,461300,3.87
2015-03-12,3.85,3.88,3.82,3.85,752200,3.85
2015-03-11,3.78,3.87,3.78,3.85,764500,3.85
2015-03-10,3.86,3.92,3.84,3.87,285500,3.87
2015-03-09,3.80,3.96,3.80,3.84,552600,3.84
2015-03-06,3.93,3.98,3.74,3.79,843600,3.79
2015-03-05,4.09,4.09,3.94,3.97,449400,3.97
2015-03-04,4.00,4.11,3.97,4.00,317000,4.00
2015-03-03,4.05,4.10,3.97,3.98,565700,3.98
2015-03-02,4.16,4.165,4.06,4.06,308400,4.06
2015-02-27,4.21,4.22,4.10,4.14,269200,4.14
2015-02-26,4.28,4.28,4.13,4.19,288500,4.19
2015-02-25,4.27,4.32,4.05,4.32,976900,4.32
2015-02-24,4.03,4.50,3.96,4.50,905700,4.50
2015-02-23,4.18,4.20,4.00,4.03,283300,4.03
2015-02-20,3.98,4.18,3.95,4.18,554700,4.18
2015-02-19,4.01,4.03,3.90,3.95,643600,3.95
2015-02-18,4.05,4.09,4.00,4.05,239000,4.05
2015-02-17,4.00,4.10,3.96,4.04,275900,4.04
2015-02-16,4.13,4.20,4.02,4.04,450000,4.04
2015-02-13,4.45,4.45,4.11,4.16,471700,4.16
2015-02-12,4.39,4.48,4.25,4.41,311000,4.41
2015-02-11,4.50,4.60,4.33,4.34,345300,4.34
2015-02-10,4.31,4.46,4.28,4.46,345500,4.46
2015-02-09,4.25,4.31,4.25,4.28,234500,4.28
2015-02-06,4.39,4.43,4.21,4.24,231300,4.24
2015-02-05,4.21,4.39,4.14,4.39,399500,4.39
2015-02-04,4.18,4.24,4.17,4.20,239200,4.20
2015-02-03,4.11,4.205,4.05,4.16,807400,4.16
2015-02-02,4.01,4.20,4.00,4.09,235900,4.09
2015-01-30,4.04,4.04,3.99,4.02,491700,4.02
2015-01-29,4.03,4.03,3.96,4.00,420500,4.00
2015-01-28,4.00,4.08,4.00,4.06,211400,4.06
2015-01-27,4.04,4.045,4.02,4.03,212800,4.03
2015-01-26,4.02,4.02,4.02,4.02,000,4.02
2015-01-23,4.04,4.04,4.00,4.02,393700,4.02
2015-01-22,4.03,4.06,3.98,4.06,458300,4.06
2015-01-21,4.03,4.04,4.00,4.04,192300,4.04
2015-01-20,3.99,4.04,3.95,4.03,145200,4.03
2015-01-19,3.98,4.03,3.96,3.98,250800,3.98
2015-01-16,4.02,4.06,3.90,3.95,649200,3.95
2015-01-15,4.08,4.08,4.00,4.04,425700,4.04
2015-01-14,4.08,4.09,4.01,4.01,196100,4.01
2015-01-13,4.07,4.10,4.01,4.06,177400,4.06
2015-01-12,4.12,4.19,4.06,4.19,691000,4.19
2015-01-09,4.15,4.15,4.09,4.14,258000,4.14
2015-01-08,4.18,4.18,4.06,4.16,360500,4.16
2015-01-07,4.17,4.23,4.115,4.14,254500,4.14
2015-01-06,4.33,4.36,4.12,4.21,305000,4.21
2015-01-05,4.40,4.46,4.36,4.41,130000,4.41
2015-01-02,4.38,4.43,4.34,4.43,208600,4.43
2015-01-01,4.39,4.39,4.39,4.39,000,4.39
2014-12-31,4.37,4.39,4.33,4.39,87700,4.39
2014-12-30,4.42,4.43,4.32,4.32,108900,4.32
2014-12-29,4.33,4.43,4.30,4.42,142300,4.42
2014-12-26,4.33,4.33,4.33,4.33,000,4.33
2014-12-25,4.33,4.33,4.33,4.33,000,4.33
2014-12-24,4.41,4.41,4.30,4.33,32200,4.33
2014-12-23,4.47,4.47,4.32,4.37,139500,4.37
2014-12-22,4.43,4.48,4.40,4.47,312800,4.47
2014-12-19,4.11,4.45,4.08,4.44,1412200,4.44
2014-12-18,3.98,4.09,3.98,4.05,843500,4.05
2014-12-17,4.07,4.12,3.98,4.00,757300,4.00
2014-12-16,4.11,4.21,4.05,4.10,732600,4.10
2014-12-15,4.16,4.27,4.13,4.18,145500,4.18
2014-12-12,4.36,4.41,4.23,4.26,265600,4.26
2014-12-11,4.40,4.40,4.25,4.33,561800,4.33
2014-12-10,4.22,4.41,4.20,4.32,361100,4.32
2014-12-09,4.39,4.49,4.21,4.25,460900,4.25
2014-12-08,4.33,4.51,4.33,4.45,319300,4.45
2014-12-05,4.31,4.37,4.25,4.33,304100,4.33
2014-12-04,4.55,4.59,4.35,4.38,404900,4.38
2014-12-03,4.25,4.53,4.22,4.53,562400,4.53
2014-12-02,4.05,4.20,4.00,4.20,358400,4.20
2014-12-01,4.06,4.16,4.00,4.05,439800,4.05
2014-11-28,4.14,4.14,4.05,4.10,598400,4.10
2014-11-27,4.28,4.32,4.21,4.22,296000,4.22
2014-11-26,4.10,4.27,4.06,4.26,387400,4.26
2014-11-25,4.10,4.14,3.94,4.10,569000,4.10
2014-11-24,4.03,4.14,4.00,4.14,361400,4.14
2014-11-21,4.00,4.02,3.96,3.98,305600,3.98
2014-11-20,3.99,4.04,3.96,3.98,498500,3.98
2014-11-19,3.95,4.02,3.91,4.00,924100,4.00
2014-11-18,3.99,4.02,3.96,4.00,529000,4.00
2014-11-17,4.01,4.05,3.96,3.98,292000,3.98
2014-11-14,4.06,4.06,3.98,4.00,228600,4.00
2014-11-13,4.06,4.15,4.01,4.04,373300,4.04
2014-11-12,4.05,4.065,4.01,4.04,149000,4.04
