date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,10.61,10.74,10.50,10.70,678600,10.70
2015-06-29,10.99,10.99,10.54,10.76,702300,10.76
2015-06-26,10.95,11.12,10.84,11.02,516600,11.02
2015-06-25,11.22,11.24,11.10,11.16,815300,11.16
2015-06-24,11.09,11.22,11.02,11.18,465800,11.18
2015-06-23,11.00,11.19,10.93,11.09,560200,11.09
2015-06-22,10.94,10.98,10.81,10.94,370900,10.94
2015-06-19,10.80,10.97,10.76,10.87,789600,10.87
2015-06-18,10.78,10.82,10.47,10.64,735200,10.64
2015-06-17,10.64,11.00,10.64,10.89,641400,10.89
2015-06-16,10.71,10.90,10.61,10.64,501300,10.64
2015-06-15,10.85,10.90,10.70,10.76,455400,10.76
2015-06-12,10.83,11.00,10.765,10.83,394800,10.83
2015-06-11,10.75,10.89,10.62,10.83,605700,10.83
2015-06-10,10.46,10.81,10.43,10.63,1674800,10.63
2015-06-09,10.44,10.59,10.36,10.38,668000,10.38
2015-06-08,10.55,10.55,10.55,10.55,000,10.55
2015-06-05,10.24,10.56,10.00,10.55,1188100,10.55
2015-06-04,10.73,10.80,10.48,10.48,428300,10.48
2015-06-03,10.70,10.84,10.58,10.73,438000,10.73
2015-06-02,11.18,11.20,10.70,10.76,630300,10.76
2015-06-01,11.13,11.19,10.93,11.11,405200,11.11
2015-05-29,11.15,11.20,11.10,11.11,493300,11.11
2015-05-28,11.16,11.20,11.085,11.15,457600,11.15
2015-05-27,10.97,11.18,10.96,11.16,824900,11.16
2015-05-26,10.90,11.00,10.87,10.99,676400,10.99
2015-05-25,11.09,11.18,10.85,10.92,639100,10.92
2015-05-22,11.25,11.31,11.03,11.09,394600,11.09
2015-05-21,10.96,11.22,10.96,11.20,756200,11.20
2015-05-20,10.85,11.05,10.80,10.87,828900,10.87
2015-05-19,11.00,11.035,10.88,10.90,612900,10.90
2015-05-18,11.09,11.11,11.00,11.05,670900,11.05
2015-05-15,11.01,11.12,10.90,11.09,988800,11.09
2015-05-14,10.89,11.02,10.76,10.85,895000,10.85
2015-05-13,11.10,11.18,10.93,11.04,492000,11.04
2015-05-12,11.02,11.185,10.86,11.09,752400,11.09
2015-05-11,10.89,11.22,10.89,11.11,817700,11.11
2015-05-08,10.64,10.87,10.62,10.79,769500,10.79
2015-05-07,10.71,10.85,10.55,10.55,1580800,10.55
2015-05-06,10.90,11.13,10.71,11.10,901700,11.10
2015-05-05,11.14,11.26,10.96,11.11,621900,11.11
2015-05-04,11.00,11.19,10.97,11.01,804200,11.01
2015-05-01,10.90,11.03,10.65,10.94,573000,10.94
2015-04-30,11.03,11.32,10.98,10.98,1818800,10.98
2015-04-29,10.77,11.21,10.77,11.07,1062400,11.07
2015-04-28,11.00,11.05,10.47,10.74,2554300,10.74
2015-04-27,11.50,11.60,10.55,10.90,2056500,10.90
2015-04-24,11.49,11.79,11.44,11.52,748300,11.52
2015-04-23,11.50,11.50,11.22,11.48,1034900,11.48
2015-04-22,11.51,11.74,11.40,11.49,829300,11.49
2015-04-21,11.21,11.68,11.21,11.52,1002000,11.52
2015-04-20,11.02,11.19,10.84,10.99,804300,10.99
2015-04-17,11.29,11.32,11.03,11.04,534300,11.04
2015-04-16,11.25,11.50,11.15,11.37,655800,11.37
2015-04-15,11.43,11.43,11.04,11.25,1320800,11.25
2015-04-14,11.48,11.55,11.17,11.45,1038500,11.45
2015-04-13,10.90,11.57,10.90,11.55,1542500,11.55
2015-04-10,10.39,10.45,10.39,10.43,365300,10.43
2015-04-09,10.31,10.38,10.25,10.34,497900,10.34
2015-04-08,10.25,10.34,10.16,10.21,499800,10.21
2015-04-07,10.27,10.44,10.22,10.25,614700,10.25
2015-04-06,10.27,10.27,10.27,10.27,000,10.27
2015-04-03,10.27,10.27,10.27,10.27,000,10.27
2015-04-02,10.23,10.31,10.16,10.27,442500,10.27
2015-04-01,10.11,10.33,10.05,10.26,692300,10.26
2015-03-31,10.03,10.20,9.945,10.14,672800,10.14
2015-03-30,10.08,10.10,9.95,10.01,607400,10.01
2015-03-27,10.04,10.25,10.02,10.16,399400,10.16
2015-03-26,10.35,10.35,10.02,10.04,747600,10.04
2015-03-25,10.27,10.42,10.21,10.39,817800,10.39
2015-03-24,10.34,10.35,10.17,10.31,554300,10.31
2015-03-23,10.50,10.53,10.355,10.46,989100,10.24571
2015-03-20,10.11,10.45,10.11,10.45,1013800,10.23592
2015-03-19,10.00,10.09,9.99,10.08,1087300,9.8735
2015-03-18,10.00,10.07,9.88,9.96,882800,9.75596
2015-03-17,10.06,10.09,10.00,10.01,748000,9.80493
2015-03-16,10.23,10.27,10.02,10.03,887400,9.82452
2015-03-13,10.12,10.39,10.10,10.35,1390800,10.13797
2015-03-12,9.80,10.00,9.80,9.97,487000,9.76575
2015-03-11,9.79,9.93,9.73,9.85,658400,9.64821
2015-03-10,9.75,9.92,9.71,9.81,838000,9.60903
2015-03-09,9.88,9.97,9.71,9.71,911600,9.51108
2015-03-06,10.00,10.05,9.93,9.93,717300,9.72657
2015-03-05,10.14,10.14,9.91,9.95,697600,9.74616
2015-03-04,10.01,10.21,9.98,10.14,773200,9.93227
2015-03-03,10.08,10.24,9.93,10.04,908300,9.83432
2015-03-02,9.89,10.15,9.89,10.01,678900,9.80493
2015-02-27,9.79,9.94,9.69,9.88,762300,9.6776
2015-02-26,9.80,9.87,9.59,9.79,1122800,9.58944
2015-02-25,9.33,9.99,9.33,9.84,1590300,9.63842
2015-02-24,9.47,9.515,9.29,9.30,1406800,9.10948
2015-02-23,9.45,9.59,9.38,9.46,891300,9.2662
2015-02-20,9.56,9.57,9.40,9.42,472000,9.22702
