date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.205,1.24,1.185,1.225,3652800,1.225
2015-06-29,1.265,1.265,1.215,1.215,4447200,1.215
2015-06-26,1.33,1.335,1.27,1.27,4988900,1.27
2015-06-25,1.34,1.36,1.335,1.34,1900000,1.34
2015-06-24,1.35,1.37,1.335,1.34,4067700,1.34
2015-06-23,1.325,1.35,1.325,1.34,5210900,1.34
2015-06-22,1.285,1.315,1.26,1.315,2535200,1.315
2015-06-19,1.255,1.30,1.255,1.28,5398700,1.28
2015-06-18,1.275,1.275,1.235,1.245,6927200,1.245
2015-06-17,1.30,1.305,1.28,1.29,2819100,1.29
2015-06-16,1.30,1.32,1.29,1.295,4845500,1.295
2015-06-15,1.30,1.315,1.295,1.305,2703800,1.305
2015-06-12,1.37,1.37,1.29,1.30,7221900,1.30
2015-06-11,1.335,1.375,1.335,1.375,1800600,1.375
2015-06-10,1.35,1.35,1.305,1.33,3817100,1.33
2015-06-09,1.375,1.385,1.35,1.355,1880600,1.355
2015-06-08,1.39,1.39,1.39,1.39,000,1.39
2015-06-05,1.38,1.405,1.37,1.39,3774100,1.39
2015-06-04,1.44,1.46,1.38,1.40,2528200,1.40
2015-06-03,1.47,1.475,1.43,1.44,2380100,1.44
2015-06-02,1.49,1.49,1.45,1.455,2763900,1.455
2015-06-01,1.495,1.50,1.46,1.48,1862700,1.48
2015-05-29,1.455,1.52,1.455,1.50,4408300,1.50
2015-05-28,1.485,1.495,1.46,1.465,1153100,1.465
2015-05-27,1.49,1.49,1.47,1.48,1745900,1.48
2015-05-26,1.46,1.515,1.455,1.50,2191100,1.50
2015-05-25,1.485,1.485,1.46,1.475,1458800,1.475
2015-05-22,1.455,1.485,1.45,1.47,1602300,1.47
2015-05-21,1.45,1.49,1.435,1.455,2283100,1.455
2015-05-20,1.46,1.46,1.415,1.44,3485100,1.44
2015-05-19,1.52,1.52,1.455,1.465,2828500,1.465
2015-05-18,1.55,1.555,1.51,1.52,2026700,1.52
2015-05-15,1.52,1.57,1.515,1.56,7223200,1.56
2015-05-14,1.53,1.53,1.467,1.515,6277300,1.515
2015-05-13,1.46,1.56,1.46,1.555,10316200,1.555
2015-05-12,1.38,1.42,1.36,1.41,2541400,1.41
2015-05-11,1.37,1.3825,1.355,1.36,1787000,1.36
2015-05-08,1.36,1.375,1.355,1.36,1517900,1.36
2015-05-07,1.39,1.39,1.35,1.36,2351600,1.36
2015-05-06,1.395,1.41,1.39,1.40,4044600,1.40
2015-05-05,1.40,1.4175,1.395,1.40,3457500,1.40
2015-05-04,1.42,1.43,1.38,1.39,2306100,1.39
2015-05-01,1.37,1.42,1.365,1.41,4370000,1.41
2015-04-30,1.38,1.41,1.36,1.38,3189700,1.38
2015-04-29,1.35,1.40,1.347,1.385,3340300,1.385
2015-04-28,1.335,1.365,1.33,1.355,4889500,1.355
2015-04-27,1.34,1.345,1.325,1.33,3586800,1.33
2015-04-24,1.33,1.345,1.32,1.33,3187500,1.33
2015-04-23,1.33,1.36,1.315,1.32,3097900,1.32
2015-04-22,1.325,1.34,1.32,1.325,2413400,1.325
2015-04-21,1.355,1.36,1.33,1.33,3056900,1.33
2015-04-20,1.36,1.36,1.345,1.35,1372800,1.35
2015-04-17,1.375,1.385,1.36,1.365,1821100,1.365
2015-04-16,1.385,1.40,1.37,1.38,1872900,1.38
2015-04-15,1.395,1.40,1.36,1.365,2772000,1.365
2015-04-14,1.40,1.42,1.38,1.405,2337600,1.405
2015-04-13,1.45,1.45,1.40,1.405,2474500,1.405
2015-04-10,1.50,1.505,1.435,1.45,6186600,1.45
2015-04-09,1.42,1.515,1.42,1.50,8960200,1.50
2015-04-08,1.335,1.435,1.335,1.425,10162800,1.425
2015-04-07,1.305,1.34,1.30,1.31,1892800,1.31
2015-04-06,1.30,1.30,1.30,1.30,000,1.30
2015-04-03,1.30,1.30,1.30,1.30,000,1.30
2015-04-02,1.325,1.3425,1.30,1.30,2696500,1.30
2015-04-01,1.355,1.355,1.325,1.33,5768700,1.33
2015-03-31,1.355,1.3625,1.345,1.355,3115000,1.355
2015-03-30,1.355,1.355,1.335,1.34,2343000,1.34
2015-03-27,1.35,1.36,1.345,1.355,7024000,1.355
2015-03-26,1.34,1.36,1.32,1.35,6821300,1.35
2015-03-25,1.36,1.43,1.355,1.415,17483900,1.315
2015-03-24,1.365,1.365,1.345,1.355,10849000,1.2592
2015-03-23,1.35,1.365,1.347,1.35,9026900,1.2546
2015-03-20,1.38,1.3825,1.345,1.345,22189900,1.2499
2015-03-19,1.355,1.45,1.335,1.375,19440300,1.2778
2015-03-18,1.55,1.56,1.52,1.53,13182500,1.4219
2015-03-17,1.59,1.60,1.545,1.565,5046600,1.4544
2015-03-16,1.56,1.60,1.555,1.59,3192400,1.4776
2015-03-13,1.595,1.60,1.565,1.57,4484200,1.459
2015-03-12,1.615,1.66,1.59,1.595,4016100,1.4823
2015-03-11,1.66,1.68,1.61,1.625,4136900,1.5102
2015-03-10,1.685,1.69,1.66,1.69,3111600,1.5706
2015-03-09,1.67,1.6825,1.635,1.68,2714100,1.5613
2015-03-06,1.67,1.70,1.63,1.70,4607600,1.5799
2015-03-05,1.60,1.67,1.585,1.67,4382300,1.552
2015-03-04,1.625,1.63,1.555,1.605,7619300,1.4916
2015-03-03,1.68,1.69,1.62,1.625,15052000,1.5102
2015-03-02,1.76,1.772,1.615,1.655,17637500,1.538
2015-02-27,1.90,1.90,1.85,1.855,4018400,1.7239
2015-02-26,1.88,1.895,1.865,1.895,2270800,1.7611
2015-02-25,1.87,1.895,1.86,1.89,3489800,1.7564
2015-02-24,1.885,1.895,1.865,1.88,2359100,1.7471
2015-02-23,1.89,1.90,1.877,1.885,768200,1.7518
2015-02-20,1.90,1.902,1.875,1.895,4100800,1.7611
2015-02-19,1.89,1.90,1.87,1.89,1764800,1.7564
2015-02-18,1.865,1.89,1.85,1.88,2208800,1.7471
2015-02-17,1.89,1.895,1.845,1.86,1737400,1.7286
2015-02-16,1.86,1.90,1.855,1.895,2932400,1.7611
2015-02-13,1.85,1.86,1.84,1.855,2653800,1.7239
2015-02-12,1.85,1.88,1.805,1.815,5372100,1.6867
2015-02-11,1.81,1.85,1.792,1.84,3418800,1.71
2015-02-10,1.805,1.82,1.785,1.795,2018000,1.6681
2015-02-09,1.82,1.82,1.76,1.805,4097800,1.6774
2015-02-06,1.81,1.835,1.78,1.815,7484800,1.6867
2015-02-05,1.70,1.795,1.70,1.785,8806800,1.6589
2015-02-04,1.65,1.71,1.645,1.69,8261400,1.5706
2015-02-03,1.57,1.645,1.555,1.63,5634500,1.5148
2015-02-02,1.54,1.577,1.535,1.555,3503000,1.4451
2015-01-30,1.56,1.56,1.505,1.555,15068200,1.4451
2015-01-29,1.52,1.555,1.51,1.54,9412900,1.4312
2015-01-28,1.50,1.53,1.485,1.51,4661400,1.4033
2015-01-27,1.53,1.54,1.48,1.495,8416500,1.3893
2015-01-26,1.51,1.51,1.51,1.51,000,1.4033
2015-01-23,1.565,1.58,1.505,1.51,7277600,1.4033
2015-01-22,1.51,1.595,1.50,1.55,9080300,1.4405
2015-01-21,1.475,1.51,1.465,1.50,2905400,1.394
2015-01-20,1.49,1.505,1.46,1.48,2184600,1.3754
2015-01-19,1.46,1.52,1.44,1.49,5143800,1.3847
2015-01-16,1.41,1.445,1.40,1.445,3942400,1.3429
2015-01-15,1.40,1.41,1.37,1.405,3564400,1.3057
2015-01-14,1.41,1.44,1.39,1.395,3282800,1.2964
2015-01-13,1.44,1.44,1.405,1.41,3075600,1.3104
2015-01-12,1.415,1.455,1.397,1.435,2879400,1.3336
2015-01-09,1.38,1.455,1.38,1.425,7174400,1.3243
2015-01-08,1.375,1.385,1.36,1.375,4978200,1.2778
2015-01-07,1.375,1.385,1.35,1.365,4392200,1.2685
2015-01-06,1.39,1.405,1.37,1.375,2620300,1.2778
2015-01-05,1.43,1.435,1.39,1.415,3081700,1.315
2015-01-02,1.40,1.435,1.385,1.425,2019100,1.3243
2015-01-01,1.40,1.40,1.40,1.40,000,1.3011
2014-12-31,1.425,1.44,1.375,1.40,2636000,1.3011
