date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.41,2.50,2.40,2.50,183100,2.50
2015-06-29,2.33,2.37,2.27,2.37,54000,2.37
2015-06-26,2.35,2.36,2.27,2.35,25400,2.35
2015-06-25,2.27,2.28,2.26,2.27,2200,2.27
2015-06-24,2.34,2.36,2.34,2.36,5800,2.36
2015-06-23,2.26,2.35,2.26,2.35,4100,2.35
2015-06-22,2.32,2.34,2.30,2.34,20200,2.34
2015-06-19,2.38,2.38,2.38,2.38,000,2.38
2015-06-18,2.43,2.43,2.38,2.38,3700,2.38
2015-06-17,2.45,2.45,2.44,2.44,107900,2.44
2015-06-16,2.46,2.48,2.46,2.48,102400,2.48
2015-06-15,2.50,2.58,2.45,2.46,9900,2.46
2015-06-12,2.52,2.53,2.50,2.50,2200,2.50
2015-06-11,2.46,2.50,2.44,2.48,169600,2.48
2015-06-10,2.48,2.48,2.41,2.44,12000,2.44
2015-06-09,2.55,2.55,2.53,2.54,5400,2.54
2015-06-08,2.57,2.57,2.57,2.57,000,2.57
2015-06-05,2.57,2.57,2.57,2.57,000,2.57
2015-06-04,2.65,2.65,2.57,2.57,22000,2.57
2015-06-03,2.65,2.65,2.62,2.63,139900,2.63
2015-06-02,2.67,2.73,2.62,2.62,3300,2.62
2015-06-01,2.56,2.63,2.56,2.63,4200,2.63
2015-05-29,2.67,2.67,2.65,2.65,9900,2.65
2015-05-28,2.57,2.57,2.57,2.57,1700,2.57
2015-05-27,2.60,2.60,2.55,2.55,39800,2.55
2015-05-26,2.68,2.68,2.62,2.62,3500,2.62
2015-05-25,2.65,2.69,2.60,2.66,6100,2.66
2015-05-22,2.68,2.70,2.66,2.69,6300,2.69
2015-05-21,2.71,2.73,2.71,2.71,6400,2.71
2015-05-20,2.74,2.74,2.69,2.72,4200,2.72
2015-05-19,2.70,2.70,2.60,2.66,13700,2.66
2015-05-18,2.67,2.67,2.67,2.67,800,2.67
2015-05-15,2.63,2.66,2.60,2.66,23000,2.66
2015-05-14,2.64,2.68,2.63,2.63,20900,2.63
2015-05-13,2.64,2.65,2.63,2.64,294300,2.64
2015-05-12,2.68,2.68,2.65,2.67,262500,2.67
2015-05-11,2.58654,2.60577,2.58654,2.59615,24800,2.4963
2015-05-08,2.61538,2.625,2.61538,2.625,2400,2.52404
2015-05-07,2.57692,2.58654,2.57692,2.58654,3900,2.48706
2015-05-06,2.64423,2.64423,2.52885,2.57692,49400,2.47781
2015-05-05,2.75,2.80769,2.65385,2.69231,42800,2.58876
2015-05-04,2.75962,2.97115,2.75962,2.97115,1000,2.85687
2015-05-01,2.75,2.77885,2.74038,2.75,5400,2.64423
2015-04-30,2.67308,2.72115,2.67308,2.71154,17600,2.60725
2015-04-29,2.78846,2.78846,2.69231,2.69231,14100,2.58876
2015-04-28,2.78846,2.79808,2.78846,2.78846,5100,2.68121
2015-04-27,2.79808,2.79808,2.70192,2.75962,14900,2.65348
2015-04-24,2.81731,2.82212,2.79808,2.82212,28100,2.71358
2015-04-23,2.83654,2.83654,2.82692,2.82692,2900,2.71819
2015-04-22,2.875,2.875,2.84615,2.84615,1500,2.73668
2015-04-21,2.83654,2.86538,2.83654,2.83654,5100,2.72744
2015-04-20,2.83654,2.875,2.83654,2.875,500,2.76442
2015-04-17,2.83654,2.83654,2.83654,2.83654,000,2.72744
2015-04-16,2.875,2.875,2.83654,2.83654,175100,2.72744
2015-04-15,2.875,2.90385,2.875,2.89423,278900,2.78291
2015-04-14,2.75,2.78846,2.75,2.78846,4400,2.68121
2015-04-13,2.78846,2.78846,2.70192,2.75,45400,2.64423
2015-04-10,2.86538,2.86538,2.79808,2.79808,5400,2.69046
2015-04-09,2.86538,2.86538,2.84615,2.85577,61200,2.74593
2015-04-08,2.86538,2.89423,2.84615,2.88462,28900,2.77367
2015-04-07,2.88462,2.89423,2.78846,2.78846,17500,2.68121
2015-04-06,2.88462,2.88462,2.88462,2.88462,000,2.77367
2015-04-03,2.88462,2.88462,2.88462,2.88462,000,2.77367
2015-04-02,3.00,3.00,3.00,3.00,000,2.88462
2015-04-01,3.01,3.01,2.95,3.00,30000,2.88462
2015-03-31,3.07,3.08,3.03,3.06,14700,2.94231
2015-03-30,3.08,3.08,3.01,3.06,436200,2.94231
2015-03-27,3.03,3.12,3.02,3.10,87500,2.98077
2015-03-26,3.03,3.03,3.03,3.03,1500,2.91346
2015-03-25,3.04,3.08,3.02,3.08,1400,2.96154
2015-03-24,3.05,3.05,3.02,3.04,14300,2.92308
2015-03-23,3.09,3.09,3.09,3.09,4700,2.97115
2015-03-20,3.12,3.12,3.12,3.12,1000,3.00
