date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.945,0.99,0.935,0.985,1190700,0.985
2015-06-29,0.98,0.98,0.937,0.96,2108700,0.96
2015-06-26,1.02,1.02,0.985,0.99,2112700,0.99
2015-06-25,1.055,1.055,1.01,1.03,1418800,1.03
2015-06-24,1.06,1.075,1.05,1.055,913500,1.055
2015-06-23,1.06,1.09,1.055,1.06,813000,1.06
2015-06-22,1.05,1.067,1.04,1.055,1428700,1.055
2015-06-19,1.02,1.065,1.01,1.05,2533500,1.05
2015-06-18,1.025,1.04,1.02,1.02,2458000,1.02
2015-06-17,1.02,1.05,1.01,1.035,1667100,1.035
2015-06-16,1.02,1.025,1.002,1.015,992100,1.015
2015-06-15,1.00,1.02,0.99,1.015,1933000,1.015
2015-06-12,1.03,1.04,1.00,1.01,2487600,1.01
2015-06-11,1.025,1.05,1.01,1.025,2087100,1.025
2015-06-10,1.04,1.04,1.025,1.03,545300,1.03
2015-06-09,1.045,1.06,1.025,1.035,1475500,1.035
2015-06-08,1.03,1.03,1.03,1.03,000,1.03
2015-06-05,1.01,1.04,1.01,1.03,941100,1.03
2015-06-04,1.05,1.072,1.01,1.015,1597500,1.015
2015-06-03,1.085,1.0975,1.035,1.05,2366900,1.05
2015-06-02,1.12,1.12,1.09,1.095,1145300,1.095
2015-06-01,1.13,1.13,1.10,1.11,1676000,1.11
2015-05-29,1.11,1.135,1.105,1.13,2042100,1.13
2015-05-28,1.12,1.13,1.105,1.11,1270500,1.11
2015-05-27,1.12,1.14,1.105,1.12,1412800,1.12
2015-05-26,1.14,1.15,1.125,1.125,1629100,1.125
2015-05-25,1.17,1.175,1.135,1.135,1037700,1.135
2015-05-22,1.18,1.18,1.14,1.165,4930800,1.165
2015-05-21,1.155,1.18,1.155,1.17,1399200,1.17
2015-05-20,1.135,1.16,1.125,1.15,1158200,1.15
2015-05-19,1.14,1.155,1.12,1.135,2633000,1.135
2015-05-18,1.16,1.165,1.125,1.125,1406200,1.125
2015-05-15,1.175,1.20,1.135,1.15,1974000,1.15
2015-05-14,1.195,1.23,1.115,1.16,16523900,1.16
2015-05-13,1.24,1.25,1.19,1.20,1888600,1.20
2015-05-12,1.23,1.245,1.175,1.24,3812500,1.24
2015-05-11,1.24,1.25,1.215,1.225,3068800,1.225
2015-05-08,1.20,1.27,1.195,1.235,4652800,1.235
2015-05-07,1.19,1.19,1.162,1.19,5943100,1.19
2015-05-06,1.13,1.165,1.105,1.15,1635400,1.15
2015-05-05,1.14,1.145,1.125,1.14,848100,1.14
2015-05-04,1.145,1.15,1.115,1.14,1017800,1.14
2015-05-01,1.08,1.145,1.07,1.11,1174500,1.11
2015-04-30,1.055,1.09,1.055,1.08,1116400,1.08
2015-04-29,1.07,1.09,1.065,1.08,924200,1.08
2015-04-28,1.07,1.085,1.062,1.065,1013800,1.065
2015-04-27,1.04,1.07,1.04,1.07,1843100,1.07
2015-04-24,1.025,1.04,1.025,1.04,750400,1.04
2015-04-23,1.03,1.035,1.015,1.03,1002700,1.03
2015-04-22,1.035,1.045,1.025,1.03,1572400,1.03
2015-04-21,1.015,1.045,1.01,1.04,2690600,1.04
2015-04-20,1.035,1.035,1.005,1.03,782700,1.03
2015-04-17,1.04,1.055,1.035,1.04,932000,1.04
2015-04-16,1.055,1.055,1.035,1.045,948000,1.045
2015-04-15,1.055,1.06,1.035,1.05,1337600,1.05
2015-04-14,1.05,1.06,1.042,1.06,564500,1.06
2015-04-13,1.065,1.08,1.035,1.05,1280000,1.05
2015-04-10,1.04,1.065,1.04,1.055,1337200,1.055
2015-04-09,1.00,1.035,1.00,1.035,2442200,1.035
2015-04-08,0.99,1.00,0.987,0.99,516600,0.99
2015-04-07,1.00,1.02,0.99,0.99,743800,0.99
2015-04-06,1.00,1.00,1.00,1.00,000,1.00
2015-04-03,1.00,1.00,1.00,1.00,000,1.00
2015-04-02,0.99,1.035,0.985,1.00,2429800,1.00
2015-04-01,0.95,0.995,0.95,0.99,2864400,0.99
2015-03-31,0.952,0.9575,0.945,0.955,1725400,0.955
2015-03-30,0.96,0.96,0.945,0.95,1250600,0.95
2015-03-27,0.955,0.96,0.95,0.96,1139600,0.96
2015-03-26,0.95,0.955,0.94,0.95,1986800,0.95
2015-03-25,0.95,0.965,0.94,0.96,1649800,0.96
2015-03-24,0.94,0.96,0.94,0.95,1397000,0.95
2015-03-23,0.97,0.97,0.935,0.94,1059200,0.94
2015-03-20,0.95,0.975,0.95,0.96,3450500,0.96
2015-03-19,0.95,0.96,0.94,0.955,2680700,0.955
