date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,32.93,33.40,32.80,33.31,5124700,33.31
2015-06-29,33.43,33.55,33.09,33.20,4971600,33.20
2015-06-26,34.17,34.30,33.85,34.09,11545400,34.09
2015-06-25,34.27,34.68,34.25,34.45,4929300,34.45
2015-06-24,34.53,34.78,34.39,34.52,4987000,34.52
2015-06-23,34.20,34.44,34.12,34.40,6258100,34.40
2015-06-22,33.60,33.80,33.39,33.77,4178700,33.77
2015-06-19,33.40,33.66,33.30,33.66,7364900,33.66
2015-06-18,33.50,33.50,32.94,33.13,10212600,33.13
2015-06-17,33.30,33.46,33.22,33.37,7143400,33.37
2015-06-16,32.50,32.98,32.50,32.79,4250800,32.79
2015-06-15,32.18,32.61,32.06,32.53,5091300,32.53
2015-06-12,32.51,32.71,32.08,32.26,4245600,32.26
2015-06-11,32.15,32.51,32.10,32.51,4834800,32.51
2015-06-10,31.73,31.88,31.56,31.83,4528800,31.83
2015-06-09,31.67,32.06,31.56,31.60,7543000,31.60
2015-06-08,31.85,31.85,31.85,31.85,000,31.85
2015-06-05,31.90,32.06,31.70,31.85,10485400,31.85
2015-06-04,33.00,33.21,32.32,32.32,7054500,32.32
2015-06-03,33.23,33.42,32.965,33.00,7893700,33.00
2015-06-02,34.25,34.25,33.35,33.35,4469300,33.35
2015-06-01,34.18,34.18,33.50,34.03,4562200,34.03
2015-05-29,33.60,34.41,33.51,34.32,16110300,34.32
2015-05-28,33.92,33.92,33.23,33.44,4118500,33.44
2015-05-27,33.89,33.97,33.50,33.56,5909500,33.56
2015-05-26,33.50,34.00,33.50,34.00,4997100,34.00
2015-05-25,33.14,33.58,33.02,33.53,5769900,33.53
2015-05-22,33.33,33.41,33.12,33.23,5470000,33.23
2015-05-21,33.63,33.63,33.18,33.38,9536500,33.38
2015-05-20,33.40,33.76,33.32,33.56,8270000,33.56
2015-05-19,33.85,34.15,33.43,33.67,9058400,33.67
2015-05-18,34.49,34.54,33.95,34.00,7432100,34.00
2015-05-15,34.90,34.90,34.19,34.52,10430600,34.52
2015-05-14,35.92,35.97,35.33,35.49,9851300,34.07572
2015-05-13,34.95,35.71,34.82,35.65,8885300,34.22934
2015-05-12,34.30,34.82,34.10,34.54,17387100,33.16358
2015-05-11,35.20,35.20,35.20,35.20,000,33.79728
2015-05-08,35.20,35.20,35.20,35.20,000,33.79728
2015-05-07,35.20,35.20,35.20,35.20,000,33.79728
2015-05-06,35.60,35.77,35.20,35.20,5864600,33.79728
2015-05-05,36.80,36.935,35.97,36.17,6512300,34.72862
2015-05-04,36.25,36.55,36.10,36.29,6334600,34.84384
2015-05-01,36.77,36.96,36.61,36.81,4377400,35.34312
2015-04-30,36.72,36.95,36.51,36.77,6998200,35.30471
2015-04-29,38.21,38.29,37.46,37.46,5940200,35.96721
2015-04-28,38.45,38.61,38.34,38.38,3671300,36.85055
2015-04-27,38.20,38.55,38.20,38.45,3820000,36.91776
2015-04-24,38.11,38.27,38.00,38.07,11900800,36.55291
2015-04-23,38.08,38.16,37.61,37.84,4922200,36.33207
2015-04-22,38.46,38.51,37.93,38.11,4931800,36.59131
2015-04-21,38.48,38.69,38.46,38.58,2641000,37.04258
2015-04-20,38.49,38.49,38.23,38.33,3761000,36.80255
2015-04-17,39.22,39.36,38.63,38.72,3425000,37.177
2015-04-16,39.35,39.45,39.10,39.31,2667400,37.74349
2015-04-15,39.50,39.50,38.78,39.03,5630000,37.47465
2015-04-14,39.35,39.67,39.32,39.43,3399200,37.85871
2015-04-13,39.69,39.71,39.45,39.57,2160100,37.99313
2015-04-10,39.43,39.52,39.24,39.52,1982800,37.94512
2015-04-09,39.50,39.54,39.17,39.38,2675800,37.8107
2015-04-08,39.46,39.665,39.28,39.45,3446300,37.87791
2015-04-07,39.15,39.62,38.94,39.33,6790300,37.7627
2015-04-06,38.69,38.69,38.69,38.69,000,37.1482
2015-04-03,38.69,38.69,38.69,38.69,000,37.1482
2015-04-02,38.58,38.88,38.53,38.69,3117900,37.1482
2015-04-01,38.42,38.69,38.18,38.43,4825100,36.89856
2015-03-31,38.59,38.75,38.52,38.55,4380000,37.01378
2015-03-30,38.46,38.59,38.26,38.32,4136800,36.79294
2015-03-27,38.65,38.93,38.64,38.83,15343300,37.28262
2015-03-26,38.98,39.05,38.65,38.65,4426200,37.10979
2015-03-25,38.90,39.31,38.85,39.30,4057800,37.73389
2015-03-24,39.11,39.15,38.78,38.95,3540700,37.39784
2015-03-23,39.40,39.58,39.17,39.18,2409700,37.61867
2015-03-20,39.07,39.57,38.97,39.39,6412400,37.8203
2015-03-19,38.71,39.25,38.58,39.24,7868500,37.67628
2015-03-18,38.33,38.47,38.00,38.38,4051100,36.85055
2015-03-17,38.30,38.56,38.27,38.42,4068600,36.88896
2015-03-16,37.67,38.05,37.63,37.94,3542300,36.42809
2015-03-13,37.85,38.15,37.63,37.74,2716000,36.23606
2015-03-12,37.42,38.10,37.42,38.00,3416800,36.4857
2015-03-11,37.50,37.68,37.25,37.56,3317900,36.06323
2015-03-10,37.79,38.05,37.62,37.76,3049900,36.25526
2015-03-09,37.66,37.87,37.50,37.63,3543700,36.13044
2015-03-06,37.96,38.20,37.76,37.97,2511800,36.45689
2015-03-05,37.95,38.24,37.86,38.10,3711000,36.58171
2015-03-04,38.43,38.44,37.94,38.09,2697000,36.57211
2015-03-03,38.37,38.80,38.06,38.29,4265200,36.76414
2015-03-02,37.94,38.42,37.92,38.32,4067800,36.79294
2015-02-27,37.79,38.00,37.36,37.90,11101300,36.38968
2015-02-26,37.65,37.75,37.47,37.62,3000300,36.12084
2015-02-25,37.68,37.90,37.52,37.78,3145900,36.27446
2015-02-24,37.70,37.94,37.32,37.58,5119400,36.08243
2015-02-23,37.58,37.84,37.38,37.67,2650800,36.16884
2015-02-20,37.75,37.80,37.37,37.48,2424000,35.98642
2015-02-19,37.85,38.02,37.50,37.71,3146800,36.20725
2015-02-18,37.59,37.79,37.24,37.76,3719000,36.25526
2015-02-17,37.25,37.79,37.10,37.56,3215500,36.06323
2015-02-16,37.37,37.59,37.01,37.50,2694700,36.00562
2015-02-13,36.95,37.67,36.85,37.48,5606800,35.98642
2015-02-12,37.25,37.25,36.62,36.71,5827500,35.2471
2015-02-11,37.18,37.38,36.78,37.06,3058600,35.58316
2015-02-10,37.05,37.10,36.67,37.03,3051800,35.55435
2015-02-09,37.00,37.29,36.78,37.20,4478200,35.71758
2015-02-06,37.41,37.44,36.84,37.21,7132200,35.72718
2015-02-05,36.26,37.03,36.09,36.97,7117900,35.49674
2015-02-04,36.70,36.75,36.27,36.50,6693600,35.04547
2015-02-03,35.74,36.29,35.72,36.23,7104100,34.78623
2015-02-02,35.63,35.70,35.42,35.65,4575200,34.22934
2015-01-30,35.70,35.78,35.62,35.63,13993100,34.21014
2015-01-29,35.08,35.61,35.07,35.50,6513100,34.08532
2015-01-28,35.00,35.30,34.82,35.20,6739100,33.79728
2015-01-27,34.89,35.20,34.74,35.15,6012900,33.74927
2015-01-26,34.77,34.77,34.77,34.77,000,33.38441
2015-01-23,34.68,34.80,34.54,34.77,6405600,33.38441
2015-01-22,34.20,34.44,34.18,34.33,5821600,32.96195
2015-01-21,33.80,34.08,33.73,34.08,6852200,32.72191
2015-01-20,33.30,33.64,33.29,33.56,4336900,32.22263
2015-01-19,33.70,33.73,33.24,33.32,3505800,31.99219
2015-01-16,33.23,33.47,33.10,33.37,3955800,32.0402
2015-01-15,33.55,33.60,33.25,33.52,6096400,32.18422
2015-01-14,33.79,34.05,33.62,33.71,5456000,32.36665
2015-01-13,33.70,33.85,33.53,33.81,3377400,32.46267
2015-01-12,34.05,34.18,33.82,33.92,2884500,32.56828
2015-01-09,33.85,34.27,33.84,34.23,7433900,32.86593
2015-01-08,33.62,33.79,33.31,33.72,4367100,32.37626
