date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.50,1.56,1.50,1.55,4209200,1.55
2015-06-29,1.55,1.55,1.487,1.505,11449400,1.505
2015-06-26,1.54,1.55,1.51,1.545,5154100,1.545
2015-06-25,1.595,1.595,1.54,1.555,3023400,1.555
2015-06-24,1.59,1.60,1.56,1.57,3391400,1.57
2015-06-23,1.58,1.61,1.572,1.605,4839300,1.605
2015-06-22,1.585,1.595,1.56,1.57,5903900,1.57
2015-06-19,1.60,1.605,1.565,1.60,6760300,1.60
2015-06-18,1.60,1.6025,1.56,1.57,6829000,1.57
2015-06-17,1.65,1.68,1.605,1.615,6638100,1.615
2015-06-16,1.69,1.695,1.66,1.665,4778900,1.665
2015-06-15,1.71,1.71,1.685,1.70,8427600,1.70
2015-06-12,1.70,1.715,1.665,1.70,5817900,1.70
2015-06-11,1.715,1.74,1.695,1.705,10116900,1.705
2015-06-10,1.70,1.71,1.66,1.70,21538000,1.70
2015-06-09,1.70,1.72,1.555,1.665,20203600,1.665
2015-06-08,1.985,1.985,1.985,1.985,000,1.985
2015-06-05,1.995,2.01,1.96,1.985,1297600,1.985
2015-06-04,2.03,2.03,1.98,1.99,1959500,1.99
2015-06-03,2.07,2.08,2.00,2.02,2394600,2.02
2015-06-02,2.12,2.12,2.06,2.06,3421900,2.06
2015-06-01,2.13,2.13,2.05,2.09,1776400,2.09
2015-05-29,2.10,2.155,2.09,2.15,5575200,2.15
2015-05-28,2.14,2.14,2.08,2.10,913100,2.10
2015-05-27,2.13,2.16,2.12,2.13,1426400,2.13
2015-05-26,2.14,2.15,2.125,2.15,664400,2.15
2015-05-25,2.14,2.17,2.13,2.15,892800,2.15
2015-05-22,2.13,2.15,2.13,2.15,1421300,2.15
2015-05-21,2.13,2.145,2.10,2.11,1982500,2.11
2015-05-20,2.12,2.17,2.105,2.13,2391400,2.13
2015-05-19,2.12,2.15,2.115,2.12,3665700,2.12
2015-05-18,2.13,2.17,2.115,2.12,4443800,2.12
2015-05-15,2.15,2.15,2.11,2.12,2858800,2.12
2015-05-14,2.15,2.15,2.09,2.10,4231900,2.10
2015-05-13,2.20,2.23,2.16,2.17,3742600,2.17
2015-05-12,2.22,2.23,2.185,2.20,6141900,2.20
2015-05-11,2.28,2.29,2.22,2.24,3026200,2.24
2015-05-08,2.27,2.29,2.265,2.27,5924800,2.27
2015-05-07,2.21,2.33,2.21,2.30,3155500,2.30
2015-05-06,2.31,2.34,2.28,2.28,5242800,2.28
2015-05-05,2.35,2.36,2.31,2.32,1546500,2.32
2015-05-04,2.35,2.36,2.31,2.32,1058800,2.32
2015-05-01,2.32,2.34,2.30,2.32,1198800,2.32
2015-04-30,2.29,2.33,2.275,2.32,1158200,2.32
2015-04-29,2.32,2.35,2.29,2.31,1419200,2.31
2015-04-28,2.35,2.35,2.32,2.32,3724500,2.32
2015-04-27,2.30,2.35,2.295,2.34,1713900,2.34
2015-04-24,2.26,2.30,2.25,2.29,1786000,2.29
2015-04-23,2.26,2.28,2.24,2.25,1312900,2.25
2015-04-22,2.28,2.29,2.27,2.27,1635000,2.27
2015-04-21,2.27,2.29,2.25,2.28,4307100,2.28
2015-04-20,2.30,2.30,2.24,2.25,2687400,2.25
2015-04-17,2.25,2.29,2.25,2.27,6280400,2.27
2015-04-16,2.35,2.36,2.22,2.23,4581000,2.23
2015-04-15,2.16,2.16,2.14,2.15,1917800,2.15
2015-04-14,2.14,2.16,2.12,2.15,943900,2.15
2015-04-13,2.16,2.20,2.13,2.15,741400,2.15
2015-04-10,2.15,2.15,2.14,2.15,534000,2.15
2015-04-09,2.15,2.16,2.12,2.15,3804200,2.15
2015-04-08,2.11,2.16,2.10,2.15,916300,2.15
2015-04-07,2.14,2.16,2.11,2.12,1309400,2.12
2015-04-06,2.13,2.13,2.13,2.13,000,2.13
2015-04-03,2.13,2.13,2.13,2.13,000,2.13
2015-04-02,2.09,2.155,2.08,2.13,791900,2.13
2015-04-01,2.07,2.13,2.07,2.08,8462000,2.08
2015-03-31,2.11,2.13,2.09,2.11,2054800,2.11
2015-03-30,2.13,2.21,2.055,2.06,1740900,2.06
2015-03-27,2.11,2.13,2.08,2.10,1026000,2.10
2015-03-26,2.14,2.155,2.11,2.12,1296000,2.12
2015-03-25,2.14,2.29,2.12,2.14,2497300,2.14
2015-03-24,2.13,2.14,2.12,2.12,1205100,2.12
2015-03-23,2.14,2.14,2.12,2.14,2525300,2.14
2015-03-20,2.15,2.17,2.14,2.14,12423700,2.14
2015-03-19,2.11,2.15,2.08,2.12,2802700,2.12
2015-03-18,2.07,2.09,2.06,2.08,1644400,2.08
2015-03-17,2.10,2.10,2.06,2.07,8855100,2.07
2015-03-16,2.03,2.08,2.02,2.06,1081500,2.06
2015-03-13,2.08,2.08,2.035,2.05,3562200,2.05
2015-03-12,2.07,2.08,2.04,2.07,5357200,2.07
2015-03-11,2.07,2.095,2.05,2.08,4586700,2.08
2015-03-10,2.09,2.09,2.05,2.07,1620300,2.07
2015-03-09,2.08,2.11,2.06,2.07,22456600,2.07
2015-03-06,2.07,2.11,2.07,2.08,11606400,2.08
2015-03-05,2.10,2.11,2.09,2.10,1259800,2.058
2015-03-04,2.12,2.135,2.09,2.11,3714800,2.0678
2015-03-03,2.10,2.13,2.08,2.11,3332100,2.0678
2015-03-02,2.08,2.105,2.075,2.10,5012500,2.058
2015-02-27,2.04,2.06,1.99,2.05,9935800,2.009
2015-02-26,2.10,2.15,2.005,2.03,11379200,1.9894
2015-02-25,1.885,1.885,1.832,1.855,2572600,1.8179
2015-02-24,1.86,1.90,1.845,1.88,929300,1.8424
2015-02-23,1.855,1.88,1.85,1.855,318500,1.8179
2015-02-20,1.85,1.865,1.835,1.855,1346700,1.8179
2015-02-19,1.86,1.86,1.82,1.85,1249200,1.813
2015-02-18,1.865,1.87,1.84,1.86,1273200,1.8228
2015-02-17,1.855,1.87,1.85,1.855,1466200,1.8179
2015-02-16,1.855,1.875,1.83,1.855,1391000,1.8179
2015-02-13,1.90,1.90,1.84,1.86,1194500,1.8228
2015-02-12,1.905,1.905,1.795,1.82,4818100,1.7836
2015-02-11,1.90,1.905,1.885,1.89,4012600,1.8522
2015-02-10,1.84,1.895,1.83,1.885,3171700,1.8473
2015-02-09,1.795,1.83,1.76,1.83,2495000,1.7934
2015-02-06,1.81,1.81,1.75,1.80,1932900,1.764
2015-02-05,1.76,1.7875,1.76,1.785,1561600,1.7493
2015-02-04,1.765,1.77,1.73,1.76,1578800,1.7248
2015-02-03,1.73,1.765,1.72,1.745,1467200,1.7101
2015-02-02,1.74,1.76,1.72,1.735,1586800,1.7003
2015-01-30,1.67,1.77,1.655,1.77,8256200,1.7346
2015-01-29,1.645,1.675,1.645,1.66,1939700,1.6268
2015-01-28,1.64,1.662,1.62,1.66,1855800,1.6268
2015-01-27,1.68,1.68,1.645,1.66,1379000,1.6268
2015-01-26,1.68,1.68,1.68,1.68,000,1.6464
2015-01-23,1.685,1.70,1.675,1.68,823000,1.6464
2015-01-22,1.67,1.69,1.645,1.68,3259800,1.6464
2015-01-21,1.65,1.67,1.645,1.66,2027200,1.6268
2015-01-20,1.69,1.70,1.63,1.64,3599500,1.6072
2015-01-19,1.715,1.725,1.685,1.685,2797200,1.6513
2015-01-16,1.67,1.705,1.66,1.70,3429900,1.666
2015-01-15,1.735,1.74,1.682,1.72,3119000,1.6856
2015-01-14,1.78,1.785,1.735,1.735,2221300,1.7003
2015-01-13,1.755,1.83,1.755,1.80,1220800,1.764
2015-01-12,1.82,1.83,1.805,1.805,846900,1.7689
