date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.34,2.35,2.17,2.21,4663600,2.21
2015-06-29,2.27,2.365,2.25,2.33,5571700,2.33
2015-06-26,2.24,2.27,2.205,2.21,2670800,2.21
2015-06-25,2.27,2.29,2.23,2.27,3344000,2.27
2015-06-24,2.31,2.375,2.24,2.25,4137900,2.25
2015-06-23,2.34,2.37,2.32,2.37,4408400,2.37
2015-06-22,2.30,2.35,2.27,2.32,3503100,2.32
2015-06-19,2.33,2.35,2.21,2.28,16766300,2.28
2015-06-18,2.26,2.32,2.25,2.31,5119900,2.31
2015-06-17,2.21,2.24,2.18,2.22,3672800,2.22
2015-06-16,2.12,2.22,2.115,2.21,4397600,2.21
2015-06-15,2.11,2.12,2.04,2.07,4991800,2.07
2015-06-12,2.18,2.19,2.15,2.16,1801100,2.16
2015-06-11,2.26,2.275,2.17,2.19,3412800,2.19
2015-06-10,2.24,2.29,2.22,2.24,2701400,2.24
2015-06-09,2.21,2.26,2.21,2.25,2416300,2.25
2015-06-08,2.20,2.20,2.20,2.20,000,2.20
2015-06-05,2.18,2.25,2.16,2.20,1810900,2.20
2015-06-04,2.33,2.35,2.18,2.22,3066900,2.22
2015-06-03,2.41,2.42,2.32,2.37,2771800,2.37
2015-06-02,2.37,2.40,2.36,2.40,2452800,2.40
2015-06-01,2.32,2.37,2.31,2.34,1599900,2.34
2015-05-29,2.33,2.39,2.325,2.36,2342000,2.36
2015-05-28,2.39,2.39,2.27,2.30,2743900,2.30
2015-05-27,2.22,2.37,2.17,2.37,5404200,2.37
2015-05-26,2.22,2.26,2.21,2.26,1897300,2.26
2015-05-25,2.16,2.23,2.15,2.22,2244300,2.22
2015-05-22,2.15,2.18,2.14,2.16,2691000,2.16
2015-05-21,2.15,2.16,2.12,2.13,1668400,2.13
2015-05-20,2.12,2.16,2.105,2.13,2618200,2.13
2015-05-19,2.16,2.17,2.13,2.15,1554600,2.15
2015-05-18,2.16,2.19,2.15,2.16,1407500,2.16
2015-05-15,2.17,2.20,2.11,2.12,2860400,2.12
2015-05-14,2.18,2.19,2.12,2.16,3149300,2.16
2015-05-13,2.08,2.13,2.07,2.12,2124500,2.12
2015-05-12,2.02,2.09,2.01,2.07,2414900,2.07
2015-05-11,2.07,2.075,2.015,2.02,3318100,2.02
2015-05-08,2.03,2.13,2.03,2.09,2410600,2.09
2015-05-07,2.05,2.08,2.02,2.05,2811500,2.05
2015-05-06,2.13,2.15,2.07,2.07,4829200,2.07
2015-05-05,2.22,2.24,2.12,2.16,3956700,2.16
2015-05-04,2.14,2.23,2.14,2.22,3092800,2.22
2015-05-01,2.16,2.16,2.12,2.15,3440900,2.15
2015-04-30,2.22,2.23,2.20,2.21,3613200,2.21
2015-04-29,2.23,2.30,2.21,2.28,5922000,2.28
2015-04-28,2.17,2.22,2.15,2.20,5265500,2.20
2015-04-27,2.17,2.17,2.06,2.09,4438500,2.09
2015-04-24,2.26,2.29,2.22,2.23,2544100,2.23
2015-04-23,2.27,2.34,2.22,2.24,3683800,2.24
2015-04-22,2.27,2.39,2.26,2.38,3743000,2.38
2015-04-21,2.27,2.30,2.23,2.28,4347000,2.28
2015-04-20,2.23,2.28,2.20,2.28,2939100,2.28
2015-04-17,2.26,2.28,2.20,2.20,4902300,2.20
2015-04-16,2.32,2.34,2.25,2.31,3684400,2.31
2015-04-15,2.28,2.31,2.25,2.25,3350900,2.25
2015-04-14,2.27,2.31,2.24,2.27,1996600,2.27
2015-04-13,2.34,2.36,2.26,2.27,1454600,2.27
2015-04-10,2.25,2.315,2.22,2.29,2679500,2.29
2015-04-09,2.31,2.32,2.26,2.27,2050600,2.27
2015-04-08,2.36,2.375,2.31,2.35,3237000,2.35
2015-04-07,2.44,2.47,2.38,2.40,2540500,2.40
2015-04-06,2.35,2.35,2.35,2.35,000,2.35
2015-04-03,2.35,2.35,2.35,2.35,000,2.35
2015-04-02,2.26,2.35,2.26,2.35,4010200,2.35
2015-04-01,2.24,2.25,2.16,2.17,4572900,2.17
2015-03-31,2.26,2.30,2.23,2.30,3164700,2.30
2015-03-30,2.29,2.30,2.23,2.26,3474000,2.26
2015-03-27,2.41,2.41,2.31,2.32,4449600,2.32
2015-03-26,2.48,2.49,2.405,2.42,5308300,2.39143
2015-03-25,2.51,2.56,2.51,2.52,2867700,2.49025
2015-03-24,2.49,2.56,2.49,2.52,3140000,2.49025
2015-03-23,2.42,2.495,2.42,2.47,3296300,2.44084
2015-03-20,2.38,2.43,2.38,2.38,55908200,2.3519
2015-03-19,2.43,2.45,2.35,2.36,6906900,2.33214
2015-03-18,2.24,2.35,2.23,2.32,7624500,2.29261
2015-03-17,2.20,2.25,2.195,2.24,6843500,2.21355
2015-03-16,2.24,2.27,2.19,2.22,4886300,2.19379
2015-03-13,2.12,2.22,2.10,2.19,2685300,2.16414
2015-03-12,2.14,2.16,2.095,2.15,3586200,2.12462
2015-03-11,2.03,2.17,2.00,2.12,5208000,2.09497
2015-03-10,2.08,2.08,2.03,2.07,3472500,2.04556
2015-03-09,2.08,2.12,2.06,2.07,3714800,2.04556
2015-03-06,2.23,2.27,2.17,2.20,2924100,2.17403
2015-03-05,2.18,2.28,2.14,2.27,4433800,2.2432
2015-03-04,2.25,2.28,2.17,2.23,5595300,2.20367
2015-03-03,2.39,2.39,2.22,2.24,4973100,2.21355
2015-03-02,2.38,2.43,2.31,2.40,4068400,2.37167
2015-02-27,2.29,2.38,2.27,2.36,5170400,2.33214
2015-02-26,2.19,2.30,2.19,2.29,4792100,2.26296
2015-02-25,2.12,2.20,2.10,2.20,4619600,2.17403
2015-02-24,2.05,2.12,2.05,2.11,2725900,2.08509
2015-02-23,2.06,2.09,2.02,2.08,2970200,2.05544
2015-02-20,2.06,2.10,2.03,2.07,4438700,2.04556
2015-02-19,2.03,2.10,2.02,2.10,5808700,2.07521
2015-02-18,2.00,2.04,1.97,1.985,4491400,1.96156
2015-02-17,2.07,2.08,2.02,2.05,3851500,2.0258
2015-02-16,2.00,2.075,1.99,2.06,5493100,2.03568
2015-02-13,1.93,1.995,1.92,1.97,4934800,1.94674
2015-02-12,1.84,1.945,1.83,1.915,5137200,1.89239
2015-02-11,1.94,1.945,1.87,1.875,4575000,1.85286
2015-02-10,1.93,1.97,1.93,1.96,2685200,1.93686
2015-02-09,1.87,1.93,1.855,1.91,4424600,1.88745
2015-02-06,1.965,2.00,1.94,1.98,4953000,1.95662
2015-02-05,1.925,2.02,1.925,1.97,6535100,1.94674
2015-02-04,1.855,1.902,1.825,1.90,5714500,1.87757
2015-02-03,1.855,1.92,1.82,1.895,5440700,1.87263
2015-02-02,1.88,1.89,1.84,1.865,6733900,1.84298
2015-01-30,1.85,1.86,1.79,1.795,12990300,1.77381
2015-01-29,1.94,1.99,1.92,1.95,6513700,1.92698
2015-01-28,1.965,2.05,1.96,2.01,7366200,1.98627
2015-01-27,2.05,2.06,1.925,1.935,8929900,1.91215
2015-01-26,2.10,2.10,2.10,2.10,000,2.07521
2015-01-23,2.10,2.12,2.06,2.10,5136000,2.07521
2015-01-22,2.17,2.18,1.975,2.02,8138600,1.99615
2015-01-21,2.09,2.17,2.08,2.16,9124800,2.1345
2015-01-20,1.91,2.03,1.89,2.02,8228000,1.99615
2015-01-19,2.03,2.07,1.88,1.885,10526600,1.86275
2015-01-16,1.95,2.00,1.95,1.975,9832400,1.95168
2015-01-15,1.84,1.87,1.815,1.85,7645400,1.82816
2015-01-14,1.78,1.855,1.76,1.82,8110100,1.79851
2015-01-13,1.77,1.815,1.77,1.81,6466400,1.78863
2015-01-12,1.735,1.77,1.72,1.72,5904800,1.69969
2015-01-09,1.645,1.72,1.635,1.70,3889400,1.67993
2015-01-08,1.70,1.70,1.625,1.65,5438900,1.63052
2015-01-07,1.715,1.7625,1.70,1.71,6992000,1.68981
2015-01-06,1.615,1.70,1.615,1.67,6085500,1.65028
2015-01-05,1.53,1.59,1.515,1.58,4073400,1.56135
2015-01-02,1.465,1.52,1.465,1.51,1814100,1.49217
2015-01-01,1.49,1.49,1.49,1.49,000,1.47241
2014-12-31,1.515,1.535,1.48,1.49,2600800,1.47241
2014-12-30,1.48,1.52,1.45,1.495,2467100,1.47735
2014-12-29,1.455,1.525,1.455,1.505,3770300,1.48723
2014-12-26,1.39,1.39,1.39,1.39,000,1.37359
2014-12-25,1.39,1.39,1.39,1.39,000,1.37359
2014-12-24,1.43,1.445,1.375,1.39,2773100,1.37359
2014-12-23,1.465,1.485,1.42,1.465,4490300,1.4477
2014-12-22,1.36,1.58,1.36,1.58,24475200,1.56135
2014-12-19,1.30,1.35,1.295,1.35,17762700,1.33406
2014-12-18,1.225,1.27,1.225,1.27,5875800,1.25501
2014-12-17,1.13,1.205,1.13,1.19,3082700,1.17595
2014-12-16,1.10,1.175,1.085,1.175,4287200,1.16113
2014-12-15,1.18,1.195,1.16,1.175,5970400,1.16113
2014-12-12,1.26,1.275,1.23,1.245,3031700,1.2303
2014-12-11,1.225,1.28,1.21,1.26,4951300,1.24512
2014-12-10,1.27,1.33,1.235,1.26,7262000,1.24512
2014-12-09,1.165,1.177,1.155,1.17,2893800,1.15619
2014-12-08,1.11,1.16,1.105,1.15,2552100,1.13642
2014-12-05,1.13,1.15,1.107,1.15,3694500,1.13642
2014-12-04,1.11,1.145,1.077,1.13,4402500,1.11666
2014-12-03,1.07,1.10,0.99,1.07,6165800,1.05737
2014-12-02,1.115,1.15,1.065,1.065,9115400,1.05243
2014-12-01,1.115,1.115,0.96,0.965,9149800,0.95361
2014-11-28,1.20,1.20,1.165,1.175,2125900,1.16113
2014-11-27,1.25,1.2525,1.21,1.225,1920500,1.21054
2014-11-26,1.255,1.28,1.245,1.26,4186900,1.24512
2014-11-25,1.215,1.24,1.195,1.24,2693700,1.22536
2014-11-24,1.245,1.26,1.22,1.22,3871600,1.2056
2014-11-21,1.18,1.215,1.18,1.19,3701900,1.17595
2014-11-20,1.18,1.185,1.155,1.165,3563200,1.15125
2014-11-19,1.21,1.265,1.205,1.235,7369400,1.22042
2014-11-18,1.17,1.19,1.15,1.16,4523000,1.1463
2014-11-17,1.13,1.17,1.12,1.155,7236900,1.14136
2014-11-14,1.055,1.095,1.05,1.08,3865400,1.06725
2014-11-13,1.055,1.055,1.035,1.045,3421700,1.03266
2014-11-12,1.05,1.06,1.03,1.05,5456700,1.0376
2014-11-11,1.025,1.04,1.00,1.00,5450200,0.98819
2014-11-10,1.05,1.082,1.027,1.08,7360100,1.06725
2014-11-07,0.94,0.98,0.94,0.97,5816900,0.95855
2014-11-06,0.935,0.965,0.915,0.93,7259600,0.91902
2014-11-05,1.005,1.02,0.995,0.995,4403900,0.98325
2014-11-04,0.995,1.03,0.995,1.005,5357000,0.99313
2014-11-03,1.06,1.06,0.985,1.00,10835100,0.98819
2014-10-31,1.10,1.14,1.09,1.10,6359700,1.08701
2014-10-30,1.135,1.165,1.115,1.16,7842200,1.1463
2014-10-29,1.175,1.205,1.165,1.17,4200300,1.15619
2014-10-28,1.21,1.21,1.137,1.165,8930100,1.15125
2014-10-27,1.225,1.24,1.192,1.22,4538100,1.2056
2014-10-24,1.335,1.335,1.222,1.235,9835200,1.22042
2014-10-23,1.34,1.38,1.31,1.34,6102500,1.32418
2014-10-22,1.28,1.375,1.272,1.375,7849700,1.35877
2014-10-21,1.25,1.29,1.25,1.28,5920900,1.26489
2014-10-20,1.245,1.245,1.21,1.23,4276400,1.21548
2014-10-17,1.205,1.235,1.19,1.23,4559800,1.21548
2014-10-16,1.23,1.235,1.19,1.205,4693000,1.19077
2014-10-15,1.24,1.24,1.185,1.22,4044200,1.2056
2014-10-14,1.25,1.265,1.23,1.24,7720200,1.22536
2014-10-13,1.235,1.265,1.215,1.24,7572800,1.22536
2014-10-10,1.21,1.235,1.205,1.21,5095800,1.19571
2014-10-09,1.20,1.2625,1.20,1.245,7973200,1.2303
2014-10-08,1.19,1.19,1.16,1.16,4516200,1.1463
2014-10-07,1.175,1.205,1.165,1.205,9468800,1.19077
2014-10-06,1.215,1.215,1.12,1.125,7775000,1.11172
2014-10-03,1.30,1.305,1.26,1.27,4245200,1.25501
2014-10-02,1.27,1.315,1.267,1.30,6422100,1.28465
2014-10-01,1.255,1.29,1.24,1.27,5273900,1.25501
2014-09-30,1.30,1.31,1.237,1.245,5962900,1.2303
2014-09-29,1.325,1.33,1.285,1.31,5964300,1.29453
2014-09-26,1.30,1.3475,1.29,1.34,8918700,1.32418
2014-09-25,1.27,1.285,1.25,1.28,5940000,1.26489
2014-09-24,1.24,1.28,1.235,1.265,5310700,1.25007
2014-09-23,1.25,1.285,1.215,1.225,9556100,1.21054
2014-09-22,1.275,1.275,1.192,1.255,13076600,1.24018
2014-09-19,1.35,1.38,1.26,1.26,33707600,1.24512
2014-09-18,1.39,1.40,1.315,1.325,9247900,1.30936
2014-09-17,1.435,1.445,1.42,1.44,3671200,1.423
