date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,7.25,7.32,7.16,7.23,729100,7.23
2015-06-29,7.40,7.45,7.31,7.37,487300,7.37
2015-06-26,7.55,7.60,7.40,7.58,849900,7.58
2015-06-25,7.88,7.88,7.64,7.67,280500,7.67
2015-06-24,7.90,7.96,7.84,7.88,559400,7.88
2015-06-23,7.79,7.93,7.77,7.87,453600,7.87
2015-06-22,7.77,7.78,7.64,7.73,183100,7.73
2015-06-19,7.67,7.80,7.67,7.76,810300,7.76
2015-06-18,7.52,7.72,7.52,7.63,1629100,7.63
2015-06-17,7.78,7.815,7.50,7.53,1173000,7.53
2015-06-16,7.70,7.81,7.63,7.75,516900,7.75
2015-06-15,7.80,7.90,7.72,7.80,751800,7.80
2015-06-12,7.99,8.01,7.80,7.90,1430900,7.90
2015-06-11,7.92,8.06,7.91,8.05,872200,8.05
2015-06-10,7.95,7.95,7.78,7.87,666000,7.87
2015-06-09,7.58,7.95,7.58,7.81,834800,7.81
2015-06-08,7.68,7.68,7.68,7.68,000,7.68
2015-06-05,7.65,7.78,7.56,7.68,589100,7.68
2015-06-04,7.68,7.74,7.61,7.68,636200,7.68
2015-06-03,7.60,7.69,7.53,7.65,686600,7.65
2015-06-02,7.93,7.95,7.66,7.68,689500,7.68
2015-06-01,7.75,7.94,7.73,7.85,844700,7.85
2015-05-29,7.85,7.90,7.74,7.75,962600,7.75
2015-05-28,7.70,7.86,7.63,7.84,1119000,7.84
2015-05-27,7.74,7.87,7.63,7.68,839800,7.68
2015-05-26,7.90,7.95,7.74,7.78,454000,7.78
2015-05-25,7.64,7.88,7.64,7.88,927200,7.88
2015-05-22,7.64,7.65,7.58,7.64,800900,7.64
2015-05-21,7.58,7.63,7.45,7.60,1680000,7.60
2015-05-20,7.38,7.49,7.36,7.47,1013200,7.47
2015-05-19,7.42,7.47,7.29,7.40,1131400,7.40
2015-05-18,7.50,7.59,7.35,7.40,1256500,7.40
2015-05-15,7.45,7.45,7.34,7.40,735000,7.40
2015-05-14,7.28,7.36,7.26,7.30,630500,7.30
2015-05-13,7.53,7.53,7.35,7.38,1359200,7.38
2015-05-12,7.28,7.50,7.28,7.50,1262100,7.50
2015-05-11,7.40,7.47,7.30,7.30,581800,7.30
2015-05-08,7.33,7.48,7.32,7.43,1092900,7.43
2015-05-07,7.05,7.39,6.96,7.32,1413700,7.32
2015-05-06,7.53,7.56,7.37,7.42,826400,7.42
2015-05-05,7.74,7.78,7.52,7.59,1601400,7.59
2015-05-04,7.50,7.79,7.49,7.70,1031000,7.70
2015-05-01,7.25,7.46,7.19,7.43,1552400,7.43
2015-04-30,7.02,7.33,7.02,7.29,1366500,7.29
2015-04-29,6.91,7.18,6.91,7.16,1271700,7.16
2015-04-28,7.17,7.175,6.97,7.00,1728000,7.00
2015-04-27,7.00,7.18,6.98,7.17,1158400,7.17
2015-04-24,6.91,7.00,6.73,6.95,1344600,6.95
2015-04-23,6.50,6.85,6.50,6.83,2260000,6.83
2015-04-22,6.44,6.49,6.36,6.48,789900,6.48
2015-04-21,6.20,6.46,6.195,6.44,516000,6.44
2015-04-20,6.40,6.40,6.22,6.23,683900,6.23
2015-04-17,6.63,6.67,6.43,6.44,685200,6.44
2015-04-16,6.56,6.64,6.49,6.62,506000,6.62
2015-04-15,6.58,6.59,6.47,6.53,922000,6.53
2015-04-14,6.56,6.62,6.51,6.60,460900,6.60
2015-04-13,6.70,6.72,6.58,6.59,294300,6.59
2015-04-10,6.62,6.70,6.60,6.70,928100,6.70
2015-04-09,6.69,6.78,6.59,6.61,778600,6.61
2015-04-08,6.54,6.69,6.54,6.68,715000,6.68
2015-04-07,6.59,6.64,6.52,6.58,745600,6.54
2015-04-06,6.59,6.59,6.59,6.59,000,6.54994
2015-04-03,6.59,6.59,6.59,6.59,000,6.54994
2015-04-02,6.54,6.62,6.54,6.59,372200,6.54994
2015-04-01,6.54,6.645,6.54,6.58,702600,6.54
2015-03-31,6.55,6.66,6.55,6.65,1343800,6.60957
2015-03-30,6.58,6.72,6.53,6.61,947300,6.56982
2015-03-27,6.65,6.72,6.53,6.70,1182400,6.65927
2015-03-26,6.63,6.66,6.31,6.62,2669400,6.57976
2015-03-25,7.00,7.00,6.73,6.76,1583400,6.71891
2015-03-24,6.99,7.03,6.85,6.94,1123700,6.89781
2015-03-23,7.17,7.22,7.02,7.03,745100,6.98726
2015-03-20,7.10,7.22,7.10,7.16,899400,7.11647
2015-03-19,7.18,7.235,7.15,7.17,1168200,7.12641
