date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.19,4.315,4.16,4.29,1248300,4.29
2015-06-29,4.17,4.28,4.14,4.25,832800,4.25
2015-06-26,4.28,4.34,4.14,4.26,995700,4.26
2015-06-25,4.36,4.37,4.28,4.28,1167800,4.28
2015-06-24,4.50,4.50,4.32,4.36,728700,4.36
2015-06-23,4.39,4.52,4.36,4.49,1068500,4.49
2015-06-22,4.35,4.38,4.26,4.31,711300,4.31
2015-06-19,4.41,4.46,4.33,4.36,1237500,4.36
2015-06-18,4.44,4.44,4.31,4.36,1259300,4.36
2015-06-17,4.48,4.57,4.455,4.53,489900,4.53
2015-06-16,4.48,4.55,4.45,4.45,638300,4.45
2015-06-15,4.56,4.57,4.50,4.50,401500,4.50
2015-06-12,4.66,4.66,4.54,4.54,332700,4.54
2015-06-11,4.52,4.71,4.52,4.65,601000,4.65
2015-06-10,4.48,4.52,4.45,4.50,381400,4.50
2015-06-09,4.48,4.53,4.43,4.44,432400,4.44
2015-06-08,4.54,4.54,4.54,4.54,000,4.54
2015-06-05,4.50,4.58,4.46,4.54,322200,4.54
2015-06-04,4.63,4.79,4.54,4.54,603700,4.54
2015-06-03,4.71,4.73,4.55,4.62,892000,4.62
2015-06-02,4.86,4.86,4.72,4.73,547700,4.73
2015-06-01,4.72,4.84,4.72,4.80,1164600,4.80
2015-05-29,4.81,4.88,4.74,4.74,1055600,4.74
2015-05-28,4.82,4.82,4.75,4.76,187900,4.76
2015-05-27,4.83,4.86,4.78,4.79,369900,4.79
2015-05-26,4.86,4.89,4.82,4.85,610400,4.85
2015-05-25,4.82,4.87,4.80,4.87,409100,4.87
2015-05-22,4.83,4.87,4.80,4.81,643300,4.81
2015-05-21,4.80,4.85,4.77,4.79,691900,4.79
2015-05-20,4.74,4.80,4.71,4.80,288600,4.80
2015-05-19,4.76,4.82,4.68,4.77,799900,4.77
2015-05-18,4.86,4.87,4.77,4.77,264500,4.77
2015-05-15,4.89,4.90,4.80,4.85,386300,4.85
2015-05-14,4.76,4.84,4.71,4.84,462100,4.84
2015-05-13,4.69,4.83,4.69,4.83,407900,4.83
2015-05-12,4.67,4.72,4.60,4.72,552000,4.72
2015-05-11,4.76,4.76,4.625,4.70,459600,4.70
2015-05-08,4.55,4.70,4.55,4.65,526400,4.65
2015-05-07,4.58,4.61,4.52,4.54,767900,4.54
2015-05-06,4.57,4.72,4.57,4.60,720800,4.60
2015-05-05,4.74,4.77,4.66,4.68,832800,4.68
2015-05-04,4.66,4.71,4.62,4.68,552300,4.68
2015-05-01,4.56,4.64,4.53,4.63,410200,4.63
2015-04-30,4.61,4.66,4.57,4.63,852700,4.63
2015-04-29,4.71,4.73,4.625,4.64,495200,4.64
2015-04-28,4.68,4.72,4.65,4.68,412700,4.68
2015-04-27,4.65,4.705,4.63,4.67,550000,4.67
2015-04-24,4.58,4.67,4.58,4.67,427000,4.67
2015-04-23,4.50,4.55,4.48,4.52,509900,4.52
2015-04-22,4.50,4.55,4.47,4.53,666400,4.53
2015-04-21,4.45,4.53,4.43,4.50,453000,4.50
2015-04-20,4.48,4.48,4.37,4.42,711800,4.42
2015-04-17,4.48,4.52,4.43,4.48,1170300,4.48
2015-04-16,4.52,4.54,4.45,4.49,1678400,4.49
2015-04-15,4.45,4.50,4.30,4.30,4999700,4.30
2015-04-14,4.54,4.56,4.48,4.48,473200,4.48
2015-04-13,4.61,4.63,4.52,4.54,578100,4.54
2015-04-10,4.57,4.63,4.57,4.60,396900,4.60
2015-04-09,4.51,4.61,4.50,4.54,595700,4.54
2015-04-08,4.45,4.56,4.45,4.50,630400,4.50
2015-04-07,4.54,4.58,4.47,4.47,1557200,4.47
2015-04-06,4.54,4.54,4.54,4.54,000,4.54
2015-04-03,4.54,4.54,4.54,4.54,000,4.54
2015-04-02,4.70,4.72,4.53,4.54,1774400,4.54
2015-04-01,4.85,4.89,4.69,4.69,2203700,4.69
2015-03-31,4.76,4.97,4.76,4.90,481300,4.90
2015-03-30,4.85,4.86,4.71,4.75,466300,4.75
2015-03-27,4.72,4.97,4.72,4.90,655900,4.90
2015-03-26,4.67,4.79,4.67,4.75,585300,4.75
2015-03-25,4.82,4.895,4.79,4.81,794700,4.81
2015-03-24,4.70,4.82,4.70,4.78,498700,4.78
2015-03-23,4.78,4.81,4.75,4.78,459900,4.78
2015-03-20,4.79,4.82,4.73,4.82,673200,4.82
2015-03-19,4.74,4.82,4.70,4.78,1007000,4.78
2015-03-18,4.61,4.69,4.60,4.69,571700,4.69
2015-03-17,4.55,4.65,4.55,4.64,550000,4.64
2015-03-16,4.63,4.63,4.51,4.52,860700,4.52
2015-03-13,4.63,4.69,4.60,4.64,427600,4.64
2015-03-12,4.56,4.68,4.56,4.64,511000,4.64
2015-03-11,4.60,4.63,4.56,4.57,617400,4.57
2015-03-10,4.71,4.72,4.62,4.65,717900,4.65
2015-03-09,4.70,4.73,4.65,4.71,630600,4.71
2015-03-06,4.71,4.74,4.66,4.73,692100,4.73
2015-03-05,4.69,4.74,4.67,4.70,941000,4.70
2015-03-04,4.69,4.72,4.60,4.70,726200,4.70
2015-03-03,4.55,4.63,4.51,4.60,1206500,4.60
2015-03-02,4.61,4.61,4.47,4.52,1340800,4.52
