date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.18,0.1875,0.18,0.185,683300,0.185
2015-06-29,0.18,0.185,0.18,0.185,650100,0.185
2015-06-26,0.185,0.19,0.18,0.18,587400,0.18
2015-06-25,0.18,0.19,0.175,0.185,1345600,0.185
2015-06-24,0.19,0.19,0.175,0.18,663600,0.18
2015-06-23,0.19,0.205,0.185,0.185,1337800,0.185
2015-06-22,0.185,0.19,0.185,0.185,400100,0.185
2015-06-19,0.185,0.19,0.18,0.18,1335400,0.18
2015-06-18,0.19,0.195,0.185,0.185,929800,0.185
2015-06-17,0.20,0.20,0.195,0.195,357800,0.195
2015-06-16,0.195,0.205,0.19,0.20,1068000,0.20
2015-06-15,0.20,0.20,0.19,0.19,995400,0.19
2015-06-12,0.19,0.205,0.19,0.195,894100,0.195
2015-06-11,0.185,0.195,0.185,0.19,556200,0.19
2015-06-10,0.185,0.195,0.185,0.185,878200,0.185
2015-06-09,0.195,0.195,0.185,0.185,1604000,0.185
2015-06-08,0.19,0.19,0.19,0.19,000,0.19
2015-06-05,0.19,0.195,0.19,0.19,282200,0.19
2015-06-04,0.20,0.20,0.185,0.19,1866900,0.19
2015-06-03,0.20,0.2025,0.195,0.195,1818800,0.195
2015-06-02,0.195,0.20,0.195,0.195,388900,0.195
2015-06-01,0.195,0.20,0.195,0.195,496300,0.195
2015-05-29,0.21,0.21,0.195,0.195,1337800,0.195
2015-05-28,0.205,0.21,0.205,0.205,468000,0.205
2015-05-27,0.205,0.215,0.20,0.20,619500,0.20
2015-05-26,0.19,0.215,0.19,0.205,2037800,0.205
2015-05-25,0.19,0.1975,0.185,0.185,1929900,0.185
2015-05-22,0.195,0.1975,0.185,0.185,2468400,0.185
2015-05-21,0.215,0.22,0.185,0.185,3610800,0.185
2015-05-20,0.225,0.23,0.205,0.215,903800,0.215
2015-05-19,0.24,0.24,0.22,0.22,970900,0.22
2015-05-18,0.26,0.26,0.23,0.23,569700,0.23
2015-05-15,0.245,0.275,0.235,0.255,1332000,0.255
2015-05-14,0.25,0.26,0.235,0.24,542800,0.24
2015-05-13,0.275,0.275,0.245,0.255,1437000,0.255
2015-05-12,0.27,0.275,0.262,0.265,1460100,0.265
2015-05-11,0.26,0.30,0.26,0.27,3092300,0.27
2015-05-08,0.24,0.255,0.235,0.255,2145600,0.255
2015-05-07,0.215,0.25,0.21,0.245,2292400,0.245
2015-05-06,0.205,0.22,0.205,0.205,1990700,0.205
2015-05-05,0.23,0.23,0.205,0.225,2003600,0.225
2015-05-04,0.225,0.225,0.225,0.225,000,0.225
2015-05-01,0.197,0.25,0.19,0.225,4117000,0.225
2015-04-30,0.19,0.205,0.19,0.19,1973500,0.19
2015-04-29,0.175,0.19,0.17,0.19,1528100,0.19
2015-04-28,0.19,0.195,0.17,0.175,1351000,0.175
2015-04-27,0.185,0.197,0.18,0.19,1512500,0.19
2015-04-24,0.19,0.20,0.18,0.18,2013600,0.18
2015-04-23,0.17,0.195,0.17,0.18,2013600,0.18
2015-04-22,0.16,0.17,0.155,0.17,824800,0.17
2015-04-21,0.17,0.175,0.16,0.16,817300,0.16
2015-04-20,0.185,0.185,0.165,0.17,2085400,0.17
2015-04-17,0.18,0.185,0.175,0.18,498800,0.18
2015-04-16,0.18,0.185,0.175,0.18,1055700,0.18
2015-04-15,0.19,0.19,0.18,0.18,415400,0.18
2015-04-14,0.195,0.20,0.18,0.18,1474600,0.18
2015-04-13,0.205,0.205,0.19,0.195,1696900,0.195
2015-04-10,0.20,0.205,0.195,0.20,588400,0.20
2015-04-09,0.19,0.202,0.19,0.20,518800,0.20
2015-04-08,0.185,0.202,0.185,0.19,1567600,0.19
2015-04-07,0.20,0.205,0.185,0.185,1728800,0.185
2015-04-06,0.20,0.20,0.20,0.20,000,0.20
2015-04-03,0.20,0.20,0.20,0.20,000,0.20
2015-04-02,0.19,0.205,0.19,0.20,992200,0.20
2015-04-01,0.20,0.202,0.185,0.19,1919200,0.19
2015-03-31,0.205,0.21,0.20,0.20,1059500,0.20
2015-03-30,0.215,0.215,0.205,0.205,686600,0.205
2015-03-27,0.205,0.215,0.20,0.215,573700,0.215
2015-03-26,0.205,0.21,0.195,0.20,722300,0.20
2015-03-25,0.21,0.215,0.20,0.205,1569300,0.205
2015-03-24,0.215,0.215,0.205,0.205,1217400,0.205
2015-03-23,0.20,0.215,0.20,0.215,444400,0.215
2015-03-20,0.195,0.205,0.185,0.205,3036400,0.205
2015-03-19,0.21,0.21,0.195,0.195,2027500,0.195
2015-03-18,0.22,0.22,0.202,0.205,3078500,0.205
2015-03-17,0.22,0.225,0.215,0.225,1142100,0.225
2015-03-16,0.23,0.23,0.215,0.225,1095500,0.225
2015-03-13,0.225,0.2275,0.22,0.225,712000,0.225
2015-03-12,0.225,0.23,0.215,0.22,1473100,0.22
2015-03-11,0.225,0.23,0.22,0.23,1131200,0.23
2015-03-10,0.225,0.245,0.225,0.235,858800,0.235
2015-03-09,0.25,0.25,0.215,0.225,3006000,0.225
2015-03-06,0.25,0.25,0.24,0.25,1256400,0.25
2015-03-05,0.25,0.25,0.24,0.245,1610200,0.245
2015-03-04,0.265,0.265,0.25,0.25,2655600,0.25
2015-03-03,0.27,0.275,0.26,0.26,1553200,0.26
2015-03-02,0.285,0.285,0.265,0.27,2385600,0.27
2015-02-27,0.27,0.28,0.26,0.27,3304200,0.27
2015-02-26,0.275,0.30,0.275,0.30,1402600,0.30
2015-02-25,0.28,0.285,0.26,0.275,2463400,0.275
2015-02-24,0.285,0.29,0.275,0.275,1539500,0.275
2015-02-23,0.285,0.295,0.285,0.285,1367500,0.285
2015-02-20,0.295,0.295,0.28,0.285,3049600,0.285
2015-02-19,0.28,0.30,0.275,0.295,2253900,0.295
2015-02-18,0.28,0.285,0.275,0.275,1473900,0.275
2015-02-17,0.285,0.29,0.28,0.28,1917000,0.28
2015-02-16,0.28,0.29,0.275,0.275,2116500,0.275
2015-02-13,0.275,0.285,0.27,0.275,3555900,0.275
2015-02-12,0.285,0.285,0.27,0.275,4795500,0.275
2015-02-11,0.29,0.29,0.28,0.28,892500,0.28
2015-02-10,0.28,0.29,0.275,0.285,1690000,0.285
2015-02-09,0.295,0.30,0.28,0.28,1264600,0.28
2015-02-06,0.295,0.305,0.29,0.295,1748400,0.295
2015-02-05,0.30,0.31,0.29,0.295,1800300,0.295
2015-02-04,0.29,0.31,0.285,0.30,2119100,0.30
2015-02-03,0.27,0.285,0.26,0.285,2081300,0.285
2015-02-02,0.285,0.285,0.265,0.27,1729400,0.27
2015-01-30,0.295,0.295,0.28,0.285,1153500,0.285
