date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.39,2.45,2.37,2.38,1333500,2.38
2015-06-29,2.45,2.46,2.30,2.39,273000,2.39
2015-06-26,2.33,2.37,2.31,2.36,252000,2.36
2015-06-25,2.38,2.42,2.33,2.33,230400,2.33
2015-06-24,2.33,2.38,2.31,2.38,519700,2.38
2015-06-23,2.23,2.34,2.23,2.32,481100,2.32
2015-06-22,2.24,2.32,2.23,2.26,329200,2.26
2015-06-19,2.15,2.27,2.15,2.27,401400,2.27
2015-06-18,2.27,2.285,2.16,2.19,324900,2.19
2015-06-17,2.26,2.32,2.22,2.27,296400,2.27
2015-06-16,2.25,2.27,2.23,2.25,271000,2.25
2015-06-15,2.30,2.33,2.25,2.25,233300,2.25
2015-06-12,2.29,2.31,2.27,2.31,255700,2.31
2015-06-11,2.30,2.35,2.29,2.29,146100,2.29
2015-06-10,2.30,2.33,2.29,2.29,825600,2.29
2015-06-09,2.30,2.35,2.29,2.31,204800,2.31
2015-06-08,2.36,2.36,2.36,2.36,000,2.36
2015-06-05,2.33,2.36,2.315,2.36,206300,2.36
2015-06-04,2.35,2.38,2.34,2.34,409700,2.34
2015-06-03,2.37,2.40,2.35,2.35,281000,2.35
2015-06-02,2.44,2.44,2.37,2.39,433900,2.39
2015-06-01,2.40,2.43,2.37,2.39,225900,2.39
2015-05-29,2.46,2.46,2.38,2.40,625300,2.40
2015-05-28,2.46,2.47,2.42,2.46,193700,2.46
2015-05-27,2.45,2.48,2.45,2.46,342400,2.46
2015-05-26,2.55,2.55,2.49,2.51,185600,2.51
2015-05-25,2.50,2.56,2.50,2.55,525800,2.55
2015-05-22,2.48,2.50,2.47,2.50,262700,2.50
2015-05-21,2.48,2.50,2.46,2.48,246000,2.48
2015-05-20,2.43,2.48,2.39,2.48,294500,2.48
2015-05-19,2.40,2.43,2.37,2.43,210300,2.43
2015-05-18,2.40,2.42,2.37,2.42,132900,2.42
2015-05-15,2.40,2.41,2.37,2.40,63000,2.40
2015-05-14,2.42,2.43,2.39,2.41,174500,2.41
2015-05-13,2.43,2.46,2.41,2.41,217100,2.41
2015-05-12,2.38,2.42,2.35,2.42,268000,2.42
2015-05-11,2.45,2.45,2.37,2.39,339700,2.39
2015-05-08,2.40,2.47,2.39,2.46,313600,2.46
