date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.15,2.25,2.13,2.22,1685900,2.22
2015-06-29,2.22,2.25,2.165,2.18,1079300,2.18
2015-06-26,2.16,2.24,2.15,2.24,1114500,2.24
2015-06-25,2.22,2.23,2.16,2.18,1542900,2.18
2015-06-24,2.30,2.30,2.21,2.23,1398100,2.23
2015-06-23,2.27,2.31,2.27,2.30,1334600,2.30
2015-06-22,2.26,2.28,2.24,2.27,549700,2.27
2015-06-19,2.24,2.26,2.24,2.26,1703200,2.26
2015-06-18,2.23,2.25,2.22,2.24,2016600,2.24
2015-06-17,2.25,2.26,2.24,2.25,1325300,2.25
2015-06-16,2.27,2.28,2.24,2.24,834900,2.24
2015-06-15,2.25,2.27,2.24,2.27,557400,2.27
2015-06-12,2.26,2.28,2.23,2.25,642900,2.25
2015-06-11,2.22,2.28,2.21,2.27,643800,2.27
2015-06-10,2.25,2.26,2.19,2.21,1879700,2.21
2015-06-09,2.29,2.31,2.28,2.28,1467600,2.229
2015-06-08,2.29,2.29,2.29,2.29,000,2.239
2015-06-05,2.28,2.30,2.28,2.29,3284600,2.239
2015-06-04,2.28,2.31,2.27,2.28,1536100,2.229
2015-06-03,2.30,2.32,2.26,2.28,1992800,2.229
2015-06-02,2.32,2.32,2.27,2.28,2358000,2.229
2015-06-01,2.29,2.31,2.27,2.31,2042600,2.258
2015-05-29,2.33,2.34,2.27,2.27,6252100,2.219
2015-05-28,2.33,2.34,2.30,2.32,3674400,2.268
2015-05-27,2.38,2.38,2.17,2.25,7025400,2.199
2015-05-26,2.66,2.66,2.33,2.38,5421200,2.327
2015-05-25,2.66,2.68,2.62,2.66,1006400,2.60
2015-05-22,2.59,2.65,2.59,2.65,1047300,2.59
2015-05-21,2.55,2.59,2.52,2.59,787800,2.532
2015-05-20,2.52,2.56,2.505,2.54,480200,2.483
2015-05-19,2.51,2.59,2.51,2.52,1625800,2.463
2015-05-18,2.55,2.57,2.48,2.49,679500,2.434
2015-05-15,2.48,2.55,2.47,2.53,1691000,2.473
2015-05-14,2.42,2.48,2.39,2.48,476200,2.424
2015-05-13,2.50,2.51,2.42,2.43,1056700,2.375
2015-05-12,2.50,2.52,2.49,2.50,868200,2.444
2015-05-11,2.49,2.54,2.47,2.50,942700,2.444
2015-05-08,2.47,2.50,2.425,2.48,955900,2.424
2015-05-07,2.44,2.47,2.43,2.46,1180300,2.405
2015-05-06,2.40,2.47,2.40,2.43,1983100,2.375
2015-05-05,2.44,2.45,2.39,2.42,1046100,2.366
2015-05-04,2.34,2.45,2.33,2.43,1604000,2.375
2015-05-01,2.25,2.33,2.23,2.32,878700,2.268
2015-04-30,2.23,2.28,2.22,2.26,1065400,2.209
2015-04-29,2.25,2.25,2.21,2.21,923500,2.16
2015-04-28,2.28,2.28,2.22,2.25,865900,2.199
2015-04-27,2.29,2.305,2.27,2.28,673500,2.229
2015-04-24,2.31,2.32,2.28,2.29,761700,2.239
2015-04-23,2.32,2.33,2.30,2.30,1426300,2.248
2015-04-22,2.34,2.365,2.32,2.33,724900,2.278
2015-04-21,2.39,2.40,2.32,2.33,870900,2.278
2015-04-20,2.38,2.38,2.37,2.37,399200,2.317
2015-04-17,2.39,2.435,2.37,2.38,884100,2.327
2015-04-16,2.38,2.41,2.35,2.40,1199000,2.346
2015-04-15,2.43,2.44,2.35,2.35,1208300,2.297
2015-04-14,2.33,2.44,2.325,2.43,1379100,2.375
2015-04-13,2.35,2.36,2.325,2.33,1035500,2.278
2015-04-10,2.35,2.39,2.35,2.36,579400,2.307
2015-04-09,2.44,2.44,2.365,2.39,812400,2.336
2015-04-08,2.44,2.45,2.41,2.44,1006400,2.385
2015-04-07,2.43,2.45,2.41,2.43,1177400,2.375
2015-04-06,2.41,2.41,2.41,2.41,000,2.356
2015-04-03,2.41,2.41,2.41,2.41,000,2.356
2015-04-02,2.47,2.48,2.38,2.41,2719500,2.356
2015-04-01,2.41,2.49,2.38,2.47,1958100,2.415
2015-03-31,2.30,2.425,2.29,2.41,1273900,2.356
2015-03-30,2.35,2.36,2.27,2.28,1644500,2.229
2015-03-27,2.35,2.41,2.34,2.40,1283700,2.346
2015-03-26,2.34,2.39,2.30,2.37,1048300,2.317
2015-03-25,2.41,2.42,2.34,2.35,689800,2.297
2015-03-24,2.33,2.40,2.33,2.39,1814900,2.336
2015-03-23,2.40,2.43,2.315,2.33,798200,2.278
2015-03-20,2.45,2.54,2.43,2.43,2337000,2.375
2015-03-19,2.41,2.43,2.36,2.39,1456700,2.336
2015-03-18,2.33,2.37,2.32,2.35,671800,2.297
2015-03-17,2.37,2.375,2.33,2.34,377900,2.287
2015-03-16,2.35,2.365,2.33,2.35,5319700,2.297
2015-03-13,2.35,2.38,2.33,2.36,404400,2.307
2015-03-12,2.37,2.38,2.33,2.35,495400,2.297
2015-03-11,2.32,2.39,2.32,2.36,549400,2.307
2015-03-10,2.39,2.40,2.34,2.36,712100,2.307
2015-03-09,2.45,2.45,2.38,2.40,447500,2.346
2015-03-06,2.47,2.48,2.42,2.47,649700,2.415
2015-03-05,2.45,2.47,2.45,2.47,363500,2.415
2015-03-04,2.45,2.47,2.42,2.45,506300,2.395
2015-03-03,2.42,2.51,2.42,2.43,1641900,2.375
2015-03-02,2.38,2.41,2.38,2.38,784600,2.327
2015-02-27,2.38,2.44,2.33,2.41,1347500,2.356
2015-02-26,2.30,2.38,2.30,2.38,1322100,2.327
2015-02-25,2.29,2.345,2.28,2.31,713500,2.258
2015-02-24,2.33,2.33,2.27,2.28,736000,2.229
2015-02-23,2.36,2.36,2.32,2.33,1123000,2.278
2015-02-20,2.32,2.37,2.32,2.35,924000,2.297
2015-02-19,2.36,2.38,2.32,2.33,959400,2.278
2015-02-18,2.36,2.37,2.32,2.35,571700,2.297
2015-02-17,2.33,2.40,2.31,2.35,1346100,2.297
2015-02-16,2.38,2.39,2.34,2.34,962900,2.287
2015-02-13,2.37,2.39,2.335,2.39,1501800,2.336
2015-02-12,2.36,2.38,2.33,2.35,1631900,2.297
2015-02-11,2.46,2.47,2.34,2.35,1962400,2.297
2015-02-10,2.42,2.48,2.42,2.44,2413100,2.385
2015-02-09,2.36,2.43,2.36,2.41,1882600,2.356
2015-02-06,2.26,2.45,2.21,2.32,6042500,2.268
2015-02-05,2.44,2.47,2.425,2.45,2429300,2.395
2015-02-04,2.49,2.50,2.44,2.45,1202300,2.395
2015-02-03,2.49,2.50,2.45,2.49,985400,2.434
2015-02-02,2.51,2.54,2.48,2.50,2457200,2.444
2015-01-30,2.48,2.55,2.475,2.54,2008900,2.483
2015-01-29,2.40,2.48,2.39,2.46,1524400,2.405
2015-01-28,2.38,2.41,2.365,2.40,1363600,2.346
2015-01-27,2.35,2.40,2.34,2.39,1748700,2.336
2015-01-26,2.33,2.33,2.33,2.33,000,2.278
2015-01-23,2.31,2.35,2.31,2.33,2605100,2.278
2015-01-22,2.39,2.39,2.29,2.32,3206100,2.268
2015-01-21,2.28,2.42,2.18,2.40,5420000,2.346
2015-01-20,2.38,2.39,2.28,2.31,8320100,2.258
2015-01-19,2.65,2.65,2.33,2.43,6683200,2.375
2015-01-16,2.71,2.73,2.66,2.71,1135100,2.649
2015-01-15,2.71,2.765,2.68,2.72,635200,2.659
2015-01-14,2.71,2.72,2.66,2.68,1188400,2.62
2015-01-13,2.75,2.78,2.67,2.71,879000,2.649
2015-01-12,2.84,2.84,2.77,2.79,365600,2.727
2015-01-09,2.81,2.87,2.81,2.85,850600,2.786
2015-01-08,2.81,2.88,2.75,2.81,999300,2.747
2015-01-07,2.85,2.865,2.81,2.81,563800,2.747
2015-01-06,2.96,2.965,2.82,2.86,1172800,2.796
2015-01-05,2.89,2.97,2.89,2.96,765200,2.894
2015-01-02,2.87,2.87,2.83,2.87,297600,2.806
2015-01-01,2.83,2.83,2.83,2.83,000,2.766
2014-12-31,2.85,2.87,2.83,2.83,268100,2.766
2014-12-30,2.86,2.87,2.83,2.84,257300,2.776
2014-12-29,2.86,2.88,2.82,2.86,442400,2.796
2014-12-26,2.85,2.85,2.85,2.85,000,2.786
2014-12-25,2.85,2.85,2.85,2.85,000,2.786
2014-12-24,2.85,2.87,2.81,2.85,287500,2.786
2014-12-23,2.94,2.94,2.84,2.85,620200,2.786
2014-12-22,2.87,2.98,2.83,2.90,1657300,2.835
2014-12-19,2.73,2.86,2.73,2.86,1608900,2.796
2014-12-18,2.72,2.745,2.705,2.73,1700700,2.669
2014-12-17,2.74,2.75,2.70,2.72,648400,2.659
2014-12-16,2.75,2.77,2.705,2.72,920600,2.659
2014-12-15,2.69,2.75,2.66,2.73,1097100,2.669
2014-12-12,2.72,2.75,2.70,2.70,754800,2.639
