date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.33,3.33,3.21,3.23,360200,3.23
2015-06-29,3.33,3.37,3.29,3.35,619100,3.35
2015-06-26,3.12,3.15,3.11,3.14,295500,3.14
2015-06-25,3.13,3.16,3.09,3.11,293000,3.11
2015-06-24,3.14,3.17,3.10,3.11,499900,3.11
2015-06-23,3.02,3.07,3.00,3.07,283400,3.07
2015-06-22,2.94,3.01,2.90,2.97,384400,2.97
2015-06-19,3.06,3.06,2.85,3.01,2624000,3.01
2015-06-18,2.96,3.03,2.95,2.98,575700,2.98
2015-06-17,2.90,2.94,2.86,2.93,395700,2.93
2015-06-16,3.00,3.00,2.91,2.94,635100,2.94
2015-06-15,2.97,2.97,2.82,2.86,501000,2.86
2015-06-12,3.00,3.04,2.95,2.97,346500,2.97
2015-06-11,3.09,3.10,3.03,3.06,306800,3.06
2015-06-10,3.07,3.09,3.04,3.07,167200,3.07
2015-06-09,3.10,3.13,3.09,3.13,296700,3.13
2015-06-08,3.01,3.01,3.01,3.01,000,3.01
2015-06-05,3.08,3.08,2.99,3.01,406200,3.01
2015-06-04,3.15,3.15,3.11,3.12,279600,3.12
2015-06-03,3.15,3.17,3.13,3.16,443300,3.16
2015-06-02,3.12,3.12,3.055,3.09,211200,3.09
2015-06-01,3.15,3.17,3.09,3.10,343000,3.10
2015-05-29,3.08,3.12,3.07,3.12,460000,3.12
2015-05-28,3.02,3.08,3.02,3.05,497800,3.05
2015-05-27,2.97,3.00,2.95,2.98,918700,2.98
2015-05-26,2.99,3.00,2.96,2.99,179700,2.99
2015-05-25,3.01,3.01,2.99,2.99,256100,2.99
2015-05-22,3.00,3.02,2.99,3.00,210700,3.00
2015-05-21,3.03,3.05,2.98,3.00,591400,3.00
2015-05-20,2.91,2.98,2.91,2.98,568400,2.98
2015-05-19,3.01,3.03,2.95,2.96,203400,2.96
2015-05-18,3.01,3.04,2.98,2.99,797400,2.99
2015-05-15,2.90,2.95,2.87,2.90,672200,2.90
2015-05-14,2.78,2.80,2.70,2.75,420500,2.75
2015-05-13,2.77,2.82,2.75,2.75,298000,2.75
2015-05-12,2.69,2.75,2.69,2.72,391100,2.72
2015-05-11,2.60,2.63,2.60,2.61,180100,2.61
2015-05-08,2.57,2.59,2.51,2.58,643300,2.58
2015-05-07,2.51,2.52,2.48,2.50,585600,2.50
2015-05-06,2.57,2.58,2.56,2.58,254600,2.58
2015-05-05,2.55,2.60,2.53,2.56,411000,2.56
2015-05-04,2.48,2.50,2.46,2.50,515400,2.50
2015-05-01,2.44,2.50,2.42,2.48,631600,2.48
2015-04-30,2.48,2.48,2.35,2.42,335400,2.42
2015-04-29,2.45,2.48,2.40,2.44,545300,2.44
2015-04-28,2.43,2.45,2.41,2.44,620700,2.44
