date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.02,2.10,2.01,2.09,4801200,2.09
2015-06-29,2.01,2.05,1.98,2.03,3651600,2.03
2015-06-26,2.05,2.07,2.02,2.06,5144600,2.06
2015-06-25,2.15,2.15,2.09,2.10,2589800,2.10
2015-06-24,2.14,2.24,2.13,2.16,4203500,2.16
2015-06-23,2.11,2.15,2.09,2.13,2759500,2.13
2015-06-22,2.13,2.15,2.08,2.08,1839600,2.08
2015-06-19,2.04,2.12,2.01,2.12,5858500,2.12
2015-06-18,2.02,2.04,1.96,2.01,6835100,2.01
2015-06-17,2.07,2.075,2.04,2.04,3023500,2.04
2015-06-16,2.10,2.11,2.06,2.06,1500900,2.06
2015-06-15,2.08,2.12,2.07,2.11,2874300,2.11
2015-06-12,2.10,2.10,2.06,2.06,1276000,2.06
2015-06-11,2.12,2.12,2.06,2.07,2054000,2.07
2015-06-10,2.09,2.12,2.07,2.10,2050600,2.10
2015-06-09,2.09,2.14,2.08,2.09,2174700,2.09
2015-06-08,2.11,2.11,2.11,2.11,000,2.11
2015-06-05,2.11,2.15,2.10,2.11,2228800,2.11
2015-06-04,2.14,2.16,2.10,2.11,3068400,2.11
2015-06-03,2.15,2.19,2.11,2.12,2453000,2.12
2015-06-02,2.20,2.20,2.16,2.18,2918200,2.18
2015-06-01,2.17,2.20,2.14,2.20,2430500,2.20
2015-05-29,2.15,2.235,2.15,2.20,4614500,2.20
2015-05-28,2.20,2.21,2.16,2.18,3647100,2.18
2015-05-27,2.13,2.17,2.12,2.17,5744100,2.17
2015-05-26,2.13,2.15,2.11,2.14,1966900,2.14
2015-05-25,2.11,2.14,2.09,2.12,2071100,2.12
2015-05-22,2.13,2.135,2.10,2.10,2393400,2.10
2015-05-21,2.13,2.165,2.11,2.12,6045500,2.12
2015-05-20,2.09,2.18,2.08,2.13,3442000,2.13
2015-05-19,2.14,2.145,2.10,2.12,2507900,2.12
2015-05-18,2.16,2.20,2.14,2.15,1562200,2.15
2015-05-15,2.19,2.20,2.15,2.17,3260400,2.17
2015-05-14,2.10,2.16,2.09,2.15,3313200,2.15
2015-05-13,2.11,2.12,2.09,2.10,4264000,2.10
2015-05-12,2.15,2.155,2.09,2.10,4687400,2.10
2015-05-11,2.08,2.16,2.08,2.15,3817500,2.15
2015-05-08,2.05,2.12,2.05,2.07,2729600,2.07
2015-05-07,2.05,2.10,2.03,2.07,5526300,2.07
2015-05-06,2.16,2.18,2.11,2.12,7608100,2.12
2015-05-05,2.27,2.27,2.185,2.21,2047400,2.21
2015-05-04,2.17,2.27,2.16,2.24,4611500,2.24
2015-05-01,2.21,2.23,2.17,2.20,1864300,2.20
2015-04-30,2.29,2.295,2.20,2.21,2641100,2.21
2015-04-29,2.28,2.28,2.22,2.23,5131600,2.23
2015-04-28,2.35,2.35,2.27,2.30,3987000,2.30
2015-04-27,2.31,2.40,2.31,2.35,2807600,2.35
2015-04-24,2.27,2.30,2.26,2.30,2317800,2.30
2015-04-23,2.24,2.26,2.22,2.25,2255700,2.25
2015-04-22,2.29,2.30,2.215,2.24,2178700,2.24
2015-04-21,2.26,2.30,2.26,2.30,2302200,2.30
2015-04-20,2.23,2.255,2.20,2.23,1919200,2.23
2015-04-17,2.25,2.27,2.23,2.25,7744200,2.25
2015-04-16,2.29,2.29,2.23,2.25,7622800,2.25
2015-04-15,2.30,2.30,2.25,2.25,3620400,2.25
2015-04-14,2.25,2.30,2.24,2.29,3667000,2.29
2015-04-13,2.26,2.29,2.26,2.26,2488900,2.26
2015-04-10,2.30,2.31,2.25,2.26,1722300,2.26
2015-04-09,2.28,2.30,2.27,2.29,2099800,2.29
2015-04-08,2.28,2.30,2.26,2.26,2671000,2.26
2015-04-07,2.32,2.37,2.26,2.28,3460100,2.28
2015-04-06,2.31,2.31,2.31,2.31,000,2.31
2015-04-03,2.31,2.31,2.31,2.31,000,2.31
2015-04-02,2.26,2.335,2.25,2.31,5593200,2.31
2015-04-01,2.28,2.295,2.22,2.25,3350300,2.25
2015-03-31,2.29,2.31,2.25,2.27,3906800,2.27
2015-03-30,2.28,2.33,2.27,2.29,3167800,2.29
2015-03-27,2.25,2.29,2.24,2.28,2155800,2.28
2015-03-26,2.29,2.30,2.225,2.25,2501600,2.25
2015-03-25,2.32,2.33,2.28,2.30,7490200,2.30
2015-03-24,2.33,2.335,2.30,2.32,3744000,2.32
2015-03-23,2.37,2.37,2.29,2.30,5126800,2.30
2015-03-20,2.37,2.37,2.35,2.36,3633300,2.36
2015-03-19,2.37,2.37,2.34,2.36,4983100,2.36
2015-03-18,2.31,2.38,2.30,2.37,3742100,2.37
2015-03-17,2.34,2.35,2.30,2.31,2947900,2.31
2015-03-16,2.34,2.345,2.29,2.32,3158300,2.32
2015-03-13,2.37,2.38,2.33,2.37,2585000,2.37
2015-03-12,2.35,2.40,2.35,2.36,2829000,2.36
2015-03-11,2.34,2.36,2.31,2.34,2946000,2.34
2015-03-10,2.32,2.37,2.25,2.36,2798100,2.36
2015-03-09,2.38,2.43,2.31,2.34,3543600,2.305
2015-03-06,2.35,2.38,2.33,2.37,2520400,2.3346
2015-03-05,2.30,2.42,2.28,2.35,8812900,2.3149
2015-03-04,2.29,2.32,2.25,2.30,6325000,2.2656
2015-03-03,2.30,2.33,2.21,2.23,5070000,2.1966
2015-03-02,2.27,2.31,2.255,2.30,4994700,2.2656
2015-02-27,2.34,2.34,2.255,2.27,12031100,2.236
2015-02-26,2.30,2.32,2.23,2.28,7580200,2.2459
2015-02-25,2.28,2.44,2.25,2.31,10760800,2.2754
2015-02-24,2.12,2.23,2.08,2.18,11988500,2.1474
2015-02-23,2.01,2.04,1.99,2.02,2964800,1.9898
2015-02-20,2.08,2.08,2.00,2.00,2851700,1.9701
2015-02-19,2.07,2.07,2.02,2.04,4858000,2.0095
2015-02-18,2.03,2.08,2.02,2.02,3260200,1.9898
2015-02-17,2.05,2.08,2.01,2.01,5089300,1.9799
2015-02-16,2.02,2.05,2.01,2.04,1627600,2.0095
2015-02-13,2.01,2.07,1.997,2.02,3455700,1.9898
2015-02-12,2.05,2.06,1.98,1.99,3580700,1.9602
2015-02-11,2.11,2.13,2.04,2.04,2332100,2.0095
2015-02-10,2.14,2.14,2.06,2.10,2144300,2.0686
2015-02-09,2.13,2.15,2.10,2.12,1817800,2.0883
2015-02-06,2.10,2.14,2.07,2.14,4889400,2.108
