date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.99,2.13,1.937,2.10,429300,2.10
2015-06-29,2.09,2.09,1.905,2.00,967000,2.00
2015-06-26,2.10,2.10,2.10,2.10,000,2.10
2015-06-25,2.10,2.10,2.10,2.10,000,2.10
2015-06-24,2.22,2.22,2.10,2.10,557300,2.10
2015-06-23,2.26,2.285,2.17,2.19,279300,2.19
2015-06-22,2.28,2.30,2.22,2.24,190800,2.24
2015-06-19,2.28,2.33,2.25,2.27,244800,2.27
2015-06-18,2.34,2.35,2.28,2.28,155000,2.28
2015-06-17,2.40,2.40,2.235,2.33,279200,2.33
2015-06-16,2.50,2.53,2.41,2.41,79400,2.41
2015-06-15,2.58,2.59,2.50,2.50,185400,2.50
2015-06-12,2.55,2.60,2.50,2.60,62700,2.60
2015-06-11,2.46,2.60,2.46,2.51,199500,2.51
2015-06-10,2.45,2.49,2.39,2.45,66500,2.45
2015-06-09,2.39,2.49,2.39,2.49,45800,2.49
2015-06-08,2.43,2.43,2.43,2.43,000,2.43
2015-06-05,2.41,2.43,2.36,2.43,163900,2.43
2015-06-04,2.55,2.55,2.43,2.46,87100,2.46
2015-06-03,2.55,2.58,2.50,2.54,99500,2.54
2015-06-02,2.63,2.63,2.52,2.57,161600,2.57
2015-06-01,2.62,2.63,2.53,2.60,112000,2.60
2015-05-29,2.62,2.64,2.57,2.63,128900,2.63
2015-05-28,2.70,2.70,2.62,2.62,67300,2.62
2015-05-27,2.66,2.72,2.65,2.72,84900,2.72
2015-05-26,2.70,2.72,2.65,2.66,92500,2.66
2015-05-25,2.65,2.69,2.65,2.65,87900,2.65
2015-05-22,2.73,2.76,2.70,2.71,65900,2.71
2015-05-21,2.80,2.80,2.70,2.70,64100,2.70
2015-05-20,2.70,2.75,2.65,2.73,128800,2.73
2015-05-19,2.74,2.74,2.61,2.64,122100,2.64
2015-05-18,2.84,2.84,2.73,2.73,96700,2.73
2015-05-15,2.77,2.84,2.75,2.84,687900,2.84
2015-05-14,2.82,2.82,2.74,2.77,139100,2.77
2015-05-13,2.79,2.82,2.78,2.82,238000,2.82
2015-05-12,2.76,2.79,2.74,2.79,618900,2.79
2015-05-11,2.72,2.84,2.72,2.75,376900,2.75
2015-05-08,2.65,2.71,2.65,2.70,204900,2.70
2015-05-07,2.65,2.65,2.58,2.60,413400,2.60
2015-05-06,2.55,2.65,2.54,2.65,217400,2.65
2015-05-05,2.58,2.59,2.53,2.54,265900,2.54
2015-05-04,2.55,2.60,2.52,2.56,253200,2.56
2015-05-01,2.44,2.54,2.43,2.52,758600,2.52
2015-04-30,2.44,2.49,2.35,2.44,176700,2.44
2015-04-29,2.22,2.52,2.13,2.44,660400,2.44
2015-04-28,2.22,2.24,2.11,2.11,56900,2.11
2015-04-27,2.15,2.21,2.11,2.21,81500,2.21
2015-04-24,2.25,2.30,2.14,2.14,160500,2.14
2015-04-23,2.33,2.33,2.25,2.29,172600,2.29
2015-04-22,2.27,2.30,2.22,2.30,459100,2.30
2015-04-21,2.30,2.30,2.22,2.24,227200,2.24
2015-04-20,2.14,2.28,2.13,2.27,30100,2.27
2015-04-17,2.19,2.20,2.11,2.15,128400,2.15
2015-04-16,2.13,2.18,2.13,2.16,84100,2.16
2015-04-15,2.17,2.18,2.11,2.15,71500,2.15
2015-04-14,2.13,2.17,2.11,2.15,167600,2.15
2015-04-13,2.17,2.17,2.13,2.15,219000,2.15
2015-04-10,2.17,2.20,2.15,2.19,62100,2.19
2015-04-09,2.28,2.28,2.16,2.17,281000,2.17
2015-04-08,2.16,2.29,2.16,2.29,870600,2.29
2015-04-07,2.26,2.26,2.20,2.20,159900,2.20
2015-04-06,2.23,2.23,2.23,2.23,000,2.23
2015-04-03,2.23,2.23,2.23,2.23,000,2.23
2015-04-02,2.25,2.26,2.21,2.23,136900,2.23
2015-04-01,2.31,2.31,2.25,2.25,110300,2.25
2015-03-31,2.30,2.35,2.30,2.34,148700,2.34
