date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,11.37,12.03,11.35,11.97,5822900,11.97
2015-06-29,11.38,11.59,11.20,11.29,5143300,11.29
2015-06-26,12.30,12.35,11.66,11.70,7174300,11.70
2015-06-25,12.74,12.82,12.45,12.52,2825600,12.52
2015-06-24,12.90,12.97,12.77,12.85,3081800,12.85
2015-06-23,13.01,13.01,12.74,12.92,3348000,12.92
2015-06-22,12.94,12.98,12.67,12.93,2255800,12.93
2015-06-19,12.96,13.18,12.90,13.08,4008300,13.08
2015-06-18,13.03,13.06,12.85,12.91,4508600,12.91
2015-06-17,12.79,13.12,12.72,13.03,3523700,13.03
2015-06-16,12.75,12.97,12.69,12.72,2387200,12.72
2015-06-15,12.84,12.94,12.63,12.87,2206800,12.87
2015-06-12,12.65,13.00,12.63,12.94,3051500,12.94
2015-06-11,12.71,12.87,12.69,12.77,3095700,12.77
2015-06-10,12.82,12.82,12.62,12.65,2856400,12.65
2015-06-09,12.50,12.77,12.50,12.56,2366100,12.56
2015-06-08,12.62,12.62,12.62,12.62,000,12.62
2015-06-05,12.75,12.79,12.51,12.62,1894400,12.62
2015-06-04,12.91,13.02,12.68,12.72,2670200,12.72
2015-06-03,13.06,13.16,12.93,13.04,3443400,13.04
2015-06-02,13.45,13.45,13.215,13.23,4906100,13.23
2015-06-01,13.30,13.45,13.21,13.40,3712500,13.40
2015-05-29,12.96,13.35,12.82,13.31,5449700,13.31
2015-05-28,12.96,12.96,12.67,12.82,1805900,12.82
2015-05-27,13.01,13.01,12.72,12.85,2696200,12.85
2015-05-26,12.73,13.08,12.73,12.98,2010600,12.98
2015-05-25,12.92,13.15,12.78,12.81,1984500,12.81
2015-05-22,12.56,12.90,12.56,12.80,2752600,12.80
2015-05-21,12.33,12.66,12.31,12.58,2977500,12.58
2015-05-20,12.50,12.54,12.11,12.33,3862600,12.33
2015-05-19,12.99,12.99,12.57,12.61,2818100,12.61
2015-05-18,13.00,13.15,12.89,12.91,1592300,12.91
2015-05-15,13.20,13.20,12.845,13.06,2150300,13.06
2015-05-14,13.00,13.11,12.905,13.10,1786500,13.10
2015-05-13,12.99,13.39,12.99,13.10,3430800,13.10
2015-05-12,12.77,12.88,12.73,12.88,2375700,12.88
2015-05-11,12.54,12.87,12.51,12.77,3659700,12.77
2015-05-08,12.82,12.86,12.39,12.43,3386400,12.43
2015-05-07,12.94,13.05,12.815,12.86,2805500,12.86
2015-05-06,13.01,13.28,13.01,13.21,2086600,13.21
2015-05-05,13.29,13.46,13.14,13.19,3453300,13.19
2015-05-04,13.15,13.23,12.90,13.23,2588200,13.23
2015-05-01,12.68,13.19,12.66,13.04,3863700,13.04
2015-04-30,12.68,12.81,12.63,12.74,2156900,12.74
2015-04-29,12.98,13.07,12.735,12.76,2757800,12.76
2015-04-28,13.14,13.25,13.00,13.07,3408700,13.07
2015-04-27,12.95,13.19,12.92,13.06,2369600,13.06
2015-04-24,12.59,12.87,12.58,12.87,3580400,12.87
2015-04-23,12.18,12.46,12.13,12.38,2274500,12.38
2015-04-22,12.52,12.61,12.13,12.26,3658300,12.26
2015-04-21,12.49,12.64,12.41,12.56,3069400,12.56
2015-04-20,12.54,12.54,12.32,12.49,2651600,12.49
2015-04-17,12.53,12.76,12.47,12.54,2906000,12.54
2015-04-16,12.56,12.79,12.55,12.68,3625600,12.68
2015-04-15,12.23,12.44,12.21,12.39,3719300,12.39
2015-04-14,12.01,12.13,11.905,12.12,1626900,12.12
2015-04-13,12.03,12.15,11.87,12.02,1710800,12.02
2015-04-10,11.75,12.06,11.72,11.98,2574600,11.98
2015-04-09,11.50,11.67,11.36,11.65,2495500,11.65
2015-04-08,11.44,11.58,11.41,11.55,3813500,11.55
2015-04-07,11.50,11.52,11.27,11.33,3602200,11.33
2015-04-06,11.30,11.30,11.30,11.30,000,11.30
2015-04-03,11.30,11.30,11.30,11.30,000,11.30
2015-04-02,11.40,11.46,11.27,11.30,2831300,11.30
2015-04-01,11.21,11.28,11.07,11.17,3105500,11.17
2015-03-31,11.39,11.51,11.30,11.31,3539600,11.31
2015-03-30,11.50,11.53,11.17,11.20,4159600,11.20
2015-03-27,11.69,11.85,11.65,11.71,4175900,11.71
2015-03-26,11.67,11.77,11.59,11.65,2479500,11.65
2015-03-25,11.80,12.00,11.71,11.77,2170900,11.77
2015-03-24,11.65,11.84,11.63,11.74,1765500,11.74
2015-03-23,11.65,11.72,11.55,11.65,2059300,11.65
2015-03-20,11.61,11.70,11.46,11.59,3662200,11.59
2015-03-19,11.60,11.795,11.59,11.60,3628300,11.60
2015-03-18,11.50,11.55,11.36,11.48,2799200,11.48
2015-03-17,11.52,11.74,11.52,11.63,2508800,11.63
2015-03-16,11.25,11.43,11.18,11.40,1781200,11.40
2015-03-13,11.50,11.60,11.42,11.50,2021500,11.50
2015-03-12,11.57,11.64,11.47,11.62,2843300,11.62
2015-03-11,11.60,11.66,11.46,11.56,3004300,11.56
2015-03-10,12.00,12.05,11.61,11.76,2862000,11.76
2015-03-09,12.07,12.18,11.84,11.91,2704800,11.91
2015-03-06,12.20,12.29,12.10,12.23,1730800,12.23
2015-03-05,12.31,12.37,12.17,12.26,2982400,12.26
2015-03-04,12.40,12.53,12.22,12.28,2521100,12.28
2015-03-03,12.35,12.41,12.11,12.23,3502500,12.23
2015-03-02,12.27,12.35,12.23,12.35,4095700,12.35
2015-02-27,12.13,12.25,11.95,12.21,4589800,12.21
2015-02-26,12.06,12.21,12.00,12.18,2648000,12.18
2015-02-25,12.02,12.18,11.89,12.15,4020200,12.15
2015-02-24,12.17,12.35,11.79,11.88,9009100,11.88
2015-02-23,12.44,12.46,12.15,12.30,2854800,12.05
2015-02-20,12.70,12.70,12.25,12.38,5637700,12.12837
2015-02-19,12.99,12.995,12.67,12.75,4604400,12.49085
2015-02-18,12.45,12.75,12.43,12.73,3487700,12.47126
2015-02-17,12.30,12.44,12.28,12.38,1981300,12.12837
2015-02-16,12.30,12.36,12.15,12.34,2245800,12.08919
2015-02-13,12.03,12.53,12.03,12.39,4431500,12.13817
2015-02-12,11.85,11.93,11.665,11.78,3718400,11.54057
2015-02-11,11.94,11.99,11.69,11.82,3241400,11.57976
2015-02-10,11.94,12.10,11.85,11.92,2073800,11.67772
2015-02-09,11.93,12.03,11.80,11.94,1672900,11.69732
2015-02-06,12.20,12.20,11.95,11.97,2676400,11.72671
2015-02-05,12.00,12.00,11.66,11.86,3665300,11.61894
2015-02-04,12.11,12.25,12.02,12.10,6864500,11.85407
2015-02-03,11.40,11.79,11.34,11.70,6761800,11.4622
2015-02-02,10.84,11.15,10.78,11.05,5962300,10.82541
2015-01-30,10.65,10.79,10.49,10.68,11392100,10.46293
2015-01-29,10.56,10.62,10.425,10.60,4154000,10.38455
2015-01-28,10.71,10.82,10.63,10.79,4194800,10.57069
2015-01-27,10.83,10.905,10.66,10.71,3568000,10.49232
2015-01-26,10.85,10.85,10.85,10.85,000,10.62947
2015-01-23,10.64,10.88,10.50,10.85,3448200,10.62947
2015-01-22,10.60,10.73,10.48,10.53,4350400,10.31598
2015-01-21,10.55,10.55,10.39,10.40,5119700,10.18862
2015-01-20,10.52,10.56,10.35,10.42,2858700,10.20821
2015-01-19,10.70,10.78,10.60,10.60,2643700,10.38455
2015-01-16,10.42,10.59,10.37,10.49,4604200,10.27679
2015-01-15,10.95,11.10,10.64,10.64,5920900,10.42374
2015-01-14,10.80,11.00,10.80,10.92,2837800,10.69805
2015-01-13,10.94,10.95,10.80,10.83,3533900,10.60988
2015-01-12,11.38,11.39,11.05,11.13,2823900,10.90378
2015-01-09,11.49,11.53,11.35,11.51,2451400,11.27606
2015-01-08,11.15,11.25,11.02,11.21,2244500,10.98215
2015-01-07,11.12,11.19,11.00,11.12,2619100,10.89398
2015-01-06,11.50,11.55,11.25,11.30,3204800,11.07033
2015-01-05,11.70,11.88,11.66,11.80,1551500,11.56016
2015-01-02,11.53,11.76,11.53,11.68,798600,11.4426
2015-01-01,11.67,11.67,11.67,11.67,000,11.43281
2014-12-31,11.75,11.83,11.66,11.67,932700,11.43281
2014-12-30,11.80,11.80,11.595,11.60,1927200,11.36423
2014-12-29,11.79,11.87,11.72,11.83,1364600,11.58955
2014-12-26,11.74,11.74,11.74,11.74,000,11.50138
2014-12-25,11.74,11.74,11.74,11.74,000,11.50138
2014-12-24,11.71,11.88,11.67,11.74,1080300,11.50138
2014-12-23,11.77,11.82,11.50,11.67,2575900,11.43281
2014-12-22,11.63,11.90,11.63,11.89,2892500,11.64833
2014-12-19,11.46,11.64,11.35,11.51,8044900,11.27606
2014-12-18,11.08,11.48,11.08,11.17,4338900,10.94297
2014-12-17,10.91,11.11,10.91,11.02,4418000,10.79602
2014-12-16,10.70,10.84,10.61,10.75,3769900,10.5315
2014-12-15,10.91,10.99,10.75,10.83,2588100,10.60988
2014-12-12,10.55,10.96,10.55,10.91,4392600,10.68825
2014-12-11,10.66,10.77,10.28,10.56,6368700,10.34537
2014-12-10,10.88,10.95,10.71,10.79,5004700,10.57069
2014-12-09,11.23,11.29,10.64,10.80,7597400,10.58049
2014-12-08,11.30,11.40,11.26,11.34,3248400,11.10951
2014-12-05,11.40,11.51,11.15,11.25,4527200,11.02134
2014-12-04,11.54,11.60,11.36,11.40,8654700,11.16829
2014-12-03,11.71,12.01,11.71,11.84,3597900,11.59935
2014-12-02,12.00,12.00,11.74,11.76,4435400,11.52098
2014-12-01,12.20,12.20,11.68,11.70,4604800,11.4622
2014-11-28,12.55,12.60,12.22,12.25,8159200,12.00102
2014-11-27,13.43,13.47,13.09,13.17,3923800,12.90232
2014-11-26,13.55,13.73,13.47,13.61,1933900,13.33337
2014-11-25,13.59,13.69,13.43,13.67,3252700,13.39215
2014-11-24,13.40,13.80,13.40,13.74,3844000,13.46073
2014-11-21,13.05,13.28,13.04,13.26,1827900,12.99049
2014-11-20,13.19,13.20,13.05,13.05,2739400,12.78476
2014-11-19,13.40,13.43,13.22,13.29,1711000,13.01988
2014-11-18,13.40,13.51,13.32,13.38,1510400,13.10805
2014-11-17,13.68,13.755,13.40,13.42,1782200,13.14724
2014-11-14,13.60,13.63,13.50,13.63,2042800,13.35297
2014-11-13,13.90,13.91,13.63,13.63,3822900,13.35297
2014-11-12,14.09,14.15,13.88,13.92,2732800,13.63707
