date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,20.98,21.34,20.95,21.28,2587800,21.28
2015-06-29,21.02,21.44,21.02,21.20,1785500,21.20
2015-06-26,21.82,21.97,21.60,21.75,1910900,21.75
2015-06-25,22.37,22.40,22.14,22.19,948500,22.19
2015-06-24,22.56,22.69,22.45,22.52,1991900,22.52
2015-06-23,22.50,22.59,22.38,22.48,791100,22.48
2015-06-22,22.40,22.40,22.07,22.28,991100,22.28
2015-06-19,22.23,22.49,22.14,22.38,1983900,22.38
2015-06-18,22.43,22.43,21.99,22.21,2521500,22.21
2015-06-17,22.37,22.53,22.22,22.43,1702900,22.43
2015-06-16,22.50,22.73,22.26,22.33,1346800,22.33
2015-06-15,22.13,22.59,22.07,22.56,1558500,22.56
2015-06-12,22.08,22.29,22.06,22.29,704000,22.29
2015-06-11,21.89,22.345,21.86,22.32,1728600,22.32
2015-06-10,21.47,21.865,21.44,21.72,1121300,21.72
2015-06-09,21.75,21.82,21.45,21.60,1496600,21.60
2015-06-08,21.59,21.59,21.59,21.59,000,21.59
2015-06-05,21.44,21.76,21.44,21.59,1062000,21.59
2015-06-04,21.25,21.55,21.18,21.44,1889600,21.44
2015-06-03,21.18,21.55,21.07,21.33,1728600,21.33
2015-06-02,21.96,21.96,21.41,21.46,1783600,21.46
2015-06-01,21.69,21.80,21.35,21.76,1096100,21.76
2015-05-29,21.86,22.21,21.85,21.89,3052900,21.89
2015-05-28,21.52,21.67,21.14,21.58,2822700,21.58
2015-05-27,22.00,22.00,21.62,21.86,1303400,21.40
2015-05-26,21.90,22.07,21.85,21.94,1215100,21.47832
2015-05-25,21.66,21.97,21.55,21.90,855100,21.43916
2015-05-22,21.38,21.81,21.38,21.70,1298900,21.24337
2015-05-21,21.51,21.59,21.21,21.25,2085300,20.80284
2015-05-20,20.99,21.08,20.80,21.01,1740600,20.56789
2015-05-19,21.37,21.37,20.69,20.95,2558200,20.50915
2015-05-18,21.02,21.36,21.02,21.16,1732600,20.71473
