date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.97,2.05,1.97,2.05,125600,2.05
2015-06-29,2.00,2.00,1.975,1.975,40000,1.975
2015-06-26,2.05,2.05,1.98,2.01,27300,2.01
2015-06-25,1.96,2.08,1.95,2.05,36600,2.05
2015-06-24,2.01,2.07,1.985,2.01,65500,2.01
2015-06-23,2.10,2.10,2.01,2.04,64800,2.04
2015-06-22,2.10,2.12,2.06,2.06,32300,2.06
2015-06-19,2.14,2.16,2.05,2.05,384700,2.05
2015-06-18,2.15,2.16,2.14,2.14,5600,2.14
2015-06-17,2.12,2.16,2.12,2.16,38500,2.16
2015-06-16,2.15,2.16,2.15,2.15,19600,2.15
2015-06-15,2.15,2.15,2.12,2.12,49100,2.12
2015-06-12,2.09,2.15,2.08,2.15,11900,2.15
2015-06-11,2.13,2.19,2.13,2.15,47400,2.15
2015-06-10,2.09,2.15,2.09,2.12,23400,2.12
2015-06-09,2.12,2.12,2.08,2.09,45900,2.09
2015-06-08,2.14,2.14,2.14,2.14,000,2.14
2015-06-05,2.15,2.15,2.14,2.14,9200,2.14
2015-06-04,2.14,2.17,2.09,2.15,38900,2.15
2015-06-03,2.09,2.16,2.08,2.14,51100,2.14
2015-06-02,2.10,2.10,2.07,2.07,32400,2.07
2015-06-01,2.06,2.09,2.06,2.07,22200,2.07
2015-05-29,2.20,2.20,2.06,2.06,26500,2.06
2015-05-28,2.20,2.20,2.18,2.18,21800,2.18
2015-05-27,2.20,2.20,2.15,2.16,19500,2.16
2015-05-26,2.15,2.27,2.09,2.27,67300,2.27
2015-05-25,2.16,2.17,2.08,2.16,189300,2.16
2015-05-22,2.17,2.30,1.92,2.22,513600,2.22
2015-05-21,2.65,2.65,2.54,2.56,32900,2.56
2015-05-20,2.67,2.675,2.66,2.66,12100,2.66
2015-05-19,2.69,2.70,2.66,2.66,23800,2.66
2015-05-18,2.68,2.69,2.67,2.69,9300,2.69
2015-05-15,2.66,2.69,2.66,2.69,78100,2.69
2015-05-14,2.73,2.73,2.67,2.68,258000,2.68
2015-05-13,2.65,2.73,2.65,2.68,14400,2.68
2015-05-12,2.66,2.67,2.63,2.65,28800,2.65
2015-05-11,2.64,2.67,2.64,2.65,15300,2.65
2015-05-08,2.70,2.70,2.63,2.63,20400,2.63
2015-05-07,2.69,2.69,2.64,2.67,116700,2.67
2015-05-06,2.70,2.70,2.68,2.69,48400,2.69
2015-05-05,2.64,2.72,2.64,2.70,9900,2.70
2015-05-04,2.63,2.66,2.63,2.64,21200,2.64
2015-05-01,2.60,2.64,2.60,2.64,23100,2.64
2015-04-30,2.69,2.69,2.60,2.60,92900,2.60
2015-04-29,2.68,2.75,2.66,2.69,28900,2.69
2015-04-28,2.70,2.70,2.69,2.70,63200,2.70
2015-04-27,2.70,2.72,2.69,2.72,46700,2.72
2015-04-24,2.68,2.74,2.68,2.70,13500,2.70
2015-04-23,2.70,2.72,2.69,2.72,15300,2.72
2015-04-22,2.70,2.73,2.65,2.71,107800,2.71
2015-04-21,2.70,2.70,2.69,2.70,19200,2.70
2015-04-20,2.71,2.71,2.70,2.71,38800,2.71
2015-04-17,2.70,2.71,2.70,2.71,18200,2.71
2015-04-16,2.71,2.71,2.64,2.71,21400,2.71
2015-04-15,2.70,2.71,2.70,2.70,8500,2.70
2015-04-14,2.75,2.785,2.67,2.69,60800,2.69
2015-04-13,2.65,2.80,2.62,2.70,18800,2.70
2015-04-10,2.70,2.70,2.63,2.63,49900,2.63
2015-04-09,2.60,2.75,2.60,2.70,23000,2.70
2015-04-08,2.68,2.68,2.58,2.60,1392600,2.60
2015-04-07,2.69,2.69,2.65,2.65,24800,2.65
2015-04-06,2.69,2.69,2.69,2.69,000,2.69
2015-04-03,2.69,2.69,2.69,2.69,000,2.69
2015-04-02,2.71,2.74,2.66,2.69,53000,2.69
2015-04-01,2.68,2.80,2.68,2.77,61600,2.7057
2015-03-31,2.65,2.68,2.64,2.66,66400,2.5983
2015-03-30,2.57,2.65,2.55,2.65,175100,2.5885
2015-03-27,2.52,2.61,2.40,2.54,203100,2.4811
2015-03-26,2.57,2.57,2.52,2.56,22300,2.5006
2015-03-25,2.57,2.61,2.56,2.56,47300,2.5006
2015-03-24,2.57,2.58,2.51,2.57,30200,2.5104
2015-03-23,2.51,2.62,2.51,2.56,17000,2.5006
2015-03-20,2.46,2.49,2.43,2.47,1521300,2.4127
2015-03-19,2.64,2.64,2.42,2.44,416500,2.3834
2015-03-18,2.70,2.75,2.70,2.71,27900,2.6471
2015-03-17,2.72,2.73,2.69,2.70,20300,2.6373
2015-03-16,2.71,2.76,2.71,2.73,18800,2.6666
2015-03-13,2.71,2.75,2.71,2.75,12500,2.6862
2015-03-12,2.72,2.73,2.71,2.71,8500,2.6471
2015-03-11,2.71,2.75,2.69,2.71,35100,2.6471
2015-03-10,2.72,2.785,2.70,2.70,17800,2.6373
2015-03-09,2.85,2.85,2.78,2.79,3200,2.7252
2015-03-06,2.69,2.81,2.69,2.78,38900,2.7155
2015-03-05,2.68,2.72,2.68,2.71,12100,2.6471
2015-03-04,2.73,2.73,2.66,2.68,42000,2.6178
2015-03-03,2.81,2.82,2.70,2.72,26800,2.6569
2015-03-02,2.90,2.91,2.85,2.85,36500,2.7839
2015-02-27,2.92,2.92,2.89,2.90,6900,2.8327
2015-02-26,2.90,2.92,2.88,2.91,8700,2.8425
2015-02-25,2.99,2.99,2.90,2.90,15600,2.8327
2015-02-24,2.98,2.99,2.98,2.98,9100,2.9108
2015-02-23,2.99,2.99,2.95,2.98,35900,2.9108
2015-02-20,2.89,3.00,2.89,2.95,24500,2.8815
2015-02-19,2.90,2.92,2.85,2.86,10500,2.7936
2015-02-18,3.00,3.00,2.90,2.90,37300,2.8327
2015-02-17,3.00,3.00,2.98,2.98,6200,2.9108
2015-02-16,3.00,3.00,2.99,2.99,7700,2.9206
2015-02-13,2.99,3.06,2.98,2.99,13500,2.9206
2015-02-12,2.94,3.15,2.94,2.95,50300,2.8815
2015-02-11,2.91,2.93,2.86,2.92,22100,2.8522
2015-02-10,2.89,2.90,2.85,2.88,63300,2.8132
2015-02-09,2.71,2.95,2.67,2.90,68700,2.8327
2015-02-06,2.62,2.70,2.62,2.66,10000,2.5983
2015-02-05,2.69,2.69,2.62,2.65,22200,2.5885
2015-02-04,2.65,2.71,2.60,2.69,46100,2.6276
2015-02-03,2.70,2.71,2.63,2.64,12900,2.5787
2015-02-02,2.70,2.70,2.575,2.64,173200,2.5787
2015-01-30,2.68,2.76,2.65,2.70,30700,2.6373
2015-01-29,2.75,2.75,2.67,2.67,22900,2.608
2015-01-28,2.79,2.79,2.55,2.70,96700,2.6373
