date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,7.14,7.24,7.10,7.13,5598700,7.13
2015-06-29,7.09,7.18,7.06,7.16,6249200,7.16
2015-06-26,7.35,7.46,7.18,7.20,5856600,7.20
2015-06-25,7.50,7.54,7.44,7.45,3769500,7.45
2015-06-24,7.55,7.62,7.49,7.50,4578300,7.50
2015-06-23,7.65,7.65,7.48,7.50,3794400,7.50
2015-06-22,7.55,7.55,7.37,7.49,2109000,7.49
2015-06-19,7.43,7.55,7.40,7.51,4847500,7.51
2015-06-18,7.42,7.47,7.29,7.36,5270900,7.36
2015-06-17,7.38,7.55,7.14,7.51,4801600,7.51
2015-06-16,7.58,7.58,7.26,7.29,6281600,7.29
2015-06-15,7.61,7.70,7.47,7.52,2551100,7.52
2015-06-12,7.63,7.81,7.60,7.73,4141300,7.73
2015-06-11,7.57,7.77,7.54,7.76,6071200,7.76
2015-06-10,7.35,7.46,7.32,7.43,3651800,7.43
2015-06-09,7.23,7.31,7.20,7.22,3536900,7.22
2015-06-08,7.20,7.20,7.20,7.20,000,7.20
2015-06-05,7.10,7.23,7.07,7.20,2977600,7.20
2015-06-04,7.33,7.35,7.16,7.17,3021700,7.17
2015-06-03,7.40,7.49,7.32,7.34,2956300,7.34
2015-06-02,7.83,7.83,7.40,7.42,3644300,7.42
2015-06-01,7.64,7.76,7.57,7.71,3666000,7.71
2015-05-29,7.54,7.66,7.52,7.60,4394500,7.60
2015-05-28,7.54,7.54,7.40,7.46,3086000,7.46
2015-05-27,7.54,7.66,7.43,7.44,4327000,7.44
2015-05-26,7.67,7.73,7.60,7.64,2037800,7.64
2015-05-25,7.50,7.71,7.49,7.62,2771000,7.62
2015-05-22,7.54,7.64,7.43,7.57,4863400,7.57
2015-05-21,7.32,7.41,7.28,7.39,6249200,7.39
2015-05-20,7.21,7.28,7.04,7.26,6297800,7.26
2015-05-19,7.42,7.42,7.22,7.29,4870000,7.29
2015-05-18,7.46,7.50,7.31,7.33,4445900,7.33
2015-05-15,7.70,7.70,7.46,7.52,4023200,7.52
2015-05-14,7.61,7.70,7.51,7.58,4267200,7.58
2015-05-13,7.82,7.91,7.70,7.71,4352200,7.71
2015-05-12,7.61,7.75,7.585,7.73,6168500,7.73
2015-05-11,7.70,7.895,7.68,7.78,7897100,7.78
2015-05-08,7.70,7.87,7.56,7.57,5116800,7.57
2015-05-07,7.82,7.93,7.78,7.83,6370500,7.83
2015-05-06,8.00,8.095,7.94,7.96,8712900,7.96
2015-05-05,8.35,8.35,8.06,8.07,6057600,8.07
2015-05-04,8.23,8.29,8.10,8.26,3360100,8.26
2015-05-01,8.12,8.25,8.045,8.19,3621700,8.19
2015-04-30,8.08,8.19,8.045,8.09,4587500,8.09
2015-04-29,8.26,8.30,8.06,8.07,4669300,8.07
2015-04-28,8.46,8.50,8.22,8.25,5923000,8.25
2015-04-27,8.40,8.52,8.37,8.43,6037800,8.43
2015-04-24,8.15,8.375,8.11,8.32,5176500,8.32
2015-04-23,7.97,8.11,7.97,8.09,3951900,8.09
2015-04-22,8.03,8.07,7.95,7.96,9487300,7.96
2015-04-21,8.18,8.19,8.07,8.09,7059200,8.09
2015-04-20,8.10,8.15,8.03,8.10,6039200,8.10
2015-04-17,8.14,8.18,8.08,8.13,6904200,8.13
2015-04-16,8.09,8.15,8.02,8.09,6897200,8.09
2015-04-15,8.10,8.11,7.88,7.93,8952400,7.93
2015-04-14,7.87,8.10,7.85,8.04,6137000,8.04
2015-04-13,7.81,7.93,7.81,7.88,6664700,7.88
2015-04-10,7.74,7.76,7.65,7.73,4556900,7.73
2015-04-09,7.54,7.65,7.48,7.62,5537300,7.62
2015-04-08,7.52,7.64,7.46,7.64,5762800,7.64
2015-04-07,7.30,7.41,7.17,7.23,7410000,7.23
2015-04-06,7.10,7.10,7.10,7.10,000,7.10
2015-04-03,7.10,7.10,7.10,7.10,000,7.10
2015-04-02,7.12,7.17,7.03,7.10,9960700,7.10
2015-04-01,7.13,7.18,6.98,7.01,5763400,7.01
2015-03-31,7.26,7.29,7.135,7.20,4948500,7.20
2015-03-30,7.50,7.58,7.14,7.16,6099700,7.16
2015-03-27,7.81,7.83,7.50,7.54,6974200,7.54
2015-03-26,7.57,7.83,7.56,7.68,5762700,7.68
2015-03-25,7.73,7.76,7.57,7.60,3707000,7.60
2015-03-24,7.69,7.79,7.64,7.68,1680300,7.68
2015-03-23,7.69,7.855,7.66,7.72,3186600,7.72
2015-03-20,7.50,7.64,7.50,7.62,4132200,7.62
2015-03-19,7.63,7.72,7.56,7.57,5217300,7.57
2015-03-18,7.59,7.635,7.52,7.56,3969500,7.56
2015-03-17,7.68,7.77,7.64,7.65,4619500,7.65
2015-03-16,7.54,7.64,7.53,7.59,5588000,7.59
2015-03-13,7.90,7.92,7.82,7.89,6959100,7.89
2015-03-12,7.80,7.98,7.78,7.95,3592000,7.95
2015-03-11,7.60,7.82,7.58,7.80,3828300,7.80
2015-03-10,7.85,7.85,7.65,7.70,5084200,7.70
2015-03-09,7.78,7.80,7.68,7.76,3492400,7.76
2015-03-06,7.96,8.00,7.74,7.84,6961300,7.84
2015-03-05,8.20,8.22,8.06,8.08,6831300,7.92256
2015-03-04,8.11,8.15,8.035,8.07,5495000,7.91276
2015-03-03,8.15,8.22,8.08,8.10,5011300,7.94217
2015-03-02,8.18,8.25,8.08,8.12,5564500,7.96178
2015-02-27,8.13,8.19,8.015,8.16,7918000,8.001
2015-02-26,8.16,8.22,8.13,8.18,5836500,8.02061
2015-02-25,8.30,8.31,8.18,8.20,6516200,8.04022
2015-02-24,8.41,8.53,8.28,8.29,3338900,8.12847
2015-02-23,8.39,8.39,8.26,8.28,2190200,8.11866
2015-02-20,8.45,8.45,8.27,8.33,2832200,8.16769
2015-02-19,8.40,8.475,8.37,8.42,3620100,8.25594
2015-02-18,8.46,8.54,8.46,8.48,4241100,8.31477
2015-02-17,8.34,8.44,8.22,8.43,2723300,8.26574
2015-02-16,8.32,8.39,8.20,8.35,3093800,8.1873
2015-02-13,8.20,8.40,8.11,8.30,5388000,8.13827
2015-02-12,7.90,8.03,7.78,7.99,6385500,7.83431
2015-02-11,8.05,8.11,7.94,8.01,8043900,7.85393
2015-02-10,8.35,8.39,8.18,8.22,3801900,8.05983
2015-02-09,8.30,8.36,8.26,8.29,3024800,8.12847
2015-02-06,8.40,8.40,8.19,8.28,5898900,8.11866
2015-02-05,8.28,8.28,8.13,8.23,7266000,8.06964
2015-02-04,8.58,8.59,8.39,8.47,10028500,8.30496
2015-02-03,8.17,8.44,8.16,8.33,8191700,8.16769
2015-02-02,7.86,8.07,7.86,7.98,6115600,7.82451
2015-01-30,7.86,7.87,7.74,7.77,6455600,7.6186
2015-01-29,7.45,7.71,7.44,7.70,7673800,7.54997
