date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.00,4.04,3.91,3.98,2262000,3.98
2015-06-29,4.15,4.16,4.02,4.04,2421000,4.04
2015-06-26,4.22,4.25,4.15,4.23,2298400,4.23
2015-06-25,4.36,4.41,4.25,4.28,2177900,4.28
2015-06-24,4.44,4.54,4.42,4.51,1555800,4.51
2015-06-23,4.36,4.47,4.33,4.44,2142900,4.44
2015-06-22,4.42,4.45,4.25,4.29,2316800,4.29
2015-06-19,4.53,4.61,4.50,4.53,2378800,4.53
2015-06-18,4.46,4.485,4.39,4.46,2108600,4.46
2015-06-17,4.46,4.56,4.40,4.47,2115000,4.47
2015-06-16,4.53,4.54,4.37,4.40,2783700,4.40
2015-06-15,4.54,4.59,4.52,4.56,1066500,4.56
2015-06-12,4.59,4.60,4.54,4.57,2297900,4.57
2015-06-11,4.62,4.68,4.59,4.63,1806900,4.63
2015-06-10,4.50,4.59,4.50,4.55,973800,4.55
2015-06-09,4.51,4.63,4.51,4.53,2619700,4.53
2015-06-08,4.55,4.55,4.55,4.55,000,4.55
2015-06-05,4.52,4.60,4.51,4.55,1098800,4.55
2015-06-04,4.67,4.68,4.56,4.58,1416700,4.58
2015-06-03,4.69,4.75,4.67,4.68,1053300,4.68
2015-06-02,4.70,4.74,4.63,4.69,1918100,4.69
2015-06-01,4.69,4.69,4.61,4.61,1738200,4.61
2015-05-29,4.81,4.87,4.71,4.71,3232300,4.71
2015-05-28,4.83,4.83,4.76,4.81,1275600,4.81
2015-05-27,4.80,4.825,4.75,4.78,2505400,4.78
2015-05-26,4.92,4.94,4.86,4.89,1039600,4.89
2015-05-25,4.89,4.955,4.85,4.88,2663100,4.88
2015-05-22,4.88,5.01,4.84,4.97,2848000,4.97
2015-05-21,4.76,4.87,4.73,4.84,4132100,4.84
2015-05-20,4.57,4.73,4.47,4.71,2764400,4.71
2015-05-19,4.78,4.80,4.60,4.63,3524000,4.63
2015-05-18,4.83,4.87,4.76,4.76,1280500,4.76
2015-05-15,4.84,4.88,4.76,4.79,1209600,4.79
2015-05-14,4.76,4.84,4.75,4.80,1938700,4.80
2015-05-13,4.73,4.82,4.73,4.78,2089400,4.78
2015-05-12,4.68,4.74,4.65,4.72,2644200,4.72
2015-05-11,4.73,4.74,4.68,4.69,1530100,4.69
2015-05-08,4.69,4.74,4.65,4.66,2009600,4.66
2015-05-07,4.70,4.79,4.70,4.72,1269600,4.72
2015-05-06,4.70,4.86,4.70,4.77,3059300,4.77
2015-05-05,4.85,4.85,4.68,4.75,1864400,4.75
2015-05-04,4.77,4.85,4.72,4.82,2158200,4.82
2015-05-01,4.65,4.785,4.65,4.73,2667900,4.73
