date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.15,0.15,0.15,0.15,73000,0.15
2015-06-29,0.155,0.155,0.15,0.15,102200,0.15
2015-06-26,0.16,0.16,0.152,0.155,77600,0.155
2015-06-25,0.16,0.162,0.16,0.1625,148300,0.1625
2015-06-24,0.165,0.165,0.165,0.165,261100,0.165
2015-06-23,0.17,0.17,0.165,0.165,125100,0.165
2015-06-22,0.175,0.175,0.165,0.17,178700,0.17
2015-06-19,0.175,0.18,0.175,0.18,163900,0.18
2015-06-18,0.17,0.172,0.17,0.17,85800,0.17
2015-06-17,0.17,0.175,0.17,0.17,11500,0.17
2015-06-16,0.175,0.18,0.175,0.18,66200,0.18
2015-06-15,0.18,0.18,0.17,0.17,253000,0.17
2015-06-12,0.185,0.185,0.18,0.18,148400,0.18
2015-06-11,0.185,0.185,0.18,0.18,51900,0.18
2015-06-10,0.18,0.185,0.18,0.18,125100,0.18
2015-06-09,0.185,0.185,0.18,0.18,237300,0.18
2015-06-08,0.18,0.18,0.18,0.18,000,0.18
2015-06-05,0.18,0.18,0.18,0.18,108400,0.18
2015-06-04,0.185,0.19,0.18,0.18,463600,0.18
2015-06-03,0.195,0.195,0.18,0.185,512400,0.185
2015-06-02,0.20,0.205,0.185,0.19,1747500,0.19
2015-06-01,0.205,0.26,0.185,0.25,2376300,0.25
2015-05-29,0.175,0.19,0.175,0.18,715300,0.18
2015-05-28,0.16,0.165,0.16,0.16,101600,0.16
2015-05-27,0.165,0.165,0.165,0.165,60000,0.165
2015-05-26,0.165,0.165,0.16,0.165,283700,0.165
2015-05-25,0.165,0.17,0.165,0.165,145400,0.165
2015-05-22,0.175,0.175,0.165,0.165,659300,0.165
2015-05-21,0.175,0.195,0.17,0.19,1970600,0.19
2015-05-20,0.155,0.16,0.155,0.16,242900,0.16
2015-05-19,0.155,0.165,0.155,0.155,512100,0.155
2015-05-18,0.145,0.15,0.145,0.15,70600,0.15
2015-05-15,0.14,0.15,0.14,0.145,163000,0.145
2015-05-14,0.145,0.145,0.145,0.145,48400,0.145
2015-05-13,0.145,0.15,0.145,0.145,8900,0.145
2015-05-12,0.145,0.15,0.145,0.145,92000,0.145
2015-05-11,0.15,0.15,0.145,0.145,14100,0.145
2015-05-08,0.145,0.15,0.145,0.15,88500,0.15
2015-05-07,0.15,0.15,0.145,0.145,179100,0.145
2015-05-06,0.145,0.15,0.14,0.145,364100,0.145
2015-05-05,0.145,0.15,0.145,0.145,15500,0.145
2015-05-04,0.145,0.15,0.145,0.145,134600,0.145
2015-05-01,0.145,0.145,0.145,0.145,12100,0.145
2015-04-30,0.14,0.145,0.14,0.14,8900,0.14
2015-04-29,0.15,0.15,0.145,0.145,861900,0.145
2015-04-28,0.145,0.15,0.135,0.14,444600,0.14
2015-04-27,0.14,0.14,0.14,0.14,55100,0.14
2015-04-24,0.15,0.15,0.14,0.145,46100,0.145
2015-04-23,0.142,0.145,0.14,0.14,49400,0.14
2015-04-22,0.14,0.145,0.14,0.145,13900,0.145
2015-04-21,0.142,0.145,0.14,0.14,66400,0.14
2015-04-20,0.145,0.145,0.14,0.14,45000,0.14
2015-04-16,0.14,0.145,0.14,0.145,98800,0.145
2015-04-15,0.145,0.147,0.14,0.145,161700,0.145
2015-04-14,0.15,0.15,0.145,0.145,216100,0.145
2015-04-13,0.145,0.145,0.14,0.145,454000,0.145
2015-04-10,0.14,0.147,0.14,0.14,470100,0.14
2015-04-09,0.14,0.145,0.14,0.14,22300,0.14
2015-04-08,0.145,0.15,0.14,0.14,60200,0.14
2015-04-07,0.145,0.15,0.145,0.145,22900,0.145
2015-04-06,0.145,0.145,0.145,0.145,000,0.145
2015-04-03,0.145,0.145,0.145,0.145,000,0.145
2015-04-02,0.15,0.15,0.145,0.145,16800,0.145
2015-04-01,0.142,0.145,0.14,0.145,68700,0.145
2015-03-31,0.142,0.15,0.14,0.145,27900,0.145
2015-03-30,0.145,0.145,0.135,0.14,385700,0.14
2015-03-27,0.14,0.14,0.14,0.14,241700,0.14
2015-03-26,0.14,0.14,0.14,0.14,43300,0.14
2015-03-25,0.145,0.145,0.14,0.14,20600,0.14
2015-03-24,0.145,0.145,0.14,0.14,125200,0.14
2015-03-23,0.145,0.145,0.14,0.145,485200,0.145
2015-03-20,0.155,0.16,0.14,0.145,5784800,0.145
2015-03-19,0.14,0.142,0.135,0.135,488600,0.135
2015-03-18,0.14,0.1425,0.14,0.14,308100,0.14
2015-03-17,0.15,0.15,0.14,0.14,654600,0.14
2015-03-16,0.155,0.155,0.15,0.15,291000,0.15
2015-03-13,0.16,0.16,0.15,0.15,221500,0.15
2015-03-12,0.16,0.165,0.15,0.15,799700,0.15
2015-03-11,0.145,0.15,0.14,0.14,438600,0.14
2015-03-10,0.14,0.145,0.14,0.14,132100,0.14
2015-03-09,0.14,0.15,0.14,0.14,33800,0.14
2015-03-06,0.145,0.145,0.135,0.135,256900,0.135
2015-03-05,0.15,0.155,0.145,0.145,60400,0.145
2015-03-04,0.14,0.15,0.135,0.15,441600,0.15
2015-03-03,0.14,0.145,0.14,0.14,168000,0.14
2015-03-02,0.14,0.14,0.135,0.14,86200,0.14
2015-02-27,0.145,0.145,0.14,0.14,349600,0.14
2015-02-26,0.14,0.14,0.135,0.135,340900,0.135
2015-02-25,0.15,0.15,0.135,0.135,357300,0.135
2015-02-24,0.155,0.155,0.15,0.15,242800,0.15
2015-02-23,0.155,0.16,0.15,0.155,153400,0.155
2015-02-20,0.15,0.155,0.15,0.15,143100,0.15
2015-02-19,0.155,0.155,0.14,0.15,529700,0.15
2015-02-18,0.155,0.155,0.15,0.155,200800,0.155
2015-02-17,0.155,0.16,0.15,0.15,452100,0.15
2015-02-16,0.16,0.16,0.15,0.155,684600,0.155
2015-02-13,0.195,0.20,0.15,0.175,1813300,0.175
