date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.255,0.255,0.237,0.245,12844700,0.245
2015-06-29,0.265,0.267,0.25,0.255,8635100,0.255
2015-06-26,0.27,0.27,0.265,0.265,4332300,0.265
2015-06-25,0.28,0.28,0.27,0.27,5601400,0.27
2015-06-24,0.28,0.287,0.275,0.275,6154700,0.275
2015-06-23,0.285,0.285,0.277,0.28,3107200,0.28
2015-06-22,0.28,0.285,0.277,0.285,2700300,0.285
2015-06-19,0.275,0.28,0.272,0.28,3473400,0.28
2015-06-18,0.28,0.2825,0.27,0.27,6223500,0.27
2015-06-17,0.28,0.2825,0.275,0.28,2440500,0.28
2015-06-16,0.28,0.285,0.275,0.28,6772700,0.28
2015-06-15,0.30,0.305,0.275,0.28,9046600,0.28
2015-06-12,0.285,0.31,0.282,0.295,9498800,0.295
2015-06-11,0.28,0.29,0.277,0.28,4344600,0.28
2015-06-10,0.275,0.285,0.27,0.275,3950500,0.275
2015-06-09,0.29,0.29,0.275,0.275,5927000,0.275
2015-06-08,0.28,0.28,0.28,0.28,000,0.28
2015-06-05,0.29,0.295,0.28,0.28,6312400,0.28
2015-06-04,0.30,0.30,0.28,0.28,6094300,0.28
2015-06-03,0.31,0.315,0.295,0.295,6932600,0.295
2015-06-02,0.32,0.32,0.305,0.305,5607400,0.305
2015-06-01,0.315,0.32,0.312,0.315,3584600,0.315
2015-05-29,0.32,0.325,0.312,0.315,5677200,0.315
2015-05-28,0.33,0.33,0.317,0.325,6025100,0.325
2015-05-27,0.33,0.33,0.32,0.325,2278400,0.325
2015-05-26,0.325,0.335,0.32,0.33,4393200,0.33
2015-05-25,0.33,0.33,0.32,0.325,2402200,0.325
2015-05-22,0.33,0.33,0.32,0.325,3553400,0.325
2015-05-21,0.33,0.33,0.32,0.33,8514000,0.33
2015-05-20,0.33,0.335,0.325,0.325,2811600,0.325
2015-05-19,0.33,0.335,0.325,0.325,8561800,0.325
2015-05-18,0.35,0.35,0.325,0.325,5571200,0.325
2015-05-15,0.355,0.355,0.345,0.345,3839200,0.345
2015-05-14,0.35,0.355,0.345,0.345,2657600,0.345
2015-05-13,0.355,0.36,0.35,0.35,5849300,0.35
2015-05-12,0.355,0.36,0.35,0.355,5564100,0.355
2015-05-11,0.36,0.36,0.355,0.355,2683000,0.355
2015-05-08,0.355,0.36,0.355,0.355,4420000,0.355
2015-05-07,0.36,0.365,0.355,0.355,4864700,0.355
2015-05-06,0.365,0.37,0.355,0.36,6057100,0.36
2015-05-05,0.36,0.375,0.355,0.375,59033400,0.375
2015-05-04,0.355,0.36,0.35,0.355,1474800,0.355
2015-05-01,0.35,0.36,0.345,0.355,5981600,0.355
2015-04-30,0.355,0.36,0.35,0.35,6071500,0.35
2015-04-29,0.36,0.36,0.355,0.355,3670800,0.355
2015-04-28,0.36,0.365,0.352,0.355,4961600,0.355
2015-04-27,0.355,0.365,0.35,0.365,4503500,0.365
2015-04-24,0.365,0.37,0.35,0.36,7047800,0.36
2015-04-23,0.38,0.38,0.355,0.355,11236500,0.355
2015-04-22,0.35,0.365,0.347,0.355,30553000,0.355
2015-04-21,0.355,0.36,0.345,0.345,3548900,0.345
2015-04-20,0.355,0.36,0.345,0.345,5513100,0.345
2015-04-17,0.36,0.365,0.355,0.355,3223200,0.355
2015-04-16,0.36,0.365,0.355,0.36,5958100,0.36
2015-04-15,0.365,0.367,0.35,0.355,4786100,0.355
2015-04-14,0.36,0.37,0.36,0.365,3391100,0.365
2015-04-13,0.37,0.37,0.365,0.365,4108000,0.365
2015-04-10,0.37,0.38,0.37,0.37,2528400,0.37
2015-04-09,0.38,0.385,0.375,0.375,4098500,0.375
2015-04-08,0.37,0.38,0.37,0.375,3699200,0.375
2015-04-07,0.37,0.375,0.365,0.365,2686300,0.365
2015-04-06,0.365,0.365,0.365,0.365,000,0.365
2015-04-03,0.365,0.365,0.365,0.365,000,0.365
2015-04-02,0.37,0.375,0.36,0.365,4303900,0.365
2015-04-01,0.37,0.385,0.37,0.375,3356300,0.375
2015-03-31,0.385,0.39,0.375,0.375,4103600,0.375
2015-03-30,0.395,0.397,0.38,0.38,4415700,0.38
2015-03-27,0.40,0.405,0.39,0.395,6961300,0.395
2015-03-26,0.39,0.395,0.385,0.39,4777300,0.39
2015-03-25,0.385,0.40,0.385,0.395,13337900,0.395
2015-03-24,0.375,0.385,0.375,0.385,3660600,0.385
2015-03-23,0.37,0.385,0.37,0.38,4413700,0.38
2015-03-20,0.37,0.375,0.365,0.37,2520700,0.37
2015-03-19,0.375,0.375,0.36,0.365,7799100,0.365
2015-03-18,0.36,0.375,0.36,0.375,3110300,0.375
2015-03-17,0.375,0.38,0.36,0.36,7385600,0.36
2015-03-16,0.38,0.385,0.37,0.375,4390500,0.375
2015-03-13,0.37,0.395,0.365,0.385,8884100,0.385
2015-03-12,0.355,0.38,0.35,0.38,8755800,0.38
2015-03-11,0.375,0.375,0.355,0.355,9544800,0.355
2015-03-10,0.38,0.385,0.375,0.375,4559900,0.375
2015-03-09,0.38,0.39,0.375,0.38,6433600,0.38
2015-03-06,0.40,0.40,0.38,0.39,5546000,0.39
2015-03-05,0.40,0.4075,0.39,0.405,3323900,0.405
2015-03-04,0.395,0.405,0.39,0.395,4719200,0.395
2015-03-03,0.39,0.40,0.385,0.39,4293300,0.39
2015-03-02,0.40,0.405,0.375,0.385,8133700,0.385
2015-02-27,0.395,0.40,0.385,0.395,7111300,0.395
2015-02-26,0.405,0.41,0.39,0.395,10508100,0.395
2015-02-25,0.41,0.41,0.40,0.41,5167500,0.41
2015-02-24,0.415,0.42,0.405,0.405,4270700,0.405
2015-02-23,0.405,0.42,0.40,0.42,9305400,0.42
2015-02-20,0.41,0.415,0.40,0.40,4594800,0.40
2015-02-19,0.425,0.435,0.41,0.415,9488100,0.415
2015-02-18,0.41,0.425,0.405,0.42,10360900,0.42
2015-02-17,0.40,0.4125,0.397,0.405,12052500,0.405
2015-02-16,0.365,0.405,0.365,0.40,17586000,0.40
2015-02-13,0.36,0.37,0.355,0.365,12164200,0.365
2015-02-12,0.37,0.37,0.37,0.37,000,0.37
2015-02-11,0.38,0.38,0.365,0.37,3941700,0.37
2015-02-10,0.375,0.38,0.37,0.38,6098500,0.38
2015-02-09,0.375,0.38,0.365,0.38,4389000,0.38
2015-02-06,0.38,0.38,0.37,0.37,2979400,0.37
2015-02-05,0.38,0.38,0.365,0.38,6253300,0.38
2015-02-04,0.375,0.385,0.365,0.375,7813300,0.375
2015-02-03,0.375,0.375,0.365,0.37,3598500,0.37
2015-02-02,0.37,0.375,0.36,0.37,5723400,0.37
2015-01-30,0.37,0.385,0.365,0.38,9462700,0.38
2015-01-29,0.35,0.37,0.35,0.37,6854100,0.37
2015-01-28,0.345,0.3575,0.345,0.35,3392000,0.35
2015-01-27,0.33,0.36,0.33,0.355,6123100,0.355
2015-01-26,0.325,0.325,0.325,0.325,000,0.325
2015-01-23,0.335,0.335,0.322,0.325,5211900,0.325
2015-01-22,0.34,0.35,0.325,0.33,5146900,0.33
2015-01-21,0.34,0.345,0.335,0.34,4380200,0.34
2015-01-20,0.34,0.355,0.34,0.345,5068400,0.345
