date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.60,4.75,4.59,4.68,944200,4.68
2015-06-29,4.66,4.66,4.59,4.62,480900,4.62
2015-06-26,4.66,4.76,4.63,4.75,513200,4.75
2015-06-25,4.73,4.74,4.67,4.71,374000,4.71
2015-06-24,4.66,4.75,4.65,4.74,614000,4.74
2015-06-23,4.66,4.70,4.62,4.67,668900,4.67
2015-06-22,4.66,4.68,4.59,4.60,921600,4.60
2015-06-19,4.60,4.73,4.58,4.67,1136500,4.67
2015-06-18,4.50,4.57,4.50,4.55,682800,4.55
2015-06-17,4.51,4.53,4.45,4.45,836700,4.45
2015-06-16,4.45,4.48,4.44,4.45,264200,4.45
2015-06-15,4.48,4.48,4.45,4.47,344100,4.47
2015-06-12,4.42,4.48,4.41,4.46,505000,4.46
2015-06-11,4.36,4.42,4.36,4.42,342600,4.42
2015-06-10,4.33,4.35,4.31,4.34,256300,4.34
2015-06-09,4.25,4.35,4.25,4.32,412400,4.32
2015-06-08,4.34,4.34,4.34,4.34,000,4.34
2015-06-05,4.28,4.35,4.28,4.34,385300,4.34
2015-06-04,4.28,4.32,4.25,4.31,800600,4.31
2015-06-03,4.19,4.29,4.19,4.26,521900,4.26
2015-06-02,4.22,4.225,4.17,4.19,261900,4.19
2015-06-01,4.18,4.22,4.15,4.21,347900,4.21
2015-05-29,4.22,4.24,4.19,4.20,562400,4.20
2015-05-28,4.16,4.175,4.09,4.16,394700,4.16
2015-05-27,4.14,4.16,4.12,4.15,211300,4.15
2015-05-26,4.22,4.24,4.15,4.15,344400,4.15
2015-05-25,4.14,4.21,4.14,4.19,294500,4.19
2015-05-22,4.14,4.17,4.13,4.14,343600,4.14
2015-05-21,4.09,4.13,4.07,4.10,426500,4.10
2015-05-20,4.15,4.17,4.085,4.09,504400,4.09
2015-05-19,4.20,4.21,4.15,4.15,285000,4.15
2015-05-18,4.21,4.245,4.18,4.19,257800,4.19
2015-05-15,4.24,4.25,4.20,4.23,349300,4.23
2015-05-14,4.16,4.22,4.14,4.21,246500,4.21
2015-05-13,4.17,4.23,4.145,4.22,383900,4.22
2015-05-12,4.14,4.24,4.11,4.22,681800,4.22
2015-05-11,4.18,4.20,4.10,4.10,262700,4.10
2015-05-08,4.12,4.21,4.08,4.13,370600,4.13
2015-05-07,4.08,4.13,4.05,4.10,351200,4.10
2015-05-06,4.11,4.18,4.11,4.13,1122400,4.13
2015-05-05,4.24,4.24,4.15,4.15,335900,4.15
2015-05-04,4.06,4.18,4.06,4.17,828600,4.17
2015-05-01,4.10,4.10,4.03,4.09,476100,4.09
2015-04-30,4.15,4.22,4.12,4.12,1033100,4.12
2015-04-29,4.20,4.23,4.14,4.14,946700,4.14
2015-04-28,4.25,4.25,4.18,4.20,612800,4.20
2015-04-27,4.24,4.245,4.18,4.21,350500,4.21
2015-04-24,4.25,4.25,4.20,4.23,797900,4.23
2015-04-23,4.15,4.22,4.15,4.22,747400,4.22
2015-04-22,4.18,4.20,4.15,4.17,385000,4.17
2015-04-21,4.21,4.23,4.15,4.18,332500,4.18
2015-04-20,4.16,4.19,4.15,4.17,289400,4.17
2015-04-17,4.23,4.25,4.15,4.15,385600,4.15
2015-04-16,4.26,4.28,4.22,4.24,413800,4.24
2015-04-15,4.24,4.24,4.19,4.20,332400,4.20
2015-04-14,4.15,4.26,4.11,4.25,740300,4.25
2015-04-13,4.19,4.20,4.13,4.17,411900,4.17
2015-04-10,4.17,4.19,4.10,4.19,773100,4.19
2015-04-09,4.18,4.21,4.14,4.15,754600,4.15
