date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,12.64,12.79,12.57,12.75,338200,12.75
2015-06-29,12.50,12.87,12.47,12.75,308700,12.75
2015-06-26,13.03,13.18,12.80,13.04,388800,13.04
2015-06-25,13.73,13.76,13.35,13.35,185700,13.35
2015-06-24,14.00,14.00,13.68,13.76,544100,13.76
2015-06-23,13.20,13.98,13.20,13.95,267800,13.95
2015-06-22,13.40,13.40,13.05,13.22,222400,13.22
2015-06-19,13.47,13.65,13.29,13.29,350600,13.29
2015-06-18,13.41,13.43,13.11,13.20,404000,13.20
2015-06-17,13.51,13.73,13.41,13.56,233200,13.56
2015-06-16,13.87,13.87,13.43,13.43,199600,13.43
2015-06-15,13.58,13.66,13.47,13.56,266200,13.56
2015-06-12,13.60,13.81,13.53,13.55,179800,13.55
2015-06-11,13.54,13.72,13.47,13.67,174200,13.67
2015-06-10,13.59,13.68,13.39,13.43,267100,13.43
2015-06-09,13.67,13.86,13.53,13.55,248800,13.55
2015-06-08,13.81,13.81,13.81,13.81,000,13.81
2015-06-05,13.52,14.00,13.51,13.81,215400,13.81
2015-06-04,13.91,14.07,13.57,13.61,272700,13.61
2015-06-03,13.90,13.99,13.71,13.81,507800,13.81
2015-06-02,14.30,14.30,13.99,14.06,269400,14.06
2015-06-01,14.26,14.31,13.96,14.18,336100,14.18
2015-05-29,14.28,14.40,14.23,14.27,519900,14.27
2015-05-28,14.49,14.49,14.18,14.29,180200,14.29
2015-05-27,14.40,14.58,14.29,14.43,216900,14.43
2015-05-26,14.33,14.62,14.30,14.51,186300,14.51
2015-05-25,14.04,14.46,14.04,14.34,214200,14.34
2015-05-22,14.15,14.29,14.02,14.12,223000,14.12
2015-05-21,13.65,14.25,13.65,14.16,383200,14.16
2015-05-20,13.80,13.84,13.62,13.63,266300,13.63
2015-05-19,13.68,13.845,13.67,13.79,295000,13.79
2015-05-18,13.82,13.98,13.62,13.64,556000,13.64
2015-05-15,13.61,13.93,13.61,13.77,479200,13.77
2015-05-14,13.03,13.52,12.94,13.48,275600,13.48
2015-05-13,12.76,13.23,12.76,13.23,214400,13.23
2015-05-12,12.40,12.80,12.40,12.70,268500,12.70
2015-05-11,12.53,12.79,12.46,12.60,235300,12.60
2015-05-08,12.52,12.80,12.52,12.53,206900,12.53
2015-05-07,12.68,12.77,12.46,12.65,335000,12.65
2015-05-06,13.35,13.35,12.90,12.95,241800,12.95
2015-05-05,13.35,13.69,13.24,13.35,354800,13.35
2015-05-04,12.86,13.23,12.83,13.23,464400,13.23
2015-05-01,12.59,12.83,12.35,12.81,241100,12.81
