date,Open,High,Low,Close,Volume,Adj Close
2015-06-12,1.84,1.84,1.84,1.84,000,1.84
2015-06-11,1.84,1.84,1.84,1.84,000,1.84
2015-06-10,1.84,1.84,1.84,1.84,000,1.84
2015-06-09,1.845,1.845,1.84,1.84,710100,1.84
2015-06-08,1.84,1.84,1.84,1.84,000,1.84
2015-06-05,1.84,1.845,1.84,1.84,192800,1.84
2015-06-04,1.84,1.845,1.84,1.84,712700,1.84
2015-06-03,1.84,1.845,1.84,1.84,996100,1.84
2015-06-02,1.84,1.845,1.84,1.84,493100,1.84
2015-06-01,1.84,1.85,1.84,1.84,185800,1.84
2015-05-29,1.845,1.85,1.84,1.84,1595400,1.84
2015-05-28,1.845,1.85,1.83,1.845,1179400,1.845
2015-05-27,1.845,1.85,1.845,1.845,540700,1.845
2015-05-26,1.845,1.85,1.845,1.845,861100,1.845
2015-05-25,1.85,1.85,1.845,1.845,1729600,1.845
2015-05-22,1.85,1.855,1.845,1.85,5188600,1.85
2015-05-21,1.85,1.855,1.85,1.85,2783800,1.85
2015-05-20,1.845,1.85,1.845,1.845,2416200,1.845
2015-05-19,1.845,1.85,1.845,1.845,1402800,1.845
2015-05-18,1.85,1.85,1.845,1.845,974000,1.845
2015-05-15,1.85,1.85,1.845,1.85,4002700,1.85
2015-05-14,1.845,1.855,1.845,1.855,10301400,1.855
2015-05-13,1.85,1.855,1.85,1.85,16434800,1.85
2015-05-12,1.85,1.855,1.85,1.85,23943800,1.85
2015-05-11,1.85,1.855,1.85,1.85,67660500,1.85
2015-05-08,1.73,1.73,1.73,1.73,000,1.73
2015-05-07,1.735,1.74,1.725,1.73,2958900,1.73
2015-05-06,1.745,1.755,1.74,1.74,8149000,1.74
2015-05-05,1.755,1.76,1.75,1.755,1793600,1.755
2015-05-04,1.76,1.76,1.74,1.76,1852200,1.76
2015-05-01,1.745,1.755,1.745,1.755,3622700,1.755
2015-04-30,1.74,1.75,1.74,1.745,3194500,1.745
2015-04-29,1.74,1.75,1.74,1.74,2677900,1.74
2015-04-28,1.75,1.75,1.74,1.74,10020300,1.74
2015-04-27,1.745,1.755,1.745,1.75,2792100,1.75
2015-04-24,1.75,1.76,1.74,1.74,2395600,1.74
2015-04-23,1.74,1.75,1.735,1.74,3925100,1.74
2015-04-22,1.735,1.74,1.735,1.74,3494800,1.74
2015-04-21,1.735,1.74,1.735,1.735,2350400,1.735
2015-04-20,1.735,1.74,1.735,1.74,3673300,1.74
2015-04-17,1.74,1.745,1.735,1.735,6079800,1.735
2015-04-16,1.74,1.75,1.74,1.745,5566000,1.745
2015-04-15,1.735,1.755,1.735,1.735,3706000,1.735
2015-04-14,1.74,1.75,1.735,1.74,2332100,1.74
2015-04-13,1.745,1.75,1.735,1.74,2957800,1.74
2015-04-10,1.75,1.755,1.745,1.75,1640200,1.75
2015-04-09,1.75,1.755,1.745,1.745,2490100,1.745
2015-04-08,1.745,1.755,1.74,1.745,3042100,1.745
2015-04-07,1.74,1.745,1.735,1.735,3124700,1.735
2015-04-06,1.74,1.74,1.74,1.74,000,1.74
2015-04-03,1.74,1.74,1.74,1.74,000,1.74
2015-04-02,1.725,1.745,1.725,1.74,3202500,1.74
2015-04-01,1.72,1.725,1.72,1.72,25195500,1.72
2015-03-31,1.72,1.73,1.72,1.72,19146000,1.72
2015-03-30,1.72,1.725,1.71,1.715,60154900,1.715
2015-03-27,1.27,1.28,1.215,1.225,2669100,1.225
2015-03-26,1.23,1.27,1.197,1.25,3002000,1.25
2015-03-25,1.245,1.285,1.23,1.265,4369700,1.265
2015-03-24,1.23,1.27,1.195,1.24,8293500,1.24
2015-03-23,1.18,1.195,1.16,1.18,2080000,1.18
2015-03-20,1.115,1.165,1.115,1.15,2329600,1.15
2015-03-19,1.12,1.135,1.105,1.12,2022300,1.12
2015-03-18,1.14,1.14,1.095,1.10,2877600,1.10
2015-03-17,1.165,1.175,1.135,1.145,2873900,1.145
2015-03-16,1.17,1.18,1.152,1.17,1717500,1.17
2015-03-13,1.175,1.235,1.15,1.165,4358000,1.165
2015-03-12,1.20,1.21,1.135,1.14,6750900,1.14
2015-03-11,1.155,1.21,1.14,1.195,2323800,1.195
2015-03-10,1.235,1.24,1.17,1.18,5908600,1.18
2015-03-09,1.24,1.24,1.21,1.225,2468400,1.225
2015-03-06,1.32,1.33,1.26,1.265,2504400,1.265
2015-03-05,1.305,1.34,1.305,1.32,2888900,1.32
2015-03-04,1.31,1.325,1.295,1.31,3442000,1.31
2015-03-03,1.33,1.34,1.31,1.33,3845400,1.33
2015-03-02,1.315,1.33,1.30,1.315,2579400,1.315
2015-02-27,1.30,1.32,1.29,1.31,6092000,1.31
2015-02-26,1.275,1.30,1.245,1.275,1840300,1.275
2015-02-25,1.215,1.29,1.205,1.28,8651400,1.28
2015-02-24,1.19,1.215,1.17,1.18,4601800,1.18
2015-02-23,1.27,1.275,1.18,1.19,4897200,1.19
2015-02-20,1.335,1.335,1.225,1.26,2670900,1.26
2015-02-19,1.48,1.49,1.34,1.35,3974900,1.35
2015-02-18,1.45,1.455,1.415,1.45,1893100,1.45
2015-02-17,1.425,1.475,1.415,1.46,2420000,1.46
2015-02-16,1.42,1.44,1.40,1.42,1815600,1.42
2015-02-13,1.34,1.385,1.32,1.38,3290600,1.38
