date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,48.41,48.96,48.07,48.36,335900,48.36
2015-06-29,49.50,49.50,47.31,48.10,301700,48.10
2015-06-26,50.71,50.94,49.92,50.55,164500,50.55
2015-06-25,51.48,51.64,51.06,51.22,236100,51.22
2015-06-24,51.48,51.81,51.36,51.43,211300,51.43
2015-06-23,51.85,51.94,51.36,51.47,238600,51.47
2015-06-22,51.66,51.79,50.66,51.01,151500,51.01
2015-06-19,52.06,52.36,51.80,51.91,204500,51.91
2015-06-18,52.50,52.58,50.72,51.59,322300,51.59
2015-06-17,53.67,53.67,52.95,53.55,145800,53.55
2015-06-16,53.41,53.73,52.87,53.22,130200,53.22
2015-06-15,53.65,53.96,53.29,53.91,79700,53.91
2015-06-12,53.92,54.40,53.65,54.19,124800,54.19
2015-06-11,53.50,54.22,53.27,53.96,199500,53.96
2015-06-10,53.40,53.45,52.46,53.20,141100,53.20
2015-06-09,53.16,53.86,53.16,53.29,130800,53.29
2015-06-08,53.75,53.75,53.75,53.75,000,53.75
2015-06-05,54.80,55.09,53.28,53.75,182700,53.75
2015-06-04,54.76,55.13,54.245,54.38,271900,54.38
2015-06-03,53.80,54.57,53.57,54.41,175000,54.41
2015-06-02,57.00,57.00,54.62,54.79,207300,54.79
2015-06-01,56.13,56.91,55.41,56.91,138500,56.91
2015-05-29,56.12,57.22,56.06,56.48,83100,56.48
2015-05-28,56.41,56.41,55.56,56.00,78500,56.00
2015-05-27,56.01,56.20,55.54,56.07,109200,56.07
2015-05-26,56.14,56.26,55.75,56.18,95800,56.18
2015-05-25,55.65,56.54,55.49,56.13,110800,56.13
2015-05-22,55.69,55.95,55.13,55.43,74600,55.43
2015-05-21,54.84,55.44,54.71,55.25,149000,55.25
2015-05-20,54.00,54.97,53.96,54.43,180700,54.43
2015-05-19,54.48,54.96,53.83,53.89,164200,53.89
2015-05-18,54.85,55.26,53.99,53.99,90600,53.99
2015-05-15,54.95,55.34,54.48,54.83,97300,54.83
2015-05-14,53.30,54.26,53.30,54.25,112500,54.25
2015-05-13,52.85,54.34,52.83,54.34,147700,54.34
2015-05-12,53.35,53.82,52.72,53.74,134400,53.74
2015-05-11,53.85,54.61,53.29,53.41,142200,53.41
2015-05-08,52.72,54.16,52.72,53.81,125300,53.81
2015-05-07,52.65,54.09,52.46,53.20,160500,53.20
2015-05-06,54.00,54.00,53.02,53.23,135800,53.23
2015-05-05,56.44,56.73,54.61,54.89,202300,54.89
2015-05-04,55.19,55.31,54.50,54.60,247100,54.60
2015-05-01,54.42,54.74,53.75,54.37,180000,54.37
2015-04-30,55.00,55.02,53.96,54.16,255800,54.16
2015-04-29,56.67,56.70,55.22,55.66,125700,55.66
2015-04-28,57.90,58.04,56.71,56.75,151800,56.75
2015-04-27,57.91,58.22,57.51,57.79,142300,57.79
2015-04-24,57.24,58.06,57.20,57.81,96700,57.81
2015-04-23,56.76,56.90,56.32,56.40,134900,56.40
2015-04-22,57.85,58.44,56.62,56.83,125100,56.83
2015-04-21,57.01,57.86,56.90,57.72,207000,57.72
2015-04-20,57.00,57.08,55.80,56.25,213500,56.25
2015-04-17,58.07,58.44,57.69,57.75,147300,57.75
2015-04-16,58.00,58.48,57.77,58.07,99400,58.07
2015-04-15,57.33,57.87,56.95,57.36,107300,57.36
2015-04-14,58.20,58.28,57.47,57.60,126400,57.60
2015-04-13,57.34,58.415,57.33,58.24,170200,58.24
2015-04-10,56.95,57.44,56.95,57.26,116800,57.26
2015-04-09,56.75,57.20,56.45,56.73,105100,56.73
2015-04-08,55.42,56.54,55.395,56.54,121000,56.54
2015-04-07,56.44,56.75,55.24,55.40,136600,55.40
2015-04-06,56.35,56.35,56.35,56.35,000,56.35
2015-04-03,56.35,56.35,56.35,56.35,000,56.35
2015-04-02,55.00,56.42,54.96,56.35,181600,56.35
2015-04-01,54.61,55.09,54.40,54.87,164800,54.87
2015-03-31,54.00,55.39,53.86,55.02,120200,55.02
2015-03-30,53.96,54.48,53.04,53.68,170400,53.68
2015-03-27,53.91,54.70,53.90,54.64,159800,54.64
2015-03-26,55.38,55.43,53.81,53.81,160500,53.81
2015-03-25,55.00,55.78,54.97,55.65,149000,55.65
2015-03-24,54.90,55.25,54.60,54.98,101400,54.98
2015-03-23,55.50,55.86,54.84,55.19,134600,55.19
2015-03-20,55.28,56.09,55.26,55.50,143000,55.50
2015-03-19,55.75,55.75,54.82,55.23,276200,55.23
2015-03-18,54.29,54.66,53.63,54.13,146500,54.13
2015-03-17,54.50,55.14,54.40,54.49,189300,54.49
2015-03-16,53.55,54.24,53.065,53.86,145600,53.86
2015-03-13,54.08,54.48,53.63,53.80,142700,53.80
2015-03-12,53.77,54.25,53.23,53.88,175900,53.88
2015-03-11,53.33,54.06,52.76,53.76,143700,53.76
2015-03-10,53.58,54.30,53.22,53.69,213000,53.69
2015-03-09,53.36,53.94,52.89,53.21,98700,53.21
2015-03-06,54.03,54.21,53.00,53.55,172600,53.55
2015-03-05,53.44,54.11,52.94,54.06,211200,54.06
2015-03-04,52.92,53.51,52.83,53.40,231300,53.40
2015-03-03,53.50,53.53,51.86,52.50,203400,52.50
2015-03-02,54.71,54.99,54.15,54.52,198200,52.877
2015-02-27,54.54,54.76,53.43,54.71,219000,53.061
2015-02-26,53.86,54.00,53.13,53.59,165800,51.975
2015-02-25,53.93,54.83,53.90,54.83,168600,53.178
2015-02-24,53.00,53.96,52.975,53.85,161700,52.227
2015-02-23,52.05,53.13,52.05,52.94,74000,51.345
2015-02-20,52.94,53.305,51.70,51.99,137100,50.423
2015-02-19,53.00,53.71,52.74,52.88,143400,51.287
2015-02-18,51.43,52.60,51.41,52.60,131000,51.015
2015-02-17,51.50,51.92,51.30,51.49,143300,49.938
2015-02-16,51.48,52.20,51.47,52.02,108600,50.452
2015-02-13,51.54,51.94,51.46,51.70,129000,50.142
2015-02-12,51.55,51.78,50.50,50.60,179900,49.075
2015-02-11,51.31,51.93,50.32,50.78,98800,49.25
2015-02-10,50.68,51.18,50.48,51.03,236200,49.492
2015-02-09,50.02,50.61,50.01,50.61,120500,49.085
2015-02-06,50.20,50.32,49.80,50.15,148000,48.639
2015-02-05,49.68,50.20,49.59,50.18,304700,48.668
2015-02-04,49.50,49.90,48.92,49.66,193500,48.164
2015-02-03,48.06,49.18,48.035,49.02,224300,47.543
2015-02-02,48.60,48.66,47.90,48.15,392800,46.699
2015-01-30,48.20,49.25,48.07,49.18,262900,47.698
2015-01-29,47.25,47.94,47.25,47.79,227500,46.35
2015-01-28,48.00,48.11,47.61,47.90,140500,46.457
2015-01-27,47.79,48.12,47.55,48.00,301400,46.554
2015-01-26,46.99,46.99,46.99,46.99,000,45.574
2015-01-23,46.80,47.67,46.79,46.99,295000,45.574
2015-01-22,46.07,46.19,45.12,45.33,139000,43.964
2015-01-21,45.13,45.56,44.86,45.15,162700,43.789
2015-01-20,44.52,45.03,44.30,44.98,165900,43.625
2015-01-19,44.98,45.67,44.87,45.07,149100,43.712
2015-01-16,44.83,44.95,44.11,44.48,124900,43.14
2015-01-15,45.29,45.29,44.79,45.00,135500,43.644
2015-01-14,45.59,45.87,45.40,45.66,151900,44.284
2015-01-13,45.66,46.15,45.31,45.78,156900,44.401
2015-01-12,46.65,47.16,46.65,46.82,107100,45.409
