date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.84,2.89,2.82,2.88,677200,2.71571
2015-06-29,2.92,2.92,2.83,2.86,473800,2.69685
2015-06-26,2.90,2.91,2.825,2.88,562900,2.71571
2015-06-25,2.83,2.93,2.83,2.90,1617400,2.73457
2015-06-24,2.82,2.91,2.75,2.82,3123100,2.65914
2015-06-23,2.80,2.80,2.80,2.80,000,2.64028
2015-06-22,2.80,2.80,2.80,2.80,000,2.64028
2015-06-19,2.86,2.94,2.80,2.80,997400,2.64028
2015-06-18,2.96,2.97,2.83,2.87,546600,2.70628
2015-06-17,2.98,3.00,2.95,2.95,705200,2.78172
2015-06-16,3.00,3.01,2.95,2.98,1290800,2.81001
2015-06-15,3.00,3.02,2.96,3.00,1250700,2.82887
2015-06-12,3.15,3.15,2.98,3.07,854600,2.89488
2015-06-11,3.04,3.08,3.01,3.02,306600,2.84773
2015-06-10,3.01,3.10,2.99,3.04,430600,2.86659
2015-06-09,3.01,3.05,2.98,3.01,316100,2.8383
2015-06-08,3.01,3.01,3.01,3.01,000,2.8383
2015-06-05,3.00,3.03,2.975,3.01,410600,2.8383
2015-06-04,3.03,3.04,2.94,2.99,483100,2.81944
2015-06-03,2.89,3.08,2.89,3.08,638800,2.90431
2015-06-02,2.82,2.93,2.82,2.89,940300,2.72514
2015-06-01,2.74,2.81,2.72,2.81,451700,2.64971
2015-05-29,2.78,2.78,2.68,2.74,3944600,2.5837
2015-05-28,2.74,2.77,2.66,2.77,466300,2.61199
2015-05-27,2.58,2.67,2.56,2.64,299600,2.4894
2015-05-26,2.51,2.61,2.51,2.55,151000,2.40454
2015-05-25,2.58,2.61,2.40,2.51,460100,2.36682
2015-05-22,2.60,2.67,2.55,2.62,135700,2.47055
2015-05-21,2.64,2.65,2.55,2.55,270600,2.40454
2015-05-20,2.64,2.67,2.63,2.64,96600,2.4894
2015-05-19,2.70,2.71,2.62,2.64,205900,2.4894
2015-05-18,2.75,2.77,2.70,2.71,38600,2.55541
2015-05-15,2.79,2.80,2.70,2.70,132300,2.54598
2015-05-14,2.77,2.80,2.745,2.75,327600,2.59313
2015-05-13,2.75,2.82,2.70,2.79,494800,2.63085
2015-05-12,2.79,2.80,2.73,2.80,180700,2.64028
2015-05-11,2.77,2.81,2.75,2.80,63900,2.64028
2015-05-08,2.77,2.81,2.75,2.77,61100,2.61199
2015-05-07,2.73,2.82,2.73,2.78,132100,2.62142
2015-05-06,2.76,2.82,2.74,2.82,107700,2.65914
2015-05-05,2.85,2.86,2.73,2.79,192500,2.63085
2015-05-04,2.85,2.87,2.75,2.77,213300,2.61199
2015-05-01,2.80,2.87,2.80,2.85,64500,2.68743
2015-04-30,2.76,2.84,2.72,2.80,219300,2.64028
2015-04-29,2.75,2.88,2.74,2.82,251900,2.65914
2015-04-28,2.71,2.76,2.67,2.72,314100,2.56484
2015-04-27,2.69,2.71,2.66,2.71,75000,2.55541
2015-04-24,2.72,2.73,2.66,2.70,146900,2.54598
2015-04-23,2.73,2.74,2.69,2.69,92600,2.53655
2015-04-22,2.70,2.73,2.70,2.73,124500,2.57427
2015-04-21,2.71,2.72,2.68,2.72,122900,2.56484
2015-04-20,2.70,2.72,2.67,2.71,76600,2.55541
2015-04-17,2.69,2.74,2.66,2.67,108700,2.51769
2015-04-16,2.69,2.73,2.67,2.705,143800,2.5507
2015-04-15,2.65,2.69,2.64,2.67,137100,2.51769
2015-04-14,2.63,2.67,2.59,2.66,124600,2.50826
2015-04-13,2.66,2.66,2.58,2.58,211100,2.43283
2015-04-10,2.60,2.68,2.60,2.66,105300,2.50826
2015-04-09,2.63,2.65,2.59,2.59,86900,2.44226
2015-04-08,2.51,2.63,2.49,2.63,134400,2.47998
2015-04-07,2.58,2.59,2.49,2.51,92800,2.36682
2015-04-06,2.47,2.47,2.47,2.47,000,2.3291
2015-04-03,2.47,2.47,2.47,2.47,000,2.3291
2015-04-02,2.52,2.64,2.47,2.47,154600,2.3291
2015-04-01,2.45,2.53,2.44,2.53,133900,2.38568
2015-03-31,2.47,2.48,2.42,2.42,169400,2.28195
2015-03-30,2.49,2.49,2.43,2.43,65900,2.29138
2015-03-27,2.46,2.51,2.46,2.50,191700,2.35739
2015-03-26,2.43,2.48,2.43,2.47,68700,2.3291
2015-03-25,2.40,2.46,2.40,2.46,94300,2.31967
2015-03-24,2.40,2.43,2.37,2.37,105500,2.23481
2015-03-23,2.39,2.45,2.37,2.45,91400,2.31024
2015-03-20,2.40,2.43,2.37,2.37,224200,2.23481
2015-03-19,2.44,2.45,2.40,2.40,85900,2.2631
2015-03-18,2.46,2.46,2.39,2.42,74300,2.28195
2015-03-17,2.45,2.46,2.43,2.46,189100,2.31967
2015-03-16,2.39,2.40,2.345,2.40,119000,2.2631
2015-03-13,2.40,2.44,2.39,2.40,160700,2.2631
2015-03-12,2.47,2.47,2.39,2.43,62000,2.29138
2015-03-11,2.45,2.48,2.42,2.46,79200,2.31967
2015-03-10,2.45,2.50,2.44,2.48,182500,2.33853
2015-03-09,2.47,2.47,2.39,2.45,108600,2.31024
2015-03-06,2.48,2.53,2.47,2.50,122100,2.35739
2015-03-05,2.47,2.50,2.46,2.50,137700,2.35739
2015-03-04,2.40,2.48,2.395,2.45,135300,2.31024
2015-03-03,2.43,2.44,2.37,2.43,97100,2.29138
2015-03-02,2.40,2.47,2.40,2.43,42600,2.29138
2015-02-27,2.35,2.43,2.35,2.43,133300,2.29138
2015-02-26,2.30,2.42,2.30,2.42,201100,2.28195
2015-02-25,2.26,2.30,2.26,2.30,79200,2.1688
2015-02-24,2.28,2.29,2.22,2.28,66400,2.14994
2015-02-23,2.27,2.28,2.23,2.28,51500,2.14994
2015-02-20,2.24,2.27,2.20,2.27,140000,2.14051
2015-02-19,2.20,2.25,2.19,2.23,117300,2.10279
2015-02-18,2.21,2.23,2.18,2.19,85600,2.06507
2015-02-17,2.21,2.24,2.19,2.21,147800,2.08393
2015-02-16,2.22,2.23,2.14,2.20,131600,2.0745
2015-02-13,2.19,2.27,2.15,2.23,286800,2.10279
2015-02-12,2.26,2.29,2.16,2.16,135400,2.03679
2015-02-11,2.32,2.39,2.23,2.23,120800,2.10279
2015-02-10,2.35,2.39,2.23,2.27,131100,2.14051
2015-02-09,2.26,2.35,2.165,2.35,214700,2.21595
2015-02-06,2.17,2.27,2.075,2.24,558300,2.11222
2015-02-05,2.18,2.21,2.10,2.18,378700,2.05564
2015-02-04,2.21,2.23,2.17,2.18,89200,2.05564
2015-02-03,2.17,2.18,2.13,2.16,130700,2.03679
2015-02-02,2.17,2.22,2.15,2.17,277500,2.04622
2015-01-30,2.35,2.35,2.16,2.17,302600,2.04622
2015-01-29,2.38,2.38,2.27,2.30,167200,2.1688
2015-01-28,2.25,2.36,2.23,2.36,91700,2.22538
2015-01-27,2.25,2.27,2.20,2.25,125500,2.12165
2015-01-26,2.22,2.22,2.22,2.22,000,2.09336
2015-01-23,2.40,2.40,2.22,2.22,390900,2.09336
2015-01-22,2.44,2.45,2.34,2.43,94600,2.29138
2015-01-21,2.46,2.47,2.41,2.42,321300,2.28195
2015-01-20,2.40,2.47,2.40,2.45,95200,2.31024
2015-01-19,2.40,2.42,2.39,2.42,148200,2.28195
2015-01-16,2.40,2.41,2.35,2.39,88700,2.25367
2015-01-15,2.36,2.47,2.35,2.39,88100,2.25367
2015-01-14,2.35,2.40,2.32,2.38,584200,2.24424
2015-01-13,2.41,2.41,2.34,2.38,32300,2.24424
2015-01-12,2.47,2.47,2.34,2.40,91800,2.2631
2015-01-09,2.425,2.44,2.37,2.41,67500,2.27252
2015-01-08,2.49,2.49,2.42,2.43,67700,2.29138
2015-01-07,2.43,2.46,2.39,2.42,73600,2.28195
2015-01-06,2.54,2.54,2.42,2.45,78500,2.31024
2015-01-05,2.67,2.69,2.62,2.62,137700,2.38294
2015-01-02,2.57,2.65,2.55,2.65,129300,2.41023
2015-01-01,2.57,2.57,2.57,2.57,000,2.33747
2014-12-31,2.59,2.59,2.52,2.57,38400,2.33747
2014-12-30,2.62,2.62,2.50,2.58,117400,2.34656
2014-12-29,2.39,2.58,2.38,2.58,242500,2.34656
2014-12-26,2.39,2.39,2.39,2.39,000,2.17375
2014-12-25,2.39,2.39,2.39,2.39,000,2.17375
2014-12-24,2.32,2.39,2.32,2.39,38200,2.17375
2014-12-23,2.36,2.39,2.30,2.32,76000,2.11009
2014-12-22,2.37,2.39,2.29,2.39,108200,2.17375
2014-12-19,2.30,2.36,2.255,2.34,168700,2.12828
2014-12-18,2.12,2.25,2.12,2.25,201500,2.04642
2014-12-17,2.24,2.24,2.10,2.12,247100,1.92818
2014-12-16,2.26,2.31,2.21,2.24,209400,2.03733
2014-12-15,2.28,2.305,2.25,2.25,105000,2.04642
2014-12-12,2.25,2.295,2.25,2.25,61800,2.04642
2014-12-11,2.25,2.31,2.25,2.28,107400,2.07371
2014-12-10,2.34,2.34,2.25,2.32,138700,2.11009
2014-12-09,2.36,2.39,2.26,2.34,158900,2.12828
2014-12-08,2.40,2.40,2.26,2.33,156300,2.11918
2014-12-05,2.50,2.50,2.38,2.43,155000,2.21014
2014-12-04,2.65,2.66,2.49,2.50,125300,2.2738
2014-12-03,2.65,2.70,2.61,2.63,319400,2.39204
2014-12-02,2.54,2.67,2.54,2.63,162000,2.39204
2014-12-01,2.76,2.76,2.55,2.55,277100,2.31928
2014-11-28,2.76,2.78,2.70,2.76,100400,2.51028
2014-11-27,2.79,2.79,2.74,2.74,19400,2.49209
2014-11-26,2.73,2.77,2.70,2.77,450000,2.51937
2014-11-25,2.70,2.75,2.69,2.73,97400,2.48299
2014-11-24,2.68,2.75,2.68,2.75,76800,2.50118
2014-11-21,2.74,2.74,2.67,2.67,119600,2.42842
2014-11-20,2.70,2.75,2.68,2.70,284800,2.45571
2014-11-19,2.69,2.72,2.67,2.70,346500,2.45571
2014-11-18,2.69,2.71,2.65,2.67,103700,2.42842
2014-11-17,2.68,2.72,2.66,2.71,59900,2.4648
2014-11-14,2.68,2.69,2.65,2.67,60900,2.42842
2014-11-13,2.69,2.73,2.63,2.67,15300,2.42842
2014-11-12,2.73,2.73,2.69,2.69,23100,2.44661
2014-11-11,2.74,2.75,2.695,2.75,80300,2.50118
2014-11-10,2.71,2.74,2.67,2.74,75700,2.49209
2014-11-07,2.71,2.76,2.67,2.73,121200,2.48299
2014-11-06,2.55,2.71,2.54,2.71,133600,2.4648
2014-11-05,2.54,2.60,2.50,2.58,1998300,2.34656
2014-11-04,2.55,2.58,2.53,2.54,60100,2.31018
2014-11-03,2.59,2.60,2.56,2.58,13500,2.34656
2014-10-31,2.57,2.60,2.55,2.58,147800,2.34656
