date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.435,0.44,0.42,0.43,1376900,0.43
2015-06-29,0.435,0.445,0.43,0.44,1197600,0.44
2015-06-26,0.44,0.45,0.43,0.43,1298100,0.43
2015-06-25,0.43,0.44,0.425,0.44,806500,0.44
2015-06-24,0.44,0.44,0.415,0.42,2566000,0.42
2015-06-23,0.43,0.44,0.42,0.435,1861300,0.435
2015-06-22,0.44,0.4525,0.43,0.435,3289400,0.435
2015-06-19,0.45,0.455,0.445,0.445,4573700,0.445
2015-06-18,0.415,0.44,0.415,0.435,2434700,0.435
2015-06-17,0.395,0.415,0.395,0.41,1521600,0.41
2015-06-16,0.395,0.41,0.387,0.40,2037900,0.40
2015-06-15,0.42,0.425,0.385,0.385,2830000,0.385
2015-06-12,0.43,0.43,0.42,0.425,1310300,0.425
2015-06-11,0.44,0.44,0.43,0.43,749800,0.43
2015-06-10,0.43,0.4325,0.42,0.42,2270700,0.42
2015-06-09,0.415,0.44,0.415,0.44,721900,0.44
2015-06-08,0.415,0.415,0.415,0.415,000,0.415
2015-06-05,0.41,0.43,0.41,0.415,2696200,0.415
2015-06-04,0.43,0.44,0.41,0.41,1866700,0.41
2015-06-03,0.455,0.455,0.435,0.44,2083600,0.44
2015-06-02,0.445,0.455,0.435,0.455,1186600,0.455
2015-06-01,0.46,0.465,0.43,0.44,3211400,0.44
2015-05-29,0.47,0.47,0.45,0.45,2445700,0.45
2015-05-28,0.46,0.485,0.45,0.46,4484800,0.46
2015-05-27,0.46,0.47,0.45,0.455,4957400,0.455
2015-05-26,0.49,0.50,0.48,0.485,4251900,0.485
2015-05-25,0.465,0.505,0.46,0.49,4813400,0.49
2015-05-22,0.44,0.475,0.435,0.465,2829200,0.465
2015-05-21,0.44,0.45,0.43,0.43,3269500,0.43
2015-05-20,0.425,0.45,0.425,0.44,4643600,0.44
2015-05-19,0.43,0.44,0.425,0.44,2190000,0.44
2015-05-18,0.42,0.435,0.42,0.435,2670300,0.435
2015-05-15,0.435,0.44,0.415,0.42,5499200,0.42
2015-05-14,0.44,0.45,0.435,0.435,3132900,0.435
2015-05-13,0.42,0.435,0.42,0.425,4075000,0.425
2015-05-12,0.415,0.42,0.41,0.41,3257500,0.41
2015-05-11,0.41,0.425,0.405,0.415,6059200,0.415
2015-05-08,0.395,0.405,0.39,0.395,2720600,0.395
2015-05-07,0.39,0.41,0.39,0.395,3013900,0.395
2015-05-06,0.385,0.41,0.385,0.40,5544600,0.40
2015-05-05,0.39,0.405,0.38,0.385,6310000,0.385
2015-05-04,0.365,0.385,0.36,0.385,4472800,0.385
2015-05-01,0.37,0.375,0.36,0.365,4633100,0.365
2015-04-30,0.38,0.395,0.375,0.38,2772400,0.38
2015-04-29,0.40,0.405,0.39,0.39,3231700,0.39
2015-04-28,0.385,0.395,0.38,0.385,2503200,0.385
2015-04-27,0.37,0.385,0.36,0.365,4165300,0.365
2015-04-24,0.36,0.385,0.35,0.38,5896600,0.38
2015-04-23,0.345,0.365,0.335,0.34,9341800,0.34
2015-04-22,0.31,0.345,0.31,0.345,14110300,0.345
2015-04-21,0.295,0.30,0.28,0.28,7598400,0.28
2015-04-20,0.295,0.315,0.29,0.295,3785200,0.295
2015-04-17,0.29,0.30,0.29,0.295,3678900,0.295
2015-04-16,0.29,0.305,0.285,0.29,2496800,0.29
2015-04-15,0.285,0.29,0.277,0.29,741800,0.29
2015-04-14,0.295,0.295,0.28,0.28,1569500,0.28
2015-04-13,0.30,0.305,0.29,0.295,1300600,0.295
2015-04-10,0.28,0.295,0.28,0.29,1116600,0.29
2015-04-09,0.30,0.305,0.285,0.285,1803500,0.285
2015-04-08,0.31,0.315,0.30,0.30,1231900,0.30
2015-04-07,0.315,0.32,0.31,0.31,1635000,0.31
2015-04-06,0.305,0.305,0.305,0.305,000,0.305
2015-04-03,0.305,0.305,0.305,0.305,000,0.305
2015-04-02,0.31,0.315,0.295,0.305,3510900,0.305
2015-04-01,0.285,0.30,0.285,0.29,2519100,0.29
2015-03-31,0.285,0.30,0.285,0.285,1589400,0.285
2015-03-30,0.295,0.30,0.285,0.29,1592700,0.29
2015-03-27,0.31,0.315,0.29,0.295,3679000,0.295
2015-03-26,0.305,0.32,0.30,0.315,2823400,0.315
2015-03-25,0.325,0.325,0.30,0.305,1860100,0.305
2015-03-24,0.31,0.325,0.305,0.31,3317500,0.31
2015-03-23,0.295,0.32,0.29,0.295,5086200,0.295
2015-03-20,0.275,0.28,0.265,0.27,3191600,0.27
2015-03-19,0.265,0.275,0.26,0.27,2521200,0.27
2015-03-18,0.25,0.255,0.245,0.245,3551200,0.245
2015-03-17,0.265,0.27,0.255,0.255,2822000,0.255
2015-03-16,0.26,0.275,0.257,0.275,1632900,0.275
2015-03-13,0.25,0.26,0.235,0.255,4013100,0.255
2015-03-12,0.27,0.2725,0.255,0.255,3085200,0.255
2015-03-11,0.275,0.275,0.265,0.265,3204400,0.265
2015-03-10,0.31,0.31,0.28,0.285,6807800,0.285
2015-03-09,0.315,0.325,0.305,0.32,4721100,0.32
2015-03-06,0.345,0.35,0.335,0.345,3230200,0.345
2015-03-05,0.35,0.36,0.345,0.355,1674300,0.355
