date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.90,5.04,4.90,5.04,2364300,5.04
2015-06-29,5.04,5.04,4.91,4.93,2757400,4.93
2015-06-26,5.03,5.07,5.00,5.03,3512900,5.03
2015-06-25,5.15,5.15,5.09,5.10,3501400,5.10
2015-06-24,5.15,5.17,5.11,5.14,5049000,5.14
2015-06-23,5.12,5.19,5.11,5.15,2385100,5.15
2015-06-22,5.11,5.12,5.01,5.04,2565300,5.04
2015-06-19,5.06,5.17,5.05,5.09,3530200,5.09
2015-06-18,5.13,5.15,5.015,5.05,3647400,5.05
2015-06-17,5.16,5.23,5.14,5.21,4122200,5.21
2015-06-16,5.25,5.26,5.10,5.12,1992700,5.12
2015-06-15,5.26,5.28,5.19,5.23,1157400,5.23
2015-06-12,5.25,5.28,5.185,5.25,1159000,5.25
2015-06-11,5.19,5.24,5.14,5.24,1615800,5.24
2015-06-10,5.11,5.25,5.10,5.17,2143000,5.17
2015-06-09,5.10,5.17,5.05,5.07,1525300,5.07
2015-06-08,5.10,5.10,5.10,5.10,000,5.10
2015-06-05,5.08,5.12,5.01,5.10,1050300,5.10
2015-06-04,5.10,5.16,5.06,5.12,1896600,5.12
2015-06-03,5.09,5.12,5.03,5.08,1513500,5.08
2015-06-02,5.27,5.27,5.12,5.13,1364000,5.13
2015-06-01,5.29,5.29,5.19,5.23,1758500,5.23
2015-05-29,5.29,5.37,5.29,5.34,2236900,5.34
2015-05-28,5.36,5.38,5.24,5.29,1875800,5.29
2015-05-27,5.36,5.36,5.29,5.33,2703300,5.33
2015-05-26,5.29,5.36,5.28,5.36,984000,5.36
2015-05-25,5.27,5.35,5.25,5.30,1144300,5.30
2015-05-22,5.30,5.32,5.21,5.23,1179700,5.23
2015-05-21,5.17,5.31,5.17,5.29,2124400,5.29
2015-05-20,5.17,5.26,5.15,5.25,1416400,5.25
2015-05-19,5.19,5.24,5.13,5.18,1707100,5.18
2015-05-18,5.22,5.26,5.16,5.17,1371500,5.17
2015-05-15,5.14,5.23,5.14,5.22,2175700,5.22
2015-05-14,5.08,5.125,5.055,5.11,962300,5.11
2015-05-13,5.14,5.15,5.07,5.13,1440000,5.13
2015-05-12,5.00,5.03,4.97,5.00,1408800,5.00
2015-05-11,5.05,5.08,5.015,5.03,1265400,5.03
2015-05-08,5.01,5.06,5.01,5.03,1033400,5.03
2015-05-07,5.02,5.05,5.02,5.02,1629000,5.02
2015-05-06,5.08,5.11,5.04,5.07,1755300,5.07
