date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,7.35,7.50,7.29,7.48,1530200,7.48
2015-06-29,7.46,7.47,7.27,7.37,1322300,7.37
2015-06-26,7.60,7.67,7.47,7.66,944200,7.66
2015-06-25,7.78,7.78,7.62,7.68,668800,7.68
2015-06-24,7.71,7.725,7.65,7.69,911200,7.69
2015-06-23,7.78,7.82,7.70,7.71,830600,7.71
2015-06-22,7.69,7.74,7.60,7.67,550700,7.67
2015-06-19,7.62,7.73,7.62,7.65,1507000,7.65
2015-06-18,7.55,7.58,7.36,7.53,2175100,7.53
2015-06-17,7.71,7.74,7.61,7.65,1160400,7.65
2015-06-16,7.80,7.825,7.63,7.65,1268400,7.65
2015-06-15,7.84,7.88,7.80,7.85,855900,7.85
2015-06-12,7.90,7.93,7.80,7.81,691800,7.81
2015-06-11,7.76,7.85,7.67,7.84,1252700,7.84
2015-06-10,7.40,7.70,7.40,7.69,1290800,7.69
2015-06-09,7.50,7.53,7.32,7.34,1168500,7.34
2015-06-08,7.53,7.53,7.53,7.53,000,7.53
2015-06-05,7.58,7.62,7.48,7.53,931900,7.53
2015-06-04,7.52,7.67,7.50,7.56,1017100,7.56
2015-06-03,7.57,7.57,7.39,7.47,1309000,7.47
2015-06-02,7.90,7.90,7.62,7.65,1309600,7.65
2015-06-01,7.83,7.84,7.67,7.83,1252200,7.83
2015-05-29,7.80,7.93,7.75,7.86,2165500,7.86
2015-05-28,7.70,7.80,7.61,7.74,2062500,7.74
2015-05-27,7.55,7.68,7.55,7.63,1453800,7.63
2015-05-26,7.59,7.59,7.44,7.56,919400,7.56
2015-05-25,7.55,7.58,7.50,7.52,1288100,7.52
2015-05-22,7.54,7.60,7.45,7.50,10999100,7.50
2015-05-21,7.36,7.52,7.36,7.47,1659100,7.47
2015-05-20,7.30,7.43,7.30,7.35,1342700,7.35
2015-05-19,7.29,7.34,7.17,7.25,1072400,7.25
2015-05-18,7.36,7.44,7.26,7.29,869100,7.29
2015-05-15,7.41,7.41,7.33,7.38,742700,7.38
2015-05-14,7.35,7.35,7.25,7.29,790900,7.29
2015-05-13,7.30,7.45,7.30,7.37,835600,7.37
2015-05-12,7.34,7.40,7.29,7.30,1386400,7.30
2015-05-11,7.43,7.51,7.28,7.31,764200,7.31
2015-05-08,7.21,7.44,7.21,7.37,1452900,7.37
2015-05-07,7.21,7.31,7.16,7.17,1542500,7.17
2015-05-06,7.48,7.53,7.25,7.27,1175700,7.27
2015-05-05,7.69,7.74,7.46,7.55,1133400,7.55
2015-05-04,7.66,7.73,7.51,7.59,1157100,7.59
2015-05-01,7.49,7.65,7.47,7.60,858800,7.60
2015-04-30,7.51,7.61,7.45,7.56,1728900,7.56
2015-04-29,7.69,7.70,7.545,7.63,1195400,7.63
2015-04-28,7.70,7.78,7.61,7.75,1320800,7.75
2015-04-27,7.73,7.80,7.62,7.65,835900,7.65
2015-04-24,7.66,7.88,7.64,7.70,1026100,7.70
2015-04-23,7.63,7.65,7.51,7.55,872200,7.55
2015-04-22,7.63,7.68,7.52,7.63,761100,7.63
2015-04-21,7.78,7.82,7.58,7.61,904000,7.61
2015-04-20,7.86,7.86,7.66,7.69,869900,7.69
2015-04-17,8.13,8.145,7.90,7.91,867400,7.91
2015-04-16,8.23,8.42,8.10,8.13,1804000,8.13
