date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.99,3.17,2.98,3.16,20898100,3.16
2015-06-29,3.04,3.07,2.99,3.02,15045100,3.02
2015-06-26,3.24,3.25,3.12,3.12,9150000,3.12
2015-06-25,3.25,3.26,3.21,3.24,5855000,3.24
2015-06-24,3.20,3.26,3.18,3.25,8567800,3.25
2015-06-23,3.20,3.21,3.17,3.21,9450300,3.21
2015-06-22,3.19,3.23,3.18,3.19,6342600,3.19
2015-06-19,3.16,3.215,3.15,3.18,14219700,3.18
2015-06-18,3.18,3.205,3.11,3.14,12313800,3.14
2015-06-17,3.25,3.25,3.21,3.23,13685900,3.23
2015-06-16,3.24,3.28,3.21,3.22,9840600,3.22
2015-06-15,3.20,3.27,3.20,3.23,7224900,3.23
2015-06-12,3.19,3.24,3.19,3.22,6602100,3.22
2015-06-11,3.24,3.29,3.19,3.22,11298600,3.22
2015-06-10,3.21,3.24,3.155,3.23,8752400,3.23
2015-06-09,3.24,3.33,3.21,3.24,10143700,3.24
2015-06-08,3.26,3.26,3.26,3.26,000,3.26
2015-06-05,3.20,3.26,3.175,3.26,11629500,3.26
2015-06-04,3.28,3.36,3.19,3.20,12042300,3.20
2015-06-03,3.36,3.39,3.28,3.30,15374800,3.30
2015-06-02,3.55,3.55,3.35,3.40,10406100,3.40
2015-06-01,3.46,3.52,3.43,3.52,7172400,3.52
2015-05-29,3.46,3.55,3.46,3.52,11519000,3.52
2015-05-28,3.53,3.55,3.45,3.45,6971500,3.45
2015-05-27,3.54,3.58,3.49,3.50,9742400,3.50
2015-05-26,3.51,3.53,3.485,3.53,13171700,3.53
2015-05-25,3.47,3.54,3.46,3.49,8318600,3.49
2015-05-22,3.48,3.50,3.42,3.45,14477200,3.45
2015-05-21,3.55,3.66,3.53,3.55,9137700,3.55
2015-05-20,3.56,3.63,3.505,3.60,15631000,3.60
2015-05-19,3.61,3.61,3.51,3.53,9497200,3.53
2015-05-18,3.60,3.69,3.55,3.56,7179900,3.56
2015-05-15,3.77,3.77,3.58,3.60,11917800,3.60
2015-05-14,3.56,3.79,3.54,3.68,26660300,3.68
2015-05-13,3.60,3.61,3.51,3.58,21692100,3.58
2015-05-12,3.42,3.65,3.41,3.56,40273300,3.56
2015-05-11,3.42,3.48,3.31,3.32,22488400,3.32
2015-05-08,3.25,3.425,3.25,3.40,13721300,3.40
2015-05-07,3.21,3.27,3.20,3.22,9587200,3.22
2015-05-06,3.32,3.36,3.27,3.30,10611200,3.30
2015-05-05,3.40,3.41,3.32,3.35,9549700,3.35
2015-05-04,3.39,3.425,3.36,3.39,8072500,3.39
2015-05-01,3.37,3.40,3.31,3.40,8382600,3.40
2015-04-30,3.17,3.39,3.12,3.39,17556000,3.39
2015-04-29,3.32,3.33,3.23,3.24,7697200,3.24
2015-04-28,3.37,3.37,3.29,3.30,7772000,3.30
2015-04-27,3.40,3.41,3.36,3.38,8958500,3.38
2015-04-24,3.30,3.41,3.28,3.39,9909800,3.39
2015-04-23,3.36,3.36,3.29,3.34,13957300,3.34
2015-04-22,3.31,3.365,3.31,3.36,5710400,3.36
2015-04-21,3.28,3.35,3.275,3.31,10874900,3.31
2015-04-20,3.28,3.30,3.21,3.26,9011400,3.26
2015-04-17,3.26,3.325,3.25,3.31,6981200,3.31
2015-04-16,3.39,3.40,3.23,3.32,16692800,3.32
2015-04-15,3.45,3.49,3.38,3.40,17440700,3.40
2015-04-14,3.34,3.45,3.34,3.44,8602200,3.44
2015-04-13,3.34,3.40,3.30,3.33,5256300,3.33
2015-04-10,3.32,3.37,3.305,3.34,9503900,3.34
2015-04-09,3.24,3.34,3.23,3.31,11324000,3.31
2015-04-08,3.24,3.24,3.18,3.20,9240200,3.20
2015-04-07,3.26,3.295,3.20,3.24,9434600,3.24
2015-04-06,3.26,3.26,3.26,3.26,000,3.26
2015-04-03,3.26,3.26,3.26,3.26,000,3.26
2015-04-02,3.17,3.30,3.16,3.26,15135200,3.26
2015-04-01,3.11,3.19,3.08,3.19,16343400,3.19
2015-03-31,3.05,3.12,3.035,3.12,16464400,3.12
2015-03-30,2.95,3.02,2.89,3.01,8064000,3.01
2015-03-27,2.90,2.95,2.87,2.95,10852000,2.95
2015-03-26,2.99,3.00,2.89,2.91,9561800,2.91
2015-03-25,3.02,3.05,3.00,3.02,6542400,3.02
2015-03-24,3.01,3.02,2.95,2.99,9543300,2.99
2015-03-23,3.08,3.11,3.03,3.04,9640400,3.04
2015-03-20,3.06,3.08,3.035,3.08,9136000,3.08
2015-03-19,3.02,3.06,2.995,3.02,13449900,3.02
2015-03-18,3.00,3.07,3.00,3.05,9193800,3.05
2015-03-17,3.11,3.12,3.00,3.02,7651500,3.02
2015-03-16,3.04,3.11,3.04,3.07,7358700,3.07
2015-03-13,3.02,3.07,3.015,3.06,9484100,3.06
2015-03-12,2.95,3.03,2.94,3.02,12576500,3.02
2015-03-11,2.84,2.94,2.84,2.94,6451600,2.94
2015-03-10,2.84,2.90,2.82,2.90,7797900,2.90
2015-03-09,2.86,2.88,2.79,2.80,7036700,2.80
2015-03-06,2.88,2.90,2.865,2.87,4526400,2.87
2015-03-05,2.88,2.93,2.85,2.89,11766700,2.89
2015-03-04,2.86,2.87,2.81,2.87,13275300,2.87
2015-03-03,2.91,2.93,2.84,2.86,15836400,2.86
2015-03-02,2.89,2.94,2.88,2.89,7513900,2.89
2015-02-27,2.90,2.96,2.885,2.89,19883700,2.89
2015-02-26,2.93,3.00,2.81,2.85,26194200,2.85
2015-02-25,2.76,2.81,2.745,2.81,9555200,2.81
