date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,13.44,13.68,13.39,13.67,4262100,13.52
2015-06-29,13.51,13.71,13.47,13.60,3134300,13.45077
2015-06-26,13.96,14.08,13.73,13.80,6339200,13.64857
2015-06-25,14.05,14.25,14.00,14.21,4287700,14.05407
2015-06-24,13.95,14.175,13.93,14.15,5873900,13.99473
2015-06-23,14.02,14.03,13.85,13.92,2936000,13.76726
2015-06-22,13.77,13.84,13.62,13.77,2231700,13.6189
2015-06-19,13.75,13.885,13.65,13.69,3425500,13.53978
2015-06-18,13.80,13.87,13.51,13.63,6096600,13.48044
2015-06-17,14.10,14.10,13.94,13.99,2728300,13.83649
2015-06-16,14.07,14.14,13.83,13.96,2441900,13.80682
2015-06-15,13.85,14.05,13.76,14.03,2358600,13.87605
2015-06-12,13.87,14.10,13.835,14.00,2723800,13.84638
2015-06-11,13.74,14.02,13.74,14.02,4675400,13.86616
2015-06-10,13.59,13.63,13.43,13.60,2586800,13.45077
2015-06-09,13.68,13.85,13.56,13.59,2941500,13.44088
2015-06-08,13.80,13.80,13.80,13.80,000,13.64857
2015-06-05,13.98,14.18,13.69,13.80,2698900,13.64857
2015-06-04,14.04,14.30,13.94,13.97,4487200,13.81671
2015-06-03,14.07,14.10,13.80,13.95,5123800,13.79693
2015-06-02,14.60,14.63,14.21,14.23,3099300,14.07385
2015-06-01,14.60,14.71,14.33,14.50,2881600,14.34089
2015-05-29,14.74,14.77,14.58,14.65,7842400,14.48925
2015-05-28,14.62,14.82,14.56,14.58,4891500,14.42001
2015-05-27,14.40,14.65,14.37,14.49,3381300,14.331
2015-05-26,14.23,14.49,14.18,14.40,2560700,14.24199
2015-05-25,14.00,14.41,13.98,14.27,3256400,14.11342
2015-05-22,14.17,14.22,13.93,13.98,3030100,13.8266
2015-05-21,14.00,14.13,13.96,14.06,4808600,13.90572
2015-05-20,13.99,14.08,13.865,14.00,3523300,13.84638
2015-05-19,14.10,14.14,13.73,13.88,6596900,13.7277
2015-05-18,14.50,14.565,14.11,14.16,4714500,14.00462
2015-05-15,14.50,14.66,14.48,14.60,2836900,14.4398
2015-05-14,14.24,14.42,14.22,14.42,2666300,14.26177
2015-05-13,14.30,14.52,14.26,14.43,6057300,14.27166
2015-05-12,14.12,14.26,14.03,14.24,6123200,14.08375
2015-05-11,14.00,14.05,13.76,13.80,3148500,13.64857
2015-05-08,13.97,13.97,13.79,13.79,3195400,13.63868
2015-05-07,13.55,14.13,13.50,13.85,7416100,13.69803
2015-05-06,13.54,13.81,13.54,13.66,4041500,13.51011
2015-05-05,13.87,13.95,13.56,13.60,3713800,13.45077
2015-05-04,13.63,13.78,13.57,13.73,2861300,13.57934
2015-05-01,13.62,13.69,13.47,13.56,3030700,13.41121
2015-04-30,13.51,13.80,13.395,13.70,5045300,13.54967
2015-04-29,13.84,13.86,13.57,13.70,3111200,13.54967
2015-04-28,14.10,14.28,13.86,13.88,3461400,13.7277
2015-04-27,13.83,14.05,13.81,14.03,4045900,13.87605
2015-04-24,13.80,13.89,13.75,13.85,4014400,13.69803
2015-04-23,13.53,13.70,13.46,13.68,3196200,13.52989
2015-04-22,13.60,13.69,13.52,13.61,4020400,13.46066
2015-04-21,13.65,13.90,13.65,13.83,6844300,13.67824
2015-04-20,13.59,13.60,13.33,13.39,4404800,13.24307
2015-04-17,13.65,13.79,13.63,13.67,2257000,13.52
2015-04-16,13.80,13.88,13.69,13.77,2480300,13.6189
2015-04-15,13.85,13.93,13.55,13.61,6903700,13.46066
2015-04-14,13.59,13.83,13.55,13.79,3739600,13.63868
2015-04-13,13.75,13.82,13.60,13.60,2242800,13.45077
2015-04-10,13.66,13.72,13.545,13.70,3369100,13.54967
2015-04-09,13.74,13.83,13.55,13.60,2940300,13.45077
2015-04-08,13.55,13.70,13.46,13.68,4345300,13.52989
2015-04-07,13.60,13.74,13.41,13.51,4324800,13.36176
2015-04-06,13.42,13.42,13.42,13.42,000,13.27274
2015-04-03,13.42,13.42,13.42,13.42,000,13.27274
2015-04-02,13.04,13.50,12.99,13.42,5263200,13.27274
2015-04-01,12.90,13.04,12.74,12.79,4956800,12.64966
2015-03-31,13.00,13.12,12.875,13.04,4263900,12.89691
2015-03-30,12.69,12.93,12.54,12.89,4462200,12.74856
2015-03-27,12.84,12.98,12.80,12.82,7293800,12.67933
2015-03-26,13.07,13.12,12.89,13.00,3644400,12.85735
2015-03-25,13.34,13.40,13.12,13.15,4177800,13.00571
2015-03-24,13.21,13.29,13.02,13.25,3388000,13.10461
2015-03-23,13.45,13.51,13.24,13.24,3796100,13.09472
2015-03-20,13.38,13.53,13.34,13.53,4442500,13.38154
2015-03-19,12.95,13.50,12.93,13.42,6386800,13.27274
2015-03-18,13.25,13.32,13.17,13.23,7006400,13.08483
2015-03-17,13.35,13.55,13.23,13.37,4231300,13.22329
2015-03-16,13.25,13.36,13.10,13.22,4777800,13.07494
2015-03-13,13.49,13.62,13.32,13.41,5175300,13.26285
2015-03-12,13.32,13.64,13.28,13.58,5078800,13.43099
2015-03-11,13.04,13.38,13.03,13.34,5092500,13.19362
2015-03-10,13.68,13.69,13.19,13.30,9163300,13.15406
2015-03-09,13.50,13.90,13.49,13.81,7497100,13.65846
2015-03-06,13.18,13.50,13.15,13.43,6977200,13.28263
