date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.34,2.39,2.28,2.35,7045700,2.35
2015-06-29,2.40,2.41,2.33,2.35,4063700,2.35
2015-06-26,2.46,2.47,2.40,2.41,2917300,2.41
2015-06-25,2.50,2.52,2.44,2.47,3818600,2.47
2015-06-24,2.53,2.54,2.49,2.52,2669600,2.52
2015-06-23,2.49,2.54,2.46,2.51,2215600,2.51
2015-06-22,2.50,2.53,2.47,2.48,1651000,2.48
2015-06-19,2.50,2.53,2.48,2.50,3062100,2.50
2015-06-18,2.50,2.53,2.45,2.45,3819700,2.45
2015-06-17,2.53,2.56,2.51,2.54,2788900,2.54
2015-06-16,2.54,2.54,2.50,2.51,3029100,2.51
2015-06-15,2.55,2.58,2.53,2.55,2512300,2.55
2015-06-12,2.52,2.58,2.475,2.50,3757700,2.50
2015-06-11,2.56,2.62,2.535,2.60,5498000,2.60
2015-06-10,2.50,2.54,2.48,2.51,5933700,2.51
2015-06-09,2.45,2.51,2.44,2.48,5246000,2.48
2015-06-08,2.50,2.50,2.50,2.50,000,2.50
2015-06-05,2.49,2.54,2.44,2.50,7991800,2.50
2015-06-04,2.40,2.71,2.16,2.56,16893500,2.56
2015-06-03,2.76,2.795,2.73,2.77,2923800,2.77
2015-06-02,2.90,2.92,2.75,2.75,2617000,2.75
2015-06-01,2.88,2.90,2.83,2.87,2720700,2.87
2015-05-29,2.88,2.94,2.88,2.90,5444900,2.90
2015-05-28,2.89,2.89,2.82,2.86,2092900,2.86
2015-05-27,2.91,2.93,2.84,2.85,2347000,2.85
2015-05-26,2.90,2.95,2.89,2.92,1284100,2.92
2015-05-25,2.89,2.94,2.88,2.91,1986400,2.91
2015-05-22,2.86,2.88,2.85,2.87,1006400,2.87
2015-05-21,2.80,2.83,2.78,2.82,3555400,2.82
2015-05-20,2.76,2.79,2.76,2.77,1688100,2.77
2015-05-19,2.82,2.85,2.75,2.76,4348600,2.76
2015-05-18,2.85,2.90,2.83,2.84,2976600,2.84
2015-05-15,2.86,2.94,2.845,2.91,3404200,2.91
2015-05-14,2.74,2.80,2.73,2.78,1471200,2.78
2015-05-13,2.72,2.80,2.72,2.80,1834600,2.80
2015-05-12,2.71,2.74,2.705,2.72,1790100,2.72
2015-05-11,2.70,2.77,2.70,2.71,1576600,2.71
2015-05-08,2.74,2.76,2.68,2.70,2119700,2.70
2015-05-07,2.75,2.775,2.70,2.74,1411800,2.74
2015-05-06,2.77,2.78,2.75,2.76,2089000,2.76
2015-05-05,2.87,2.87,2.79,2.79,1505200,2.79
2015-05-04,2.84,2.875,2.80,2.81,1601600,2.81
2015-05-01,2.78,2.82,2.77,2.81,1604100,2.81
2015-04-30,2.75,2.80,2.75,2.79,2003300,2.79
2015-04-29,2.79,2.80,2.76,2.77,1799500,2.77
2015-04-28,2.81,2.81,2.79,2.79,1131600,2.79
2015-04-27,2.79,2.81,2.78,2.80,764200,2.80
2015-04-24,2.81,2.83,2.77,2.79,1163200,2.79
2015-04-23,2.79,2.81,2.76,2.80,1833300,2.80
2015-04-22,2.80,2.81,2.75,2.80,2945300,2.80
2015-04-21,2.87,2.88,2.80,2.81,1194800,2.81
2015-04-20,2.76,2.84,2.75,2.80,2607200,2.80
2015-04-17,2.80,2.83,2.77,2.78,1348000,2.78
2015-04-16,2.80,2.86,2.79,2.82,2796600,2.82
2015-04-15,2.81,2.83,2.775,2.80,2560100,2.80
2015-04-14,2.82,2.83,2.795,2.81,2781400,2.81
2015-04-13,2.79,2.86,2.76,2.85,3417300,2.85
2015-04-10,2.83,2.84,2.79,2.80,1547100,2.80
2015-04-09,2.88,2.88,2.82,2.84,1000900,2.84
2015-04-08,2.87,2.89,2.84,2.88,2436200,2.88
2015-04-07,2.95,2.97,2.87,2.89,4292300,2.89
2015-04-06,2.95,2.95,2.95,2.95,000,2.95
2015-04-03,2.95,2.95,2.95,2.95,000,2.95
2015-04-02,2.94,2.985,2.92,2.95,2378100,2.95
2015-04-01,2.97,2.98,2.93,2.94,1228500,2.94
2015-03-31,2.95,3.04,2.94,2.97,4043200,2.97
2015-03-30,2.91,2.93,2.87,2.87,1283500,2.87
2015-03-27,2.87,2.95,2.87,2.92,930900,2.92
2015-03-26,2.97,2.97,2.90,2.90,1291500,2.90
2015-03-25,2.98,3.01,2.965,3.00,2324800,3.00
2015-03-24,2.95,3.02,2.93,2.98,2698300,2.98
2015-03-23,2.95,2.97,2.92,2.95,1251600,2.95
2015-03-20,2.95,2.98,2.93,2.94,1634300,2.94
2015-03-19,2.91,2.99,2.91,2.94,2729200,2.94
2015-03-18,2.87,2.92,2.85,2.90,2150000,2.90
2015-03-17,2.90,2.92,2.86,2.87,1326000,2.87
2015-03-16,2.87,2.89,2.84,2.86,1219500,2.86
2015-03-13,2.85,2.90,2.84,2.90,2198200,2.90
2015-03-12,2.85,2.88,2.84,2.87,939800,2.87
2015-03-11,2.85,2.86,2.82,2.85,1498600,2.85
2015-03-10,2.87,2.89,2.84,2.86,1530400,2.86
2015-03-09,2.87,2.87,2.82,2.84,7995900,2.84
2015-03-06,2.94,2.94,2.845,2.88,2099200,2.88
2015-03-05,2.89,2.89,2.84,2.85,2039200,2.85
2015-03-04,2.98,2.98,2.91,2.91,3961900,2.87143
2015-03-03,2.97,2.98,2.96,2.96,2777800,2.92077
2015-03-02,2.99,3.02,2.95,2.97,2357100,2.93063
2015-02-27,2.95,3.00,2.935,2.97,2484900,2.93063
2015-02-26,2.95,2.965,2.89,2.94,2874900,2.90103
2015-02-25,2.88,3.05,2.88,3.02,9762000,2.97997
2015-02-24,2.61,2.90,2.60,2.83,6047200,2.79249
2015-02-23,2.65,2.685,2.62,2.64,4743400,2.60501
2015-02-20,2.63,2.64,2.60,2.64,1308400,2.60501
2015-02-19,2.65,2.65,2.60,2.63,1850400,2.59514
2015-02-18,2.62,2.71,2.62,2.63,7330800,2.59514
2015-02-17,2.51,2.565,2.495,2.55,2122700,2.5162
2015-02-16,2.48,2.52,2.48,2.52,1996600,2.4866
2015-02-13,2.47,2.50,2.46,2.50,1381700,2.46686
2015-02-12,2.41,2.46,2.40,2.43,1862000,2.39779
2015-02-11,2.39,2.42,2.37,2.38,2143200,2.34845
2015-02-10,2.41,2.41,2.37,2.38,892900,2.34845
2015-02-09,2.40,2.41,2.37,2.40,1307600,2.36819
2015-02-06,2.44,2.46,2.395,2.41,1046000,2.37806
