date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.21,1.245,1.195,1.20,186500,1.20
2015-06-29,1.22,1.23,1.20,1.23,424900,1.23
2015-06-26,1.215,1.225,1.21,1.21,143100,1.21
2015-06-25,1.22,1.23,1.205,1.225,310200,1.225
2015-06-24,1.22,1.23,1.21,1.22,442300,1.22
2015-06-23,1.215,1.23,1.20,1.22,549200,1.22
2015-06-22,1.16,1.22,1.16,1.205,492100,1.205
2015-06-19,1.17,1.19,1.155,1.155,859100,1.155
2015-06-18,1.175,1.18,1.15,1.18,283100,1.18
2015-06-17,1.15,1.17,1.14,1.17,425200,1.17
2015-06-16,1.16,1.1625,1.135,1.15,301500,1.15
2015-06-15,1.17,1.175,1.115,1.16,420000,1.16
2015-06-12,1.16,1.175,1.15,1.175,612300,1.175
2015-06-11,1.145,1.17,1.12,1.15,312800,1.15
2015-06-10,1.17,1.19,1.147,1.17,350600,1.17
2015-06-09,1.15,1.20,1.14,1.17,367800,1.17
2015-06-08,1.18,1.18,1.18,1.18,000,1.18
2015-06-05,1.19,1.20,1.17,1.18,887400,1.18
2015-06-04,1.22,1.25,1.205,1.235,471000,1.235
2015-06-03,1.21,1.22,1.195,1.215,375800,1.215
2015-06-02,1.205,1.22,1.19,1.21,190300,1.21
2015-06-01,1.195,1.21,1.185,1.20,256500,1.20
2015-05-29,1.19,1.22,1.15,1.22,505400,1.22
2015-05-28,1.26,1.26,1.225,1.225,143100,1.225
2015-05-27,1.25,1.295,1.24,1.26,1755000,1.26
2015-05-26,1.24,1.25,1.235,1.25,458400,1.25
2015-05-25,1.23,1.23,1.20,1.23,390400,1.23
2015-05-22,1.23,1.24,1.21,1.24,171900,1.24
2015-05-21,1.25,1.25,1.23,1.235,451100,1.235
2015-05-20,1.27,1.27,1.245,1.25,1125400,1.25
2015-05-19,1.25,1.275,1.25,1.275,1113800,1.275
2015-05-18,1.21,1.26,1.20,1.25,442300,1.25
2015-05-15,1.16,1.21,1.16,1.21,517700,1.21
2015-05-14,1.16,1.16,1.147,1.16,136400,1.16
2015-05-13,1.14,1.20,1.14,1.165,702100,1.165
2015-05-12,1.12,1.165,1.105,1.125,1190700,1.125
2015-05-11,1.09,1.125,1.09,1.115,255700,1.115
2015-05-08,1.10,1.105,1.08,1.09,160000,1.09
2015-05-07,1.08,1.10,1.05,1.09,271900,1.09
2015-05-06,1.05,1.08,1.05,1.08,169900,1.08
2015-05-05,1.04,1.07,1.035,1.065,268000,1.065
2015-05-04,1.04,1.04,1.02,1.03,214600,1.03
