date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.755,1.7625,1.72,1.72,162500,1.72
2015-06-29,1.77,1.795,1.73,1.76,121100,1.76
2015-06-26,1.77,1.805,1.735,1.77,165100,1.77
2015-06-25,1.80,1.80,1.76,1.775,87800,1.775
2015-06-24,1.85,1.86,1.79,1.795,486300,1.795
2015-06-23,1.85,1.865,1.83,1.84,119400,1.84
2015-06-22,1.92,1.925,1.83,1.85,307400,1.85
2015-06-19,1.93,1.99,1.90,1.90,245800,1.90
2015-06-18,1.965,1.965,1.92,1.93,95700,1.93
2015-06-17,1.955,1.965,1.91,1.965,156800,1.965
2015-06-16,1.98,1.985,1.94,1.95,181000,1.95
2015-06-15,1.97,1.995,1.96,1.975,65200,1.975
2015-06-12,1.97,1.97,1.93,1.965,222800,1.965
2015-06-11,1.94,2.01,1.925,1.965,188800,1.965
2015-06-10,1.88,1.96,1.88,1.96,123800,1.96
2015-06-09,1.91,1.91,1.875,1.885,256200,1.885
2015-06-08,1.91,1.91,1.91,1.91,000,1.91
2015-06-05,1.935,1.95,1.91,1.91,377700,1.91
2015-06-04,1.935,1.96,1.935,1.935,160100,1.935
2015-06-03,1.95,2.00,1.93,1.93,218400,1.93
2015-06-02,1.935,1.975,1.93,1.945,196800,1.945
2015-06-01,1.85,1.95,1.85,1.945,353700,1.945
2015-05-29,1.93,1.935,1.835,1.835,4148800,1.835
2015-05-28,1.915,1.975,1.915,1.915,330200,1.915
2015-05-27,1.905,1.915,1.89,1.90,261100,1.90
2015-05-26,1.905,1.915,1.885,1.90,482500,1.90
2015-05-25,1.89,1.93,1.885,1.90,317300,1.90
2015-05-22,1.89,1.91,1.85,1.885,182800,1.885
2015-05-21,1.90,1.905,1.865,1.865,267800,1.865
2015-05-20,1.93,1.93,1.88,1.90,301800,1.90
2015-05-19,1.93,1.93,1.91,1.91,156800,1.91
2015-05-18,1.93,1.935,1.905,1.93,250000,1.93
2015-05-15,1.935,1.95,1.91,1.93,282100,1.93
2015-05-14,1.93,1.99,1.93,1.93,247100,1.93
2015-05-13,1.98,1.982,1.91,1.92,516600,1.92
2015-05-12,1.99,2.04,1.965,2.01,275600,2.01
2015-05-11,1.95,2.03,1.95,1.985,573900,1.985
2015-05-08,1.97,1.99,1.935,1.945,236200,1.945
2015-05-07,1.95,1.965,1.93,1.95,245800,1.95
2015-05-06,1.965,1.98,1.935,1.935,96600,1.935
2015-05-05,1.97,2.00,1.94,1.945,144700,1.945
2015-05-04,1.95,2.01,1.94,1.97,481800,1.97
2015-05-01,1.88,1.95,1.88,1.95,184800,1.95
2015-04-30,1.90,1.90,1.875,1.875,646700,1.875
2015-04-29,1.90,1.915,1.885,1.90,408100,1.90
2015-04-28,1.90,1.92,1.885,1.90,559800,1.90
2015-04-27,1.95,1.97,1.88,1.88,359700,1.88
2015-04-24,1.90,1.915,1.885,1.90,506800,1.90
2015-04-23,1.90,1.95,1.88,1.88,639600,1.88
2015-04-22,1.83,1.85,1.79,1.83,178800,1.83
2015-04-21,1.84,1.865,1.815,1.84,241300,1.84
2015-04-20,1.74,1.825,1.737,1.825,214100,1.825
2015-04-17,1.745,1.77,1.725,1.74,975700,1.74
2015-04-16,1.665,1.78,1.652,1.72,156000,1.72
2015-04-15,1.795,1.795,1.62,1.62,317000,1.62
2015-04-14,1.81,1.82,1.77,1.80,166100,1.80
2015-04-13,1.85,1.85,1.795,1.81,243600,1.81
2015-04-10,1.855,1.87,1.83,1.84,162700,1.84
2015-04-09,1.85,1.88,1.81,1.83,176900,1.83
