date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,38.79,39.44,38.33,39.21,423900,39.21
2015-06-29,39.90,39.90,38.55,39.19,408100,39.19
2015-06-26,40.28,40.49,39.76,40.32,479800,40.32
2015-06-25,40.11,40.67,40.01,40.50,475200,40.50
2015-06-24,40.46,40.46,40.01,40.15,351700,40.15
2015-06-23,39.85,40.35,39.82,40.30,368000,40.30
2015-06-22,39.68,39.90,38.96,39.26,343400,39.26
2015-06-19,38.71,39.58,38.70,39.55,511200,39.55
2015-06-18,38.36,38.47,38.00,38.28,473800,38.28
2015-06-17,38.11,39.12,38.11,38.65,611900,38.65
2015-06-16,37.85,37.89,37.33,37.40,411100,37.40
2015-06-15,38.40,38.40,37.46,37.80,566400,37.80
2015-06-12,38.50,38.73,38.25,38.36,577100,38.36
2015-06-11,38.50,39.99,38.10,38.40,653900,38.40
2015-06-10,38.92,38.92,38.05,38.05,392300,38.05
2015-06-09,39.48,39.48,38.30,38.35,428600,38.35
2015-06-08,39.37,39.37,39.37,39.37,000,39.37
2015-06-05,38.40,39.48,38.40,39.37,514200,39.37
2015-06-04,39.17,39.43,38.06,38.40,691100,38.40
2015-06-03,39.20,39.65,38.71,38.77,615600,38.77
2015-06-02,39.72,39.91,39.01,39.05,675400,39.05
2015-06-01,39.01,39.43,39.01,39.25,593300,39.25
2015-05-29,39.93,39.95,38.70,39.07,1033100,39.07
2015-05-28,41.14,41.14,39.60,39.62,481300,39.62
2015-05-27,41.18,41.25,40.82,40.85,386800,40.85
2015-05-26,41.55,42.11,41.45,41.50,403000,41.50
2015-05-25,42.49,42.59,41.37,41.42,302600,41.42
2015-05-22,42.25,42.63,41.65,42.00,341200,42.00
2015-05-21,42.61,42.92,41.88,41.94,421200,41.94
2015-05-20,42.37,42.38,41.60,42.13,390100,42.13
2015-05-19,43.06,43.18,42.15,42.25,479700,42.25
2015-05-18,42.15,43.28,42.11,42.80,549600,42.80
2015-05-15,41.51,41.93,41.18,41.75,315000,41.75
2015-05-14,40.70,40.74,40.07,40.69,552700,40.69
2015-05-13,41.52,41.63,40.49,41.20,430300,41.20
2015-05-12,42.10,42.15,41.22,41.52,484600,41.52
2015-05-11,42.98,42.98,42.04,42.05,325300,42.05
2015-05-08,42.22,43.07,41.18,41.99,542600,41.99
2015-05-07,42.99,43.37,41.815,42.20,835900,42.20
2015-05-06,45.90,45.90,42.84,43.12,807600,43.12
2015-05-05,48.57,48.61,47.48,48.08,255800,48.08
2015-05-04,48.00,48.75,47.995,48.53,127700,48.53
2015-05-01,46.86,47.42,46.76,47.40,114500,47.40
2015-04-30,47.15,47.23,46.61,47.23,202700,47.23
2015-04-29,48.70,48.70,47.29,47.47,175200,47.47
2015-04-28,48.50,49.28,48.45,48.70,223400,48.70
2015-04-27,48.20,48.87,47.80,48.10,144600,48.10
2015-04-24,47.54,48.58,47.54,48.20,134600,48.20
2015-04-23,47.29,47.40,46.50,47.15,189500,47.15
2015-04-22,48.34,48.34,47.60,47.70,174100,47.70
2015-04-21,48.44,48.50,47.70,48.02,191100,48.02
2015-04-20,47.65,48.44,47.60,48.29,252500,48.29
2015-04-17,47.99,48.42,47.46,47.61,123700,47.61
2015-04-16,47.55,48.28,47.55,48.10,150800,48.10
2015-04-15,48.00,48.74,46.84,46.92,288900,46.92
2015-04-14,48.87,48.98,48.16,48.21,207800,48.21
2015-04-13,49.65,50.00,49.11,49.16,77100,49.16
2015-04-10,50.06,50.36,49.36,49.56,80600,49.56
2015-04-09,49.92,50.04,49.45,49.86,124900,49.86
2015-04-08,49.79,50.73,49.57,49.67,251200,49.67
2015-04-07,49.75,50.28,49.56,49.80,294300,49.80
2015-04-06,49.53,49.53,49.53,49.53,000,49.53
2015-04-03,49.53,49.53,49.53,49.53,000,49.53
2015-04-02,48.30,49.80,48.24,49.53,331500,49.53
2015-04-01,48.36,48.42,47.60,47.88,210200,47.88
2015-03-31,47.90,48.64,47.88,48.28,293500,48.28
2015-03-30,46.81,47.38,46.80,47.06,203600,47.06
2015-03-27,47.14,48.07,47.14,47.74,168900,47.74
2015-03-26,46.52,47.14,46.52,46.82,151100,46.82
2015-03-25,47.89,48.16,46.71,47.59,229800,47.59
2015-03-24,48.19,48.54,47.79,48.16,207100,48.16
2015-03-23,48.80,49.08,48.47,48.47,219300,48.47
2015-03-20,48.00,48.81,47.92,48.57,180900,48.57
2015-03-19,47.50,47.78,47.06,47.08,164600,47.08
2015-03-18,46.65,46.90,46.23,46.54,212700,46.54
2015-03-17,46.93,47.37,46.34,46.71,202000,46.71
2015-03-16,47.65,47.65,45.92,46.15,255300,46.15
2015-03-13,47.80,48.37,47.67,48.07,142400,48.07
2015-03-12,47.48,48.44,47.30,48.44,183800,48.44
2015-03-11,46.82,47.82,46.605,47.59,173000,47.59
2015-03-10,47.52,48.01,47.34,47.45,131900,47.45
2015-03-09,47.39,47.62,47.18,47.39,136500,47.39
2015-03-06,48.66,48.66,47.19,47.43,308400,47.43
2015-03-05,48.30,48.74,48.03,48.74,271500,48.74
2015-03-04,49.20,49.24,48.26,48.36,147000,48.36
2015-03-03,49.00,50.00,48.31,49.00,282500,49.00
2015-03-02,49.50,49.55,48.87,49.13,147800,48.70857
2015-02-27,49.18,49.47,48.52,49.01,240700,48.5896
2015-02-26,49.28,49.28,48.11,49.02,141800,48.59952
2015-02-25,48.94,49.49,48.31,49.43,155800,49.006
2015-02-24,48.51,49.48,48.44,48.82,214400,48.40123
2015-02-23,48.37,48.90,48.30,48.40,103300,47.98483
2015-02-20,49.32,49.32,48.05,48.09,87100,47.67749
2015-02-19,49.43,49.46,48.58,48.89,136500,48.47063
2015-02-18,49.00,49.43,48.40,49.01,264500,48.5896
2015-02-17,49.16,49.16,48.44,48.59,140300,48.1732
2015-02-16,49.68,49.74,49.00,49.18,174200,48.75814
2015-02-13,50.17,50.40,49.53,49.66,201300,49.23403
2015-02-12,50.16,50.70,49.44,49.47,275700,49.04566
2015-02-11,50.95,51.00,49.78,49.88,257500,49.45214
2015-02-10,48.94,50.07,48.92,50.00,474700,49.57111
2015-02-09,48.52,48.80,48.00,48.66,474100,48.2426
2015-02-06,49.34,50.26,48.47,48.52,713400,48.1038
2015-02-05,49.93,51.38,49.10,51.28,552500,50.84013
2015-02-04,49.88,49.96,48.85,49.31,224200,48.88703
2015-02-03,50.28,50.71,49.68,49.88,325100,49.45214
2015-02-02,49.43,50.24,49.39,49.95,211000,49.52154
2015-01-30,50.00,50.08,49.48,49.55,322600,49.12497
2015-01-29,49.01,50.00,49.01,49.75,157800,49.32325
2015-01-28,48.86,49.45,48.84,49.06,192500,48.63917
2015-01-27,48.00,48.94,47.88,48.84,216400,48.42106
2015-01-26,47.79,47.79,47.79,47.79,000,47.38007
2015-01-23,48.00,48.06,47.34,47.79,121400,47.38007
2015-01-22,47.02,47.50,46.99,47.26,178600,46.85461
2015-01-21,46.20,47.44,46.155,46.81,253800,46.40847
2015-01-20,45.80,46.155,45.565,45.95,228300,45.55585
2015-01-19,46.00,46.17,45.56,45.75,182800,45.35756
2015-01-16,45.44,45.68,45.22,45.45,214000,45.06014
2015-01-15,45.46,46.43,45.29,46.00,313900,45.60542
2015-01-14,45.73,46.04,45.35,45.46,195400,45.07005
2015-01-13,45.72,46.14,45.43,45.78,156600,45.38731
2015-01-12,45.30,45.88,45.07,45.77,82800,45.37739
2015-01-09,45.16,45.52,45.01,45.32,193200,44.93125
2015-01-08,45.35,45.55,44.79,45.00,193700,44.614
2015-01-07,44.81,45.31,44.52,45.21,227500,44.8222
2015-01-06,45.03,45.20,44.59,45.02,253000,44.63383
2015-01-05,45.34,45.50,44.92,45.44,108200,45.05022
2015-01-02,45.44,45.50,44.32,45.32,73100,44.93125
2015-01-01,45.36,45.36,45.36,45.36,000,44.97091
