date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.85,6.96,6.82,6.93,865300,6.93
2015-06-29,6.88,6.92,6.71,6.88,725900,6.88
2015-06-26,7.07,7.07,6.94,6.99,982200,6.99
2015-06-25,7.18,7.18,7.10,7.11,1009100,7.11
2015-06-24,7.21,7.23,7.18,7.20,1417300,7.20
2015-06-23,7.20,7.26,7.165,7.22,846000,7.22
2015-06-22,7.21,7.21,7.09,7.12,428900,7.12
2015-06-19,7.17,7.23,7.16,7.23,2680000,7.23
2015-06-18,7.15,7.17,7.06,7.10,1589500,7.10
2015-06-17,7.20,7.225,7.14,7.20,939200,7.20
2015-06-16,7.25,7.27,7.16,7.20,545500,7.20
2015-06-15,7.21,7.27,7.16,7.25,1037500,7.25
2015-06-12,7.27,7.30,7.22,7.29,976900,7.29
2015-06-11,7.16,7.27,7.06,7.27,1398300,7.27
2015-06-10,7.26,7.26,7.11,7.14,1395100,7.14
2015-06-09,7.44,7.44,7.215,7.24,1407900,7.24
2015-06-08,7.02,7.02,7.02,7.02,000,7.02
2015-06-05,7.04,7.04,6.94,7.02,730700,7.02
2015-06-04,7.32,7.355,7.07,7.10,2051400,7.10
2015-06-03,7.31,7.45,7.26,7.28,2136800,7.28
2015-06-02,7.72,7.72,7.42,7.48,574500,7.48
2015-06-01,7.71,7.74,7.60,7.70,386700,7.70
2015-05-29,7.76,7.795,7.75,7.76,804000,7.76
2015-05-28,7.75,7.77,7.69,7.75,1186200,7.75
2015-05-27,7.65,7.75,7.61,7.74,751400,7.74
2015-05-26,7.62,7.70,7.59,7.69,512200,7.69
2015-05-25,7.55,7.62,7.49,7.62,511900,7.62
2015-05-22,7.51,7.58,7.50,7.58,450400,7.58
2015-05-21,7.48,7.51,7.45,7.46,932200,7.46
2015-05-20,7.39,7.49,7.35,7.48,1050500,7.48
2015-05-19,7.36,7.41,7.235,7.31,1640000,7.31
2015-05-18,7.35,7.48,7.32,7.33,409300,7.33
2015-05-15,7.30,7.35,7.27,7.34,1161400,7.34
2015-05-14,7.26,7.33,7.17,7.18,1437100,7.18
2015-05-13,7.33,7.35,7.24,7.32,750700,7.32
2015-05-12,7.27,7.38,7.21,7.32,1684400,7.32
2015-05-11,7.40,7.42,7.26,7.30,1130400,7.30
2015-05-08,7.35,7.42,7.33,7.34,974000,7.34
2015-05-07,7.29,7.42,7.27,7.30,2195200,7.30
2015-05-06,7.56,7.60,7.29,7.29,4030000,7.29
2015-05-05,7.63,7.73,7.55,7.65,1440700,7.65
