date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.40,5.48,5.40,5.43,465100,5.43
2015-06-29,5.60,5.60,5.43,5.45,418700,5.45
2015-06-26,5.66,5.76,5.56,5.70,656100,5.70
2015-06-25,5.76,5.78,5.66,5.71,179900,5.71
2015-06-24,5.81,5.81,5.685,5.75,424200,5.75
2015-06-23,5.85,6.01,5.78,5.80,412500,5.80
2015-06-22,5.76,5.84,5.72,5.83,300600,5.83
2015-06-19,5.70,5.775,5.70,5.76,817300,5.76
2015-06-18,5.74,5.75,5.61,5.65,827500,5.65
2015-06-17,5.74,5.91,5.74,5.77,469200,5.77
2015-06-16,5.76,5.79,5.69,5.70,548600,5.70
2015-06-15,5.74,5.78,5.685,5.71,483200,5.71
2015-06-12,5.75,5.82,5.67,5.71,546100,5.71
2015-06-11,5.57,5.85,5.56,5.77,723000,5.77
2015-06-10,5.51,5.56,5.45,5.50,452800,5.50
2015-06-09,5.48,5.67,5.45,5.53,680100,5.53
2015-06-08,5.50,5.50,5.50,5.50,000,5.50
2015-06-05,5.53,5.63,5.37,5.50,1613900,5.50
2015-06-04,5.95,5.995,5.61,5.62,1560900,5.62
2015-06-03,6.30,6.31,5.88,5.95,1623100,5.95
2015-06-02,6.56,6.60,6.32,6.36,957500,6.36
2015-06-01,6.65,6.66,6.45,6.49,427700,6.49
2015-05-29,6.76,6.76,6.65,6.65,537100,6.65
2015-05-28,6.78,6.79,6.70,6.74,218900,6.74
2015-05-27,6.75,6.80,6.65,6.76,334200,6.76
2015-05-26,6.79,6.84,6.74,6.77,399700,6.77
2015-05-25,6.90,6.90,6.77,6.80,257500,6.80
2015-05-22,6.82,6.91,6.82,6.87,187200,6.87
2015-05-21,6.70,6.80,6.67,6.77,272100,6.77
2015-05-20,6.65,6.72,6.62,6.67,227000,6.67
2015-05-19,6.76,6.78,6.61,6.64,242500,6.64
2015-05-18,6.80,6.83,6.71,6.75,201700,6.75
2015-05-15,6.90,6.93,6.77,6.81,189900,6.81
2015-05-14,6.74,6.84,6.705,6.84,474900,6.84
2015-05-13,6.62,6.86,6.61,6.81,292500,6.81
2015-05-12,6.59,6.67,6.55,6.64,392000,6.64
2015-05-11,6.65,6.72,6.59,6.66,246300,6.66
2015-05-08,6.62,6.74,6.58,6.60,292300,6.60
2015-05-07,6.65,6.79,6.61,6.71,239900,6.71
2015-05-06,6.98,6.99,6.74,6.79,370100,6.79
2015-05-05,7.19,7.22,6.96,7.01,392200,7.01
2015-05-04,7.12,7.16,7.00,7.08,598900,7.08
2015-05-01,6.86,7.11,6.78,7.09,351600,7.09
2015-04-30,6.87,7.01,6.78,6.95,534800,6.95
2015-04-29,6.97,6.99,6.90,6.95,490700,6.95
2015-04-28,7.14,7.18,6.91,7.00,375600,7.00
2015-04-27,7.20,7.21,7.06,7.13,432100,7.13
2015-04-24,7.00,7.16,6.98,7.16,340100,7.16
2015-04-23,6.94,6.94,6.80,6.91,327400,6.91
2015-04-22,6.81,6.95,6.72,6.83,364700,6.83
2015-04-21,6.68,6.81,6.68,6.78,266900,6.78
2015-04-20,6.55,6.71,6.43,6.63,536200,6.63
2015-04-17,6.60,6.69,6.56,6.57,635500,6.57
2015-04-16,6.65,6.67,6.41,6.60,681100,6.60
2015-04-15,6.80,6.81,6.54,6.61,539700,6.61
2015-04-14,6.80,6.81,6.74,6.78,216200,6.78
2015-04-13,6.94,6.96,6.79,6.81,176800,6.81
2015-04-10,6.85,6.98,6.82,6.93,179400,6.93
2015-04-09,6.90,6.90,6.83,6.83,135900,6.83
2015-04-08,6.85,6.91,6.73,6.90,278200,6.90
2015-04-07,6.99,7.05,6.77,6.85,287000,6.85
2015-04-06,6.99,6.99,6.99,6.99,000,6.99
2015-04-03,6.99,6.99,6.99,6.99,000,6.99
2015-04-02,7.07,7.11,6.99,6.99,271900,6.99
2015-04-01,7.05,7.12,7.00,7.04,249800,7.04
2015-03-31,6.96,7.12,6.96,7.06,330600,7.06
2015-03-30,7.02,7.03,6.92,6.96,124800,6.96
2015-03-27,7.01,7.08,6.95,7.04,223200,7.04
2015-03-26,7.25,7.25,6.92,6.97,301800,6.97
2015-03-25,7.30,7.30,7.08,7.23,411400,7.23
2015-03-24,7.25,7.33,7.20,7.25,552000,7.25
2015-03-23,7.25,7.33,7.16,7.25,518100,7.25
2015-03-20,7.16,7.255,7.15,7.23,550800,7.23
2015-03-19,7.23,7.31,7.08,7.16,535300,7.16
2015-03-18,7.24,7.25,7.05,7.24,329500,7.24
2015-03-17,7.56,7.57,7.36,7.38,284600,7.216
2015-03-16,7.43,7.52,7.40,7.50,169900,7.333
2015-03-13,7.55,7.60,7.45,7.49,194500,7.323
2015-03-12,7.51,7.60,7.48,7.49,361600,7.323
2015-03-11,7.35,7.59,7.29,7.52,747900,7.353
2015-03-10,7.58,7.59,7.36,7.44,463400,7.274
2015-03-09,7.64,7.65,7.51,7.58,154500,7.411
2015-03-06,7.85,7.91,7.57,7.65,998000,7.48
2015-03-05,7.69,8.00,7.69,7.85,724300,7.675
2015-03-04,7.57,7.72,7.45,7.66,310700,7.489
2015-03-03,7.70,7.78,7.40,7.56,395800,7.392
2015-03-02,7.58,7.77,7.58,7.65,354900,7.48
2015-02-27,7.54,7.62,7.49,7.56,387800,7.392
2015-02-26,7.27,7.60,7.19,7.54,584400,7.372
2015-02-25,6.86,7.54,6.86,7.54,672300,7.372
2015-02-24,6.60,6.63,6.52,6.54,140200,6.394
2015-02-23,6.59,6.64,6.55,6.60,147200,6.453
2015-02-20,6.60,6.62,6.54,6.60,111600,6.453
2015-02-19,6.60,6.69,6.54,6.59,229900,6.443
2015-02-18,6.46,6.58,6.42,6.55,184000,6.404
2015-02-17,6.47,6.47,6.40,6.46,129300,6.316
2015-02-16,6.40,6.49,6.35,6.48,228400,6.336
2015-02-13,6.43,6.48,6.33,6.40,404100,6.258
2015-02-12,6.33,6.42,6.32,6.39,474300,6.248
2015-02-11,6.32,6.35,6.25,6.27,137200,6.13
2015-02-10,6.23,6.29,6.22,6.27,412700,6.13
2015-02-09,6.22,6.30,6.17,6.24,256200,6.101
2015-02-06,6.30,6.44,6.23,6.25,127600,6.111
2015-02-05,6.15,6.28,6.15,6.28,322400,6.14
2015-02-04,6.29,6.30,6.09,6.13,269800,5.994
2015-02-03,6.21,6.29,6.10,6.24,438500,6.101
2015-02-02,6.20,6.26,6.20,6.20,300100,6.062
2015-01-30,6.21,6.21,6.14,6.17,306700,6.033
2015-01-29,6.14,6.26,6.12,6.19,287900,6.052
2015-01-28,6.18,6.25,6.15,6.19,221700,6.052
2015-01-27,6.01,6.22,6.01,6.22,335000,6.082
2015-01-26,6.00,6.00,6.00,6.00,000,5.866
2015-01-23,5.88,6.00,5.86,6.00,281800,5.866
2015-01-22,5.86,5.89,5.85,5.86,352800,5.73
2015-01-21,5.84,5.89,5.83,5.87,382200,5.739
2015-01-20,5.70,5.85,5.66,5.83,297900,5.70
2015-01-19,5.75,5.75,5.65,5.71,286000,5.583
2015-01-16,5.62,5.73,5.57,5.69,309400,5.563
2015-01-15,5.78,5.78,5.63,5.66,494900,5.534
2015-01-14,5.72,5.76,5.69,5.74,395200,5.612
2015-01-13,5.63,5.74,5.63,5.72,297800,5.593
2015-01-12,5.68,5.74,5.66,5.70,357500,5.573
2015-01-09,5.62,5.74,5.56,5.74,431200,5.612
2015-01-08,5.64,5.65,5.51,5.57,221200,5.446
2015-01-07,5.61,5.69,5.60,5.62,184300,5.495
2015-01-06,5.66,5.69,5.60,5.61,130400,5.485
2015-01-05,5.76,5.77,5.65,5.71,160200,5.583
2015-01-02,5.75,5.79,5.71,5.77,74000,5.642
2015-01-01,5.76,5.76,5.76,5.76,000,5.632
2014-12-31,5.69,5.76,5.68,5.76,206300,5.632
2014-12-30,5.81,5.86,5.73,5.74,261200,5.612
2014-12-29,5.83,5.95,5.80,5.88,187200,5.749
2014-12-26,5.82,5.82,5.82,5.82,000,5.69
2014-12-25,5.82,5.82,5.82,5.82,000,5.69
2014-12-24,5.88,5.96,5.81,5.82,262100,5.69
2014-12-23,5.73,5.86,5.71,5.84,310900,5.71
2014-12-22,5.73,5.77,5.69,5.70,421800,5.573
2014-12-19,5.66,5.72,5.65,5.70,758500,5.573
2014-12-18,5.64,5.72,5.54,5.60,932200,5.475
2014-12-17,5.61,5.70,5.61,5.64,855500,5.514
2014-12-16,5.60,5.63,5.57,5.60,509900,5.475
2014-12-15,5.63,5.65,5.56,5.60,288200,5.475
2014-12-12,5.56,5.71,5.54,5.65,297500,5.524
2014-12-11,5.40,5.54,5.34,5.53,1037100,5.407
2014-12-10,5.55,5.56,5.33,5.45,1106800,5.329
2014-12-09,5.58,5.62,5.52,5.56,1523100,5.436
2014-12-08,5.66,5.68,5.59,5.60,320600,5.475
2014-12-05,5.70,5.75,5.66,5.68,561400,5.554
2014-12-04,5.75,5.78,5.69,5.70,281500,5.573
2014-12-03,5.67,5.77,5.65,5.73,393900,5.602
2014-12-02,5.63,5.70,5.58,5.68,308300,5.554
2014-12-01,5.65,5.66,5.56,5.60,429700,5.475
2014-11-28,5.75,5.75,5.62,5.65,460800,5.524
2014-11-27,5.90,5.95,5.76,5.78,521100,5.651
2014-11-26,5.97,5.97,5.89,5.91,431700,5.778
2014-11-25,5.83,6.00,5.83,5.93,662100,5.798
2014-11-24,5.84,5.90,5.83,5.88,239700,5.749
2014-11-21,5.90,5.90,5.81,5.87,396200,5.739
2014-11-20,5.96,6.00,5.85,5.87,477900,5.739
2014-11-19,5.95,6.03,5.95,5.97,383500,5.837
2014-11-18,5.91,5.94,5.88,5.94,240400,5.808
2014-11-17,5.91,5.94,5.83,5.88,215900,5.749
2014-11-14,5.91,5.93,5.87,5.91,185700,5.778
2014-11-13,5.90,5.95,5.86,5.90,344900,5.769
2014-11-12,5.83,5.90,5.80,5.87,211300,5.739
2014-11-11,5.81,5.89,5.79,5.89,318400,5.759
2014-11-10,5.94,5.95,5.79,5.81,402100,5.681
2014-11-07,5.93,5.99,5.90,5.90,604600,5.769
2014-11-06,5.82,5.85,5.71,5.80,551400,5.671
2014-11-05,5.98,5.985,5.76,5.76,958000,5.632
2014-11-04,5.68,6.065,5.68,6.01,1833500,5.876
2014-11-03,5.60,5.74,5.59,5.69,545800,5.563
2014-10-31,5.65,5.78,5.53,5.57,917400,5.446
2014-10-30,5.50,5.64,5.50,5.61,809900,5.485
2014-10-29,5.33,5.59,5.33,5.49,1023200,5.368
2014-10-28,5.28,5.28,5.19,5.27,519300,5.153
2014-10-27,5.16,5.33,5.15,5.30,1208100,5.182
2014-10-24,4.86,4.86,4.86,4.86,4200,4.752
2014-10-23,4.85,4.88,4.81,4.84,208100,4.732
2014-10-22,4.81,4.89,4.78,4.87,537400,4.762
2014-10-21,4.78,4.83,4.76,4.76,120400,4.654
2014-10-20,4.72,4.80,4.72,4.77,134500,4.664
2014-10-17,4.69,4.72,4.665,4.70,176800,4.595
2014-10-16,4.67,4.70,4.62,4.67,419800,4.566
2014-10-15,4.68,4.72,4.67,4.71,370200,4.605
2014-10-14,4.65,4.72,4.61,4.72,2145400,4.615
2014-10-13,4.74,4.74,4.65,4.68,322100,4.576
2014-10-10,4.82,4.865,4.74,4.76,552600,4.654
2014-10-09,4.97,4.97,4.86,4.90,193200,4.791
2014-10-08,4.94,4.97,4.91,4.94,435900,4.83
2014-10-07,5.14,5.14,4.92,5.00,413900,4.889
2014-10-06,5.10,5.16,5.05,5.13,137200,5.016
2014-10-03,5.02,5.15,5.00,5.10,458900,4.986
2014-10-02,5.02,5.04,4.97,5.03,409800,4.918
2014-10-01,4.94,5.075,4.94,5.05,380500,4.938
2014-09-30,4.94,4.95,4.90,4.94,443800,4.83
2014-09-29,4.92,4.96,4.89,4.93,331300,4.82
2014-09-26,4.90,4.94,4.89,4.94,246100,4.83
2014-09-25,4.92,4.95,4.89,4.93,299100,4.82
2014-09-24,4.93,4.95,4.90,4.93,416900,4.82
2014-09-23,4.84,4.94,4.84,4.94,629100,4.83
2014-09-22,4.82,4.86,4.81,4.84,312800,4.732
2014-09-19,4.78,4.91,4.78,4.86,369900,4.752
2014-09-18,4.76,4.76,4.71,4.74,258600,4.634
2014-09-17,4.70,4.77,4.68,4.71,319000,4.605
