date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,60.20,61.48,60.04,61.47,567000,61.47
2015-06-29,60.78,61.10,60.25,60.46,431600,60.46
2015-06-26,62.00,62.20,61.50,61.92,362900,61.92
2015-06-25,62.67,62.72,62.11,62.30,379600,62.30
2015-06-24,62.66,62.85,62.26,62.70,389700,62.70
2015-06-23,62.34,62.85,62.09,62.82,436100,62.82
2015-06-22,61.29,61.65,61.20,61.46,321900,61.46
2015-06-19,60.94,61.69,60.86,61.21,322800,61.21
2015-06-18,60.00,60.95,59.67,60.30,700800,60.30
2015-06-17,61.34,61.50,60.66,61.32,400800,61.32
2015-06-16,61.60,61.60,60.38,60.41,374200,60.41
2015-06-15,62.00,62.05,61.12,61.40,453800,61.40
2015-06-12,61.56,62.28,61.56,62.14,510100,62.14
2015-06-11,60.38,61.37,60.00,61.24,609200,61.24
2015-06-10,59.78,59.87,58.90,59.30,454700,59.30
2015-06-09,60.05,60.45,59.58,59.70,358600,59.70
2015-06-08,60.57,60.57,60.57,60.57,000,60.57
2015-06-05,60.06,61.32,59.79,60.57,614000,60.57
2015-06-04,60.63,61.27,59.55,59.55,682600,59.55
2015-06-03,61.50,62.50,59.85,60.56,1018100,60.56
2015-06-02,64.10,64.19,61.70,61.70,646800,61.70
2015-06-01,63.51,63.67,62.86,63.18,748900,63.18
2015-05-29,66.00,66.02,63.52,63.52,1963800,63.52
2015-05-28,67.28,67.29,66.02,66.02,435300,66.02
2015-05-27,67.90,67.96,66.39,66.42,486000,66.42
2015-05-26,67.37,68.04,67.27,68.01,270000,68.01
2015-05-25,66.28,67.28,66.26,67.01,326700,67.01
2015-05-22,67.00,67.28,66.26,66.70,375900,66.70
2015-05-21,66.38,66.45,65.30,66.45,512500,66.45
2015-05-20,64.50,65.25,64.33,65.05,431900,65.05
2015-05-19,63.68,64.02,63.13,63.84,742400,63.84
2015-05-18,63.80,64.40,63.06,63.08,343400,63.08
2015-05-15,64.11,64.30,63.34,63.82,338100,63.82
2015-05-14,63.55,63.63,62.42,63.42,408900,63.42
2015-05-13,63.82,63.82,62.90,63.74,530500,63.74
2015-05-12,62.87,62.90,62.06,62.24,383800,62.24
2015-05-11,63.30,63.86,62.04,62.04,449100,62.04
2015-05-08,62.24,62.80,61.925,62.10,395400,62.10
2015-05-07,61.77,62.65,61.55,61.99,725000,61.99
2015-05-06,63.14,63.28,61.17,61.24,562800,61.24
2015-05-05,63.08,64.09,62.89,63.20,309000,63.20
2015-05-04,62.78,63.70,62.68,62.82,240100,62.82
2015-05-01,63.00,63.00,61.97,62.51,342600,62.51
2015-04-30,62.50,63.04,61.38,62.59,420800,62.59
2015-04-29,64.58,64.62,62.64,62.64,515500,62.64
2015-04-28,65.09,65.09,64.25,64.59,318300,64.59
2015-04-27,65.20,65.78,64.85,65.00,231000,65.00
2015-04-24,64.28,65.38,64.12,65.12,341200,65.12
2015-04-23,64.65,64.70,63.51,64.12,417600,64.12
2015-04-22,64.90,65.35,64.40,64.65,458100,64.65
2015-04-21,64.92,65.39,64.53,64.90,442500,64.90
2015-04-20,65.50,65.55,64.00,64.60,349000,64.60
2015-04-17,66.05,66.37,65.56,65.63,284500,65.63
2015-04-16,67.03,67.03,65.79,66.03,316200,66.03
2015-04-15,67.09,67.11,66.26,66.27,401900,66.27
2015-04-14,66.75,67.43,66.55,67.36,204200,67.36
2015-04-13,67.09,67.76,66.93,67.17,264400,67.17
2015-04-10,67.31,67.58,66.83,67.51,269300,67.51
2015-04-09,67.69,67.86,66.33,66.47,297600,66.47
2015-04-08,67.45,67.70,66.79,67.38,328900,67.38
2015-04-07,67.00,67.77,66.71,67.01,538500,67.01
2015-04-06,66.54,66.54,66.54,66.54,000,66.54
2015-04-03,66.54,66.54,66.54,66.54,000,66.54
2015-04-02,66.81,67.28,66.52,66.54,383300,66.54
2015-04-01,66.66,67.27,66.21,66.23,474400,66.23
2015-03-31,67.49,68.05,66.98,67.24,539100,67.24
2015-03-30,65.68,66.34,65.50,66.19,272700,66.19
2015-03-27,66.07,67.21,66.07,66.63,200800,66.63
2015-03-26,67.40,67.40,65.93,66.16,329700,66.16
2015-03-25,67.93,68.06,67.55,67.62,290200,67.62
2015-03-24,67.10,68.00,66.65,67.65,264200,67.65
2015-03-23,67.76,67.91,66.58,67.10,232600,67.10
2015-03-20,67.55,68.49,67.05,67.34,391500,67.34
2015-03-19,67.93,68.13,67.29,67.50,638900,67.50
2015-03-18,65.33,66.34,65.06,66.20,426500,66.20
2015-03-17,65.50,65.91,65.05,65.05,752300,65.05
2015-03-16,64.88,65.43,64.53,64.82,391200,64.82
2015-03-13,65.87,66.43,64.87,64.96,597300,64.96
2015-03-12,67.23,67.34,65.80,66.06,523200,66.06
2015-03-11,67.00,67.70,66.64,67.33,443500,67.33
2015-03-10,68.16,68.50,67.50,67.66,345800,67.66
2015-03-09,68.48,68.63,67.54,67.64,327400,67.64
2015-03-06,68.50,68.99,67.83,68.48,263800,68.48
2015-03-05,68.30,68.63,68.02,68.50,421700,68.095
2015-03-04,68.10,69.22,68.01,68.48,522300,67.673
2015-03-03,68.80,69.00,67.33,67.98,786400,67.178
2015-03-02,67.43,68.36,67.195,67.42,488000,66.625
2015-02-27,66.92,67.20,66.45,66.90,595300,66.111
2015-02-26,65.10,68.31,65.10,66.42,871900,65.637
2015-02-25,63.85,64.53,63.80,64.10,251100,63.344
2015-02-24,64.44,64.79,63.57,63.80,282700,63.048
2015-02-23,63.60,64.43,63.39,63.89,306200,63.137
2015-02-20,63.40,63.76,62.90,63.17,272100,62.425
2015-02-19,63.41,63.69,62.64,62.80,319600,62.059
2015-02-18,62.15,63.02,61.71,62.76,302600,62.02
2015-02-17,61.99,62.10,61.62,61.70,226000,60.972
2015-02-16,62.00,62.14,61.57,61.90,305300,61.17
2015-02-13,61.98,61.99,61.52,61.70,422400,60.972
2015-02-12,61.48,61.52,60.77,60.98,462300,60.261
2015-02-11,61.97,62.07,60.58,60.73,345500,60.014
2015-02-10,61.87,61.97,60.91,60.97,237500,60.251
2015-02-09,60.70,61.79,60.70,61.79,216100,61.061
2015-02-06,61.29,61.29,60.57,60.85,160800,60.132
2015-02-05,60.44,61.28,60.28,60.80,348100,60.083
2015-02-04,61.00,61.00,59.76,60.07,304400,59.362
2015-02-03,60.97,61.07,59.35,60.14,275700,59.431
2015-02-02,59.67,60.59,59.51,60.36,296300,59.648
2015-01-30,59.65,59.99,59.20,59.45,394700,58.749
2015-01-29,59.25,59.90,59.20,59.58,241600,58.877
2015-01-28,58.45,59.40,58.26,59.24,314800,58.541
2015-01-27,59.97,60.16,59.00,59.73,428600,59.026
2015-01-26,58.35,58.35,58.35,58.35,000,57.662
2015-01-23,58.27,58.42,57.84,58.35,245400,57.662
2015-01-22,58.11,58.27,57.09,57.58,371400,56.901
2015-01-21,56.80,58.10,56.68,58.10,316200,57.415
2015-01-20,57.11,57.16,56.38,56.80,367800,56.13
2015-01-19,58.08,58.13,57.08,57.24,259100,56.565
2015-01-16,58.50,58.60,57.10,57.42,423700,56.743
2015-01-15,58.00,58.70,57.94,58.70,454600,58.008
2015-01-14,59.28,59.29,58.28,58.38,400400,57.692
2015-01-13,58.11,59.37,58.11,59.28,366600,58.581
2015-01-12,58.70,58.99,58.32,58.41,224900,57.721
2015-01-09,58.63,59.07,58.46,58.96,276800,58.265
2015-01-08,58.00,58.29,57.48,58.02,283700,57.336
2015-01-07,57.57,58.32,56.89,57.01,384800,56.338
2015-01-06,57.52,57.95,57.31,57.65,336000,56.97
2015-01-05,57.80,58.24,57.38,57.78,259300,57.099
2015-01-02,56.95,57.87,56.80,57.87,172800,57.188
2015-01-01,57.10,57.10,57.10,57.10,000,56.427
2014-12-31,57.00,57.69,56.85,57.10,75800,56.427
2014-12-30,58.49,58.49,56.76,56.82,247800,56.15
2014-12-29,57.50,58.30,57.03,58.29,170700,57.603
2014-12-26,56.72,56.72,56.72,56.72,000,56.051
2014-12-25,56.72,56.72,56.72,56.72,000,56.051
2014-12-24,57.62,57.62,56.46,56.72,119600,56.051
2014-12-23,57.80,57.99,57.18,57.19,303400,56.516
2014-12-22,56.55,57.65,56.35,57.65,463600,56.97
2014-12-19,55.00,56.19,55.00,56.16,467500,55.498
2014-12-18,54.90,55.69,54.425,54.49,444900,53.847
2014-12-17,54.05,54.98,54.05,54.86,373000,54.213
2014-12-16,55.15,55.17,53.86,54.08,483500,53.442
2014-12-15,54.44,55.39,54.30,55.09,273600,54.44
2014-12-12,54.56,56.00,54.46,54.59,485600,53.946
2014-12-11,54.75,55.29,54.75,55.19,447100,54.539
2014-12-10,55.30,55.39,54.68,55.22,440900,54.569
2014-12-09,55.48,55.83,55.02,55.24,369100,54.589
2014-12-08,55.62,56.31,55.54,55.80,287500,55.142
2014-12-05,55.40,56.15,55.01,55.12,301100,54.47
2014-12-04,55.31,55.70,54.94,55.51,392500,54.855
2014-12-03,53.85,55.33,53.85,55.25,562600,54.599
2014-12-02,53.99,54.14,53.40,54.14,423900,53.502
2014-12-01,54.17,54.49,53.26,53.26,333700,52.632
2014-11-28,54.92,54.92,54.05,54.15,448800,53.511
