date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.22,1.25,1.22,1.25,544200,1.25
2015-06-29,1.24,1.24,1.202,1.24,146700,1.24
2015-06-26,1.215,1.24,1.192,1.24,289300,1.24
2015-06-25,1.22,1.22,1.20,1.215,90400,1.215
2015-06-24,1.23,1.23,1.185,1.20,172400,1.20
2015-06-23,1.23,1.24,1.20,1.20,111300,1.20
2015-06-22,1.23,1.235,1.195,1.195,68000,1.195
2015-06-19,1.205,1.235,1.17,1.235,250700,1.235
2015-06-18,1.175,1.215,1.17,1.21,205000,1.21
2015-06-17,1.18,1.185,1.145,1.16,358200,1.16
2015-06-16,1.20,1.205,1.185,1.185,148300,1.185
2015-06-15,1.21,1.22,1.205,1.21,61600,1.21
2015-06-12,1.24,1.25,1.21,1.22,277600,1.22
2015-06-11,1.185,1.24,1.18,1.24,1911300,1.24
2015-06-10,1.155,1.175,1.14,1.165,130800,1.165
2015-06-09,1.14,1.155,1.14,1.15,146800,1.15
2015-06-08,1.16,1.16,1.16,1.16,000,1.16
2015-06-05,1.17,1.175,1.13,1.16,190900,1.16
2015-06-04,1.19,1.19,1.16,1.165,264000,1.165
2015-06-03,1.18,1.19,1.14,1.18,267000,1.18
2015-06-02,1.19,1.195,1.17,1.18,549700,1.18
2015-06-01,1.19,1.215,1.17,1.19,614900,1.19
2015-05-29,1.185,1.2075,1.185,1.19,168200,1.19
2015-05-28,1.19,1.19,1.185,1.185,78000,1.185
2015-05-27,1.165,1.195,1.165,1.195,232900,1.195
2015-05-26,1.16,1.195,1.16,1.17,507200,1.17
2015-05-25,1.13,1.16,1.13,1.14,321400,1.14
2015-05-22,1.125,1.13,1.115,1.13,167700,1.13
2015-05-21,1.13,1.13,1.105,1.12,82200,1.12
2015-05-20,1.12,1.13,1.117,1.125,144500,1.125
2015-05-19,1.12,1.12,1.10,1.12,99000,1.12
2015-05-18,1.12,1.135,1.12,1.12,202800,1.12
2015-05-15,1.135,1.135,1.105,1.12,143300,1.12
2015-05-14,1.12,1.145,1.115,1.135,126900,1.135
2015-05-13,1.12,1.13,1.11,1.12,444200,1.12
2015-05-12,1.14,1.15,1.117,1.12,193800,1.12
2015-05-11,1.14,1.145,1.11,1.12,174200,1.12
2015-05-08,1.15,1.15,1.11,1.11,181100,1.11
2015-05-07,1.155,1.155,1.14,1.15,132100,1.15
2015-05-06,1.16,1.16,1.14,1.155,345400,1.155
2015-05-05,1.14,1.155,1.135,1.15,127700,1.15
2015-05-04,1.14,1.155,1.125,1.125,90500,1.125
2015-05-01,1.12,1.155,1.12,1.155,416300,1.155
2015-04-30,1.14,1.14,1.105,1.13,767800,1.13
2015-04-29,1.08,1.142,1.08,1.14,341700,1.14
2015-04-28,1.10,1.105,1.08,1.105,541900,1.105
2015-04-27,1.12,1.12,1.09,1.09,231600,1.09
2015-04-24,1.12,1.122,1.09,1.115,347000,1.115
2015-04-23,1.11,1.12,1.08,1.105,220400,1.105
2015-04-22,1.155,1.155,1.115,1.135,147700,1.135
2015-04-21,1.19,1.19,1.11,1.15,187200,1.15
2015-04-20,1.185,1.195,1.185,1.19,487000,1.16857
2015-04-17,1.19,1.19,1.175,1.19,318600,1.16857
2015-04-16,1.19,1.19,1.18,1.19,251900,1.16857
2015-04-15,1.16,1.19,1.15,1.19,193100,1.16857
2015-04-14,1.175,1.175,1.15,1.15,116200,1.12929
2015-04-13,1.18,1.18,1.155,1.17,83300,1.14893
2015-04-10,1.17,1.172,1.145,1.17,457600,1.14893
2015-04-09,1.145,1.18,1.14,1.14,412100,1.11947
2015-04-08,1.11,1.16,1.105,1.145,490400,1.12438
2015-04-07,1.11,1.12,1.09,1.12,245600,1.09983
2015-04-06,1.10,1.10,1.10,1.10,000,1.08019
2015-04-03,1.10,1.10,1.10,1.10,000,1.08019
2015-04-02,1.11,1.11,1.09,1.10,177000,1.08019
2015-04-01,1.06,1.11,1.06,1.11,857300,1.09001
2015-03-31,1.11,1.12,1.06,1.07,413200,1.05073
2015-03-30,1.12,1.12,1.092,1.11,453700,1.09001
2015-03-27,1.085,1.12,1.08,1.12,417000,1.09983
2015-03-26,1.095,1.095,1.08,1.085,679200,1.06546
