date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,53.40,53.87,52.96,53.75,1793800,53.75
2015-06-29,53.70,53.95,53.00,53.29,1538600,53.29
2015-06-26,54.88,54.92,54.06,54.08,4287600,54.08
2015-06-25,55.80,56.20,55.47,55.63,1302300,55.63
2015-06-24,56.57,56.615,55.67,55.67,1934500,55.67
2015-06-23,56.00,56.41,55.88,56.34,1641700,56.34
2015-06-22,55.40,55.80,54.80,55.80,1359500,55.80
2015-06-19,55.25,55.97,55.00,55.55,2634400,55.55
2015-06-18,55.30,55.74,54.87,54.95,3876000,54.95
2015-06-17,56.20,56.26,55.80,56.03,1922300,56.03
2015-06-16,56.80,57.00,55.85,55.91,1994000,55.91
2015-06-15,56.65,57.46,56.65,57.29,1163600,57.29
2015-06-12,57.01,57.30,56.72,57.14,1054400,57.14
2015-06-11,56.99,57.48,56.81,57.48,1301500,57.48
2015-06-10,56.05,56.22,55.63,56.07,1331400,56.07
2015-06-09,56.89,57.25,56.22,56.37,1864600,56.37
2015-06-08,57.02,57.02,57.02,57.02,000,57.02
2015-06-05,56.99,57.40,56.63,57.02,1152400,57.02
2015-06-04,57.30,57.455,56.54,56.74,1687200,56.74
2015-06-03,56.80,58.04,56.75,57.50,2353100,57.50
2015-06-02,57.38,57.38,56.25,56.49,1553400,56.49
2015-06-01,57.70,57.70,57.11,57.42,953600,57.42
2015-05-29,58.30,58.77,58.13,58.20,3024700,58.20
2015-05-28,57.65,57.78,57.07,57.65,1076300,57.65
2015-05-27,57.50,57.79,57.04,57.31,1911200,57.31
2015-05-26,58.00,58.64,57.67,58.29,1150000,58.29
2015-05-25,57.27,57.93,56.95,57.63,1198000,57.63
2015-05-22,57.43,57.74,56.69,56.75,903400,56.75
2015-05-21,56.43,57.06,56.34,56.90,1323300,56.90
2015-05-20,56.63,56.63,55.56,56.03,2539200,56.03
2015-05-19,57.25,57.45,56.76,57.45,1805900,57.45
2015-05-18,58.00,58.32,57.30,57.45,1283700,57.45
2015-05-15,58.35,58.35,57.84,58.10,1582800,58.10
2015-05-14,58.22,58.46,57.54,57.70,1706700,57.70
2015-05-13,58.74,59.02,58.44,59.02,1604100,59.02
2015-05-12,59.35,59.57,58.57,59.25,1709800,59.25
2015-05-11,59.46,59.46,58.57,58.62,1383700,58.62
2015-05-08,58.50,58.87,58.32,58.43,1442600,58.43
2015-05-07,58.71,59.13,58.40,58.54,1760700,58.54
2015-05-06,58.69,59.70,58.55,59.12,1570600,59.12
2015-05-05,59.99,60.50,59.15,59.48,1888900,59.48
2015-05-04,59.30,59.90,59.17,59.90,2497600,59.90
2015-05-01,57.49,58.54,57.18,58.29,1998100,58.29
2015-04-30,56.71,57.39,56.64,57.15,1693200,57.15
2015-04-29,58.28,58.64,57.71,57.71,2063000,57.71
2015-04-28,59.20,59.49,58.69,58.79,2204100,58.79
2015-04-27,59.10,59.88,58.82,59.77,3115900,59.77
2015-04-24,57.70,57.79,57.36,57.79,4558000,57.79
2015-04-23,56.21,56.69,55.82,56.30,2781300,56.30
2015-04-22,54.85,55.20,54.52,55.20,1839000,55.20
2015-04-21,55.60,55.85,55.45,55.50,2532700,55.50
2015-04-20,54.85,55.50,54.64,54.66,1851800,54.66
2015-04-17,55.18,55.59,54.73,55.09,2062800,55.09
2015-04-16,56.45,56.54,55.45,55.87,2150100,55.87
2015-04-15,56.40,56.55,55.77,55.83,2565100,55.83
2015-04-14,55.01,55.27,54.65,54.96,2709900,54.96
2015-04-13,56.60,56.87,55.19,55.30,2005900,55.30
