date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.15,2.19,2.10,2.18,175600,2.18
2015-06-29,2.24,2.24,2.16,2.20,252200,2.20
2015-06-26,2.18,2.20,2.13,2.19,61700,2.19
2015-06-25,2.18,2.18,2.15,2.18,47100,2.18
2015-06-24,2.15,2.17,2.14,2.17,99500,2.17
2015-06-23,2.19,2.19,2.10,2.13,3033800,2.13
2015-06-22,2.13,2.14,2.06,2.07,133500,2.07
2015-06-19,2.15,2.21,2.12,2.12,160000,2.12
2015-06-18,2.25,2.25,2.15,2.15,58600,2.15
2015-06-17,2.20,2.24,2.20,2.24,154300,2.24
2015-06-16,2.17,2.21,2.17,2.20,214400,2.20
2015-06-15,2.205,2.21,2.16,2.16,24000,2.16
2015-06-12,2.23,2.23,2.19,2.23,76400,2.23
2015-06-11,2.24,2.24,2.18,2.22,55400,2.22
2015-06-10,2.25,2.25,2.18,2.24,32000,2.24
2015-06-09,2.20,2.25,2.18,2.25,143300,2.25
2015-06-08,2.25,2.25,2.25,2.25,000,2.25
2015-06-05,2.23,2.25,2.22,2.25,276600,2.25
2015-06-04,2.24,2.24,2.21,2.23,223100,2.23
2015-06-03,2.22,2.24,2.20,2.20,612500,2.20
2015-06-02,2.15,2.20,2.12,2.20,10400,2.20
2015-06-01,2.20,2.20,2.14,2.15,33000,2.15
2015-05-29,2.16,2.23,2.16,2.21,654200,2.21
2015-05-28,2.16,2.17,2.09,2.17,67300,2.17
2015-05-27,2.14,2.17,2.12,2.15,39500,2.15
2015-05-26,2.14,2.17,2.09,2.17,70700,2.17
2015-05-25,2.13,2.17,2.13,2.17,38800,2.17
2015-05-22,2.16,2.18,2.13,2.17,38100,2.17
2015-05-21,2.16,2.20,2.10,2.15,17000,2.15
2015-05-20,2.19,2.21,2.18,2.21,2086000,2.21
2015-05-19,2.16,2.19,2.14,2.19,77700,2.19
2015-05-18,2.11,2.17,2.11,2.17,459000,2.17
2015-05-15,2.19,2.19,2.08,2.09,100800,2.09
2015-05-14,2.20,2.22,2.14,2.17,101500,2.17
2015-05-13,2.13,2.23,2.13,2.23,83800,2.23
2015-05-12,2.22,2.22,2.16,2.19,180100,2.19
2015-05-11,2.19,2.25,2.19,2.22,190100,2.22
2015-05-08,2.18,2.23,2.18,2.19,186400,2.19
2015-05-07,2.14,2.19,2.12,2.19,195200,2.19
2015-05-06,2.12,2.16,2.12,2.15,145700,2.15
2015-05-05,2.10,2.12,2.07,2.11,391600,2.11
2015-05-04,2.07,2.11,2.06,2.08,200900,2.08
2015-05-01,2.01,2.07,2.01,2.06,47200,2.06
2015-04-30,2.00,2.08,2.00,2.03,125200,2.03
2015-04-29,1.96,2.07,1.955,2.07,1772700,2.07
2015-04-28,1.95,1.96,1.94,1.96,28500,1.96
2015-04-27,1.935,1.96,1.935,1.96,161000,1.96
2015-04-24,1.93,1.94,1.905,1.94,582000,1.94
2015-04-23,1.90,1.935,1.90,1.93,39800,1.93
2015-04-22,1.85,1.905,1.85,1.905,931900,1.905
2015-04-21,1.83,1.85,1.825,1.85,1672800,1.85
2015-04-20,1.845,1.85,1.835,1.85,13000,1.85
2015-04-17,1.85,1.86,1.84,1.84,179300,1.84
2015-04-16,1.85,1.89,1.84,1.86,73800,1.86
