date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,7.20,7.27,7.19,7.27,2458000,7.27
2015-06-29,7.23,7.24,7.14,7.20,3618900,7.20
2015-06-26,7.24,7.28,7.19,7.28,3588400,7.28
2015-06-25,7.36,7.37,7.30,7.33,2837700,7.33
2015-06-24,7.35,7.44,7.32,7.41,6130800,7.41
2015-06-23,7.48,7.51,7.47,7.50,4221200,7.50
2015-06-22,7.41,7.43,7.37,7.40,4729300,7.40
2015-06-19,7.33,7.38,7.33,7.37,3602600,7.37
2015-06-18,7.35,7.37,7.24,7.29,7690500,7.29
2015-06-17,7.45,7.46,7.40,7.43,8168000,7.43
2015-06-16,7.53,7.56,7.46,7.48,7493800,7.48
2015-06-15,7.59,7.59,7.475,7.52,4876300,7.52
2015-06-12,7.58,7.62,7.58,7.59,3170900,7.59
2015-06-11,7.62,7.64,7.54,7.56,3998000,7.56
2015-06-10,7.63,7.64,7.57,7.59,5373300,7.59
2015-06-09,7.62,7.67,7.57,7.58,5334800,7.58
2015-06-08,7.73,7.73,7.73,7.73,000,7.73
2015-06-05,7.72,7.80,7.70,7.73,2343400,7.73
2015-06-04,7.63,7.72,7.61,7.66,2431100,7.66
2015-06-03,7.66,7.69,7.58,7.61,3297800,7.61
2015-06-02,7.79,7.80,7.65,7.66,3569700,7.66
2015-06-01,7.70,7.74,7.64,7.73,2186400,7.73
2015-05-29,7.66,7.76,7.66,7.70,5431100,7.70
2015-05-28,7.49,7.59,7.43,7.58,4073200,7.58
2015-05-27,7.39,7.47,7.37,7.37,4209200,7.37
2015-05-26,7.33,7.39,7.305,7.39,1592700,7.39
2015-05-25,7.27,7.35,7.26,7.32,2031700,7.32
2015-05-22,7.25,7.26,7.20,7.25,2758500,7.25
2015-05-21,7.23,7.26,7.19,7.25,4283500,7.25
2015-05-20,7.17,7.24,7.14,7.20,5574800,7.20
2015-05-19,7.02,7.10,6.97,7.04,6285300,7.04
2015-05-18,7.01,7.02,6.83,6.89,9899600,6.89
2015-05-15,7.00,7.06,6.99,6.99,28246500,6.99
2015-05-14,6.80,6.89,6.69,6.73,35112200,6.73
2015-05-13,8.22,8.26,8.18,8.25,2849200,8.25
2015-05-12,8.33,8.37,8.32,8.32,3656900,8.32
2015-05-11,8.30,8.36,8.25,8.35,3591800,8.35
2015-05-08,8.25,8.37,8.25,8.32,2701400,8.32
2015-05-07,8.15,8.21,8.12,8.18,4230300,8.18
2015-05-06,8.18,8.23,8.15,8.19,3896200,8.19
2015-05-05,8.46,8.47,8.31,8.37,4721300,8.37
2015-05-04,8.30,8.36,8.27,8.32,4082800,8.32
2015-05-01,8.15,8.27,8.09,8.20,5277200,8.20
2015-04-30,8.00,8.10,7.97,8.07,5241700,8.07
2015-04-29,8.08,8.13,8.01,8.02,5860400,8.02
2015-04-28,8.23,8.24,8.12,8.13,6450500,8.13
2015-04-27,8.40,8.58,8.31,8.46,6235500,8.46
2015-04-24,8.81,8.83,8.40,8.46,15208400,8.46
2015-04-23,9.44,9.44,9.37,9.37,5032200,9.37
2015-04-22,9.49,9.50,9.29,9.32,4382100,9.32
2015-04-21,9.44,9.51,9.44,9.49,4374000,9.49
2015-04-20,9.18,9.20,9.13,9.18,2223700,9.18
2015-04-17,9.30,9.30,9.18,9.20,2941100,9.20
2015-04-16,9.54,9.54,9.41,9.42,3346800,9.42
2015-04-15,9.70,9.70,9.58,9.59,3711400,9.59
2015-04-14,9.83,9.84,9.78,9.78,3014100,9.78
2015-04-13,9.74,9.83,9.74,9.81,3631800,9.81
2015-04-10,9.55,9.59,9.54,9.55,1948300,9.55
2015-04-09,9.47,9.55,9.47,9.51,2180800,9.51
2015-04-08,9.49,9.51,9.38,9.40,2714100,9.40
2015-04-07,9.68,9.795,9.54,9.54,3589500,9.54
2015-04-06,9.40,9.40,9.40,9.40,000,9.40
2015-04-03,9.40,9.40,9.40,9.40,000,9.40
2015-04-02,9.40,9.43,9.36,9.40,1412800,9.40
2015-04-01,9.42,9.47,9.31,9.33,2773000,9.33
2015-03-31,9.36,9.44,9.30,9.30,3480900,9.30
2015-03-30,9.19,9.22,9.16,9.21,2613700,9.21
2015-03-27,8.97,9.10,8.94,9.07,3168800,9.07
2015-03-26,8.97,8.985,8.92,8.93,2195800,8.93
2015-03-25,9.09,9.125,9.04,9.05,3126000,9.05
2015-03-24,9.20,9.23,9.15,9.16,3699500,9.16
2015-03-23,9.30,9.31,9.23,9.27,4394700,9.27
2015-03-20,9.37,9.44,9.35,9.38,2161400,9.38
2015-03-19,9.38,9.42,9.31,9.32,2727200,9.32
2015-03-18,9.27,9.44,9.25,9.41,4123500,9.41
2015-03-17,9.26,9.28,9.16,9.17,4582300,9.17
2015-03-16,8.88,9.12,8.87,9.04,4525200,9.04
2015-03-13,8.95,8.95,8.83,8.88,2595000,8.88
2015-03-12,8.86,8.98,8.86,8.96,2804700,8.96
2015-03-11,8.70,8.80,8.70,8.78,2667900,8.78
2015-03-10,8.70,8.89,8.70,8.83,2080500,8.83
2015-03-09,8.57,8.70,8.56,8.69,4672300,8.69
2015-03-06,8.43,8.62,8.43,8.61,6109300,8.61
2015-03-05,8.27,8.33,8.26,8.31,4491200,8.31
2015-03-04,8.26,8.26,8.19,8.21,4315500,8.21
2015-03-03,8.34,8.34,8.24,8.27,3641500,8.27
2015-03-02,8.23,8.28,8.225,8.24,2881300,8.24
2015-02-27,8.23,8.26,8.19,8.23,2711800,8.23
2015-02-26,8.29,8.29,8.23,8.23,4794200,8.23
2015-02-25,8.33,8.34,8.26,8.28,1486100,8.28
2015-02-24,8.45,8.48,8.42,8.48,2179900,8.48
2015-02-23,8.36,8.38,8.33,8.38,1914300,8.38
2015-02-20,8.38,8.38,8.26,8.27,2683200,8.27
2015-02-19,8.47,8.47,8.32,8.42,4500300,8.42
2015-02-18,8.47,8.48,8.42,8.43,3876000,8.43
2015-02-17,8.44,8.505,8.41,8.45,1264500,8.45
2015-02-16,8.53,8.555,8.43,8.45,1925600,8.45
2015-02-13,8.51,8.64,8.48,8.52,3196100,8.52
2015-02-12,8.44,8.56,8.44,8.52,6803100,8.52
2015-02-11,8.17,8.23,8.17,8.19,3857800,8.19
2015-02-10,8.07,8.14,8.05,8.12,3627100,8.12
2015-02-09,8.17,8.26,8.17,8.26,2191800,8.26
2015-02-06,8.16,8.20,8.13,8.13,3188500,8.13
2015-02-05,8.11,8.12,8.065,8.08,2811600,8.08
2015-02-04,8.14,8.15,8.01,8.05,5303200,8.05
2015-02-03,8.00,8.115,7.94,8.10,4672500,8.10
2015-02-02,8.06,8.07,7.96,7.97,3895200,7.97
2015-01-30,8.10,8.14,8.08,8.08,5493900,8.08
2015-01-29,8.01,8.01,7.96,7.99,5799100,7.99
2015-01-28,8.15,8.19,8.06,8.09,9634200,8.09
2015-01-27,8.43,8.465,8.37,8.38,33318500,8.38
2015-01-26,7.80,7.80,7.80,7.80,000,7.80
2015-01-23,7.85,7.91,7.69,7.80,9342500,7.80
2015-01-22,7.40,7.43,7.35,7.38,16327000,7.38
2015-01-21,7.34,7.375,7.29,7.32,11277300,7.32
2015-01-20,7.35,7.35,7.24,7.27,8877300,7.27
2015-01-19,7.35,7.395,7.31,7.33,9063300,7.33
2015-01-16,7.32,7.33,7.18,7.22,5293400,7.22
2015-01-15,7.40,7.43,7.34,7.34,7993600,7.34
2015-01-14,7.30,7.37,7.29,7.33,6283700,7.33
2015-01-13,7.18,7.20,7.16,7.20,4568200,7.20
2015-01-12,7.08,7.13,7.05,7.05,3088800,7.05
2015-01-09,7.12,7.155,7.10,7.15,5279900,7.15
2015-01-08,7.03,7.045,6.99,7.01,4475700,7.01
2015-01-07,6.97,6.99,6.94,6.97,2422700,6.97
2015-01-06,7.04,7.04,6.94,6.98,2600600,6.98
2015-01-05,7.05,7.11,7.05,7.10,2370800,7.10
2015-01-02,6.91,6.95,6.87,6.93,884600,6.93
2015-01-01,6.94,6.94,6.94,6.94,000,6.94
2014-12-31,6.95,6.96,6.91,6.94,601500,6.94
2014-12-30,7.01,7.02,6.945,6.95,890000,6.95
2014-12-29,7.07,7.13,7.04,7.06,1027100,7.06
2014-12-26,7.05,7.05,7.05,7.05,000,7.05
2014-12-25,7.05,7.05,7.05,7.05,000,7.05
2014-12-24,7.03,7.07,6.97,7.05,4564000,7.05
2014-12-23,7.00,7.04,6.96,6.99,8232100,6.99
2014-12-22,6.87,6.95,6.87,6.94,2400800,6.94
2014-12-19,6.86,6.88,6.79,6.83,5148300,6.83
2014-12-18,6.74,6.76,6.70,6.72,5023300,6.72
2014-12-17,6.62,6.64,6.55,6.59,6905700,6.59
2014-12-16,6.50,6.52,6.44,6.45,1967500,6.45
2014-12-15,6.50,6.50,6.45,6.47,1350300,6.47
2014-12-12,6.45,6.51,6.45,6.45,4005900,6.45
2014-12-11,6.37,6.41,6.34,6.40,3381400,6.40
2014-12-10,6.53,6.54,6.42,6.42,5183700,6.42
2014-12-09,6.58,6.61,6.555,6.56,4551700,6.56
2014-12-08,6.53,6.605,6.52,6.52,2870200,6.52
2014-12-05,6.47,6.50,6.44,6.46,2461600,6.46
2014-12-04,6.42,6.47,6.41,6.44,2563000,6.44
2014-12-03,6.34,6.40,6.34,6.36,4063500,6.36
2014-12-02,6.25,6.28,6.23,6.26,3224100,6.26
2014-12-01,6.26,6.27,6.22,6.22,2874400,6.22
2014-11-28,6.27,6.27,6.22,6.25,3280300,6.25
2014-11-27,6.27,6.28,6.215,6.23,1878800,6.23
2014-11-26,6.20,6.24,6.18,6.22,2962000,6.22
2014-11-25,6.10,6.14,6.085,6.11,4628500,6.11
2014-11-24,6.06,6.07,6.01,6.03,3634400,6.03
2014-11-21,6.08,6.10,6.00,6.02,4911000,6.02
2014-11-20,6.02,6.05,5.975,6.00,2050300,6.00
2014-11-19,5.98,6.07,5.965,6.07,4606300,6.07
2014-11-18,5.96,5.98,5.91,5.92,2696800,5.92
2014-11-17,5.99,5.99,5.86,5.86,1405400,5.83284
2014-11-14,5.99,5.99,5.94,5.94,1424700,5.91247
2014-11-13,5.97,6.04,5.95,5.96,3271400,5.93238
2014-11-12,5.91,5.92,5.87,5.91,1184600,5.88261
2014-11-11,5.94,5.96,5.90,5.93,3554900,5.90252
2014-11-10,5.95,5.98,5.89,5.90,2388200,5.87265
2014-11-07,6.02,6.03,5.97,6.03,4382400,6.00205
2014-11-06,5.99,6.02,5.95,5.98,2730600,5.95228
2014-11-05,5.90,5.95,5.87,5.94,2426600,5.91247
2014-11-04,5.94,5.955,5.90,5.91,1900500,5.88261
2014-11-03,5.94,6.04,5.94,5.98,5379800,5.95228
2014-10-31,5.89,5.92,5.85,5.92,3273000,5.89256
2014-10-30,5.90,5.91,5.86,5.87,3093200,5.84279
2014-10-29,5.90,5.93,5.87,5.89,6099500,5.8627
2014-10-28,5.82,5.88,5.81,5.85,3114200,5.82289
2014-10-27,5.88,5.93,5.84,5.85,8056600,5.82289
2014-10-24,5.55,5.83,5.50,5.72,9143500,5.69349
2014-10-23,5.44,5.45,5.355,5.37,5395100,5.34511
2014-10-22,5.45,5.475,5.42,5.42,5066000,5.39488
2014-10-21,5.34,5.40,5.31,5.40,7303300,5.37497
2014-10-20,5.36,5.36,5.31,5.31,4998800,5.28539
2014-10-17,5.30,5.30,5.26,5.27,13114900,5.24557
2014-10-16,5.30,5.34,5.24,5.30,13094800,5.27544
2014-10-15,5.46,5.49,5.39,5.43,5049100,5.40483
2014-10-14,5.50,5.52,5.47,5.50,5939000,5.47451
2014-10-13,5.50,5.52,5.43,5.47,5212100,5.44465
