date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.095,1.10,1.07,1.08,2144000,1.08
2015-06-29,1.11,1.13,1.095,1.105,2325500,1.105
2015-06-26,1.13,1.14,1.09,1.105,3611700,1.105
2015-06-25,1.14,1.15,1.13,1.14,1637700,1.14
2015-06-24,1.16,1.17,1.145,1.145,1406500,1.145
2015-06-23,1.175,1.175,1.15,1.16,5805300,1.16
2015-06-22,1.18,1.19,1.155,1.175,2407600,1.175
2015-06-19,1.205,1.225,1.155,1.165,8695200,1.165
2015-06-18,1.17,1.21,1.16,1.19,2142600,1.19
2015-06-17,1.15,1.165,1.115,1.16,2455000,1.16
2015-06-16,1.135,1.16,1.12,1.15,2973900,1.15
2015-06-15,1.18,1.18,1.11,1.115,4143800,1.115
2015-06-12,1.12,1.185,1.105,1.18,3550900,1.18
2015-06-11,1.13,1.19,1.115,1.125,4323400,1.125
2015-06-10,1.14,1.155,1.12,1.13,1369900,1.13
2015-06-09,1.16,1.19,1.14,1.14,2393600,1.14
2015-06-08,1.16,1.16,1.16,1.16,000,1.16
2015-06-05,1.17,1.182,1.13,1.16,1569900,1.16
2015-06-04,1.20,1.205,1.165,1.165,2099400,1.165
2015-06-03,1.235,1.235,1.175,1.19,2076600,1.19
2015-06-02,1.175,1.24,1.165,1.23,3797800,1.23
2015-06-01,1.18,1.18,1.155,1.165,2952200,1.165
2015-05-29,1.19,1.205,1.177,1.18,1843300,1.18
2015-05-28,1.22,1.22,1.165,1.18,2301800,1.18
2015-05-27,1.18,1.20,1.175,1.20,3487300,1.20
2015-05-26,1.20,1.205,1.18,1.20,1188500,1.20
2015-05-25,1.215,1.22,1.182,1.20,2796100,1.20
2015-05-22,1.23,1.25,1.21,1.215,2597700,1.215
2015-05-21,1.205,1.225,1.20,1.22,1240600,1.22
2015-05-20,1.27,1.27,1.20,1.205,4607800,1.205
2015-05-19,1.265,1.30,1.26,1.29,2219300,1.29
2015-05-18,1.27,1.27,1.255,1.27,1081900,1.27
2015-05-15,1.27,1.28,1.245,1.255,974500,1.255
2015-05-14,1.30,1.325,1.245,1.255,2869900,1.255
