date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.315,0.32,0.30,0.305,1447700,0.305
2015-06-29,0.305,0.325,0.30,0.325,1829500,0.325
2015-06-26,0.31,0.31,0.30,0.305,1098100,0.305
2015-06-25,0.31,0.315,0.305,0.305,652700,0.305
2015-06-24,0.32,0.32,0.31,0.315,1075000,0.315
2015-06-23,0.315,0.33,0.315,0.32,784200,0.32
2015-06-22,0.31,0.335,0.305,0.33,2163800,0.33
2015-06-19,0.315,0.3225,0.295,0.32,8925200,0.32
2015-06-18,0.305,0.32,0.30,0.31,1678700,0.31
2015-06-17,0.30,0.31,0.295,0.305,622600,0.305
2015-06-16,0.305,0.307,0.295,0.30,869000,0.30
2015-06-15,0.305,0.31,0.295,0.305,1385300,0.305
2015-06-12,0.32,0.325,0.315,0.315,876900,0.315
2015-06-11,0.335,0.345,0.322,0.325,400300,0.325
2015-06-10,0.32,0.34,0.32,0.335,781300,0.335
2015-06-09,0.305,0.315,0.302,0.315,776500,0.315
2015-06-08,0.295,0.295,0.295,0.295,000,0.295
2015-06-05,0.305,0.322,0.295,0.295,935700,0.295
2015-06-04,0.32,0.335,0.305,0.325,1207100,0.325
2015-06-03,0.33,0.335,0.31,0.32,964500,0.32
2015-06-02,0.325,0.325,0.305,0.32,1468400,0.32
2015-06-01,0.335,0.335,0.32,0.32,1686800,0.32
2015-05-29,0.355,0.355,0.335,0.335,1654100,0.335
2015-05-28,0.37,0.375,0.34,0.345,1934700,0.345
2015-05-27,0.37,0.375,0.365,0.375,1507300,0.375
2015-05-26,0.375,0.39,0.375,0.385,1272300,0.385
2015-05-25,0.355,0.37,0.355,0.37,808000,0.37
2015-05-22,0.36,0.365,0.355,0.355,359100,0.355
2015-05-21,0.35,0.365,0.35,0.36,486800,0.36
2015-05-20,0.35,0.355,0.342,0.35,1199400,0.35
2015-05-19,0.37,0.37,0.36,0.36,396300,0.36
2015-05-18,0.37,0.37,0.365,0.37,919800,0.37
2015-05-15,0.365,0.37,0.355,0.36,2219900,0.36
2015-05-14,0.385,0.385,0.36,0.36,2962200,0.36
2015-05-13,0.37,0.385,0.37,0.37,1680400,0.37
2015-05-12,0.355,0.37,0.35,0.37,2587100,0.37
2015-05-11,0.355,0.37,0.355,0.36,1809300,0.36
2015-05-08,0.35,0.36,0.345,0.35,2356300,0.35
2015-05-07,0.345,0.3575,0.34,0.355,3577800,0.355
2015-05-06,0.35,0.37,0.34,0.355,5076200,0.355
2015-05-05,0.345,0.355,0.34,0.35,1204700,0.35
2015-05-04,0.325,0.345,0.325,0.345,1140900,0.345
2015-05-01,0.32,0.34,0.315,0.325,2311200,0.325
2015-04-30,0.33,0.335,0.32,0.335,4936800,0.335
2015-04-29,0.345,0.35,0.325,0.335,4941400,0.335
2015-04-28,0.305,0.325,0.305,0.31,3635200,0.31
2015-04-27,0.285,0.295,0.285,0.29,1801700,0.29
2015-04-24,0.275,0.305,0.275,0.30,2592500,0.30
2015-04-23,0.255,0.275,0.255,0.27,1844000,0.27
2015-04-22,0.255,0.27,0.255,0.27,1550600,0.27
2015-04-21,0.26,0.267,0.25,0.25,2478700,0.25
