date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.17,4.21,4.125,4.17,744100,4.17
2015-06-29,4.29,4.30,4.20,4.22,674400,4.22
2015-06-26,4.29,4.31,4.23,4.28,1004100,4.28
2015-06-25,4.36,4.375,4.30,4.35,708800,4.35
2015-06-24,4.37,4.38,4.34,4.35,673900,4.35
2015-06-23,4.40,4.41,4.35,4.36,550700,4.36
2015-06-22,4.36,4.37,4.30,4.35,356600,4.35
2015-06-19,4.31,4.39,4.31,4.35,1050100,4.35
2015-06-18,4.26,4.31,4.235,4.29,1717400,4.29
2015-06-17,4.26,4.26,4.22,4.25,1148800,4.25
2015-06-16,4.25,4.27,4.23,4.24,641600,4.24
2015-06-15,4.23,4.23,4.16,4.20,2088700,4.20
2015-06-12,4.20,4.23,4.185,4.20,3003500,4.20
2015-06-11,4.20,4.26,4.18,4.21,807700,4.21
2015-06-10,4.17,4.20,4.15,4.20,681900,4.20
2015-06-09,4.16,4.195,4.15,4.19,567600,4.19
2015-06-08,4.19,4.19,4.19,4.19,000,4.19
2015-06-05,4.20,4.22,4.17,4.19,581400,4.19
2015-06-04,4.23,4.23,4.17,4.19,606500,4.19
2015-06-03,4.16,4.20,4.15,4.19,1012300,4.19
2015-06-02,4.44,4.44,4.23,4.23,946900,4.23
2015-06-01,4.45,4.465,4.40,4.43,572200,4.43
2015-05-29,4.47,4.515,4.45,4.45,766200,4.45
2015-05-28,4.48,4.50,4.44,4.45,1356700,4.45
2015-05-27,4.46,4.51,4.44,4.45,856800,4.45
2015-05-26,4.46,4.515,4.46,4.49,354400,4.49
2015-05-25,4.39,4.49,4.39,4.47,992100,4.47
2015-05-22,4.32,4.445,4.31,4.39,1250200,4.39
2015-05-21,4.18,4.345,4.18,4.30,1334800,4.30
2015-05-20,4.20,4.22,4.18,4.21,549900,4.21
2015-05-19,4.18,4.21,4.14,4.20,519700,4.20
2015-05-18,4.18,4.26,4.165,4.20,684200,4.20
2015-05-15,4.17,4.20,4.14,4.20,657200,4.20
2015-05-14,4.12,4.14,4.07,4.14,376800,4.14
2015-05-13,4.05,4.16,4.035,4.15,1374800,4.15
2015-05-12,3.97,4.05,3.96,4.02,636600,4.02
2015-05-11,4.09,4.09,3.965,4.00,571700,4.00
2015-05-08,3.88,4.10,3.88,4.09,764300,4.09
2015-05-07,3.89,3.94,3.87,3.91,646500,3.91
2015-05-06,3.91,4.015,3.90,3.93,408900,3.93
2015-05-05,4.02,4.075,3.97,4.06,1097800,4.06
2015-05-04,4.00,4.03,3.93,3.95,479600,3.95
2015-05-01,3.81,3.975,3.81,3.94,306400,3.94
2015-04-30,3.88,3.96,3.82,3.95,741200,3.95
2015-04-29,3.93,3.98,3.91,3.92,1488300,3.92
2015-04-28,4.05,4.07,3.90,3.96,816200,3.96
2015-04-27,3.98,4.04,3.96,4.02,500200,4.02
2015-04-24,4.02,4.06,3.98,4.03,345500,4.03
2015-04-23,4.02,4.03,3.975,4.02,701700,4.02
2015-04-22,3.99,4.05,3.96,4.05,404200,4.05
2015-04-21,3.91,4.005,3.90,3.99,472500,3.99
2015-04-20,3.95,3.95,3.86,3.89,218100,3.89
2015-04-17,4.08,4.09,3.95,3.96,267800,3.96
2015-04-16,4.14,4.22,4.08,4.10,455300,4.10
2015-04-15,4.07,4.12,4.03,4.12,484200,4.12
2015-04-14,4.08,4.12,4.07,4.10,1111100,4.10
2015-04-13,4.13,4.16,4.06,4.10,389200,4.10
2015-04-10,4.14,4.17,4.07,4.15,283900,4.15
2015-04-09,4.18,4.19,4.12,4.12,210800,4.12
2015-04-08,4.15,4.20,4.15,4.17,537500,4.17
2015-04-07,4.11,4.19,4.11,4.15,502200,4.15
2015-04-06,4.13,4.13,4.13,4.13,000,4.13
2015-04-03,4.13,4.13,4.13,4.13,000,4.13
2015-04-02,4.14,4.18,4.12,4.13,161100,4.13
2015-04-01,4.07,4.18,4.07,4.13,251900,4.13
2015-03-31,4.13,4.19,4.12,4.14,298700,4.14
2015-03-30,4.12,4.16,4.09,4.14,323700,4.14
2015-03-27,4.05,4.17,4.05,4.15,238100,4.15
2015-03-26,4.01,4.10,4.01,4.08,648300,4.08
2015-03-25,4.14,4.16,4.10,4.12,415400,4.12
2015-03-24,4.14,4.19,4.13,4.13,423600,4.13
2015-03-23,4.20,4.20,4.16,4.17,257600,4.17
2015-03-20,4.13,4.21,4.13,4.19,442100,4.19
2015-03-19,4.12,4.17,4.10,4.12,696300,4.12
2015-03-18,4.16,4.16,4.02,4.09,491400,4.09
2015-03-17,4.20,4.20,4.12,4.17,523200,4.17
2015-03-16,4.18,4.19,4.08,4.16,426600,4.16
2015-03-13,4.11,4.205,4.09,4.19,965100,4.19
2015-03-12,4.11,4.12,4.06,4.11,150000,4.11
2015-03-11,4.16,4.17,4.06,4.10,235100,4.10
2015-03-10,4.19,4.20,4.15,4.19,479900,4.19
2015-03-09,4.24,4.26,4.17,4.18,571500,4.18
2015-03-06,4.30,4.31,4.19,4.29,653700,4.29
2015-03-05,4.33,4.35,4.26,4.30,421300,4.30
2015-03-04,4.36,4.39,4.31,4.31,1222900,4.31
2015-03-03,4.35,4.38,4.29,4.37,1331100,4.27571
2015-03-02,4.29,4.34,4.27,4.32,1287200,4.22679
2015-02-27,4.19,4.35,4.19,4.28,891800,4.18766
2015-02-26,4.30,4.31,4.16,4.17,2960300,4.08003
2015-02-25,4.21,4.28,4.19,4.27,479100,4.17787
2015-02-24,4.23,4.26,4.19,4.20,277500,4.10938
2015-02-23,4.18,4.23,4.15,4.23,225700,4.13873
2015-02-20,4.28,4.28,4.14,4.17,236500,4.08003
2015-02-19,4.27,4.29,4.24,4.24,330600,4.14852
2015-02-18,4.27,4.29,4.215,4.24,261000,4.14852
2015-02-17,4.27,4.29,4.23,4.27,183500,4.17787
2015-02-16,4.23,4.30,4.18,4.26,161800,4.16809
2015-02-13,4.29,4.34,4.25,4.27,446900,4.17787
2015-02-12,4.30,4.30,4.21,4.21,509000,4.11917
2015-02-11,4.21,4.26,4.20,4.24,1080500,4.14852
2015-02-10,4.18,4.22,4.13,4.15,551000,4.06046
2015-02-09,4.20,4.23,4.15,4.18,276200,4.08981
2015-02-06,4.20,4.23,4.15,4.19,1615000,4.0996
2015-02-05,4.12,4.24,4.09,4.20,1565900,4.10938
2015-02-04,4.17,4.17,4.04,4.12,670700,4.03111
2015-02-03,3.99,4.04,3.88,4.03,2247000,3.94305
2015-02-02,3.89,3.99,3.84,3.99,921300,3.90391
2015-01-30,3.94,3.98,3.90,3.93,381400,3.84521
2015-01-29,3.80,3.92,3.74,3.92,450400,3.83542
2015-01-28,3.82,3.89,3.78,3.85,419900,3.76693
2015-01-27,3.81,3.88,3.80,3.84,350200,3.75715
2015-01-26,3.80,3.80,3.80,3.80,000,3.71801
2015-01-23,3.85,3.87,3.78,3.80,395600,3.71801
2015-01-22,3.88,3.88,3.82,3.85,487900,3.76693
2015-01-21,3.88,3.90,3.86,3.89,363500,3.80607
2015-01-20,3.84,3.91,3.84,3.87,590900,3.7865
2015-01-19,3.84,3.89,3.805,3.82,311300,3.73758
2015-01-16,3.77,3.82,3.70,3.82,405400,3.73758
2015-01-15,3.86,3.89,3.755,3.83,651900,3.74736
2015-01-14,3.86,3.97,3.85,3.91,453700,3.82564
2015-01-13,3.86,3.98,3.85,3.97,224500,3.88434
2015-01-12,3.82,3.98,3.81,3.97,325700,3.88434
2015-01-09,3.80,3.89,3.78,3.85,714500,3.76693
2015-01-08,3.91,3.92,3.78,3.78,889400,3.69844
2015-01-07,3.86,3.91,3.81,3.90,349300,3.81585
2015-01-06,3.95,3.955,3.84,3.87,245500,3.7865
2015-01-05,3.96,4.00,3.94,3.99,200400,3.90391
2015-01-02,4.00,4.02,3.96,3.98,266000,3.89413
2015-01-01,4.00,4.00,4.00,4.00,000,3.9137
2014-12-31,3.93,4.01,3.93,4.00,159000,3.9137
2014-12-30,3.97,3.98,3.875,3.93,412400,3.84521
2014-12-29,3.98,4.00,3.96,3.96,430300,3.87456
2014-12-26,3.97,3.97,3.97,3.97,000,3.88434
2014-12-25,3.97,3.97,3.97,3.97,000,3.88434
2014-12-24,3.94,3.98,3.86,3.97,235200,3.88434
2014-12-23,3.99,4.01,3.94,3.95,368800,3.86478
2014-12-22,3.95,3.99,3.91,3.99,458000,3.90391
2014-12-19,3.63,3.84,3.62,3.83,800300,3.74736
2014-12-18,3.65,3.74,3.60,3.60,893100,3.52233
2014-12-17,3.65,3.66,3.59,3.65,656700,3.57125
2014-12-16,3.68,3.69,3.61,3.65,744400,3.57125
2014-12-15,3.73,3.75,3.68,3.68,318700,3.6006
2014-12-12,3.85,3.88,3.75,3.77,833300,3.68866
2014-12-11,3.84,3.87,3.76,3.87,1016100,3.7865
2014-12-10,3.77,3.88,3.72,3.85,825000,3.76693
2014-12-09,3.85,3.85,3.775,3.81,898300,3.7278
2014-12-08,3.89,3.92,3.85,3.87,742700,3.7865
2014-12-05,3.90,3.94,3.88,3.89,463500,3.80607
2014-12-04,3.93,3.93,3.86,3.90,730200,3.81585
2014-12-03,3.81,3.89,3.79,3.88,2492900,3.79629
2014-12-02,3.72,3.81,3.70,3.76,1423800,3.67888
2014-12-01,3.76,3.83,3.71,3.74,774800,3.65931
2014-11-28,3.83,3.87,3.76,3.87,446700,3.7865
2014-11-27,3.88,3.88,3.795,3.84,235900,3.75715
2014-11-26,3.90,3.90,3.845,3.88,287800,3.79629
2014-11-25,3.88,3.90,3.80,3.87,505400,3.7865
2014-11-24,3.93,4.00,3.88,3.89,998400,3.80607
2014-11-21,3.94,4.03,3.86,3.93,457200,3.84521
2014-11-20,4.00,4.04,4.00,4.03,506100,3.94305
2014-11-19,4.08,4.10,4.06,4.08,252100,3.99197
2014-11-18,4.09,4.14,4.06,4.11,999900,4.02132
2014-11-17,4.09,4.14,4.06,4.11,560400,4.02132
2014-11-14,4.02,4.08,3.97,4.08,367800,3.99197
2014-11-13,4.06,4.06,4.00,4.01,162900,3.92348
2014-11-12,4.09,4.09,4.00,4.03,387400,3.94305
2014-11-11,4.10,4.11,4.07,4.10,455200,4.01154
2014-11-10,4.10,4.11,4.015,4.10,838400,4.01154
2014-11-07,4.15,4.15,4.08,4.10,554900,4.01154
2014-11-06,4.15,4.17,4.07,4.10,834800,4.01154
2014-11-05,4.07,4.13,4.06,4.12,727000,4.03111
2014-11-04,4.02,4.08,4.02,4.06,447500,3.9724
2014-11-03,4.06,4.09,3.99,4.04,805100,3.95283
2014-10-31,4.05,4.09,4.01,4.06,793500,3.9724
2014-10-30,4.05,4.07,4.00,4.01,702700,3.92348
2014-10-29,3.95,4.04,3.94,4.00,1322100,3.9137
