date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.45,0.45,0.43,0.43,1369400,0.43
2015-06-29,0.47,0.48,0.445,0.445,2414100,0.445
2015-06-26,0.455,0.47,0.445,0.46,502800,0.46
2015-06-25,0.44,0.47,0.44,0.46,988400,0.46
2015-06-24,0.46,0.46,0.435,0.44,1062200,0.44
2015-06-23,0.455,0.47,0.455,0.465,843200,0.465
2015-06-22,0.45,0.492,0.45,0.47,2665000,0.47
2015-06-19,0.46,0.465,0.41,0.46,11445600,0.46
2015-06-18,0.425,0.462,0.425,0.46,2227200,0.46
2015-06-17,0.425,0.43,0.42,0.43,1504200,0.43
2015-06-16,0.42,0.435,0.42,0.42,1498200,0.42
2015-06-15,0.435,0.435,0.41,0.42,2655600,0.42
2015-06-12,0.44,0.45,0.43,0.435,875200,0.435
2015-06-11,0.445,0.455,0.44,0.445,781500,0.445
2015-06-10,0.445,0.455,0.44,0.45,2152900,0.45
2015-06-09,0.45,0.46,0.425,0.435,2355900,0.435
2015-06-08,0.45,0.45,0.45,0.45,000,0.45
2015-06-05,0.475,0.475,0.45,0.45,2475000,0.45
2015-06-04,0.49,0.49,0.475,0.48,1494500,0.48
2015-06-03,0.48,0.49,0.48,0.485,649600,0.485
2015-06-02,0.475,0.49,0.467,0.485,1441400,0.485
2015-06-01,0.47,0.4825,0.47,0.475,1161700,0.475
2015-05-29,0.48,0.48,0.47,0.475,3440100,0.475
2015-05-28,0.47,0.475,0.46,0.465,2620100,0.465
2015-05-27,0.485,0.49,0.46,0.475,2515700,0.475
2015-05-26,0.495,0.505,0.49,0.50,1433300,0.50
2015-05-25,0.46,0.505,0.455,0.49,2716700,0.49
2015-05-22,0.465,0.47,0.465,0.465,1306300,0.465
2015-05-21,0.465,0.475,0.46,0.465,1288500,0.465
2015-05-20,0.465,0.475,0.465,0.475,1164600,0.475
2015-05-19,0.475,0.485,0.47,0.48,947400,0.48
2015-05-18,0.48,0.485,0.46,0.48,2294200,0.48
2015-05-15,0.515,0.515,0.48,0.48,3043100,0.48
2015-05-14,0.50,0.525,0.492,0.505,4433800,0.505
2015-05-13,0.485,0.495,0.48,0.48,2291600,0.48
2015-05-12,0.48,0.49,0.48,0.48,1588400,0.48
2015-05-11,0.475,0.49,0.475,0.49,1491700,0.49
2015-05-08,0.48,0.48,0.465,0.465,1104700,0.465
2015-05-07,0.48,0.48,0.47,0.48,1160600,0.48
2015-05-06,0.48,0.497,0.48,0.48,6024200,0.48
2015-05-05,0.46,0.48,0.455,0.475,3046300,0.475
2015-05-04,0.45,0.47,0.445,0.46,936500,0.46
2015-05-01,0.435,0.45,0.425,0.45,1172400,0.45
2015-04-30,0.46,0.46,0.45,0.45,2035900,0.45
2015-04-29,0.465,0.475,0.445,0.465,2390000,0.465
2015-04-28,0.445,0.455,0.44,0.455,1590600,0.455
2015-04-27,0.44,0.44,0.425,0.43,2665000,0.43
2015-04-24,0.44,0.445,0.435,0.44,2115500,0.44
2015-04-23,0.425,0.445,0.425,0.435,2953300,0.435
2015-04-22,0.455,0.455,0.43,0.43,2978500,0.43
2015-04-21,0.455,0.455,0.44,0.445,1914800,0.445
2015-04-20,0.46,0.475,0.455,0.455,2673800,0.455
2015-04-17,0.465,0.47,0.45,0.45,1751900,0.45
2015-04-16,0.46,0.48,0.455,0.465,3831400,0.465
2015-04-15,0.46,0.46,0.44,0.445,2444200,0.445
2015-04-14,0.445,0.47,0.442,0.45,3946100,0.45
2015-04-13,0.43,0.45,0.427,0.45,3911900,0.45
2015-04-10,0.42,0.43,0.42,0.43,1266400,0.43
2015-04-09,0.425,0.44,0.42,0.425,1947400,0.425
2015-04-08,0.43,0.435,0.42,0.425,1666300,0.425
2015-04-07,0.44,0.45,0.43,0.44,2745700,0.44
2015-04-06,0.435,0.435,0.435,0.435,000,0.435
2015-04-03,0.435,0.435,0.435,0.435,000,0.435
2015-04-02,0.43,0.44,0.425,0.435,2403300,0.435
2015-04-01,0.405,0.417,0.405,0.41,2319700,0.41
2015-03-31,0.41,0.425,0.39,0.425,4041000,0.425
2015-03-30,0.43,0.43,0.41,0.415,2724600,0.415
2015-03-27,0.44,0.4425,0.42,0.425,2843600,0.425
2015-03-26,0.425,0.44,0.425,0.44,1619300,0.44
2015-03-25,0.435,0.44,0.425,0.425,1817900,0.425
2015-03-24,0.43,0.43,0.415,0.43,1594100,0.43
2015-03-23,0.43,0.44,0.42,0.42,3388600,0.42
2015-03-20,0.40,0.42,0.40,0.415,4187700,0.415
2015-03-19,0.39,0.405,0.387,0.40,3674300,0.40
2015-03-18,0.375,0.38,0.362,0.365,2588700,0.365
2015-03-17,0.385,0.3875,0.375,0.375,1210900,0.375
2015-03-16,0.375,0.385,0.37,0.38,903300,0.38
2015-03-13,0.385,0.385,0.36,0.37,2060800,0.37
2015-03-12,0.37,0.385,0.37,0.385,2930800,0.385
2015-03-11,0.37,0.37,0.355,0.365,3544100,0.365
2015-03-10,0.395,0.40,0.36,0.38,3130700,0.38
2015-03-09,0.41,0.4125,0.395,0.40,4161100,0.40
2015-03-06,0.44,0.45,0.435,0.435,1204500,0.435
2015-03-05,0.435,0.45,0.43,0.45,2128300,0.45
2015-03-04,0.445,0.445,0.425,0.435,1439300,0.435
2015-03-03,0.44,0.45,0.425,0.45,2870900,0.45
2015-03-02,0.425,0.45,0.42,0.45,2017400,0.45
2015-02-27,0.405,0.425,0.395,0.42,2740700,0.42
2015-02-26,0.41,0.415,0.402,0.415,1969300,0.415
2015-02-25,0.405,0.41,0.392,0.405,2169800,0.405
2015-02-24,0.395,0.41,0.39,0.395,1489200,0.395
2015-02-23,0.405,0.42,0.39,0.415,2956800,0.415
2015-02-20,0.425,0.425,0.40,0.40,2047300,0.40
2015-02-19,0.415,0.43,0.415,0.425,2516600,0.425
2015-02-18,0.41,0.42,0.405,0.415,4005000,0.415
2015-02-17,0.42,0.44,0.41,0.425,4117400,0.425
2015-02-16,0.415,0.42,0.407,0.42,3242700,0.42
2015-02-13,0.40,0.42,0.395,0.415,2078300,0.415
2015-02-12,0.39,0.395,0.385,0.395,2128900,0.395
2015-02-11,0.40,0.405,0.39,0.405,1017500,0.405
2015-02-10,0.395,0.405,0.385,0.40,1088200,0.40
2015-02-09,0.385,0.405,0.38,0.39,2521100,0.39
2015-02-06,0.41,0.41,0.39,0.41,2214400,0.41
2015-02-05,0.39,0.415,0.38,0.41,3972800,0.41
2015-02-04,0.385,0.395,0.37,0.395,2002000,0.395
2015-02-03,0.375,0.42,0.375,0.40,4089100,0.40
2015-02-02,0.38,0.395,0.38,0.385,2647000,0.385
2015-01-30,0.365,0.37,0.355,0.36,3185200,0.36
2015-01-29,0.39,0.40,0.38,0.385,1348400,0.385
2015-01-28,0.395,0.41,0.395,0.405,1469300,0.405
2015-01-27,0.39,0.395,0.385,0.39,1774500,0.39
2015-01-26,0.415,0.415,0.415,0.415,000,0.415
2015-01-23,0.425,0.425,0.405,0.415,2975600,0.415
2015-01-22,0.42,0.42,0.385,0.40,5037100,0.40
2015-01-21,0.395,0.41,0.385,0.405,10374300,0.405
2015-01-20,0.355,0.36,0.34,0.355,1889000,0.355
2015-01-19,0.385,0.395,0.36,0.36,3462600,0.36
2015-01-16,0.36,0.37,0.347,0.37,6439100,0.37
2015-01-15,0.32,0.34,0.312,0.34,2954300,0.34
2015-01-14,0.33,0.34,0.32,0.32,3810800,0.32
2015-01-13,0.34,0.345,0.317,0.335,3199100,0.335
2015-01-12,0.33,0.34,0.322,0.33,3419600,0.33
2015-01-09,0.285,0.315,0.285,0.31,4180800,0.31
2015-01-08,0.29,0.295,0.277,0.285,2518100,0.285
2015-01-07,0.295,0.295,0.28,0.28,5851600,0.28
2015-01-06,0.28,0.30,0.27,0.285,6156400,0.285
2015-01-05,0.27,0.28,0.26,0.27,1972200,0.27
2015-01-02,0.255,0.267,0.255,0.26,752800,0.26
2015-01-01,0.255,0.255,0.255,0.255,000,0.255
2014-12-31,0.275,0.285,0.255,0.255,1889600,0.255
2014-12-30,0.265,0.275,0.257,0.27,1731400,0.27
2014-12-29,0.25,0.27,0.25,0.27,2706700,0.27
2014-12-26,0.235,0.235,0.235,0.235,000,0.235
2014-12-25,0.235,0.235,0.235,0.235,000,0.235
2014-12-24,0.24,0.252,0.235,0.235,1521800,0.235
2014-12-23,0.245,0.25,0.24,0.24,2340100,0.24
2014-12-22,0.235,0.265,0.232,0.26,50311200,0.26
2014-12-19,0.225,0.245,0.22,0.22,37787800,0.22
2014-12-18,0.215,0.2275,0.215,0.215,3587400,0.215
2014-12-17,0.225,0.225,0.215,0.215,5155300,0.215
2014-12-16,0.22,0.235,0.22,0.225,2283900,0.225
2014-12-15,0.235,0.24,0.225,0.225,3346900,0.225
2014-12-12,0.245,0.2475,0.235,0.245,2249600,0.245
2014-12-11,0.25,0.26,0.245,0.255,2430100,0.255
2014-12-10,0.255,0.26,0.24,0.25,4074300,0.25
2014-12-09,0.235,0.24,0.222,0.23,1880600,0.23
2014-12-08,0.225,0.24,0.22,0.24,1604600,0.24
2014-12-05,0.23,0.235,0.225,0.23,967400,0.23
2014-12-04,0.235,0.24,0.227,0.23,1186200,0.23
2014-12-03,0.23,0.24,0.22,0.22,1289600,0.22
2014-12-02,0.24,0.25,0.225,0.225,2868800,0.225
2014-12-01,0.23,0.235,0.20,0.21,3832900,0.21
2014-11-28,0.25,0.255,0.24,0.245,983300,0.245
2014-11-27,0.275,0.275,0.255,0.255,1131900,0.255
2014-11-26,0.28,0.29,0.265,0.275,2221900,0.275
2014-11-25,0.265,0.28,0.26,0.27,2713100,0.27
2014-11-24,0.25,0.27,0.25,0.27,2910000,0.27
2014-11-21,0.24,0.25,0.24,0.245,1078400,0.245
2014-11-20,0.235,0.24,0.23,0.23,1198100,0.23
2014-11-19,0.25,0.26,0.23,0.24,2773200,0.24
2014-11-18,0.23,0.245,0.23,0.235,1923900,0.235
2014-11-17,0.225,0.235,0.222,0.225,2890500,0.225
2014-11-14,0.215,0.22,0.215,0.22,525300,0.22
2014-11-13,0.215,0.22,0.21,0.215,1047600,0.215
2014-11-12,0.22,0.225,0.215,0.225,2503700,0.225
2014-11-11,0.22,0.22,0.21,0.21,5512500,0.21
2014-11-10,0.25,0.26,0.225,0.23,4042500,0.23
2014-11-07,0.23,0.235,0.22,0.22,2144500,0.22
2014-11-06,0.225,0.235,0.21,0.23,6351600,0.23
2014-11-05,0.25,0.26,0.235,0.235,3315300,0.235
2014-11-04,0.26,0.265,0.247,0.25,2999600,0.25
2014-11-03,0.275,0.275,0.242,0.25,5913700,0.25
2014-10-31,0.285,0.297,0.27,0.285,1811900,0.285
2014-10-30,0.31,0.315,0.29,0.295,2459800,0.295
2014-10-29,0.33,0.33,0.305,0.31,1465800,0.31
2014-10-28,0.32,0.32,0.30,0.315,2010200,0.315
2014-10-27,0.32,0.327,0.32,0.32,503000,0.32
2014-10-24,0.33,0.335,0.32,0.32,2202200,0.32
