date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.545,0.575,0.545,0.57,1282300,0.57
2015-06-29,0.555,0.575,0.53,0.55,2876600,0.55
2015-06-26,0.51,0.55,0.51,0.545,1180600,0.545
2015-06-25,0.515,0.515,0.50,0.51,447000,0.51
2015-06-24,0.50,0.515,0.50,0.51,433300,0.51
2015-06-23,0.51,0.52,0.49,0.52,1085300,0.52
2015-06-22,0.46,0.54,0.46,0.53,2657700,0.53
2015-06-19,0.445,0.47,0.445,0.46,2854400,0.46
2015-06-18,0.425,0.435,0.415,0.435,472000,0.435
2015-06-17,0.43,0.43,0.41,0.425,704700,0.425
2015-06-16,0.43,0.435,0.425,0.43,437800,0.43
2015-06-15,0.445,0.45,0.425,0.43,616500,0.43
2015-06-12,0.445,0.45,0.42,0.445,982400,0.445
2015-06-11,0.43,0.45,0.43,0.45,669500,0.45
2015-06-10,0.43,0.435,0.425,0.43,508200,0.43
2015-06-09,0.43,0.44,0.43,0.43,551200,0.43
2015-06-08,0.435,0.435,0.435,0.435,000,0.435
2015-06-05,0.44,0.45,0.435,0.435,594800,0.435
2015-06-04,0.445,0.46,0.44,0.445,583000,0.445
2015-06-03,0.47,0.475,0.45,0.45,473500,0.45
2015-06-02,0.45,0.455,0.435,0.455,1029200,0.455
2015-06-01,0.465,0.47,0.45,0.46,872300,0.46
2015-05-29,0.46,0.475,0.46,0.47,722000,0.47
2015-05-28,0.46,0.475,0.445,0.46,708000,0.46
2015-05-27,0.435,0.465,0.42,0.46,1335900,0.46
2015-05-26,0.43,0.455,0.40,0.45,3428100,0.45
2015-05-25,0.46,0.465,0.425,0.43,1468500,0.43
2015-05-22,0.43,0.455,0.43,0.455,1252800,0.455
2015-05-21,0.45,0.4825,0.44,0.45,2059800,0.45
2015-05-20,0.495,0.495,0.44,0.45,2513100,0.45
2015-05-19,0.535,0.535,0.495,0.50,1484900,0.50
2015-05-18,0.485,0.54,0.485,0.52,2728500,0.52
2015-05-15,0.565,0.565,0.45,0.48,4109400,0.48
2015-05-14,0.575,0.575,0.555,0.555,2749700,0.555
2015-05-13,0.56,0.57,0.55,0.565,1184700,0.565
2015-05-12,0.57,0.5775,0.56,0.565,2106300,0.565
2015-05-11,0.545,0.585,0.54,0.585,2923000,0.585
2015-05-08,0.50,0.54,0.50,0.535,2616400,0.535
2015-05-07,0.545,0.545,0.495,0.505,3175800,0.505
2015-05-06,0.53,0.595,0.53,0.55,5628200,0.55
2015-05-05,0.455,0.52,0.455,0.505,2936200,0.505
2015-05-04,0.46,0.465,0.445,0.45,3246100,0.45
