date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.71,3.775,3.70,3.75,29587300,3.75
2015-06-29,3.81,3.83,3.74,3.76,15169700,3.76
2015-06-26,3.82,3.86,3.765,3.85,21020400,3.85
2015-06-25,3.95,3.95,3.84,3.87,21763000,3.87
2015-06-24,4.00,4.01,3.925,3.95,16057400,3.95
2015-06-23,4.00,4.05,3.985,4.01,21367300,4.01
2015-06-22,3.88,3.985,3.88,3.95,15714800,3.95
2015-06-19,3.89,3.94,3.85,3.89,22445800,3.89
2015-06-18,3.78,3.82,3.74,3.80,29030200,3.80
2015-06-17,3.86,3.87,3.82,3.84,18797500,3.84
2015-06-16,3.84,3.91,3.82,3.82,18983300,3.82
2015-06-15,3.80,3.86,3.80,3.86,14361600,3.86
2015-06-12,3.81,3.88,3.81,3.84,14488900,3.84
2015-06-11,3.88,3.89,3.83,3.84,14715300,3.84
2015-06-10,3.87,3.90,3.85,3.87,23205900,3.87
2015-06-09,3.84,3.91,3.83,3.88,18432100,3.88
2015-06-08,3.85,3.85,3.85,3.85,000,3.85
2015-06-05,3.77,3.85,3.77,3.85,14562600,3.85
2015-06-04,3.88,3.89,3.80,3.80,21846300,3.80
2015-06-03,3.87,3.92,3.81,3.88,15227400,3.88
2015-06-02,3.98,3.98,3.89,3.89,14016600,3.89
2015-06-01,3.91,3.99,3.89,3.98,8485700,3.98
2015-05-29,3.89,3.97,3.89,3.95,25593500,3.95
2015-05-28,3.96,3.97,3.905,3.93,12877900,3.93
2015-05-27,3.94,3.98,3.905,3.96,14510800,3.96
2015-05-26,3.95,3.98,3.92,3.98,14396600,3.98
2015-05-25,3.94,3.97,3.91,3.94,6231000,3.94
2015-05-22,3.90,3.955,3.88,3.95,14186700,3.95
2015-05-21,3.90,3.91,3.87,3.89,21193300,3.89
2015-05-20,3.88,3.93,3.87,3.91,11388300,3.91
2015-05-19,3.92,3.95,3.86,3.88,17123900,3.88
2015-05-18,3.90,3.96,3.89,3.92,19221100,3.92
2015-05-15,3.89,3.92,3.84,3.92,10371400,3.92
2015-05-14,3.82,3.85,3.805,3.84,8025200,3.84
2015-05-13,3.83,3.87,3.81,3.87,11358500,3.87
2015-05-12,3.81,3.82,3.74,3.81,14833900,3.81
2015-05-11,3.80,3.85,3.80,3.82,10032300,3.82
2015-05-08,3.75,3.82,3.75,3.78,12435700,3.78
2015-05-07,3.75,3.80,3.68,3.69,17059300,3.69
2015-05-06,3.75,3.78,3.74,3.76,15609500,3.76
2015-05-05,3.83,3.865,3.775,3.81,13650700,3.81
2015-05-04,3.74,3.79,3.73,3.75,6169400,3.75
2015-05-01,3.71,3.75,3.68,3.72,8782600,3.72
2015-04-30,3.71,3.78,3.67,3.74,11232700,3.74
2015-04-29,3.81,3.835,3.755,3.76,10317700,3.76
2015-04-28,3.83,3.86,3.80,3.84,7142700,3.84
2015-04-27,3.85,3.89,3.83,3.85,8756100,3.85
2015-04-24,3.76,3.84,3.74,3.80,7784500,3.80
2015-04-23,3.73,3.78,3.70,3.76,7551800,3.76
2015-04-22,3.78,3.78,3.72,3.74,9424800,3.74
2015-04-21,3.78,3.79,3.71,3.75,8139400,3.75
2015-04-20,3.69,3.75,3.66,3.74,8814800,3.74
2015-04-17,3.79,3.795,3.72,3.75,9685000,3.75
2015-04-16,3.83,3.87,3.795,3.80,12339300,3.80
2015-04-15,3.86,3.87,3.77,3.81,17482000,3.81
2015-04-14,3.90,3.905,3.84,3.87,10230600,3.87
2015-04-13,3.88,3.93,3.87,3.88,13219400,3.88
2015-04-10,3.80,3.88,3.785,3.87,9550500,3.87
2015-04-09,3.78,3.81,3.77,3.81,12201400,3.81
2015-04-08,3.74,3.81,3.72,3.80,16311200,3.80
2015-04-07,3.78,3.79,3.72,3.74,11863000,3.74
2015-04-06,3.74,3.74,3.74,3.74,000,3.74
2015-04-03,3.74,3.74,3.74,3.74,000,3.74
2015-04-02,3.73,3.78,3.715,3.74,18778200,3.74
2015-04-01,3.71,3.75,3.66,3.74,25937900,3.74
2015-03-31,3.79,3.84,3.74,3.74,27259600,3.74
2015-03-30,3.81,3.85,3.765,3.78,15906700,3.78
2015-03-27,3.80,3.895,3.79,3.85,13075000,3.85
2015-03-26,3.85,3.875,3.81,3.82,21164000,3.82
2015-03-25,3.98,3.98,3.895,3.90,14033500,3.90
2015-03-24,3.88,3.97,3.86,3.94,10465400,3.94
2015-03-23,3.90,3.93,3.85,3.90,7021900,3.90
2015-03-20,3.88,3.93,3.85,3.93,33470800,3.93
2015-03-19,3.81,3.88,3.81,3.88,28933000,3.88
2015-03-18,3.78,3.815,3.75,3.79,17370100,3.79
2015-03-17,3.88,3.90,3.82,3.82,12973000,3.82
2015-03-16,3.85,3.87,3.82,3.86,10551900,3.86
2015-03-13,3.92,3.93,3.88,3.91,9900200,3.91
2015-03-12,3.89,3.93,3.86,3.92,7881500,3.92
2015-03-11,3.80,3.89,3.79,3.87,13160400,3.87
2015-03-10,3.78,3.84,3.74,3.82,20669500,3.82
2015-03-09,3.85,3.86,3.775,3.79,12298400,3.79
2015-03-06,3.94,3.94,3.88,3.93,7461600,3.93
2015-03-05,3.91,3.93,3.84,3.93,23594500,3.93
2015-03-04,3.96,3.96,3.89,3.91,6271200,3.91
2015-03-03,3.98,4.00,3.885,3.93,13938600,3.93
2015-03-02,3.85,3.935,3.85,3.90,13805800,3.90
2015-02-27,3.88,3.89,3.84,3.86,14547600,3.86
2015-02-26,3.83,3.88,3.83,3.85,17825300,3.85
2015-02-25,3.77,3.89,3.77,3.87,19487800,3.87
2015-02-24,3.81,3.83,3.76,3.77,11881700,3.77
2015-02-23,3.73,3.80,3.71,3.79,12822700,3.79
2015-02-20,3.78,3.80,3.73,3.74,15234400,3.74
2015-02-19,3.80,3.81,3.75,3.78,11494700,3.78
2015-02-18,3.80,3.84,3.72,3.80,11536200,3.80
2015-02-17,3.75,3.78,3.71,3.78,10572100,3.78
2015-02-16,3.82,3.84,3.77,3.79,10748000,3.79
2015-02-13,3.90,3.93,3.85,3.86,11683400,3.86
2015-02-12,3.93,3.94,3.86,3.86,16192000,3.86
2015-02-11,3.89,3.95,3.875,3.88,12077800,3.88
2015-02-10,3.94,3.97,3.89,3.96,11398100,3.846
2015-02-09,3.90,3.95,3.86,3.95,8115200,3.836
2015-02-06,3.92,3.98,3.88,3.95,7497300,3.836
2015-02-05,3.93,3.99,3.91,3.94,13946900,3.826
2015-02-04,3.97,3.97,3.88,3.92,17597700,3.807
2015-02-03,3.84,3.91,3.78,3.88,19188700,3.768
2015-02-02,3.85,3.93,3.85,3.85,9775000,3.739
2015-01-30,3.90,3.92,3.80,3.80,23324900,3.69
2015-01-29,3.80,3.88,3.79,3.85,8912400,3.739
2015-01-28,3.85,3.90,3.83,3.83,9757500,3.72
2015-01-27,3.85,3.90,3.84,3.89,12113000,3.778
2015-01-26,3.86,3.86,3.86,3.86,000,3.749
2015-01-23,3.79,3.875,3.76,3.86,16058300,3.749
2015-01-22,3.75,3.77,3.71,3.71,14288500,3.603
2015-01-21,3.68,3.76,3.675,3.76,9844200,3.652
2015-01-20,3.66,3.69,3.63,3.64,10556800,3.535
2015-01-19,3.77,3.77,3.67,3.70,9873100,3.593
2015-01-16,3.71,3.75,3.70,3.75,19137400,3.642
2015-01-15,3.70,3.74,3.685,3.71,18906200,3.603
2015-01-14,3.67,3.70,3.645,3.69,12848100,3.584
2015-01-13,3.64,3.70,3.635,3.67,10317900,3.564
2015-01-12,3.66,3.68,3.62,3.67,7559100,3.564
2015-01-09,3.64,3.67,3.60,3.65,7845000,3.545
2015-01-08,3.59,3.61,3.55,3.61,9069200,3.506
2015-01-07,3.51,3.58,3.49,3.58,12713700,3.477
2015-01-06,3.54,3.57,3.465,3.49,15507800,3.389
2015-01-05,3.52,3.58,3.51,3.57,5739400,3.467
2015-01-02,3.51,3.57,3.50,3.53,3536200,3.428
2015-01-01,3.50,3.50,3.50,3.50,000,3.399
2014-12-31,3.58,3.61,3.49,3.50,11334400,3.399
2014-12-30,3.67,3.67,3.58,3.61,9741500,3.506
2014-12-29,3.64,3.72,3.56,3.64,14060300,3.535
2014-12-26,3.61,3.61,3.61,3.61,000,3.506
2014-12-25,3.61,3.61,3.61,3.61,000,3.506
2014-12-24,3.60,3.61,3.56,3.61,4923700,3.506
2014-12-23,3.65,3.69,3.59,3.59,6210700,3.486
2014-12-22,3.58,3.65,3.58,3.65,10290200,3.545
2014-12-19,3.52,3.60,3.48,3.55,22448000,3.448
2014-12-18,3.53,3.59,3.48,3.49,18494400,3.389
2014-12-17,3.55,3.59,3.54,3.55,10177800,3.448
2014-12-16,3.52,3.55,3.50,3.54,9082100,3.438
2014-12-15,3.52,3.55,3.48,3.54,11623000,3.438
2014-12-12,3.45,3.56,3.45,3.52,12913900,3.418
2014-12-11,3.45,3.51,3.42,3.47,11574600,3.37
2014-12-10,3.40,3.49,3.39,3.49,14239400,3.389
2014-12-09,3.51,3.54,3.43,3.43,14341500,3.331
2014-12-08,3.56,3.59,3.49,3.49,10464300,3.389
2014-12-05,3.59,3.61,3.53,3.54,8978300,3.438
2014-12-04,3.63,3.64,3.55,3.57,13503500,3.467
2014-12-03,3.55,3.63,3.55,3.62,10057700,3.516
2014-12-02,3.48,3.59,3.48,3.56,16112500,3.457
2014-12-01,3.49,3.53,3.48,3.50,11365400,3.399
2014-11-28,3.46,3.49,3.46,3.47,8235600,3.37
2014-11-27,3.46,3.52,3.45,3.46,16753800,3.36
2014-11-26,3.43,3.49,3.43,3.45,17274400,3.351
2014-11-25,3.42,3.46,3.40,3.41,19334000,3.312
2014-11-24,3.48,3.48,3.44,3.46,7371800,3.36
2014-11-21,3.47,3.48,3.41,3.44,13534400,3.341
2014-11-20,3.43,3.48,3.425,3.45,13532500,3.351
2014-11-19,3.43,3.45,3.38,3.42,11683200,3.321
2014-11-18,3.44,3.45,3.40,3.43,6758200,3.331
2014-11-17,3.46,3.48,3.43,3.44,9689300,3.341
2014-11-14,3.48,3.49,3.44,3.46,9138000,3.36
2014-11-13,3.50,3.51,3.45,3.48,12111800,3.38
2014-11-12,3.55,3.55,3.49,3.51,12723300,3.409
2014-11-11,3.55,3.58,3.54,3.56,10202700,3.457
2014-11-10,3.56,3.58,3.51,3.55,14724100,3.448
2014-11-07,3.63,3.66,3.56,3.56,15651500,3.457
2014-11-06,3.62,3.65,3.61,3.61,13038800,3.506
2014-11-05,3.52,3.63,3.52,3.62,14368600,3.516
2014-11-04,3.52,3.57,3.51,3.57,8726600,3.467
2014-11-03,3.52,3.54,3.52,3.54,8294700,3.438
2014-10-31,3.53,3.595,3.51,3.54,24297200,3.438
2014-10-30,3.45,3.49,3.42,3.49,10522000,3.389
2014-10-29,3.45,3.46,3.415,3.43,6999000,3.331
2014-10-28,3.43,3.455,3.41,3.41,7310500,3.312
2014-10-27,3.40,3.44,3.395,3.44,17331600,3.341
2014-10-24,3.42,3.43,3.36,3.36,17201500,3.263
2014-10-23,3.37,3.44,3.37,3.41,9251700,3.312
2014-10-22,3.35,3.39,3.345,3.37,8922600,3.273
2014-10-21,3.37,3.38,3.32,3.32,11742400,3.224
2014-10-20,3.37,3.39,3.34,3.35,6128700,3.253
2014-10-17,3.36,3.39,3.34,3.34,10960000,3.244
2014-10-16,3.27,3.365,3.26,3.35,19124400,3.253
2014-10-15,3.29,3.325,3.28,3.29,14022500,3.195
2014-10-14,3.28,3.35,3.27,3.35,10841900,3.253
2014-10-13,3.31,3.35,3.27,3.30,7713800,3.205
2014-10-10,3.28,3.36,3.28,3.33,14546900,3.234
2014-10-09,3.35,3.395,3.34,3.38,8544200,3.283
2014-10-08,3.30,3.34,3.295,3.33,7860300,3.234
2014-10-07,3.37,3.37,3.27,3.35,12391400,3.253
2014-10-06,3.35,3.38,3.32,3.35,6988600,3.253
2014-10-03,3.29,3.36,3.29,3.33,7841700,3.234
2014-10-02,3.33,3.36,3.30,3.32,14466900,3.224
2014-10-01,3.25,3.395,3.245,3.38,14574500,3.283
2014-09-30,3.30,3.315,3.27,3.28,15095000,3.185
2014-09-29,3.30,3.33,3.275,3.31,11278500,3.215
2014-09-26,3.31,3.325,3.29,3.30,8922400,3.205
2014-09-25,3.29,3.35,3.25,3.35,17645900,3.253
2014-09-24,3.29,3.33,3.29,3.29,7901100,3.195
2014-09-23,3.39,3.39,3.33,3.35,7539000,3.253
2014-09-22,3.35,3.37,3.32,3.36,11882500,3.263
2014-09-19,3.34,3.38,3.30,3.38,44824900,3.283
2014-09-18,3.34,3.36,3.29,3.34,16213400,3.244
2014-09-17,3.28,3.34,3.27,3.31,9602200,3.215
2014-09-16,3.25,3.32,3.25,3.30,10974500,3.205
2014-09-15,3.33,3.345,3.28,3.28,13810900,3.185
2014-09-12,3.32,3.39,3.31,3.39,9246100,3.292
2014-09-11,3.43,3.44,3.36,3.37,12198900,3.273
2014-09-10,3.43,3.46,3.43,3.43,13967100,3.331
2014-09-09,3.49,3.54,3.49,3.54,10233200,3.438
2014-09-08,3.52,3.54,3.47,3.47,7659800,3.37
2014-09-05,3.51,3.555,3.49,3.50,7149600,3.399
2014-09-04,3.53,3.53,3.47,3.49,8303700,3.389
2014-09-03,3.53,3.56,3.50,3.54,10361600,3.438
2014-09-02,3.51,3.53,3.48,3.50,6686700,3.399
2014-09-01,3.49,3.515,3.46,3.49,14800500,3.389
2014-08-29,3.45,3.46,3.42,3.43,20956200,3.331
2014-08-28,3.40,3.44,3.40,3.41,14172500,3.312
2014-08-27,3.48,3.48,3.42,3.45,14498700,3.351
2014-08-26,3.51,3.55,3.455,3.47,20350100,3.37
2014-08-25,3.54,3.56,3.49,3.55,9412400,3.448
2014-08-22,3.57,3.575,3.51,3.56,9764700,3.457
2014-08-21,3.59,3.59,3.47,3.55,18598400,3.448
2014-08-20,3.51,3.51,3.47,3.49,8517100,3.389
2014-08-19,3.52,3.53,3.49,3.53,16212200,3.428
2014-08-18,3.50,3.50,3.47,3.48,13982100,3.38
2014-08-15,3.47,3.50,3.47,3.50,8731400,3.399
2014-08-14,3.42,3.475,3.41,3.47,13948600,3.37
2014-08-13,3.39,3.44,3.39,3.44,9959100,3.341
2014-08-12,3.38,3.41,3.375,3.40,15711700,3.302
2014-08-11,3.37,3.37,3.32,3.36,10592500,3.263
2014-08-08,3.34,3.36,3.27,3.30,15689800,3.205
2014-08-07,3.36,3.38,3.34,3.37,13850900,3.273
2014-08-06,3.38,3.395,3.35,3.36,9274800,3.263
2014-08-05,3.39,3.40,3.37,3.39,15017100,3.292
2014-08-04,3.32,3.42,3.32,3.39,10006800,3.292
2014-08-01,3.34,3.37,3.33,3.33,11001500,3.234
2014-07-31,3.40,3.47,3.39,3.40,11688200,3.302
2014-07-30,3.40,3.44,3.39,3.41,15134600,3.312
2014-07-29,3.35,3.39,3.345,3.39,8771000,3.292
2014-07-28,3.37,3.39,3.35,3.37,19211500,3.273
2014-07-25,3.38,3.40,3.36,3.37,11063000,3.273
2014-07-24,3.38,3.41,3.38,3.40,10275000,3.302
2014-07-23,3.39,3.42,3.36,3.40,11689100,3.302
2014-07-22,3.40,3.41,3.35,3.35,14743800,3.253
2014-07-21,3.34,3.39,3.34,3.38,10131200,3.283
2014-07-18,3.34,3.39,3.33,3.33,19553800,3.234
2014-07-17,3.46,3.46,3.38,3.40,28978200,3.302
2014-07-16,3.44,3.47,3.43,3.45,31683700,3.351
2014-07-15,3.42,3.42,3.385,3.42,25741400,3.321
2014-07-14,3.36,3.40,3.35,3.40,8245000,3.302
2014-07-11,3.31,3.39,3.31,3.34,21823300,3.244
2014-07-10,3.22,3.33,3.22,3.32,24295400,3.224
2014-07-09,3.20,3.25,3.20,3.21,18222800,3.117
2014-07-08,3.17,3.22,3.17,3.20,20507800,3.108
2014-07-07,3.15,3.21,3.13,3.20,18382700,3.108
2014-07-04,3.15,3.16,3.13,3.15,23360200,3.059
2014-07-03,3.19,3.20,3.17,3.17,30880900,3.079
2014-07-02,3.19,3.205,3.16,3.19,30998100,3.098
2014-07-01,3.20,3.22,3.16,3.17,25853600,3.079
2014-06-30,3.24,3.25,3.20,3.20,16792300,3.108
2014-06-27,3.17,3.25,3.15,3.25,50710100,3.156
