date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.08,2.145,2.07,2.13,4507400,2.13
2015-06-29,2.10,2.13,2.07,2.12,3966500,2.12
2015-06-26,2.13,2.16,2.12,2.13,4852700,2.13
2015-06-25,2.21,2.23,2.185,2.23,4718300,2.172
2015-06-24,2.22,2.23,2.18,2.22,5510700,2.1623
2015-06-23,2.19,2.24,2.17,2.22,3548800,2.1623
2015-06-22,2.15,2.18,2.15,2.17,3936200,2.1136
2015-06-19,2.15,2.17,2.13,2.15,25047200,2.0941
2015-06-18,2.15,2.16,2.09,2.12,5749500,2.0649
2015-06-17,2.15,2.18,2.14,2.17,3189900,2.1136
2015-06-16,2.17,2.175,2.15,2.15,2363200,2.0941
2015-06-15,2.12,2.18,2.115,2.18,2556700,2.1233
2015-06-12,2.14,2.17,2.08,2.12,6265000,2.0649
2015-06-11,2.13,2.13,2.13,2.13,000,2.0746
2015-06-10,2.19,2.20,2.11,2.13,3100800,2.0746
2015-06-09,2.12,2.20,2.12,2.19,3716400,2.133
2015-06-08,2.14,2.14,2.14,2.14,000,2.0843
2015-06-05,2.06,2.15,2.06,2.14,4564900,2.0843
2015-06-04,2.10,2.11,2.04,2.05,1701700,1.9967
2015-06-03,2.12,2.15,2.10,2.10,2502600,2.0454
2015-06-02,2.15,2.18,2.115,2.15,1502500,2.0941
2015-06-01,2.14,2.16,2.12,2.15,1525300,2.0941
2015-05-29,2.16,2.18,2.15,2.16,3577800,2.1038
2015-05-28,2.17,2.18,2.14,2.15,1327700,2.0941
2015-05-27,2.16,2.17,2.10,2.16,1929300,2.1038
2015-05-26,2.16,2.18,2.15,2.17,1356100,2.1136
2015-05-25,2.15,2.17,2.14,2.17,1034800,2.1136
2015-05-22,2.14,2.16,2.12,2.16,1282300,2.1038
2015-05-21,2.11,2.14,2.10,2.12,1583300,2.0649
2015-05-20,2.09,2.12,2.09,2.09,851000,2.0356
2015-05-19,2.11,2.12,2.08,2.09,1600800,2.0356
2015-05-18,2.10,2.14,2.10,2.10,1620700,2.0454
2015-05-15,2.11,2.13,2.10,2.11,1117900,2.0551
2015-05-14,2.08,2.10,2.06,2.10,902200,2.0454
2015-05-13,2.07,2.11,2.07,2.09,2211600,2.0356
2015-05-12,2.06,2.10,2.05,2.10,1708900,2.0454
2015-05-11,2.11,2.12,2.08,2.08,1486600,2.0259
2015-05-08,2.06,2.10,2.05,2.08,1742100,2.0259
2015-05-07,2.05,2.085,2.03,2.05,3014800,1.9967
2015-05-06,2.12,2.16,2.085,2.11,2392900,2.0551
2015-05-05,2.19,2.22,2.15,2.16,3017700,2.1038
2015-05-04,2.19,2.20,2.17,2.17,1155500,2.1136
2015-05-01,2.11,2.185,2.11,2.16,2211800,2.1038
2015-04-30,2.14,2.16,2.11,2.13,1742900,2.0746
2015-04-29,2.17,2.19,2.15,2.15,994200,2.0941
2015-04-28,2.19,2.215,2.17,2.18,752700,2.1233
2015-04-27,2.17,2.22,2.15,2.18,994100,2.1233
2015-04-24,2.15,2.17,2.13,2.16,1345000,2.1038
2015-04-23,2.17,2.17,2.12,2.14,1092000,2.0843
2015-04-22,2.11,2.19,2.10,2.17,2969100,2.1136
2015-04-21,2.14,2.14,2.095,2.11,1262500,2.0551
2015-04-20,2.05,2.14,2.025,2.12,2231800,2.0649
2015-04-17,2.12,2.12,2.06,2.07,1372100,2.0162
2015-04-16,2.11,2.14,2.09,2.12,1248200,2.0649
2015-04-15,2.11,2.11,2.06,2.10,1591400,2.0454
2015-04-14,2.11,2.13,2.09,2.13,1483200,2.0746
2015-04-13,2.11,2.13,2.10,2.12,1146900,2.0649
2015-04-10,2.11,2.115,2.08,2.11,1360000,2.0551
2015-04-09,2.10,2.11,2.09,2.11,2508500,2.0551
2015-04-08,2.05,2.10,2.04,2.10,1609700,2.0454
2015-04-07,2.04,2.09,2.04,2.08,2442500,2.0259
2015-04-06,2.05,2.05,2.05,2.05,000,1.9967
2015-04-03,2.05,2.05,2.05,2.05,000,1.9967
2015-04-02,2.01,2.05,2.01,2.05,1063000,1.9967
2015-04-01,2.03,2.05,2.01,2.03,1462800,1.9772
2015-03-31,2.05,2.06,2.02,2.02,2488600,1.9675
2015-03-30,2.03,2.055,2.02,2.03,1163600,1.9772
2015-03-27,2.01,2.055,2.00,2.05,1270100,1.9967
2015-03-26,2.03,2.05,2.01,2.02,2315100,1.9675
2015-03-25,2.08,2.09,2.05,2.07,2322800,2.0162
2015-03-24,2.02,2.08,2.01,2.06,2314300,2.0064
2015-03-23,2.02,2.04,2.01,2.02,1626000,1.9675
2015-03-20,1.995,2.02,1.985,2.02,1938200,1.9675
2015-03-19,1.98,2.02,1.975,2.02,3534500,1.9675
2015-03-18,1.96,1.98,1.94,1.975,1624000,1.9236
2015-03-17,2.00,2.01,1.955,1.97,1776600,1.9188
2015-03-16,1.98,1.995,1.96,1.98,1078100,1.9285
2015-03-13,2.02,2.035,2.00,2.01,982300,1.9577
2015-03-12,1.99,2.04,1.975,2.03,768100,1.9772
2015-03-11,1.975,1.995,1.95,1.98,1536300,1.9285
