date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.565,1.62,1.565,1.615,1571100,1.615
2015-06-29,1.57,1.585,1.565,1.575,2407700,1.575
2015-06-26,1.615,1.62,1.585,1.61,2558300,1.61
2015-06-25,1.635,1.635,1.615,1.625,1072300,1.625
2015-06-24,1.605,1.635,1.595,1.635,3928900,1.635
2015-06-23,1.62,1.62,1.60,1.605,2161400,1.605
2015-06-22,1.615,1.62,1.605,1.615,1098000,1.615
2015-06-19,1.575,1.63,1.575,1.62,5117400,1.62
2015-06-18,1.555,1.58,1.555,1.575,4333100,1.575
2015-06-17,1.555,1.56,1.535,1.56,1292400,1.56
2015-06-16,1.53,1.56,1.52,1.54,4453600,1.54
2015-06-15,1.555,1.555,1.52,1.54,998900,1.54
2015-06-12,1.545,1.55,1.54,1.545,1291500,1.545
2015-06-11,1.535,1.575,1.535,1.56,3570700,1.56
2015-06-10,1.50,1.537,1.497,1.53,1239600,1.53
2015-06-09,1.515,1.535,1.49,1.51,1272300,1.51
2015-06-08,1.53,1.53,1.53,1.53,000,1.53
2015-06-05,1.51,1.53,1.51,1.53,2610500,1.53
2015-06-04,1.495,1.52,1.485,1.515,2010000,1.515
2015-06-03,1.47,1.495,1.465,1.49,1917900,1.49
2015-06-02,1.50,1.51,1.49,1.51,4071800,1.51
2015-06-01,1.47,1.505,1.46,1.495,1794800,1.495
2015-05-29,1.475,1.495,1.47,1.49,1573800,1.49
2015-05-28,1.50,1.50,1.46,1.465,674400,1.465
2015-05-27,1.49,1.50,1.48,1.50,930900,1.50
2015-05-26,1.49,1.50,1.485,1.50,617000,1.50
2015-05-25,1.48,1.495,1.48,1.495,283800,1.495
2015-05-22,1.49,1.49,1.475,1.485,1356800,1.485
2015-05-21,1.47,1.49,1.47,1.485,2014100,1.485
2015-05-20,1.46,1.475,1.455,1.47,1248900,1.47
2015-05-19,1.47,1.47,1.44,1.46,1857200,1.46
2015-05-18,1.485,1.49,1.47,1.475,1556200,1.475
2015-05-15,1.49,1.49,1.475,1.485,596400,1.485
2015-05-14,1.48,1.495,1.47,1.485,3880500,1.485
2015-05-13,1.45,1.49,1.45,1.49,1832200,1.49
2015-05-12,1.45,1.465,1.445,1.46,2617700,1.46
2015-05-11,1.45,1.48,1.435,1.45,675000,1.45
2015-05-08,1.44,1.465,1.44,1.45,1486800,1.45
2015-05-07,1.46,1.48,1.445,1.45,1079900,1.45
2015-05-06,1.46,1.495,1.45,1.49,2211800,1.49
2015-05-05,1.525,1.525,1.485,1.49,1384200,1.49
2015-05-04,1.495,1.52,1.495,1.515,658100,1.515
2015-05-01,1.495,1.52,1.495,1.51,1194900,1.51
2015-04-30,1.51,1.525,1.495,1.51,1099400,1.51
2015-04-29,1.54,1.545,1.512,1.535,851400,1.535
2015-04-28,1.55,1.56,1.53,1.545,692300,1.545
2015-04-27,1.545,1.55,1.54,1.55,424000,1.55
2015-04-24,1.525,1.55,1.525,1.545,952200,1.545
2015-04-23,1.545,1.545,1.525,1.54,804100,1.54
2015-04-22,1.525,1.56,1.51,1.55,1682400,1.55
2015-04-21,1.515,1.525,1.502,1.525,988100,1.525
2015-04-20,1.535,1.54,1.495,1.505,660400,1.505
2015-04-17,1.56,1.575,1.535,1.54,1984000,1.54
2015-04-16,1.57,1.59,1.565,1.575,2157700,1.575
2015-04-15,1.53,1.57,1.53,1.56,1903800,1.56
2015-04-14,1.53,1.55,1.53,1.545,769100,1.545
2015-04-13,1.55,1.555,1.54,1.55,949600,1.55
2015-04-10,1.535,1.55,1.535,1.55,467100,1.55
2015-04-09,1.59,1.59,1.53,1.535,854200,1.535
2015-04-08,1.56,1.59,1.56,1.59,1108600,1.59
2015-04-07,1.545,1.58,1.54,1.56,2247500,1.56
