date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.022,0.022,0.021,0.021,6459400,0.021
2015-06-29,0.023,0.023,0.022,0.022,2138400,0.022
2015-06-26,0.022,0.023,0.022,0.022,2050300,0.022
2015-06-25,0.023,0.024,0.022,0.023,3657800,0.023
2015-06-24,0.024,0.024,0.022,0.023,3655600,0.023
2015-06-23,0.024,0.025,0.022,0.024,9608000,0.024
2015-06-22,0.023,0.023,0.022,0.022,8166400,0.022
2015-06-19,0.022,0.023,0.021,0.023,5937800,0.023
2015-06-18,0.021,0.022,0.021,0.021,4183900,0.021
2015-06-17,0.021,0.022,0.021,0.022,918800,0.022
2015-06-16,0.022,0.022,0.021,0.021,7603300,0.021
2015-06-15,0.022,0.024,0.022,0.022,29427800,0.022
2015-06-12,0.022,0.022,0.021,0.022,1432400,0.022
2015-06-11,0.022,0.023,0.021,0.022,2027600,0.022
2015-06-10,0.023,0.023,0.021,0.023,1185100,0.023
2015-06-09,0.022,0.023,0.021,0.023,2568600,0.023
2015-06-08,0.023,0.023,0.023,0.023,000,0.023
2015-06-05,0.021,0.023,0.021,0.023,2577100,0.023
2015-06-04,0.022,0.022,0.021,0.021,1814700,0.021
2015-06-03,0.021,0.022,0.021,0.022,957200,0.022
2015-06-02,0.022,0.022,0.021,0.021,2226100,0.021
2015-06-01,0.022,0.023,0.021,0.022,2650800,0.022
2015-05-29,0.023,0.023,0.021,0.022,1093600,0.022
2015-05-28,0.022,0.023,0.022,0.023,1045900,0.023
2015-05-27,0.022,0.023,0.022,0.022,2574800,0.022
2015-05-26,0.022,0.022,0.021,0.021,2101900,0.021
2015-05-25,0.022,0.0225,0.022,0.022,4250100,0.022
2015-05-22,0.022,0.022,0.021,0.022,1298300,0.022
2015-05-21,0.021,0.022,0.021,0.022,1384500,0.022
2015-05-20,0.022,0.022,0.021,0.022,2208000,0.022
2015-05-19,0.021,0.022,0.021,0.021,591500,0.021
2015-05-18,0.022,0.023,0.021,0.021,1693500,0.021
2015-05-15,0.022,0.023,0.021,0.021,4577400,0.021
2015-05-14,0.023,0.023,0.022,0.022,1944600,0.022
2015-05-13,0.022,0.023,0.021,0.022,742600,0.022
2015-05-12,0.023,0.023,0.021,0.022,2868700,0.022
2015-05-11,0.022,0.023,0.022,0.023,3540000,0.023
2015-05-08,0.022,0.022,0.022,0.022,2437300,0.022
2015-05-07,0.023,0.023,0.022,0.022,1574900,0.022
2015-05-06,0.023,0.023,0.022,0.023,3960100,0.023
2015-05-05,0.022,0.023,0.021,0.022,6149600,0.022
2015-05-04,0.021,0.021,0.02,0.021,2772600,0.021
2015-05-01,0.021,0.021,0.02,0.02,784700,0.02
2015-04-30,0.021,0.021,0.02,0.02,5750900,0.02
2015-04-29,0.021,0.022,0.02,0.02,11764900,0.02
2015-04-28,0.021,0.022,0.021,0.021,4944800,0.021
