date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.505,0.525,0.495,0.505,1582600,0.505
2015-06-29,0.49,0.515,0.49,0.505,2261500,0.505
2015-06-26,0.505,0.51,0.495,0.505,801500,0.505
2015-06-25,0.51,0.515,0.49,0.50,3761300,0.50
2015-06-24,0.53,0.53,0.507,0.515,1970100,0.515
2015-06-23,0.52,0.535,0.52,0.53,954800,0.53
2015-06-22,0.525,0.535,0.505,0.515,1664200,0.515
2015-06-19,0.505,0.555,0.505,0.54,15583200,0.54
2015-06-18,0.51,0.515,0.495,0.50,3365700,0.50
2015-06-17,0.49,0.51,0.485,0.50,2890900,0.50
2015-06-16,0.50,0.51,0.485,0.49,2551700,0.49
2015-06-15,0.52,0.525,0.495,0.50,1792800,0.50
2015-06-12,0.535,0.54,0.515,0.52,2387200,0.52
2015-06-11,0.53,0.54,0.52,0.535,2220100,0.535
2015-06-10,0.51,0.525,0.505,0.515,2945000,0.515
2015-06-09,0.505,0.52,0.49,0.505,3674100,0.505
2015-06-08,0.52,0.52,0.52,0.52,000,0.52
2015-06-05,0.52,0.535,0.505,0.52,2765500,0.52
2015-06-04,0.565,0.575,0.54,0.54,3729000,0.54
2015-06-03,0.575,0.585,0.565,0.58,2572500,0.58
2015-06-02,0.59,0.59,0.575,0.58,2548200,0.58
2015-06-01,0.595,0.60,0.575,0.58,1725100,0.58
2015-05-29,0.58,0.592,0.575,0.585,15275400,0.585
2015-05-28,0.575,0.595,0.575,0.58,1271000,0.58
2015-05-27,0.59,0.595,0.57,0.59,5007600,0.59
2015-05-26,0.60,0.61,0.595,0.60,1416500,0.60
2015-05-25,0.61,0.615,0.59,0.59,2131700,0.59
2015-05-22,0.615,0.6275,0.605,0.61,2542200,0.61
2015-05-21,0.59,0.61,0.59,0.605,2948100,0.605
2015-05-20,0.575,0.59,0.56,0.58,8835800,0.58
2015-05-19,0.62,0.62,0.585,0.60,2234100,0.60
2015-05-18,0.64,0.65,0.615,0.615,1470100,0.615
2015-05-15,0.67,0.67,0.625,0.63,3772000,0.63
2015-05-14,0.70,0.70,0.66,0.675,1943400,0.675
2015-05-13,0.67,0.72,0.66,0.705,4967200,0.705
2015-05-12,0.62,0.665,0.62,0.66,2249000,0.66
2015-05-11,0.635,0.645,0.605,0.615,1398800,0.615
2015-05-08,0.65,0.65,0.615,0.625,2894100,0.625
2015-05-07,0.655,0.67,0.65,0.655,4817000,0.655
2015-05-06,0.625,0.68,0.625,0.66,7052700,0.66
2015-05-05,0.62,0.645,0.60,0.615,2275400,0.615
2015-05-04,0.66,0.67,0.63,0.63,1126400,0.63
2015-05-01,0.59,0.6475,0.59,0.64,3094800,0.64
2015-04-30,0.635,0.64,0.587,0.605,2792200,0.605
2015-04-29,0.63,0.657,0.62,0.625,3255900,0.625
2015-04-28,0.675,0.675,0.62,0.64,2634300,0.64
2015-04-27,0.68,0.697,0.657,0.665,3364800,0.665
2015-04-24,0.60,0.65,0.595,0.65,8343400,0.65
2015-04-23,0.585,0.595,0.56,0.58,2994200,0.58
2015-04-22,0.59,0.60,0.57,0.585,3073100,0.585
2015-04-21,0.60,0.61,0.59,0.59,1470500,0.59
2015-04-20,0.60,0.61,0.585,0.595,3190700,0.595
2015-04-17,0.595,0.6425,0.575,0.615,8105200,0.615
2015-04-16,0.57,0.585,0.565,0.585,6076800,0.585
2015-04-15,0.515,0.56,0.51,0.54,2945500,0.54
2015-04-14,0.505,0.51,0.50,0.505,729200,0.505
2015-04-13,0.51,0.515,0.505,0.505,1010700,0.505
2015-04-10,0.505,0.515,0.495,0.505,1584800,0.505
2015-04-09,0.49,0.51,0.48,0.50,1570800,0.50
2015-04-08,0.49,0.52,0.485,0.50,4082200,0.50
2015-04-07,0.47,0.49,0.47,0.485,2413500,0.485
2015-04-06,0.46,0.46,0.46,0.46,000,0.46
2015-04-03,0.46,0.46,0.46,0.46,000,0.46
2015-04-02,0.46,0.465,0.45,0.46,3381800,0.46
2015-04-01,0.45,0.455,0.44,0.45,2748900,0.45
2015-03-31,0.45,0.4575,0.44,0.45,2982600,0.45
2015-03-30,0.47,0.47,0.445,0.45,2665800,0.45
2015-03-27,0.48,0.485,0.475,0.475,2370500,0.475
2015-03-26,0.465,0.495,0.46,0.47,4788400,0.47
2015-03-25,0.47,0.475,0.46,0.465,1543100,0.465
2015-03-24,0.47,0.482,0.465,0.47,1194000,0.47
2015-03-23,0.46,0.475,0.46,0.47,1763700,0.47
2015-03-20,0.50,0.50,0.455,0.455,3551800,0.455
2015-03-19,0.49,0.50,0.48,0.49,2530600,0.49
2015-03-18,0.485,0.50,0.47,0.48,2405200,0.48
2015-03-17,0.52,0.52,0.485,0.49,1837600,0.49
2015-03-16,0.515,0.53,0.51,0.525,1062600,0.525
2015-03-13,0.525,0.54,0.515,0.525,1478900,0.525
2015-03-12,0.515,0.54,0.51,0.53,997500,0.53
2015-03-11,0.525,0.525,0.505,0.51,1109300,0.51
2015-03-10,0.515,0.55,0.51,0.54,2646700,0.54
2015-03-09,0.53,0.53,0.505,0.505,952700,0.505
2015-03-06,0.545,0.5525,0.525,0.54,1646000,0.54
2015-03-05,0.56,0.56,0.545,0.55,3736700,0.55
2015-03-04,0.54,0.565,0.535,0.56,1401500,0.56
2015-03-03,0.56,0.562,0.53,0.535,1383600,0.535
2015-03-02,0.555,0.565,0.545,0.555,1230800,0.555
2015-02-27,0.54,0.555,0.54,0.555,1654000,0.555
2015-02-26,0.545,0.565,0.545,0.555,1613600,0.555
2015-02-25,0.56,0.56,0.54,0.54,800700,0.54
2015-02-24,0.565,0.565,0.54,0.555,1234300,0.555
2015-02-23,0.595,0.595,0.56,0.575,2470600,0.575
2015-02-20,0.60,0.60,0.58,0.60,1295200,0.60
2015-02-19,0.61,0.61,0.58,0.60,2170700,0.60
2015-02-18,0.60,0.6325,0.595,0.625,2238700,0.625
2015-02-17,0.595,0.60,0.58,0.59,1354400,0.59
2015-02-16,0.575,0.605,0.575,0.60,2198400,0.60
2015-02-13,0.55,0.575,0.545,0.575,1572400,0.575
2015-02-12,0.54,0.545,0.525,0.535,2126200,0.535
2015-02-11,0.545,0.55,0.532,0.535,1687000,0.535
2015-02-10,0.56,0.58,0.555,0.555,2705400,0.555
2015-02-09,0.55,0.565,0.545,0.55,2653200,0.55
2015-02-06,0.55,0.555,0.53,0.53,2397000,0.53
2015-02-05,0.515,0.532,0.505,0.515,2789200,0.515
2015-02-04,0.57,0.595,0.535,0.54,13299700,0.54
2015-02-03,0.51,0.535,0.50,0.515,5732300,0.515
2015-02-02,0.48,0.49,0.47,0.48,2257500,0.48
2015-01-30,0.50,0.505,0.46,0.465,2311900,0.465
2015-01-29,0.46,0.51,0.455,0.49,2887800,0.49
2015-01-28,0.465,0.475,0.46,0.47,1007500,0.47
2015-01-27,0.50,0.50,0.46,0.47,1703500,0.47
2015-01-26,0.50,0.50,0.50,0.50,000,0.50
2015-01-23,0.485,0.51,0.48,0.50,933100,0.50
2015-01-22,0.495,0.495,0.46,0.485,1821700,0.485
2015-01-21,0.485,0.495,0.475,0.495,1819400,0.495
