date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.135,0.135,0.122,0.125,15348700,0.125
2015-06-29,0.13,0.1375,0.13,0.135,3290700,0.135
2015-06-26,0.135,0.14,0.13,0.13,1886500,0.13
2015-06-25,0.14,0.14,0.13,0.135,8227900,0.135
2015-06-24,0.145,0.145,0.14,0.14,5682500,0.14
2015-06-23,0.14,0.145,0.14,0.14,4985100,0.14
2015-06-22,0.145,0.145,0.14,0.14,1667100,0.14
2015-06-19,0.14,0.15,0.14,0.145,9064300,0.145
2015-06-18,0.15,0.15,0.145,0.15,2065700,0.15
2015-06-17,0.15,0.155,0.15,0.15,2797600,0.15
2015-06-16,0.155,0.155,0.15,0.15,1504300,0.15
2015-06-15,0.155,0.16,0.15,0.155,789200,0.155
2015-06-12,0.157,0.16,0.155,0.16,2088300,0.16
2015-06-11,0.155,0.16,0.152,0.16,1171700,0.16
2015-06-10,0.155,0.16,0.152,0.16,1534900,0.16
2015-06-09,0.157,0.16,0.155,0.155,480400,0.155
2015-06-08,0.155,0.155,0.155,0.155,000,0.155
2015-06-05,0.155,0.16,0.155,0.155,915900,0.155
2015-06-04,0.16,0.165,0.155,0.155,4182700,0.155
2015-06-03,0.16,0.165,0.16,0.16,709600,0.16
2015-06-02,0.165,0.165,0.16,0.16,2785900,0.16
2015-06-01,0.17,0.17,0.16,0.16,1878500,0.16
2015-05-29,0.165,0.17,0.165,0.17,6063900,0.17
2015-05-28,0.165,0.17,0.165,0.17,2934600,0.17
2015-05-27,0.165,0.17,0.165,0.165,1436900,0.165
2015-05-26,0.165,0.175,0.165,0.17,3249500,0.17
2015-05-25,0.165,0.17,0.165,0.17,1364600,0.17
2015-05-22,0.165,0.1675,0.162,0.165,944500,0.165
2015-05-21,0.17,0.17,0.162,0.165,1050000,0.165
2015-05-20,0.162,0.1675,0.162,0.165,4160900,0.165
2015-05-19,0.165,0.165,0.16,0.165,1288400,0.165
2015-05-18,0.165,0.165,0.162,0.165,1100000,0.165
2015-05-15,0.165,0.17,0.162,0.165,2328800,0.165
2015-05-14,0.165,0.17,0.162,0.165,4433600,0.165
2015-05-13,0.165,0.17,0.16,0.16,1525700,0.16
2015-05-12,0.165,0.17,0.16,0.17,13152500,0.17
2015-05-11,0.165,0.165,0.16,0.16,1415500,0.16
2015-05-08,0.165,0.17,0.165,0.165,278800,0.165
2015-05-07,0.165,0.17,0.165,0.165,714900,0.165
2015-05-06,0.167,0.175,0.165,0.165,1906400,0.165
2015-05-05,0.165,0.17,0.165,0.17,3264700,0.17
2015-05-04,0.165,0.165,0.162,0.165,2733300,0.165
2015-05-01,0.165,0.165,0.16,0.16,589000,0.16
2015-04-30,0.17,0.17,0.162,0.165,7644800,0.165
2015-04-29,0.17,0.17,0.165,0.165,8103500,0.165
2015-04-28,0.17,0.175,0.17,0.17,3659500,0.17
2015-04-27,0.17,0.175,0.17,0.17,509100,0.17
2015-04-24,0.18,0.18,0.17,0.17,2117100,0.17
2015-04-23,0.165,0.18,0.165,0.18,11209000,0.18
2015-04-22,0.18,0.18,0.18,0.18,000,0.18
2015-04-21,0.18,0.18,0.18,0.18,000,0.18
2015-04-20,0.18,0.18,0.175,0.18,164100,0.18
2015-04-16,0.185,0.185,0.18,0.18,1849100,0.18
2015-04-15,0.18,0.19,0.175,0.19,1629500,0.19
2015-04-13,0.175,0.185,0.175,0.182,802200,0.182
2015-04-10,0.18,0.1825,0.17,0.17,1146100,0.17
2015-04-09,0.185,0.1875,0.185,0.185,829400,0.185
2015-04-08,0.19,0.19,0.185,0.185,505700,0.185
2015-04-07,0.19,0.19,0.185,0.19,1219900,0.19
2015-04-06,0.185,0.185,0.185,0.185,000,0.185
2015-04-03,0.185,0.185,0.185,0.185,000,0.185
2015-04-02,0.19,0.19,0.185,0.185,179600,0.185
2015-04-01,0.19,0.195,0.185,0.19,3500700,0.19
2015-03-31,0.19,0.1925,0.185,0.19,2335300,0.19
